 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
PC10 -1.5236814375111067e-06 2.065053029806744e-07 1.8603242475370758e-08 -8.454972711906558e-08 4.1377071238766927e-07 -4.07955650842528e-07 1.9029915095640935e-07 -1.5765941244906157e-07 4.257226411876907e-07 -2.639649076065264e-07 1.3156670147355022e-05 -5.490582849223345e-07 -9.047833921867905e-08 -2.569051110644769e-07 -4.782148619512513e-08 2.1109079396690035e-07 -3.804670742067693e-07 2.718476874213315e-08 1.8427292481832662e-07 4.512885956723502e-07 9.144097878924398e-08 -2.3000461538838987e-07 -1.0837020887864471e-05 -8.064205346085226e-06 1.3212939911335896e-05 2.7364419558537288e-06 -1.2050310632203283e-06 8.97457388349181e-06
PC11 4.667003928939418e-07 5.168459560794477e-09 -1.0450445242674219e-07 4.1824033749338623e-07 3.071671307808389e-07 -9.56964438656423e-07 -3.8691070639184764e-07 1.2127618145300756e-06 -8.16797184833201e-07 5.528227812042796e-09 -5.490582849223346e-07 1.2835135722393768e-05 -2.2397420973224513e-09 -1.7555254360392096e-07 -4.912194968281712e-07 3.1730000838103173e-07 2.526766113746245e-07 4.682145662528586e-07 3.8251565704123554e-08 6.41339331606043e-07 2.488408343447278e-07 3.048047694665802e-08 3.112431145629786e-06 -5.923296516776842e-07 -6.276440503278578e-06 -4.133245913471731e-06 1.6738559968623545e-06 1.0683337659068578e-06
PC12 -5.013906315530616e-07 6.204205867605698e-07 -1.1047953858954086e-06 1.2479910140735564e-07 -1.1000525104756646e-06 4.864813638054805e-07 -1.1728021413521708e-07 3.3199156730833663e-07 4.3516417889320514e-07 -4.00297171810466e-07 -9.047833921867914e-08 -2.2397420973222896e-09 1.1785558854543718e-05 -4.090757498454575e-08 -1.8303291317860355e-08 -5.07666268580573e-07 3.0558435754241914e-07 -1.988321477909215e-07 -1.841678318905072e-07 -1.5616715099075637e-07 -6.320296175820442e-07 1.4674975153463906e-06 1.4896911863132573e-06 -5.154446842266135e-06 -5.640770883478468e-06 8.736704411813367e-06 -3.7914670301949206e-06 7.0404231549055344e-06
PC13 -2.130090945076339e-06 -1.110677805181617e-07 1.0859607412892963e-06 -7.803997967655319e-07 -6.33440936113371e-07 -1.173632870364492e-06 -8.852653450778299e-08 2.6673842622775215e-07 -4.343425087141513e-09 2.1090202532277642e-08 -2.569051110644769e-07 -1.7555254360392117e-07 -4.0907574984545426e-08 1.2170146262876173e-05 -7.381085609503885e-07 9.44499794957849e-07 2.474117099966698e-07 1.6239963284926738e-07 -1.3701430153821801e-07 5.581876319656239e-09 1.9917247342740443e-07 3.640706944698537e-08 -1.1360575644780645e-05 -1.1300516970220313e-06 1.70535309059271e-05 -2.1706595771321444e-06 7.5903691149293355e-06 -5.313734617895861e-06
PC14 -1.7983696351128374e-06 -2.6476329764119594e-07 -1.3018926239162624e-06 1.3891534758910756e-07 3.533353127020596e-08 4.668955833376328e-07 -2.043833583396258e-07 -3.898523580369142e-07 -5.142185944309782e-07 -8.498217214157392e-07 -4.7821486195125155e-08 -4.91219496828171e-07 -1.8303291317860534e-08 -7.381085609503893e-07 1.2652243787566359e-05 -1.3651041390014576e-07 2.816889773187422e-08 -2.3520545648253184e-09 1.795484620227872e-07 -8.06603201513067e-08 9.509074551270237e-08 -1.3108857795677871e-06 3.323382932488825e-07 -2.919477456033295e-06 -6.678903951524355e-06 8.164270333320931e-06 -1.1427846605614898e-06 1.0685253133575756e-06
PC15 -2.394147734391896e-06 -7.589991503650598e-07 1.958365415606382e-07 -2.9981126322067215e-08 -3.6693728974705876e-08 2.0490846870050153e-08 -2.0940014723363166e-07 -5.768702161315513e-07 -6.069444876360331e-07 4.4660968805141345e-07 2.110907939669007e-07 3.17300008381032e-07 -5.07666268580573e-07 9.444997949578488e-07 -1.3651041390014627e-07 1.1955682115905336e-05 3.193254947710435e-07 -7.433551475814993e-07 -8.452573913961155e-08 -1.2852250072288e-07 5.704596150208518e-08 -4.898193523160057e-06 5.809383078618379e-06 3.930225139359953e-06 -5.1908095770359615e-06 5.1346109192358295e-06 -4.751263856122283e-06 1.0631093498719574e-05
PC16 1.6716902444601426e-06 -6.684986638195086e-07 1.3485897205590217e-07 3.11624910968098e-07 4.472564186675358e-08 -7.038285974078613e-08 -1.5366081565752982e-07 1.5835558982850443e-07 4.1796879506351445e-07 4.0267712103602176e-07 -3.804670742067695e-07 2.526766113746248e-07 3.055843575424194e-07 2.4741170999666954e-07 2.816889773187404e-08 3.193254947710437e-07 1.2137673624103007e-05 -4.342986011981832e-07 1.3432996543838717e-08 -6.673317713217117e-07 -2.371582283581643e-07 1.5320510820802832e-06 3.0793949528173906e-06 -3.3527266371107606e-06 -2.0537695715775524e-06 -2.9130911472664684e-06 -6.710372582489912e-07 -2.2026911654144885e-06
PC17 -1.356789745702037e-06 2.3244027022517432e-07 7.19149526787061e-07 -4.229098217485902e-07 -5.446228968953902e-08 7.537816395736414e-07 2.707175703536947e-07 -4.242827122219626e-07 1.3735408516639286e-07 4.814478663602286e-07 2.7184768742133267e-08 4.6821456625285874e-07 -1.988321477909217e-07 1.6239963284926765e-07 -2.352054564825629e-09 -7.433551475814994e-07 -4.342986011981833e-07 1.0914020061661453e-05 3.25621315900339e-07 -1.682611869119492e-07 1.7034953659197436e-07 1.1563117761267132e-06 2.097164870696361e-06 5.0254162059786504e-06 -4.659309128377603e-06 -2.07764402017152e-06 -3.2709244540679476e-06 -4.904898143341417e-06
PC18 -8.596685523055143e-07 1.3337394056779125e-08 1.4496640414805756e-07 -5.263810796293407e-07 -4.966860074168822e-07 -1.6606160995360947e-07 -4.3573951642705284e-07 1.085067099478851e-07 -8.431543684232304e-07 -5.187698337025114e-07 1.8427292481832654e-07 3.825156570412355e-08 -1.841678318905073e-07 -1.370143015382185e-07 1.7954846202278727e-07 -8.452573913961183e-08 1.3432996543838864e-08 3.2562131590033883e-07 1.0984247249021997e-05 -2.0798492392445483e-07 9.296901976966226e-08 6.919909392503797e-07 3.5695531346043907e-06 -2.7790538701167865e-07 -1.621043453076987e-06 2.954714944368689e-07 -2.1731269279859035e-06 6.478063111705651e-06
PC19 5.529899660643809e-07 1.945393653071811e-07 -3.8633606368195683e-07 4.359168064423446e-07 -1.3051818958084033e-07 1.88060808068162e-07 -2.290582032184475e-07 3.752541585921928e-08 -2.3986288991204297e-07 -2.676853019960002e-07 4.5128859567234976e-07 6.413393316060426e-07 -1.5616715099075621e-07 5.5818763196563676e-09 -8.066032015130656e-08 -1.2852250072288e-07 -6.673317713217115e-07 -1.6826118691194975e-07 -2.0798492392445505e-07 1.1079428992614088e-05 6.036327128523562e-07 -5.02586244056681e-07 -1.4446621945651613e-07 3.010342439096045e-06 -4.53743177279589e-07 4.978216269114599e-06 4.88952177075687e-06 -1.8318104704408292e-06
PC20 -6.255686672277447e-07 3.864856070748774e-08 -3.205935828090723e-07 1.1786841753059127e-07 1.3969972069582378e-07 -1.1342395695549673e-07 -5.855344664750849e-07 -4.556879917627765e-07 1.1617230555650206e-07 -7.390627019764553e-07 9.144097878924408e-08 2.488408343447277e-07 -6.320296175820441e-07 1.9917247342740443e-07 9.509074551270236e-08 5.7045961502085117e-08 -2.3715822835816385e-07 1.703495365919745e-07 9.296901976966253e-08 6.03632712852356e-07 1.0315930517440292e-05 -3.316867941750788e-06 2.1633702248453447e-06 5.900770048118178e-06 4.171427899136969e-06 -2.795290755766333e-06 -1.909108444981045e-06 -6.932140848389576e-06
proband 6.167290221065079e-06 9.017701441298518e-08 8.036341551577803e-06 -4.2005452097031313e-07 -8.201043072458324e-07 5.082770319828467e-07 1.4768177142316723e-06 3.3477613202446626e-07 1.3069992992325491e-06 1.2014508742988952e-06 -2.300046153883807e-07 3.0480476946658936e-08 1.4674975153463928e-06 3.6407069446988294e-08 -1.3108857795677871e-06 -4.898193523160059e-06 1.5320510820802825e-06 1.1563117761267127e-06 6.919909392503813e-07 -5.025862440566758e-07 -3.3168679417507884e-06 0.0009274190257093938 -0.00047392070925123523 -0.000476843032354517 -1.3752250167615339e-05 1.0851964491848089e-05 1.867698951085133e-05 -1.4368213110709191e-05
paternal 4.500543737932343e-05 -7.073425532238409e-06 -1.3494072139628857e-05 3.420100634176863e-06 -3.6667151886635648e-06 -2.463452183467729e-06 -9.367401467869457e-06 5.069163993653119e-06 -1.071724354680624e-05 2.57205155058685e-06 -1.0837020887864475e-05 3.1124311456297866e-06 1.4896911863132585e-06 -1.1360575644780639e-05 3.3233829324887604e-07 5.809383078618376e-06 3.0793949528173834e-06 2.097164870696362e-06 3.5695531346043844e-06 -1.4446621945652158e-07 2.163370224845346e-06 -0.0004739207092512349 0.0019497588557500286 0.00042429884661129955 -0.0014670373395041065 -0.0010193540053277112 -4.596536316127617e-05 -0.00019504318456016738
maternal 3.585346179008462e-05 -1.3982680885011897e-06 2.0394407822194088e-07 -3.4388542148208655e-06 2.2566562802683618e-06 1.0711977538452597e-06 -5.516453588037126e-06 -7.221518602523546e-07 -4.412110078789634e-06 -1.2459755640405213e-06 -8.06420534608523e-06 -5.923296516776877e-07 -5.154446842266136e-06 -1.1300516970220298e-06 -2.919477456033295e-06 3.930225139359951e-06 -3.352726637110758e-06 5.025416205978652e-06 -2.779053870116748e-07 3.010342439096035e-06 5.900770048118171e-06 -0.00047684303235451654 0.0004242988466112994 0.0018381111174737492 0.00026671005029548937 -0.00039844585287840645 -0.0011679179136452561 -0.0010675349655896009
gpp 9.979786868706442e-06 2.036422833369615e-06 3.50651981631523e-05 2.4652463048361324e-06 1.412522202854426e-05 6.139149694800213e-06 2.0048808857547153e-06 1.2662342752117605e-06 1.0556005366396882e-05 -3.6614902523728205e-06 1.3212939911335897e-05 -6.276440503278576e-06 -5.640770883478464e-06 1.7053530905927095e-05 -6.678903951524342e-06 -5.190809577035955e-06 -2.0537695715775494e-06 -4.659309128377605e-06 -1.6210434530769845e-06 -4.5374317727959395e-07 4.1714278991369695e-06 -1.3752250167615998e-05 -0.0014670373395041067 0.0002667100502954897 0.005184470113233875 -0.0011853930189657227 -0.0005222343540650606 -0.0004919447508508017
gpm -6.496220426237953e-05 3.301866992005692e-06 4.3895253538619755e-06 -4.37381806447509e-06 -7.55353004753264e-06 -9.597783345214534e-06 -6.279833134107563e-07 -1.0304074507400692e-05 4.813365725567538e-06 -2.9360068495583884e-06 2.7364419558537186e-06 -4.133245913471731e-06 8.736704411813361e-06 -2.170659577132165e-06 8.164270333320935e-06 5.134610919235836e-06 -2.9130911472664536e-06 -2.0776440201715193e-06 2.9547149443687567e-07 4.978216269114599e-06 -2.7952907557663376e-06 1.0851964491847813e-05 -0.0010193540053277104 -0.0003984458528784067 -0.0011853930189657245 0.003725744300680673 9.521335064292824e-05 0.000592316073280601
gmp -8.222057472974098e-05 -1.9602826729510273e-06 1.4132680067721293e-05 1.170056232563843e-06 -5.686885523200208e-06 9.36712642968783e-06 9.780951728188813e-06 1.1485477162671054e-05 -9.956257767315692e-07 -2.531615601132162e-06 -1.2050310632203336e-06 1.6738559968623568e-06 -3.791467030194911e-06 7.5903691149293355e-06 -1.1427846605614875e-06 -4.7512638561222835e-06 -6.710372582489976e-07 -3.270924454067948e-06 -2.1731269279859095e-06 4.889521770756877e-06 -1.909108444981037e-06 1.8676989510851243e-05 -4.596536316127591e-05 -0.0011679179136452552 -0.0005222343540650599 9.52133506429276e-05 0.003970661920739597 -0.0007269804445675208
gmm -0.0001253504983976446 -3.845842421201461e-07 -1.0957340266873285e-05 3.0214635076916626e-06 -3.0647025967465105e-07 -1.2529038633809676e-05 -6.100184779279739e-06 -9.488492423592858e-06 -6.379263357872636e-06 3.2648335219220564e-06 8.974573883491815e-06 1.068333765906857e-06 7.040423154905528e-06 -5.313734617895861e-06 1.0685253133575706e-06 1.0631093498719577e-05 -2.2026911654144826e-06 -4.90489814334142e-06 6.478063111705652e-06 -1.8318104704408237e-06 -6.932140848389573e-06 -1.4368213110709445e-05 -0.000195043184560167 -0.0010675349655896017 -0.0004919447508508022 0.0005923160732806007 -0.0007269804445675191 0.0035838306815531105
