(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal maternal
(Intercept) 8.57799437705053e-05 2.26788681378541e-05 -4.87015148251865e-06 -7.94198396463749e-06 5.44221952408867e-06 2.35712249915357e-06 1.17281654219453e-06 -3.3480838700953e-06 -4.32305310235453e-06
covarage 2.26788681378541e-05 0.00025257848586993 0.00035625242953165 -0.000405775975256113 -1.71478699347817e-06 6.35474336724796e-06 -3.74030087944125e-07 -9.18200427016162e-07 7.26879987852659e-07
covarsex -4.87015148251865e-06 0.00035625242953165 0.00081907636385239 -0.000859651090247422 -4.3981138777606e-06 4.15058253017111e-06 -7.49669943161007e-08 -1.27435443156303e-06 -1.32914637960771e-06
covarage_sex -7.94198396463749e-06 -0.000405775975256113 -0.000859651090247422 0.00100553681362934 5.94145772912606e-06 -3.15692484160829e-06 -1.60518374201999e-07 1.26053233176769e-06 8.32764655553848e-07
covarPC_3 5.44221952408867e-06 -1.71478699347817e-06 -4.3981138777606e-06 5.94145772912606e-06 7.88247401961209e-05 3.50759236409779e-06 -2.07215556086911e-07 2.5919891866644e-06 2.83247714194615e-06
covarPC_4 2.35712249915357e-06 6.35474336724796e-06 4.15058253017111e-06 -3.15692484160829e-06 3.50759236409779e-06 8.55296938540961e-05 -6.12994436875244e-07 7.43676727020622e-08 1.25234343319502e-06
proband 1.17281654219453e-06 -3.74030087944125e-07 -7.49669943161007e-08 -1.60518374201999e-07 -2.07215556086911e-07 -6.12994436875244e-07 0.00021143032009286 -0.000139526175107559 -0.000127722217900029
paternal -3.3480838700953e-06 -9.18200427016162e-07 -1.27435443156303e-06 1.26053233176769e-06 2.5919891866644e-06 7.43676727020622e-08 -0.000139526175107559 0.000271022913942654 9.08716501375342e-06
maternal -4.32305310235453e-06 7.26879987852659e-07 -1.32914637960771e-06 8.32764655553848e-07 2.83247714194615e-06 1.25234343319502e-06 -0.000127722217900029 9.08716501375342e-06 0.000247253062641355
