 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
PC_4 5.964192578090947e-05 5.197597893103975e-05 -5.5901193120442624e-05 -0.0003654837736538541 3.1721811046497455e-05 2.4541998336147522e-06 -1.67913699853021e-08 -6.933955567112474e-07 4.964986209179464e-09 -0.0024523770298711606 0.22645200415778305 -0.005589372047488606 0.02397525532051579 -0.006411676105237187 -0.006743060639738096 -0.0036583825795264034 0.005403663358718659 -0.012566815830213636 0.013277861978564018 0.018960699730836993 -0.024201423914551073 -0.00941634867841926 0.016928194201063625 0.017151447636209027 -0.009530308364567332 0.008346078154596624 -0.010348856854841859 0.0022586903030411185 0.023116515149966457 -3.5671997172587093e-06 -4.132039249464315e-05 -3.225642927972346e-05 0.00017404497753356225
PC_5 -0.0001567665332883089 1.1893668680311095e-05 -0.00013763242410571057 -0.0012967144491290324 0.00010740369595056487 3.7506152495078046e-06 -2.957855139020833e-08 -2.6215193502727708e-06 1.9721912963773812e-08 -0.0010712685199925828 -0.005589372047489075 0.2809359068754599 -0.0005595064774272993 -0.0002409784702023306 -0.005930053527346061 0.007279895608034326 -0.015081358713385071 -0.009133486352538099 -0.023441275396972546 -0.00964839798431566 -0.00018207252403619863 -0.012660843377262984 0.011597389992275067 -0.028105633374380316 -0.003409733994570885 -0.0008589945060931564 -0.004384854087380016 -0.004600158503554181 0.027035239009491244 -1.657502783662741e-06 4.2301175381025424e-05 -5.62042454419421e-05 -1.609728361700119e-05
PC_6 3.507406973250174e-05 -3.093388144079578e-05 -1.201664976574499e-05 -0.00043672480938301275 4.3197076295573585e-05 -2.833691217294926e-07 8.401824385245728e-10 -1.2590296384946497e-06 1.1106321974723133e-08 0.0026173851539057127 0.023975255320515493 -0.0005595064774276019 0.37716506941243694 0.010047497753627007 0.01920009978100212 0.000551062483748558 -0.004871361994948185 0.009927878985940072 -0.01575255728487385 -0.00966436037755879 0.02632890237133967 -0.04338970008863295 0.022499628590422052 0.040925727896622854 -0.005916145361744705 -0.0008485330916195781 -0.013704512327242463 0.0026415358857968044 -0.02837752129659162 -7.192228782617405e-05 5.818787940144214e-05 -0.00011206649114779729 -0.00010547647354740981
PC_7 0.0001985975508050304 6.469176021319409e-06 -0.00014586217407296318 -0.001473932806221584 0.00011600520648743415 4.335912326204803e-06 -3.5405324066415896e-08 -2.9478873408450674e-06 2.3506906479100724e-08 -0.0028488194916987666 -0.0064116761052375165 -0.00024097847020231985 0.01004749775362708 0.47114654659552313 0.0022688419687575045 0.023465548096385114 -0.031243411605112358 0.030935106430501673 0.018105724857473415 0.02370729067235544 0.02785695931126239 -0.04658077637167821 -0.03081059651705749 0.033044797510545475 0.001871182825271663 -0.005254336729435281 -0.011889348680754223 0.01704001066858572 -0.03540632680088628 -9.120592937658004e-06 1.4333007185190763e-05 -4.399907217690805e-05 -7.024632109071207e-05
PC_8 -0.00035174133643231905 -2.6915314995154166e-05 3.788504078259626e-05 0.00044317716470577176 -2.5765558293293064e-05 -1.4877239391205045e-06 8.6878112284475e-09 3.884365756485749e-07 -5.928650376535674e-10 0.00926041421468263 -0.00674306063973801 -0.005930053527345989 0.019200099781002084 0.0022688419687577955 0.5312845620887666 0.030495135588200016 0.012575483049915908 0.01613670672266382 -0.0028651717039577876 -0.003919209157872989 0.01393616533748645 0.03821747588376009 -0.02839608377639267 0.015005004779719005 0.042084414444950424 0.010945051583022015 0.0017056978496013848 0.011102334965935757 -0.022809001363714887 5.262336017998316e-05 6.80793107815255e-05 -7.095538000763719e-05 -2.3406739020688408e-05
PC_9 -5.2707987171015066e-05 -3.737575856748535e-06 1.3827288294278434e-05 0.0010456345877265297 -8.234427639003085e-05 -3.0653964220436916e-07 1.2955555128957019e-11 1.9441812837143824e-06 -1.2813368154416207e-08 0.0061670024995106815 -0.0036583825795259445 0.007279895608034844 0.0005510624837485281 0.023465548096385208 0.03049513558819999 0.6796317559313995 0.05057023115845357 -0.007192069734669955 -0.04046812077211301 0.03062996764406445 0.004671399541286149 -0.0018402690186250876 -0.03595559038763685 -0.01781034597174567 -0.02943545262670034 -0.021577235308693224 0.0037489143303627705 -0.03595907184704481 0.04076707580000955 -8.570963109240547e-06 -0.000123649641125227 0.0002792964562932381 3.950478408185745e-05
PC_10 -5.241890209208719e-05 -1.226840812945731e-05 9.905044611357732e-06 0.0010489331226896652 -7.427328708513827e-05 -5.83992178772284e-07 4.575791365732331e-09 1.5644035476128746e-06 -1.0039079964567552e-08 -0.013833524058924237 0.005403663358718894 -0.015081358713384823 -0.00487136199494814 -0.031243411605111394 0.012575483049916002 0.050570231158453646 0.8628113120272667 0.06427324095982395 -0.04266453048342281 -0.02620894475068046 -0.009367997663096315 0.010997805241358075 0.012885129365237124 -0.0009176051970389968 0.05017755681994338 0.019903369274705297 0.013901686569174614 -0.015583035906419443 -0.037428375902550236 6.378021010432248e-06 0.0001546158194165479 -4.311052395620111e-05 -2.0465251716042895e-05
PC_11 -1.6453803526589514e-05 2.3694078683864038e-05 -3.0356023903276418e-05 0.00022998637803736164 1.0392450788237144e-05 1.1952062721773732e-06 -7.704441121795608e-09 -6.086905667586529e-07 6.123960576623865e-09 -0.00593439088527093 -0.012566815830213796 -0.009133486352538134 0.009927878985940192 0.03093510643050173 0.01613670672266385 -0.007192069734670029 0.06427324095982412 0.777731706293052 0.004968613182087197 0.03553339646397975 0.008125579669724863 0.04015859191452515 -0.003998479882066313 0.019454529079380747 -0.06676720340748403 -0.027886215027042 0.014888733837287739 -0.02300250223734151 0.08706708154643822 1.3791637393670392e-05 -2.559283490223119e-06 -0.00016115401123892388 0.0001845415837829171
PC_12 -9.591421529701481e-05 -1.0719413034056158e-06 -1.9787818633077296e-06 -0.00013102519298802495 -3.6546590919570107e-06 -4.711160198951871e-07 7.1123362996991916e-09 4.759648425557351e-07 -6.721005615574941e-09 -0.005094352594049634 0.013277861978564095 -0.0234412753969726 -0.015752557284873934 0.018105724857473214 -0.002865171703957785 -0.040468120772112946 -0.04266453048342289 0.004968613182087194 0.8963384762959261 0.026567130344111595 0.02570349103874829 -0.013974386938969649 0.029611395863800752 0.02688131920556629 0.03817975694420192 0.024242385170550655 0.011082967586437792 0.023843732499521583 0.017243644619639727 -5.5620102622478873e-05 4.369187886816008e-05 -7.209226786979801e-05 6.701133599386553e-05
PC_13 5.0167847335114396e-05 -2.3585163770208426e-05 1.5627856639433053e-06 0.0007392064580409671 -5.349474938469096e-05 -1.6974967970271309e-07 -1.4081038571549768e-09 1.275767639878103e-06 -8.481976466164033e-09 0.013413417244690437 0.01896069973083736 -0.009648397984315207 -0.009664360377558691 0.023707290672356184 -0.0039192091578730505 0.030629967644064438 -0.02620894475068069 0.03553339646397987 0.026567130344111616 0.8788411482332538 0.05051857086411601 -0.044651888026511245 -0.024385649825365018 0.04843071529249864 0.05989879067863515 0.02854543680183286 -0.055549174679759325 -0.016415888127634403 -0.043570998946994066 -5.713958345313583e-05 0.00011212286887386929 -7.932113407865703e-05 -0.00017275906862797332
PC_14 -7.026813494738105e-05 2.0224805897654005e-05 -0.0001227357605246339 -0.0026889731618015065 0.00020756509820050184 3.035479691583653e-06 -2.2074939409271012e-08 -5.193104406658628e-06 4.260796223437476e-08 0.006310294987561388 -0.024201423914552298 -0.00018207252403724838 0.026328902371339665 0.027856959311261024 0.01393616533748651 0.004671399541286011 -0.009367997663096938 0.008125579669724502 0.02570349103874848 0.05051857086411547 0.8954693922037139 0.025209063702318863 -0.01715401516260525 0.01312460683045028 -0.010203965980050586 -0.022195002206131728 -0.0049218393502658275 -0.06529143511020469 0.04548091260205011 -2.958059311541636e-05 -4.863664143613578e-05 0.0002863905943333692 -0.00010903148756348991
PC_15 -5.411535258078282e-05 -1.7983971362422908e-05 3.5361752276081776e-05 0.0006953192328019815 -4.3052614918667486e-05 -1.3504436329139864e-06 1.0591775418327584e-08 9.597826495895395e-07 -7.191153466453203e-09 0.01326894354495293 -0.00941634867841912 -0.01266084337726311 -0.043389700088632965 -0.04658077637167831 0.03821747588376016 -0.0018402690186249482 0.010997805241358117 0.04015859191452514 -0.013974386938969614 -0.044651888026511 0.025209063702318225 1.0404694374217647 -0.032205050969009365 0.011704802549791641 0.0279918436559942 -0.006936491875709325 0.01605328641724538 0.009351616943523914 -0.05129663560387258 -1.8170185128113936e-05 -2.956315943492769e-05 0.00010452149323702487 -7.938479687901292e-05
PC_16 -1.869356964862181e-05 -7.72518546050821e-06 -1.3581212877059046e-05 -0.0008439002321028985 7.697156205959249e-05 1.3702080065325043e-07 -2.1475408333566617e-09 -2.2827745164980307e-06 2.117041112586648e-08 -0.008548385968064485 0.016928194201063042 0.011597389992274474 0.02249962859042217 -0.030810596517057944 -0.028396083776392644 -0.035955590387636883 0.012885129365237285 -0.0039984798820664825 0.02961139586380077 -0.024385649825365015 -0.017154015162605663 -0.03220505096900912 1.0783044168930112 0.017341108854137675 -0.006795861958895483 0.029556514226850444 0.024079211254943444 0.014794840432145915 0.006493644507657935 2.871473014664335e-05 -1.371182974950124e-05 4.747219358724826e-05 -0.00017363980206187507
PC_17 -0.00012546826739132823 2.8546820883324806e-05 -0.000157364120681554 -0.003111097793538378 0.00025138406158668763 4.454928601603921e-06 -3.379128229363196e-08 -6.281031036673107e-06 4.879769955400402e-08 -0.028564067662855 0.017151447636207715 -0.028105633374380993 0.04092572789662326 0.03304479751054435 0.01500500477971891 -0.017810345971746376 -0.0009176051970397823 0.019454529079380556 0.02688131920556636 0.048430715292498074 0.013124606830451278 0.011704802549792196 0.017341108854138424 1.1779259670664675 -0.022291243846743497 -0.006373487952787364 -0.047657991299216565 -0.04022769994793407 -0.047329445996546204 -2.5626477877528478e-05 -4.106507676422452e-05 0.00027191116169202805 -0.00018462741855509508
PC_18 -0.00024869829562872094 1.6786016875439615e-05 0.00014015576234864834 0.0022249105743160384 -0.00014255542884642812 -2.4361625414340286e-06 1.3616579047012026e-08 2.821124469770472e-06 -1.78798769332768e-08 -0.005591958568067012 -0.009530308364566448 -0.003409733994570372 -0.005916145361745009 0.0018711828252716152 0.04208441444495038 -0.029435452626699974 0.05017755681994357 -0.06676720340748374 0.038179756944201795 0.05989879067863531 -0.010203965980051292 0.027991843655993824 -0.006795861958895867 -0.02229124384674332 1.1062381200752118 0.06689241929987517 -0.005953594402414685 -0.04816516591438005 0.027420875236847872 0.0002280916664137073 -0.00016293493002864144 8.624601931877096e-05 0.0002628939091950367
PC_19 3.381618458648573e-06 -5.213156638971389e-06 -4.0504079950178683e-05 -0.0006855135692797703 8.914597913759663e-05 1.4072514762592757e-06 -1.41094469921493e-08 -3.158240831628786e-06 3.0408299260569645e-08 -0.007095003253163192 0.008346078154595959 -0.0008589945060936095 -0.0008485330916190642 -0.005254336729435497 0.010945051583022038 -0.02157723530869342 0.019903369274704985 -0.027886215027042156 0.024242385170550693 0.02854543680183283 -0.022195002206130535 -0.006936491875709103 0.02955651422685065 -0.006373487952787638 0.06689241929987469 1.07396133604947 -0.006465982665817596 0.017727026935157857 0.048702254755431086 -0.0003308908579305498 -2.0976128251957493e-05 -0.00010126890435437067 0.00011307766293546268
PC_20 -0.0003464724414074583 -1.2252139784048936e-06 -1.3773691802288168e-05 0.00030481803730434976 2.1638976901500274e-06 1.6778901460481667e-07 -3.226819409131323e-09 -6.104769557384547e-07 9.686952000631512e-09 0.010529659627134688 -0.01034885685484207 -0.0043848540873800785 -0.013704512327242336 -0.011889348680754232 0.0017056978496014508 0.0037489143303626325 0.013901686569174532 0.014888733837287687 0.011082967586437802 -0.05554917467975932 -0.004921839350265813 0.016053286417245415 0.02407921125494357 -0.04765799129921653 -0.0059535944024148 -0.006465982665817524 1.2632554890163805 0.029688719286856197 -0.03177823657201206 3.1208930906855544e-05 4.2199316354576745e-05 -5.4224148102266394e-05 -2.5823022130114507e-05
PC_21 6.000500143182461e-06 1.8293020891678133e-05 0.00010155548610202665 -0.00015471717182485522 -3.2458235280514582e-06 -3.008930334773976e-06 2.8499762631867005e-08 4.5300188625622805e-07 -5.7493833133913705e-09 -0.007254528544404238 0.0022586903030410166 -0.004600158503554923 0.002641535885796405 0.017040010668584668 0.011102334965935835 -0.03595907184704425 -0.015583035906418987 -0.02300250223734167 0.02384373249952156 -0.01641588812763404 -0.06529143511020638 0.009351616943524087 0.014794840432145268 -0.04022769994793566 -0.04816516591437923 0.017727026935157087 0.029688719286855948 1.3167928830092015 0.04725233059439257 9.297775662736469e-05 -0.0001121720012871776 0.00015303475741625948 0.00015409852122656554
PC_22 0.000507239546990856 -4.648826919214525e-05 6.954974514775922e-05 0.00014714518393889995 4.642853286972788e-06 -2.386563881452434e-06 1.7619264751564365e-08 -4.0812872796234645e-07 4.6068206947300044e-09 0.02090766472539616 0.023116515149966217 0.02703523900949049 -0.028377521296592066 -0.035406326800886984 -0.02280900136371482 0.04076707580001005 -0.03742837590254991 0.08706708154643791 0.01724364461963972 -0.0435709989469937 0.04548091260204863 -0.05129663560387237 0.006493644507657387 -0.04732944599654779 0.02742087523684879 0.04870225475543034 -0.0317782365720123 0.047252330594392725 1.2115415396505016 6.909427118974697e-05 -5.531113261196343e-05 1.8754952032426987e-05 7.070505456461234e-05
proband -4.3404080411595213e-07 -2.4911395776942262e-08 -1.1962212313330296e-07 -5.733534947289732e-07 -5.930092764122866e-08 1.1529202020660764e-09 -8.453644848645436e-12 3.103861399466677e-09 -3.1201447929319377e-11 2.2373339519105875e-05 -3.567199717256167e-06 -1.6575027836623176e-06 -7.192228782616562e-05 -9.120592937667865e-06 5.262336017998162e-05 -8.570963109237067e-06 6.378021010438109e-06 1.3791637393688898e-05 -5.56201026224812e-05 -5.713958345314262e-05 -2.9580593115471685e-05 -1.8170185128123518e-05 2.871473014664228e-05 -2.562647787751984e-05 0.00022809166641369057 -0.00033089085793058223 3.120893090685515e-05 9.297775662736088e-05 6.909427118974259e-05 2.7129072388498073e-05 -1.316134551286921e-05 -2.8829973833406557e-07 -4.696188496250086e-07
maternal 1.3370224818156548e-06 -4.229491268350406e-09 5.17063016978389e-07 5.003702791963388e-06 -3.357430628129721e-07 -1.1446499842078331e-08 6.821197388317207e-11 5.526924192444358e-09 -1.8541745966405983e-11 -7.282764564505294e-06 -4.1320392494644917e-05 4.230117538103166e-05 5.818787940143135e-05 1.4333007185510733e-05 6.807931078152754e-05 -0.00012364964112521933 0.00015461581941643196 -2.5592834902096413e-06 4.3691878868195084e-05 0.00011212286887388108 -4.863664143601801e-05 -2.956315943494169e-05 -1.3711829749531055e-05 -4.106507676423513e-05 -0.00016293493002868985 -2.0976128251974596e-05 4.219931635455693e-05 -0.0001121720012871496 -5.531113261190389e-05 -1.316134551286926e-05 0.00013840902213854372 -0.00011429468765336237 -0.00010536356269010992
gpm -3.4510177082427466e-07 -6.483698618087998e-08 -4.4525970805759004e-07 -9.438546811906766e-06 7.74430823610642e-07 4.433680827896083e-09 1.2808067567843053e-11 -1.650384913451551e-08 9.910988166270033e-11 4.03334492482652e-05 -3.2256429279735624e-05 -5.620424544194644e-05 -0.00011206649114785492 -4.39990721772813e-05 -7.095538000764055e-05 0.0002792964562932001 -4.311052395643952e-05 -0.000161154011238956 -7.209226786979862e-05 -7.932113407865266e-05 0.000286390594333417 0.0001045214932371067 4.747219358725568e-05 0.00027191116169200864 8.624601931888533e-05 -0.00010126890435436775 -5.422414810224656e-05 0.00015303475741624038 1.8754952032395627e-05 -2.8829973833396287e-07 -0.00011429468765336214 0.00034441459486389737 -0.00012020693013550687
gmm -1.7578939339102799e-06 -1.7187366263382312e-08 -3.4824234004717695e-07 -1.3497858365934637e-05 1.1381570277332254e-06 1.204471467682479e-08 -1.0422458239214447e-10 -2.972474189606741e-08 2.370339411523652e-10 2.8500218841643434e-05 0.00017404497753355602 -1.6097283617015393e-05 -0.00010547647354745002 -7.024632109063533e-05 -2.340673902069547e-05 3.950478408189535e-05 -2.046525171552623e-05 0.00018454158378293118 6.701133599382793e-05 -0.00017275906862798568 -0.00010903148756340409 -7.938479687905124e-05 -0.00017363980206185105 -0.0001846274185550688 0.000262893909194827 0.00011307766293552276 -2.5823022130103912e-05 0.0001540985212265348 7.070505456460009e-05 -4.6961884962510513e-07 -0.00010536356269011004 -0.00012020693013550624 0.0003300937995931843
