 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
intercept 0.0005507632181804793 -1.535029994940176e-06 7.657133411829909e-05 -2.7492331593915787e-06 2.8553316738709384e-08 -0.00020175615504999025 0.00011448541862039522 -0.0002752220326269997 0.00013741618076423365 0.0005856714512003821 -0.0007949859696076492 0.00018919647153390473 9.0588557101887e-05 0.00015455094468634373 -0.0005577172005120361 0.0007297441733419361 0.00021033188430477526 -0.00023831235441540825 -8.982988549581068e-05 -0.0004110646667902464 -0.000705036938336651 1.7776224792557063e-05 -0.00041909073378115227 -0.00034147856986213793 0.0013436224367148674 -9.261311109175557e-07 3.1356783903573743e-06 -3.362471983094733e-06 -2.960426391081166e-06
yob -1.5350299949421705e-06 7.171906513281736e-07 2.974319319651174e-08 1.1296419297336775e-08 -6.786319167297504e-11 4.408263810156795e-06 0.00012308587710815931 2.180421315536654e-05 -7.827734306628976e-05 8.961585391410359e-06 -5.815931569873032e-05 -4.289758876005564e-06 -4.067645226586122e-05 5.998359459857314e-05 7.311696430373615e-06 -6.900997736793782e-05 5.337641008294114e-05 -4.2289639468583115e-05 -1.2857334222046691e-05 8.072421633760156e-05 3.5765364084598625e-05 -1.8174708126695444e-05 1.4097893505259068e-05 4.888601203773117e-05 -0.00011792560873877935 -6.131834021436347e-08 4.374983930304191e-08 -3.1936878318356534e-07 2.1864111285210428e-08
age 7.65713341182945e-05 2.9743193197249782e-08 3.652342634495672e-05 -1.0630644693165764e-06 9.264729195718326e-09 -3.2133893624471497e-06 4.066917216733094e-05 -3.030787293487273e-05 -2.6522290589889904e-05 2.401635472190601e-05 -8.33218682591663e-05 -1.4172182348398927e-05 -5.1750450825549964e-05 0.00014393815009404847 -7.28283121251966e-05 1.2163086592952495e-05 9.383596946948635e-05 8.660341115833593e-05 9.807844506693718e-06 8.667598480938302e-06 1.7462262739839183e-05 -5.468292187561932e-06 5.931282005645378e-05 4.975081795816498e-05 0.0002116368348824683 3.2292018452800234e-07 -2.339875798539856e-07 -2.3456291789362867e-06 2.2207248763679073e-06
age2 -2.749233159391473e-06 1.1296419297315095e-08 -1.0630644693165875e-06 3.260158318894621e-08 -2.9328482093540966e-10 -8.190185819621549e-08 1.8081745822877661e-06 1.6597842961907077e-06 -9.811214571249999e-07 1.2783698671514806e-06 6.579499767308341e-07 1.8648093339016308e-07 -4.049122047835006e-07 -3.230232660130691e-06 1.7954940843974094e-06 -1.2479410437222475e-06 -2.8242258868451323e-06 -2.2357132410093793e-06 -8.788167006296392e-07 1.1904382864203912e-06 5.883306507084196e-07 -1.0313111066931218e-06 -2.758427210570908e-06 -1.9427756228028192e-06 -7.270720331531028e-06 -7.282876095973053e-09 2.2304436316092636e-09 4.797062260470439e-08 -5.019164674069485e-08
age3 2.8553316738708328e-08 -6.786319167277598e-11 9.264729195718406e-09 -2.93284820935409e-10 2.712553813442817e-12 1.4165575520388819e-09 -1.1243785743730442e-08 -1.6358862932415887e-08 6.829170723228151e-09 -1.514901840721218e-08 -8.188739278310933e-09 -1.1454662150232289e-09 8.621331618861579e-09 3.1518007412511355e-08 -1.3571496674582554e-08 9.363831365815685e-09 3.290739349972729e-08 1.1011791802516596e-08 8.410033893455398e-09 -8.303356401910433e-09 -9.460197399469795e-09 1.2422009093076037e-08 2.8012614542105106e-08 2.352472377171565e-08 5.667932307737261e-08 3.2380170093320026e-11 -1.737085755746213e-12 -3.32196667528136e-10 3.7769771034863123e-10
PC_3 -0.000201756155050022 4.408263810157011e-06 -3.2133893624597794e-06 -8.19018581958373e-08 1.416557552035442e-09 0.14578981652391315 -0.0053689478723694724 -0.0016660603773730129 0.007137519265106419 -0.002156074150968383 0.01572550000648236 0.01570781523900987 -0.02887290328280777 -0.015836788697719515 -0.011018057710931239 0.02707058267178569 0.013557048562958482 0.036126949135895176 -0.016966038026668205 -0.06104711543697301 -0.01575795498794885 -0.015274682004483097 0.023844213212450942 -0.01853496550995618 0.047093202880399955 4.4981665564500873e-05 -4.7228052923864966e-05 7.111222242732908e-05 0.00014046278790966462
PC_4 0.00011448541862006283 0.00012308587710815937 4.0669172167213774e-05 1.8081745822914293e-06 -1.1243785743763963e-08 -0.005368947872369473 0.5067114962185626 -0.018897121529641767 0.053435844280650645 -0.024092721004945437 -0.015071075361753183 -0.005797588326161181 0.007071560354154952 -0.023523197448410516 0.020667613030081307 0.042269302718938355 -0.055673064035902026 -0.031817651447065436 0.03586468645419383 0.0466325308699624 -0.029478555645863838 0.018206719438406953 -0.02579945027732114 0.006654668191463114 0.051002309459596315 -5.5330111168065707e-05 -9.2648663044528e-05 -2.9725701113080757e-05 0.00042445651386003344
PC_5 -0.00027522203262705274 2.180421315536552e-05 -3.030787293489322e-05 1.659784296191332e-06 -1.6358862932421627e-08 -0.0016660603773730168 -0.018897121529641948 0.6322974400091038 0.004783088092377836 -0.0031184156599390663 -0.007752754038407102 0.012778636517724406 -0.034404614224004225 -0.028753020367034355 -0.05361467487476451 -0.015612071407134324 0.0043914823732916245 -0.03171152735967786 0.020355059751314474 -0.07561920455217622 0.00042004316433690773 0.005544000759089265 -0.01547159915894646 -0.01565947518869559 0.055284641790636815 -3.162924775145778e-05 -2.3434258058628523e-05 7.112579729423734e-05 -4.027402536550275e-05
PC_6 0.00013741618076446016 -7.827734306629013e-05 -2.6522290589806952e-05 -9.811214571275596e-07 6.829170723251465e-09 0.0071375192651061785 0.05343584428065076 0.004783088092377707 0.8351474233051964 0.014192401984132047 0.05326065564019124 0.0028030163470031417 0.0015520283241613419 0.026851001799025123 -0.04484716510413793 -0.010074088859991484 0.04375194347243682 -0.10969866434444896 0.04264840352803026 0.08913929288561212 -0.015759388703463346 -0.003617738581615215 -0.043469968133994355 0.012302715621613003 -0.05874401679898717 -0.000117066351894967 9.06628952643187e-05 -0.00034332307550721786 -0.00012100328375622438
PC_7 0.0005856714512004034 8.96158539140921e-06 2.4016354721914482e-05 1.278369867151217e-06 -1.5149018407209943e-08 -0.0021560741509684283 -0.024092721004945746 -0.003118415659939111 0.014192401984132212 1.0641088665741318 0.01412822936012085 0.051461671016804454 -0.05731255063345304 0.08096385556634708 0.032163818547513705 0.056200680950730664 0.04138773966882834 -0.11847165561255252 -0.058309270091375674 0.08522730336783826 0.009829292709964261 -0.007379026007693123 -0.05200038425230986 0.027459244016098058 -0.07587241017261288 -5.128687694076701e-05 -0.00021252095267890067 0.00024081489984443307 -2.520979359604261e-05
PC_8 -0.0007949859696075098 -5.815931569873122e-05 -8.332186825912018e-05 6.579499767293784e-07 -8.18873927829759e-09 0.01572550000648243 -0.015071075361753677 -0.0077527540384072025 0.05326065564019092 0.014128229360120727 1.181352719935142 0.07704795478574404 0.020130605844220526 0.026685575737573936 0.011893549442982453 -0.016804239396163226 0.05528968327265058 0.08733437476550626 -0.07441677567900785 0.04635525166201774 0.09175870115103625 0.032818412923580724 -0.002694297149865498 0.01688913869823788 -0.04484665065930345 0.00014694409270856924 -0.00010754216691861745 6.820394366614362e-05 0.00017097931796438575
