 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 9.701299181497589e-06 3.4619769262356766e-08 -1.3572577796833277e-06 -6.560956963735265e-06 4.339518459762284e-07 2.696646066413999e-08 -1.5444185089767561e-10 -9.4947713257553e-09 6.389534241209012e-11 3.583168087666798e-06 -1.7528696898090412e-06 2.49916345940673e-06 -3.6930770457669574e-05 4.728898347422134e-05 -6.5891411887239e-05 4.5544183656236306e-05 -3.850293416849754e-05 -4.158908380460418e-06 -7.275758592470084e-05 -5.7562820588293115e-06 -1.7854366192567045e-05 -4.849605387024314e-05 3.228237773143865e-07 -3.33359506208128e-05 -1.9214336608673385e-06 2.84238147628839e-06 -4.1584822601787855e-05 -4.557182890614803e-05 5.9927020393546075e-05 3.3150604620276173e-07 -2.439607526157846e-07 -4.424885244551482e-07
yob 3.461976926240753e-08 9.577319345572673e-08 1.3804581421872053e-07 6.353809371992333e-07 -5.874125804771391e-08 -4.0192282692917044e-10 -1.935448495370787e-12 9.003787917374156e-10 -3.049411118159024e-12 7.127447431838333e-07 6.905951604377181e-06 5.144711325714247e-07 -6.619965963137539e-06 -1.498680365778652e-06 -3.0546711549844966e-06 4.621144600068265e-08 -2.513721934125452e-06 4.485094602739333e-06 -1.6195518677045528e-06 -4.080883383403048e-06 5.807827645278865e-06 -5.22056550798864e-06 -2.523746051291661e-06 8.228628518396184e-06 2.3653077043140362e-06 2.59586552992167e-07 -2.053992607675425e-06 2.9205712392267922e-06 -1.1055681581898873e-05 4.840385156891902e-09 -1.3742709843012706e-08 -1.9488663444160257e-08
age -1.357257779685757e-06 1.3804581421886967e-07 2.4463202819999862e-05 0.0003495257676436614 -2.428935167841983e-05 -5.027572748550254e-07 3.1998350747624826e-09 5.022248495305085e-07 -3.1988757815930823e-09 7.320730981034515e-07 -7.680327664802029e-06 -9.255252180582525e-06 -2.023856001638292e-05 -1.2509663331962573e-07 9.563248321801559e-06 6.293403237446715e-06 -4.794622372761959e-06 -1.1366707047438773e-07 4.175221505359224e-06 8.65689131740978e-07 -1.8688302007180272e-06 -8.413528989259587e-07 -2.1758314334428895e-05 -8.573780644779853e-08 -1.3600011740870107e-05 -2.2570202623029106e-06 -1.4656826736899868e-05 -1.1907019703193729e-05 9.795536895077366e-06 -1.5231976626645663e-09 -3.3096291030873945e-08 1.2500524993697165e-08
sex -6.560956963691776e-06 6.353809372023497e-07 0.0003495257676448945 0.009475611150511924 -0.0006242537126365163 -6.940430316763458e-06 4.297545011751547e-08 1.24796780858947e-05 -7.758393016377272e-08 4.152978841604436e-05 3.135867399864156e-05 -0.00014548303358160976 3.602780229819886e-05 -0.00017214797716674505 0.00020028997011532993 0.00015766708472497674 1.4386516545537052e-05 0.00014262602447822018 -6.290161325584717e-05 -0.00019172175466691235 -7.792946461897599e-05 -6.480883138652747e-06 1.5304048182318915e-05 -0.00015731457901107694 -3.234601173019725e-05 0.00022340251203727235 -5.16932958783215e-05 -4.160086617127226e-05 -0.00015909795353339238 -1.0081423710365893e-06 1.8935838233824295e-06 -3.723140552676213e-08
age_sex 4.339518459751595e-07 -5.8741258048273955e-08 -2.4289351678503858e-05 -0.0006242537126364021 4.328849302798223e-05 5.011686974858769e-07 -3.1931690186017867e-09 -8.965601007437152e-07 5.72245206513579e-09 -3.835691826646139e-06 4.066474084806103e-06 1.6436017317465495e-05 -1.4097467190891765e-06 1.0207930018367091e-05 -1.9011705510914238e-05 -9.994565067107558e-06 -4.285507270186808e-06 -5.088816257500673e-06 5.411172716599953e-07 1.0464116875581819e-05 4.333843988334171e-06 5.251707209296686e-07 1.0142518524192883e-06 1.4033545336461456e-05 3.1773758089006033e-06 -1.4404197462113739e-05 8.057824619961834e-06 4.756146621646922e-06 6.1484284890295045e-06 2.5474566167454743e-08 -1.5475204505663584e-07 6.619603229743139e-09
age2 2.6966460664204855e-08 -4.0192282693319747e-10 -5.027572748549725e-07 -6.9404303167359335e-06 5.011686974840018e-07 1.0713568454033227e-08 -6.99753395360859e-11 -1.0687534043722994e-08 6.980554662900576e-11 5.908559089878613e-08 4.774259944763168e-07 3.0537731931732905e-07 2.7770255552594474e-07 3.348321082325912e-08 -3.228996517813286e-07 -1.5591626706110866e-07 -6.176896413849023e-08 1.8664044360610488e-07 -2.2974125064573787e-07 -2.11564874690126e-07 1.621486081867844e-07 -1.4807485455952003e-07 4.758682585843292e-07 2.6486272987412334e-07 4.078483404718372e-07 1.0454938272363688e-07 2.526944238660737e-07 2.7704321069372204e-07 -6.201942615398996e-07 -6.484371036224883e-10 -5.138532615385841e-11 -4.494748841043442e-10
age3 -1.5444185089718657e-10 -1.9354484953672338e-12 3.1998350747617944e-09 4.297545011732824e-08 -3.193169018589007e-09 -6.997533953607894e-11 4.667896586507864e-13 6.977145836686918e-11 -4.653273605968278e-13 -8.697920776661469e-10 -3.798096977916479e-09 -2.4419648193167563e-09 -1.8939503222551705e-09 -1.9893850183081118e-10 2.151483780944555e-09 1.1272530527010342e-09 8.973328353967075e-10 -1.7521793228664407e-09 1.8159421331787616e-09 1.9520370250635954e-09 -1.1916333831391936e-09 1.2607571730061688e-09 -3.561545858037146e-09 -2.3842786396691965e-09 -3.1289400170487158e-09 -9.99417779232607e-10 -1.5918250372867577e-09 -1.58141977047988e-09 5.350218560025527e-09 8.673682956645245e-12 2.3679492158057435e-12 2.6271721793323868e-12
age2_sex -9.494771325571173e-09 9.003787917389648e-10 5.022248495322108e-07 1.2479678085890435e-05 -8.965601007435837e-07 -1.068753404376124e-08 6.977145836713032e-11 1.9104106123831715e-08 -1.247881639074843e-10 8.286876773904653e-08 -1.6707535026005765e-07 -4.313475611667083e-07 1.6008343182864117e-08 -2.0189106204590228e-07 4.779087735531448e-07 1.996819783327836e-07 1.234334779188728e-07 4.104986713868351e-08 7.578127747954059e-08 -1.1508336735937367e-07 -7.492860777443645e-08 8.939496013777564e-09 -8.453199538776202e-08 -3.6172236765099717e-07 -6.128140619681241e-08 2.484205057435838e-07 -2.076305922594561e-07 -9.997491127863943e-08 -3.7316965153773744e-08 2.703187337627345e-10 3.4907425740933946e-09 -3.902757604393678e-10
age3_sex 6.389534241388417e-11 -3.0494111182192312e-12 -3.198875781603784e-09 -7.75839301637354e-08 5.722452065134241e-09 6.980554662924621e-11 -4.653273605984721e-13 -1.2478816390746945e-10 8.317004667370919e-13 -4.100031561209171e-10 1.4557773785898192e-09 3.2213246989268838e-09 -3.5151681928814844e-11 1.3001267862822658e-09 -3.4786239101055544e-09 -1.1672162050219188e-09 -9.117222636232657e-10 3.6427216683448875e-12 -1.0128671976306848e-09 1.5898850085879786e-10 3.888250808577609e-10 -1.4699264063646456e-10 9.144350095077828e-10 2.625355255430519e-09 2.9694642314847587e-10 -1.2615026953956981e-09 1.464881834620394e-09 3.8164770445414406e-10 -1.776307114857819e-10 -6.629289744921163e-12 -2.3186910363443315e-11 4.226489011579123e-12
PC_3 3.583168087667304e-06 7.127447431838253e-07 7.32073098134664e-07 4.152978841661273e-05 -3.835691826687939e-06 5.908559089811093e-08 -8.697920776616814e-10 8.28687677399516e-08 -4.100031561269147e-10 0.02490089867371286 0.0007217254343639388 0.0016800270257813013 -0.00036560619562958586 -0.004254062413941766 0.0018284766291204132 0.003597037676339858 -0.003789639121514588 -0.00018842130797234235 -0.0012844245078019623 0.0005366978009743288 0.004904678766432741 0.002445507056456327 -0.0015568184550041409 -0.008953768181039557 0.0012496725555740042 -0.0010522582955917275 0.003049067006265883 -0.0004552233178785398 0.0046041819001273855 -8.87998643538582e-07 1.720762444205513e-05 1.7647305901265943e-05
