(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.000779321598750185 0.000615382906713915 0.000170861309014564 -0.000447891374552305 -1.24347395895734e-05 3.21148936040066e-05 -1.5566923539021e-05 2.40471506814187e-06 -8.91357424927711e-06 -2.79379227980074e-05
covarage 0.000615382906713915 0.00123870467785737 0.00118013464133793 -0.0019857360820833 -1.50364358581167e-05 2.97338923587874e-05 -7.09539842753569e-06 -1.445272375191e-05 2.91855932946304e-05 3.65257108044718e-07
covarsex 0.000170861309014564 0.00118013464133793 0.00203216338962812 -0.0028833472224495 -1.08296301380754e-05 7.30009708892388e-06 -2.95383869037058e-06 -5.41356619620769e-06 7.4922331681897e-06 1.80776708299368e-05
covarage_sex -0.000447891374552305 -0.0019857360820833 -0.0028833472224495 0.00485270650298625 1.0288217557769e-05 8.07950474753842e-06 7.49849050735272e-06 6.19516187558018e-06 -1.33855622364644e-05 -2.46905854942465e-05
covarPC_3 -1.24347395895734e-05 -1.50364358581167e-05 -1.08296301380754e-05 1.0288217557769e-05 0.000306063687203367 -2.56660316102492e-06 4.83320442603817e-06 -2.69310511625017e-06 1.08889323563961e-05 7.8007088478721e-06
covarPC_4 3.21148936040066e-05 2.97338923587874e-05 7.30009708892388e-06 8.07950474753842e-06 -2.56660316102492e-06 0.000321520493039486 4.36413697060301e-08 -5.99958052456359e-06 3.11030146290873e-05 -1.07097109205682e-05
proband -1.5566923539021e-05 -7.09539842753569e-06 -2.95383869037058e-06 7.49849050735272e-06 4.83320442603817e-06 4.36413697060301e-08 0.000361395572147143 -0.000180333363406442 -1.83988869065407e-06 -3.61875875891632e-06
maternal 2.40471506814187e-06 -1.445272375191e-05 -5.41356619620769e-06 6.19516187558018e-06 -2.69310511625017e-06 -5.99958052456359e-06 -0.000180333363406442 0.0017578679373843 -0.00131928048695587 -0.0014265424081233
gmm -8.91357424927711e-06 2.91855932946304e-05 7.4922331681897e-06 -1.33855622364644e-05 1.08889323563961e-05 3.11030146290873e-05 -1.83988869065407e-06 -0.00131928048695587 0.00345572168300856 -0.000844596302521806
gpm -2.79379227980074e-05 3.65257108044718e-07 1.80776708299368e-05 -2.46905854942465e-05 7.8007088478721e-06 -1.07097109205682e-05 -3.61875875891632e-06 -0.0014265424081233 -0.000844596302521806 0.00363974155581461
