(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal maternal
(Intercept) 6.71501061751011e-05 -9.0250924859711e-06 3.92086975672716e-05 -3.47926617927778e-05 2.18968180270127e-06 -1.83580029876871e-06 1.24682325193258e-06 -2.01333234360661e-06 -2.80976164096592e-06
covarage -9.0250924859711e-06 0.000185728820481577 0.000286839036545235 -0.000293774340459991 -3.71325748839914e-06 5.56895810871158e-06 1.25507563682429e-06 -5.38444499607648e-07 3.63794724935974e-07
covarsex 3.92086975672716e-05 0.000286839036545235 0.00093292121450346 -0.000894587841214551 -1.94930844000706e-06 2.97658995009252e-06 9.05471118338067e-07 -2.08064162425084e-06 -1.76401417804098e-06
covarage_sex -3.47926617927778e-05 -0.000293774340459991 -0.000894587841214551 0.000912340519028986 3.31350544030848e-06 -2.42560893277025e-06 -1.23617838256456e-06 2.12141851583207e-06 1.3238309255059e-06
covarPC_3 2.18968180270127e-06 -3.71325748839914e-06 -1.94930844000706e-06 3.31350544030848e-06 5.57110465691874e-05 1.19190377057623e-06 -1.4790759091933e-07 1.93871962565461e-06 2.27513982574983e-06
covarPC_4 -1.83580029876871e-06 5.56895810871158e-06 2.97658995009252e-06 -2.42560893277025e-06 1.19190377057623e-06 6.09402976613078e-05 -2.08615696294293e-07 -8.35907974392015e-08 8.66998432329422e-07
proband 1.24682325193258e-06 1.25507563682429e-06 9.05471118338067e-07 -1.23617838256456e-06 -1.4790759091933e-07 -2.08615696294293e-07 0.000152216191173115 -0.000101939131608654 -9.24689192564212e-05
paternal -2.01333234360661e-06 -5.38444499607648e-07 -2.08064162425084e-06 2.12141851583207e-06 1.93871962565461e-06 -8.35907974392015e-08 -0.000101939131608654 0.000257663364127109 -4.67408947737136e-05
maternal -2.80976164096592e-06 3.63794724935974e-07 -1.76401417804098e-06 1.3238309255059e-06 2.27513982574983e-06 8.66998432329422e-07 -9.24689192564212e-05 -4.67408947737136e-05 0.000239460673698434
