 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
PC_4 -4.805474418033788e-05 5.314879929740683e-06 -4.9202218322818616e-06 0.00038896219806027426 -1.9620461787672858e-05 4.94049155281587e-07 -4.160853973569801e-09 2.9421862602151124e-07 -1.3121926805114226e-09 0.0006771460630061114 0.10848495163317567 -0.004109473961195643 0.006640239104762399 -0.005565180238432263 -0.0016944419724563987 -0.0037052865110346156 -0.0019103039755576027 -0.007026108916691061 0.0022771865982875376 0.005061336039642409 -0.011507482998903603 -0.008811184574880901 0.00738751905358102 0.00650526201672031 -0.003251786525713409 0.002582829498587766 -0.004593619642411869 -0.0002868522199140793 0.0028390460721368273 -1.5028081564707963e-05 -1.96667969098503e-05 7.024983986621249e-06 3.078771557323854e-05
PC_5 3.8325047718751136e-06 -7.894307986516061e-07 -2.3654498629215613e-06 0.00016534161163670916 -2.4294745049515844e-06 1.824385407478402e-07 -1.8949019761095333e-09 -1.0110616822996606e-07 1.4803209525330514e-09 0.003249925237930039 -0.004109473961195675 0.14659273677890436 -0.005373277078817963 -0.009268748624824472 -0.0019172202786287668 0.00983960050981011 -0.011075744042222937 -0.0016077793137107383 -0.010209435779122398 -0.008791321676691902 -0.0011046101095762634 -0.01186614989972209 0.010294561543887562 -0.020247811385136875 0.007737764147241592 0.005525549194193346 -0.0014982176761488167 -0.0021354440018004467 0.012661223968037245 -7.00398829707659e-06 -5.043753908491588e-07 9.118516052149291e-07 1.075030453325471e-05
PC_6 -5.7728975575589016e-05 -9.940014054169202e-06 -4.1551661283016446e-05 0.00011614496419330193 -2.7133256401737237e-06 6.321172170971169e-07 -4.029525703423342e-09 4.465981155778855e-09 1.6976327933463845e-10 -0.0004666169343728235 0.006640239104762325 -0.005373277078817991 0.18045683308803492 0.005372189600647758 0.00756679934953037 -0.014423718945391246 -0.004240186104327851 0.00256851943660596 -0.008903621989176004 0.00351945375724716 -0.0003696300273815795 -0.014176099411806035 0.010222920223149754 0.01637214556727567 -0.007016725270447317 -0.0009250121386108566 -0.008862808413608307 -0.00233255189071454 -0.006514677201700998 -1.1763425853815572e-05 -4.888024788653064e-06 -2.0573622043584517e-05 -2.572243276585306e-05
PC_7 8.786499341765773e-06 -5.0661329072787904e-06 -1.8037390629157297e-05 -0.00022288960855937562 1.15935763435318e-05 3.5831387699656297e-07 -2.012942496819463e-09 -2.052123838573613e-07 1.213635355586752e-09 -0.006972592650925024 -0.00556518023843231 -0.00926874862482449 0.005372189600647747 0.2262750618304236 0.009523730175573227 -0.0022907404168733105 -0.009866105383780481 0.008880462387766845 0.005774774879350589 0.024283722891595656 0.005111796059345679 -0.02249113782279532 -0.01858661489530215 0.021104017893573853 -0.01074147577680929 -0.007920956096156019 -0.0020936254104171855 0.009154363018487889 -0.010615209317578436 -1.2130118741579246e-05 -1.965316224732652e-05 1.596008338699948e-05 9.544775777339627e-06
PC_8 -7.333846234267294e-05 -1.930340697778167e-06 2.9479543830988028e-05 -1.8658354754103223e-05 -9.822878357703127e-06 -6.984526324888663e-07 4.292842780813912e-09 3.59484007850268e-07 -3.0434222308022945e-09 0.0019441336908919288 -0.0016944419724563725 -0.0019172202786287488 0.00756679934953033 0.009523730175573208 0.2394496040709403 0.011742903218377534 0.009794855380170924 -0.0055161835832730115 -0.002367123447566379 -0.013623700165192303 0.008063954623346931 0.020826274346972748 -0.013477376391134662 0.009016874680923116 0.017332668468532295 0.004125485448760554 0.0008555839817439619 0.001972896534330555 -0.011763346501554769 3.637270839016061e-06 -7.82828783940207e-06 4.232732357218423e-05 1.674386942016797e-05
PC_9 8.826218215863246e-05 2.0710484696740795e-06 3.797190725888238e-05 0.000801364244854986 -4.8723040671644696e-05 -7.357914554120366e-07 4.49944510249602e-09 8.980392231325804e-07 -5.064067692129202e-09 0.005705490583937647 -0.0037052865110344443 0.009839600509810136 -0.014423718945391139 -0.0022907404168733443 0.011742903218377647 0.3272171232024166 0.006132398117275983 0.0028855492080819855 -0.02035443495927551 0.008340352559866263 -0.0023583662154242867 -0.0030454938123519884 -0.010904626152081254 -0.00702568773178176 -0.005977497436634131 0.0001039661166701475 0.0008087785920174159 -0.006507717099515084 0.01874099271597469 -2.7422122640296165e-05 -3.5219895349391886e-05 3.1456350601055524e-05 6.049786980684515e-05
PC_10 -6.505217551998918e-05 -3.036088281682565e-06 -7.150348693169337e-06 -0.00030223322027668335 1.779940555543638e-05 -2.7575190264290103e-08 7.736109482726687e-10 -3.125000316203447e-07 1.7096892857603915e-09 -0.004311454392894245 -0.0019103039755577079 -0.011075744042222935 -0.004240186104327758 -0.009866105383780476 0.009794855380170815 0.006132398117275802 0.3893533351063356 0.02083803094004455 -0.0061516705709946 -0.0008949970841658437 -0.0023880418429088747 0.014498226879123883 0.0015103481919557982 -0.002321346889209469 0.012388947431951536 0.0042188831299657835 -0.0028258582506417163 -0.001862110510086396 -0.010767875980236622 7.4780683457776595e-06 -1.3384775061649676e-05 1.8150712096867804e-05 6.925865517083763e-05
PC_11 -1.8772192899114466e-06 5.606354272326366e-06 -1.7257785957234033e-05 -0.0001608144673573199 1.6639172363021596e-05 5.821485772375795e-07 -4.394489157255197e-09 -4.061074357207308e-07 2.8117233853071896e-09 0.00037348615866846386 -0.007026108916691125 -0.0016077793137107498 0.0025685194366060022 0.00888046238776688 -0.00551618358327307 0.0028855492080819595 0.02083803094004455 0.3661237552753067 0.005876867762710883 -0.006112095658341089 0.02087899046445877 0.015988950581557405 -0.005698639957315041 0.010597782616142934 -0.009195640641734684 -0.005220239115843297 -0.0006026716978225896 -0.003946636282786859 0.022388592758972266 5.78985225135044e-06 -1.0024662785769704e-05 3.840297509546915e-05 1.6890253355748045e-05
PC_12 -9.959445017164636e-05 -3.0173356324995012e-06 3.765197041638284e-05 0.0005558486277453628 -3.72705030561141e-05 -9.510287313484585e-07 6.346462995132186e-09 8.013400756160277e-07 -5.42150197731364e-09 -0.0014513111953867808 0.0022771865982876057 -0.010209435779122346 -0.008903621989175974 0.005774774879350621 -0.002367123447566378 -0.020354434959275785 -0.006151670570994444 0.005876867762710996 0.41357018214353497 0.02034818458789141 -0.006293919439627902 -0.014349518594731442 0.005611641756751345 0.026725531706016853 0.010560674345708839 0.011221180468423995 0.012955615741475425 0.013994904856291422 0.004978830006502155 -1.4226669064809025e-06 7.445690177324139e-06 -7.053173388288489e-05 3.2937093517548956e-05
PC_13 -2.3072918171880773e-05 -5.9128539021505114e-06 9.123748546045343e-06 3.3502246953299165e-05 9.568748283434207e-07 -4.1781678437998327e-07 3.419806164778625e-09 3.550918947591505e-08 -6.959443125630257e-10 -0.00015414611902821285 0.005061336039642424 -0.0087913216766919 0.003519453757247074 0.024283722891595652 -0.013623700165192298 0.008340352559866275 -0.0008949970841658561 -0.006112095658341081 0.020348184587891432 0.43673685562513115 0.021026446806403094 0.006050966278843065 -0.008188197993124492 0.023262348296169324 0.007178410185649928 0.0009350553545715071 -0.02366663704471097 -0.019422848930517125 -0.004585484908733009 1.3516411080819454e-05 1.0763533933440235e-05 -7.423395802514221e-06 -5.240420901502864e-05
