(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.0396988260457257 0.034928594475701 0.0110237009956188 -0.0336747689002768 -7.91690844592826e-05 0.000409158380690779 -0.000947635128308965 5.81619553091135e-05 0.000911074016743429 -0.00101407751414716
covarage 0.034928594475701 0.045666701307439 0.0298230365562425 -0.0737057954008095 -0.000188553187550053 0.000274303328082261 -0.000220358879155151 -0.00072567506575956 0.00205006775540129 -0.000367282488704145
covarsex 0.0110237009956188 0.0298230365562425 0.0358050143116571 -0.0745056685833901 -0.000155620714534012 4.43035110333388e-05 -0.000147002657882905 -0.000577222140768494 0.00184213882574525 -0.000426460749816557
covarage_sex -0.0336747689002768 -0.0737057954008095 -0.0745056685833901 0.171648149014993 0.000351362338746855 0.000152237684307287 7.10200060573276e-05 0.00115571484580002 -0.0042887450036165 0.00144587842692497
covarPC_3 -7.91690844592826e-05 -0.000188553187550053 -0.000155620714534012 0.000351362338746855 0.00360801573729754 -9.45353875909874e-05 5.70093255074853e-05 2.06854881630682e-05 0.000311905270196824 -6.99601418800468e-05
covarPC_4 0.000409158380690779 0.000274303328082261 4.43035110333388e-05 0.000152237684307287 -9.45353875909874e-05 0.00349070601768241 -2.11645124564726e-05 0.000106352290020735 0.000101943111905405 -0.000234300696993164
proband -0.000947635128308965 -0.000220358879155151 -0.000147002657882905 7.10200060573276e-05 5.70093255074853e-05 -2.11645124564726e-05 0.00399219153327008 -0.00217841694385111 0.000190598195710256 0.000173051134519507
paternal 5.81619553091135e-05 -0.00072567506575956 -0.000577222140768494 0.00115571484580002 2.06854881630682e-05 0.000106352290020735 -0.00217841694385111 0.0188008989451889 -0.015582862526711 -0.0133022600403767
gpp 0.000911074016743429 0.00205006775540129 0.00184213882574525 -0.0042887450036165 0.000311905270196824 0.000101943111905405 0.000190598195710256 -0.015582862526711 0.0442012959886255 -0.0141324697444641
gmp -0.00101407751414716 -0.000367282488704145 -0.000426460749816557 0.00144587842692497 -6.99601418800468e-05 -0.000234300696993164 0.000173051134519507 -0.0133022600403767 -0.0141324697444641 0.040185532072872
