(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.00262506317829215 0.00129187898513089 -0.000679055522976942 0.0015611965461322 0.00010864413843854 4.81341967402239e-05 -0.000193442390531482 1.31180487073847e-05 -5.02441517069376e-05 -8.88102265799338e-05
covarage 0.00129187898513089 0.00305645715911675 0.0031690625055387 -0.00491121699359542 -6.81778265466099e-06 9.45282206619033e-05 -2.20168336156757e-05 -2.88500780308133e-05 0.00012691572629734 -2.54296630059165e-05
covarsex -0.000679055522976942 0.0031690625055387 0.00827298895418909 -0.0120236617347571 -1.75643911016378e-05 7.27516929679118e-05 -1.88443908458443e-05 -1.20855271371878e-05 3.2834112521471e-05 2.29750787963326e-05
covarage_sex 0.0015611965461322 -0.00491121699359542 -0.0120236617347571 0.0194030666333094 2.85571546749283e-05 -3.98942118910827e-05 7.22987407860154e-06 3.27735373613299e-06 -6.78166249141297e-05 -1.80360944450473e-05
covarPC_3 0.00010864413843854 -6.81778265466099e-06 -1.75643911016378e-05 2.85571546749283e-05 0.000922236855150595 8.94552064152358e-06 1.07898316630384e-05 -3.31771315596783e-07 6.94093720130079e-06 2.62456586144229e-05
covarPC_4 4.81341967402239e-05 9.45282206619033e-05 7.27516929679118e-05 -3.98942118910827e-05 8.94552064152358e-06 0.00100447982731206 5.15239843841477e-06 -1.90144259211132e-05 7.41064291807164e-05 -1.03804518350604e-05
proband -0.000193442390531482 -2.20168336156757e-05 -1.88443908458443e-05 7.22987407860154e-06 1.07898316630384e-05 5.15239843841477e-06 0.00109848668698879 -0.000520296980758146 -2.43101643832902e-05 -2.60066070968366e-05
maternal 1.31180487073847e-05 -2.88500780308133e-05 -1.20855271371878e-05 3.27735373613299e-06 -3.31771315596783e-07 -1.90144259211132e-05 -0.000520296980758146 0.00538946015837159 -0.00410983463268981 -0.00436309985735015
gmm -5.02441517069376e-05 0.00012691572629734 3.2834112521471e-05 -6.78166249141297e-05 6.94093720130079e-06 7.41064291807164e-05 -2.43101643832902e-05 -0.00410983463268981 0.0120088614501334 -0.0038281656385851
gpm -8.88102265799338e-05 -2.54296630059165e-05 2.29750787963326e-05 -1.80360944450473e-05 2.62456586144229e-05 -1.03804518350604e-05 -2.60066070968366e-05 -0.00436309985735015 -0.0038281656385851 0.0123908889679561
