 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
intercept 0.003484864461872767 -2.5099690242658527e-06 0.0008023474965090877 0.000828111536583719 -0.00010808317382495871 -2.481567911477095e-05 2.3933682431903855e-07 3.98480160367787e-06 -4.2989833740158604e-08 -0.0006553106293329874 0.0003203908645579089 -0.0006426977872590888 0.000395066167817707 3.681836204242903e-05 -0.00013967493971835202 0.000907960202885521 0.00028138631408706246 0.0010005805229792283 -3.0786853505216975e-05 -0.0009223317453370541 -0.002683770894943667 0.0004188018773253622 -0.0002940378207170086 -0.0005742413432469349 -0.0012759763114402328 -0.001107380982457046 -0.0001097534359339968 0.0022597775035782404 0.0022513114348443725 7.197653394144262e-06 -1.3033362007910938e-05 1.5813725241403237e-05 2.66177551996224e-06 2.0582199785838017e-05 -1.4585076305938786e-05 -2.7093985354578126e-05
yob -2.5099690242563808e-06 6.802819355623483e-07 5.4097608077850765e-09 -2.2380115107298735e-06 2.8303596281929768e-08 1.5302119393189407e-08 -1.575556408736143e-10 -1.9112451912584245e-09 4.053439323872335e-11 2.3045934068090875e-06 0.0001122455672285851 1.4967770701168902e-05 -8.322178129494264e-05 4.460281630050414e-05 -9.687920003969552e-05 -1.3436204135715428e-05 -3.7963813221393846e-05 8.738338382259048e-05 -3.1424424902460834e-05 -6.114411928610238e-05 5.290322107001236e-05 -4.041192453830144e-05 -7.998331672586145e-06 5.210724285989214e-05 3.8553500747244486e-05 -1.4004036630758099e-05 -2.3572687536078065e-05 1.1690879076980971e-05 -9.356118123130089e-05 1.0257647595214895e-07 -8.446141791890603e-08 3.445529926676879e-08 -3.207462543441218e-08 -1.4335569598524663e-07 -4.7694741651134785e-08 -3.989175807415232e-07
age 0.0008023474965085579 5.409760812155109e-09 0.000663670147952969 0.0073748231561618985 -0.0006629636282825016 -1.8489568897688932e-05 1.6141417560539644e-07 1.8473761983920874e-05 -1.613102545138112e-07 6.022165617664945e-05 0.00028422081996037993 7.897945078516004e-06 1.1220865511126019e-05 -0.0002163325490263658 0.00022344479113359383 0.00015841793973647654 -0.0005042772771754284 0.0002409122042402522 0.0011593209454572545 -9.640555288951245e-05 -0.0003626032230615127 0.0004101566653714824 0.0006072833194418166 -0.0005932024884935692 0.00012529097915218467 -0.0007708819939779826 -0.0002820793757562967 0.00013777382557952718 0.0007280158655185046 7.604805618968189e-07 -5.948474360787609e-06 1.0176445563712872e-05 1.7358780747531457e-07 1.3042849356019277e-05 -7.5972678742911305e-06 -6.73359269692104e-06
sex 0.0008281115365635431 -2.238011510219335e-06 0.007374823156153748 0.15781311009010016 -0.013730471439346945 -0.00020165363391125724 1.7329887934906308e-06 0.00037239264097900336 -3.179371873331941e-06 0.0014120896725935493 0.00567082296070707 0.0029468392144512876 0.0004369202098204664 -0.0017490075343704254 0.0028214317285382537 0.008768585191058496 -0.010160938340263792 -0.0055965865413279865 0.014944167736503183 0.0011268181490637756 0.003246310788530072 -0.005564082858270849 -0.003673570895587245 -0.01815123043667446 -0.0027449192900622713 -0.005889723614623815 0.002560012793542197 -1.3726863220536667e-06 0.0023038338543166226 6.983043770358987e-06 -1.9191146765376743e-06 5.4253975855647466e-05 5.6228503071408686e-05 -5.6316834554122654e-05 3.170345403294285e-05 -6.943013440291671e-05
age_sex -0.00010808317382291735 2.8303596259915385e-08 -0.0006629636282812258 -0.013730471439339663 0.0012197934312995085 1.8477213562639235e-05 -1.613595865191861e-07 -3.368141381576489e-05 2.919403587764922e-07 -0.00013169388429279977 -0.0005307856061598765 -0.00035950012672430033 6.422240765776457e-05 0.0002050453676855341 -0.0002350338439976309 -0.0008782327405656213 0.0008917422241239759 0.0005298905979347997 -0.0012985279742980704 -0.0001357287262476372 -0.00037286759364357796 0.00044646823598064116 0.0003391220554861746 0.0016713160732918695 0.00031463567602346584 0.0008390631330608071 -0.0001188167897691928 -7.663606395799812e-05 -0.000291965728059431 -1.7367642671671964e-06 9.823865712786637e-09 -4.980079572671322e-06 -5.480761375771461e-06 7.121767500784334e-06 -2.0435341396623254e-06 6.531610217873331e-06
age2 -2.4815679114740794e-05 1.5302119392350338e-08 -1.8489568897678632e-05 -0.0002016536339113422 1.8477213562662224e-05 5.25070785448514e-07 -4.6598095090516676e-09 -5.24485402677567e-07 4.655477263009818e-09 -1.6648336640104247e-06 -6.156184556116505e-06 -9.685074328713388e-07 -1.5736149610877046e-06 9.124139223770888e-06 -7.586433571227511e-06 -7.863364779781152e-06 1.0980564625627486e-05 -5.580164859267409e-06 -3.348766031831768e-05 1.3312652272872564e-06 1.1154391677958605e-05 -1.2564106849619473e-05 -1.4059452531559074e-05 1.8403717508989556e-05 2.8189693786308487e-06 2.5778688143924587e-05 5.385813921174246e-06 -8.924023118740398e-06 -2.1909305525407718e-05 -4.5696223095642556e-08 1.7143762406041498e-07 -2.6067910830213953e-07 -3.871933900294975e-08 -3.080282099446553e-07 1.6628006820627323e-07 2.172524085208954e-07
age3 2.393368243187776e-07 -1.575556408733061e-10 1.6141417560522565e-07 1.7329887934902674e-06 -1.61359586519288e-07 -4.659809509049481e-09 4.199016545606919e-11 4.655520973124224e-09 -4.1958077372556976e-11 1.3370185234787444e-08 6.328122034313785e-08 1.3508846437845769e-08 9.164412576235181e-09 -9.10736607195433e-08 5.826952618245031e-08 9.51814755038779e-08 -7.709243338627583e-08 5.8943907062004177e-08 2.8995843378120246e-07 -1.1339369068590018e-08 -1.0110927757399833e-07 1.098047896438301e-07 9.0561220777259e-08 -1.7277222988349932e-07 -6.527860877873199e-08 -2.5936087254365206e-07 -3.125052845328838e-08 1.1766477191487427e-07 1.966320745595888e-07 6.390426986388972e-10 -1.6296233934616773e-09 2.137427701432519e-09 5.671547657126428e-10 2.3622277510754962e-09 -1.2135989413083508e-09 -2.135231192826177e-09
age2_sex 3.984801603624977e-06 -1.9112451918260916e-09 1.8473761983871607e-05 0.00037239264097860416 -3.3681413815747184e-05 -5.244854026765513e-07 4.65552097311812e-09 9.461902727223535e-07 -8.32889942680085e-09 3.865501008303212e-06 1.5403569016298338e-05 1.226269304810512e-05 -3.8082712720938606e-06 -7.375137258997647e-06 6.013228420570915e-06 2.7152188955089612e-05 -2.381640068641936e-05 -1.4447663823076304e-05 3.5615567990419655e-05 4.881998423392496e-06 1.1890411624487486e-05 -9.92686673039484e-06 -1.0001451921105777e-05 -4.7612744695645316e-05 -1.1474386722903274e-05 -3.120472323806909e-05 1.7785091462094926e-06 4.021809290016013e-06 1.087424389105928e-05 8.304753624259044e-08 -1.4107347197989806e-08 1.3402578225690596e-07 1.4931698987920583e-07 -2.126824719058102e-07 5.0542376635782657e-08 -1.836677381333764e-07
age3_sex -4.29898337394014e-08 4.0534393225262255e-11 -1.6131025451327552e-07 -3.179371873326878e-06 2.9194035877619657e-07 4.65547726299792e-09 -4.1958077372477244e-11 -8.328899426796924e-09 7.440018524270811e-11 -3.7290989630977354e-08 -1.372601044210933e-07 -1.2089395829140472e-07 4.3582514487631466e-08 8.178307564130383e-08 -4.7186679067297216e-08 -2.558318145766158e-07 1.9540184075808056e-07 1.1535803637710606e-07 -3.075831513000418e-07 -5.226804059523012e-08 -1.143907845888508e-07 6.537470077448762e-08 9.508128679828633e-08 4.2534862588508333e-07 1.2193051682604561e-07 3.2730069189802215e-07 -1.0355189300745065e-08 -5.191123247092754e-08 -1.2429698279700345e-07 -1.0534555517052087e-09 3.804388884704548e-10 -1.1720340299506224e-09 -1.325678224802791e-09 1.7867185215811612e-09 -3.809390294892407e-10 1.6270187973986564e-09
PC_3 -0.0006553106293332733 2.304593406813467e-06 6.022165617616821e-05 0.0014120896725855286 -0.00013169388429218093 -1.6648336639987331e-06 1.337018523469844e-08 3.865501008288625e-06 -3.729098963087023e-08 0.15321460117554775 -0.026809779913829792 0.008211812430455765 0.02279078051184237 0.0178316073217519 0.0051110177455470735 0.013493990204169451 -0.026918174649467864 -0.015578991364118324 -0.011322170630958701 0.03539496254373409 0.004467603351217218 0.04555395762972757 0.013831557355114855 -0.091632651047791 -0.02176494766974433 -0.018672795003875677 0.021358869861699794 -0.03094960732351782 0.0628241836197706 -4.5148106139091645e-05 -2.1229052358730737e-05 -8.607575060993942e-05 0.00015308525515112125 0.00026153360714148796 0.0002705574565100519 0.00011419453262284969
