 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 2.9116423574399392e-05 3.9909676529171104e-07 1.580429744999752e-06 -3.561266828158353e-08 2.565271549044945e-10 7.153815698040363e-05 -0.00013131610366896813 -6.264186609427054e-06 -0.00012846660540014902 3.4277846091607574e-05 -0.00014665500235345357 0.00020152821797356915 -0.0001306770981845921 -1.7862150179017293e-05 -0.00021011709765842188 3.9139410534990706e-05 -4.4534376383884574e-05 -0.00015627872954856233 -4.388012811912125e-05 -8.221847166935495e-05 -6.120275447678246e-06 5.839876264965386e-06 -9.962673764829149e-05 -0.0001538180170622007 0.00014288229193595386 1.104582452895375e-06 1.82567780288214e-06 -2.618806330595568e-06 -2.381590469888751e-06
yob 3.990967652917353e-07 3.1680398654615936e-07 1.6500859273615474e-07 2.229025545780492e-09 -1.6576280289535038e-11 2.9718695347451337e-06 2.3460144991633563e-05 1.0068948378016895e-05 -2.5111094410905533e-05 -1.7493619625518775e-05 -5.098368706142899e-06 4.276755764367702e-06 -1.426936565706967e-05 1.7776556348699732e-05 -1.151012238756367e-05 -2.0828447611237854e-05 2.6742892090707707e-05 -1.9975095178854697e-05 -9.162572761072431e-06 3.13809712263348e-05 1.172451603117107e-05 6.89147536488555e-07 -5.235720491348493e-06 1.8695159926494956e-05 -4.140587093186595e-05 -4.497557893987193e-08 -4.16087807836793e-09 -3.770788150086294e-08 -3.539856389206915e-08
age 1.5804297449982582e-06 1.6500859273600323e-07 1.7703777524112067e-05 -3.7389292497926007e-07 2.4148297227592508e-09 -1.3356516792352868e-06 -1.559298993971917e-05 5.826331774483581e-06 -3.423462110991464e-05 1.5513931641763757e-05 -1.4337429980608016e-05 -3.5229392754010032e-06 -3.598624710452292e-05 1.9198255762485516e-05 2.6618189162834124e-05 2.6382604283806522e-05 -1.648510130886993e-06 2.516352514788685e-05 -2.2487668839398803e-05 3.2193855694644856e-05 1.4670343200515523e-05 -3.905881957444312e-05 2.019205983743919e-05 2.1259214332716384e-05 3.4992409153070155e-05 5.626037530030501e-07 5.501807679856067e-07 -7.78683730260343e-07 -8.881302567441399e-07
age2 -3.561266828154455e-08 2.229025545783877e-09 -3.738929249792486e-07 8.30939981377929e-09 -5.5253765280786593e-11 2.1093532849331188e-07 1.111996854114128e-06 2.6599109346096075e-08 2.3703820990670086e-07 -3.2212456321117136e-07 2.7181300400787094e-07 -5.586142777008407e-08 3.1231241520490886e-07 1.2437303745958855e-08 -8.597850579958754e-07 -8.938583045751258e-07 4.534925449503342e-07 -7.341840297518226e-07 4.213022209562779e-07 -1.0011872563992714e-07 2.3112120349077496e-07 8.626956486610037e-07 -5.033785910202982e-07 -3.6334538669071447e-07 -1.640503866163074e-06 -1.1164848886310324e-08 -1.0699276587387715e-08 1.481963294531028e-08 1.4297085042551333e-08
age3 2.56527154904564e-10 -1.6576280289556235e-11 2.4148297227591193e-09 -5.525376528078547e-11 3.759846674821146e-13 -2.399722873697454e-09 -8.072453772168802e-09 1.200430222757634e-10 -1.837742257446295e-09 2.0237183846571066e-09 -2.8226271458340427e-09 1.3542503744025701e-09 -1.0934235367746354e-09 -7.578167691714656e-10 5.123370269557246e-09 5.596640064722141e-09 -3.0382514546975744e-09 4.056096174179021e-09 -3.803884444351572e-09 -3.608368950229717e-11 -3.553200395639107e-09 -5.786567523684502e-09 2.8337197444020076e-09 2.8226061490418705e-09 1.232995802961909e-08 6.495507469456954e-11 6.480110439584342e-11 -9.084582438981027e-11 -7.572144117861059e-11
PC_3 7.153815698040444e-05 2.971869534745228e-06 -1.335651679228552e-06 2.1093532849316712e-07 -2.399722873696526e-09 0.06957579012977963 0.0014428215622426068 0.005577487765311606 0.0021090878713280288 -0.013675524026634564 0.003802106434567299 0.013120047256989035 -0.006903786860819912 -0.0021096379058800404 -0.0010262585170757025 0.004551993980600909 0.01286608144617763 0.008039687011219467 -0.004745997418386831 -0.02519669294032955 0.0017960044351038296 -0.0006617747849698527 0.00629772360979735 -0.004307700611843439 0.017599020232182735 1.550210993743278e-06 -1.233143408012568e-05 6.505895317804557e-05 6.0407048668773065e-05
PC_4 -0.00013131610366896247 2.346014499163399e-05 -1.5592989939710997e-05 1.1119968541139792e-06 -8.072453772167955e-09 0.0014428215622425918 0.235724249944894 -0.01577013854186168 0.012880057225076734 -0.01808275316076902 -0.003247151092964323 -0.007462787227556321 -0.0027066972058607535 -0.01904921471825118 0.007041092743182608 0.014775019180079063 -0.030178906495143123 -0.016895069264925722 0.016128920543364223 0.012527653402759752 -0.004652713132827487 0.00917276266671008 -0.008047866682060242 -0.0019203884690674289 0.01007017143849951 -3.101652870925818e-05 -4.0378886113588876e-05 -4.333217343333714e-06 8.239700277988565e-05
PC_5 -6.264186609426745e-06 1.0068948378016885e-05 5.8263317744886405e-06 2.659910934598429e-08 1.200430222764998e-10 0.005577487765311606 -0.015770138541861694 0.3208851795319672 -0.009380911266467342 -0.01904717672442622 0.0002511190715893214 0.015540575587734605 -0.022076123928248863 -0.001857153096358223 -0.02126373872937907 -0.020295219749147796 -0.0014814675101929966 -0.027604534687421623 0.023314293910052936 -0.03891080072682439 0.00945593246000412 0.008999869586196094 0.00270310997541224 -0.006921701527667693 0.030809621821611323 -5.687486994577178e-06 2.7659669797137788e-05 6.568153491420352e-06 -2.8807840803688725e-05
PC_6 -0.00012846660540015217 -2.5111094410905306e-05 -3.4234621109930846e-05 2.3703820990705172e-07 -1.8377422574487281e-09 0.0021090878713281285 0.01288005722507679 -0.009380911266467338 0.38509507801511833 0.008274635387416756 0.02514628769303939 -0.03653626772294286 -0.008960685447050898 0.010003817937584876 -0.02136321058612946 -0.0002990973404585513 -0.0006545045053311706 -0.033098491309791374 0.0219142444733339 0.041194120471027586 -0.015639181734051537 -0.002412713624922956 -0.014030020913576236 -0.0038492681313966417 -0.021058331258475255 -3.055188659079954e-05 -1.8359182633580742e-05 -4.883492977039212e-05 -7.427908960719707e-05
PC_7 3.4277846091607506e-05 -1.7493619625518964e-05 1.551393164176934e-05 -3.221245632113056e-07 2.0237183846580364e-09 -0.01367552402663457 -0.01808275316076905 -0.019047176724426216 0.00827463538741679 0.4791906320676018 0.024615262767585504 -0.0010359498525120106 -0.025230649349710414 0.028660511775389544 0.0013233618241293447 0.0474247769817011 0.012984426529089531 -0.0521864408453728 -0.04255443869467763 0.043285436892439924 -0.014206722390172268 -0.019121208451610996 -0.00041634859006422516 0.01758472863867954 -0.028402283633489595 -9.911624621609434e-06 -2.8552146766498518e-05 3.565580462416387e-05 -2.3500043479028e-05
