 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 1.008563671348727e-05 3.123252687042438e-08 -2.418224498164038e-06 -6.91355279948731e-06 4.5474784455714437e-07 4.7383469790678597e-08 -2.7785121251460884e-10 -9.771644230503877e-09 6.50425244430712e-11 3.356303968915844e-06 -3.466607159191883e-06 2.7838129001509245e-06 -3.6839303762850306e-05 4.9328168929184686e-05 -6.872829370783791e-05 4.5921921774779325e-05 -4.166526155165668e-05 -3.558978082546702e-06 -7.58451146657022e-05 -6.744954577418896e-06 -1.7531665384703894e-05 -5.021615424800956e-05 1.3292394931879792e-06 -3.5414231355243404e-05 -3.0077078077161677e-06 2.9575689847910106e-06 -4.2245282844228534e-05 -4.779668051907325e-05 6.505422227613351e-05 3.336347672555959e-07 -2.444876817969711e-07 -4.2470313004733216e-07
yob 3.1232526870447526e-08 9.780028617687565e-08 1.6635695780432196e-07 4.6048537744269407e-07 -4.814928531506987e-08 -9.000918444679207e-10 9.649383713988637e-13 6.91362899034275e-10 -1.7366158401728798e-12 7.288793711270042e-07 7.030077779364443e-06 5.041518220993226e-07 -6.924657545831005e-06 -1.5260534998910902e-06 -3.2025331322081433e-06 1.9263783125328133e-07 -2.50938433446923e-06 4.555354413001518e-06 -1.8857985676275282e-06 -4.312007453218798e-06 5.900163654244313e-06 -5.381808511179704e-06 -2.632776187033512e-06 8.399105912481309e-06 2.6709542529607683e-06 2.151991435779209e-07 -2.1496630914874687e-06 2.9076440839217318e-06 -1.1484066482839754e-05 5.381421145023991e-09 -1.4487328717495447e-08 -2.0771345418224055e-08
age -2.418224498152363e-06 1.663569578039799e-07 3.460819416185342e-05 0.0005072577364349683 -3.4264565505983725e-05 -6.989712046730373e-07 4.391326988003712e-09 6.957126311070155e-07 -4.374353309466673e-09 2.432711155295071e-06 -5.926211504769356e-06 -1.0185615773560466e-05 -2.799674302140094e-05 -1.6354136643078531e-06 8.925933518228151e-06 1.4630360766790652e-05 -4.6090230899098626e-07 -1.0259166981629508e-05 7.595992159065688e-06 1.8986453556983387e-06 1.5180763108704917e-06 -4.2557902500408126e-06 -3.00369658262272e-05 2.0793770620151902e-06 -6.106613692073075e-06 -4.134441381652538e-06 -2.9155193186174988e-05 -6.502836893225291e-06 1.1151575990713127e-06 1.8609996702923858e-08 1.8435962343973706e-08 -1.062501467668867e-07
sex -6.913552799887294e-06 4.6048537744226695e-07 0.0005072577364337111 0.014156570734301504 -0.0009209778963985336 -9.999789735089216e-06 6.15575416349688e-08 1.8251662560326375e-05 -1.1272893274329412e-07 3.459208654812429e-05 6.202011329000538e-05 -0.00011273367229881968 -2.610739749574029e-05 -0.00014340551066242255 0.00017906575830992314 0.00029018812744424963 -5.176406630489703e-05 7.887914169950887e-06 0.00013477889304614816 -0.00017215121975960447 0.00018862516681166804 -2.991457398383217e-05 -0.0001026633134982446 -9.538620816001875e-05 0.0001426612878258922 0.000248786714331485 -0.000273980528007493 0.00020151422939327648 -9.687328823277714e-05 -1.7064384929716503e-06 3.0263491273164428e-06 -1.4297097063473982e-07
age_sex 4.54747844569212e-07 -4.814928531523299e-08 -3.426456550591252e-05 -0.0009209778963988945 6.214880562604283e-05 6.949740319669722e-07 -4.371801262185689e-09 -1.264143998478124e-06 7.963863456827362e-09 -3.317527193498453e-06 2.2512093180359386e-06 1.4241242487101e-05 2.6446173486477772e-06 8.53673764222687e-06 -1.7811080525940746e-05 -1.8147013735702677e-05 -5.379251269159167e-07 3.3399192025261387e-06 -1.1876039434838085e-05 8.402864552004552e-06 -1.1991608358265308e-05 1.947037369114433e-06 8.291776379893532e-06 1.0274291358700424e-05 -7.613938314187352e-06 -1.6393350082572195e-05 2.1725786914184184e-05 -1.1616919628867727e-05 2.467469204356685e-06 6.410473756606396e-08 -2.15061870901556e-07 6.650376815041566e-09
age2 4.73834697904342e-08 -9.000918444707185e-10 -6.989712046732063e-07 -9.99978973511876e-06 6.949740319686977e-07 1.451542581347543e-08 -9.309264606795664e-11 -1.4451909866615954e-08 9.270088027994969e-11 2.8922245393109756e-08 4.5155142944999434e-07 3.2521403781248874e-07 4.1999847526439083e-07 6.509209436790762e-08 -3.143070817128216e-07 -3.105122091030144e-07 -1.5050222872299147e-07 3.863571205124073e-07 -3.011155730960114e-07 -2.4614223279949333e-07 9.61386425771672e-08 -8.206075167077186e-08 6.348189170049271e-07 2.2826596434558138e-07 2.7704618426209294e-07 1.339981709215881e-07 5.322591542397215e-07 1.666033808140804e-07 -4.716842258778938e-07 -1.0379740677171323e-09 -1.050987383509313e-09 1.789502378186334e-09
age3 -2.778512125160169e-10 9.64938371453443e-13 4.391326988005642e-09 6.155754163517623e-08 -4.3718012621979855e-09 -9.309264606797403e-11 6.075117279914319e-13 9.268961357125028e-11 -6.048529505032094e-13 -7.01486730239803e-10 -3.669868786177552e-09 -2.573524955825544e-09 -2.7501770508639765e-09 -3.95857453140927e-10 2.1053704926943213e-09 2.0390946157096145e-09 1.462335444702698e-09 -2.9822712322108447e-09 2.2467040902970454e-09 2.224544974960658e-09 -7.794952909060641e-10 8.524997130661488e-10 -4.5298481623415e-09 -2.186610864805275e-09 -2.378019692656519e-09 -1.1548673137077895e-09 -3.2915829495997108e-09 -8.969117129743798e-10 4.524514895093561e-09 1.1065822315053623e-11 8.46770591195071e-12 -1.08630702651702e-11
age2_sex -9.77164423064271e-09 6.913628990326969e-10 6.957126311057764e-07 1.82516625603395e-05 -1.2641439984785122e-06 -1.4451909866585143e-08 9.268961357102711e-11 2.627959973146333e-08 -1.6859987805268875e-10 7.225189536139622e-08 -1.3319746372964123e-07 -3.8958328572659527e-07 -6.558738938769839e-08 -1.726151188684722e-07 4.584594315822512e-07 3.501585247627903e-07 5.327996567648853e-08 -1.246018700992025e-07 3.160358440996295e-07 -6.081401089328886e-08 2.3281143391301474e-07 -1.591881836156063e-08 -2.2030402714923384e-07 -2.966278778773288e-07 1.4496315078588465e-07 2.8889945315377674e-07 -4.641286656023363e-07 2.3228096681937515e-07 3.1980445017868344e-08 -3.972710252538895e-10 4.556615292584429e-09 -3.4454864505778774e-10
age3_sex 6.504252444154562e-11 -1.7366158402232217e-12 -4.374353309460027e-09 -1.1272893274340602e-07 7.963863456831792e-09 9.270088027977756e-11 -6.048529505019408e-13 -1.6859987805272908e-10 1.0995259403424722e-12 -3.4464769807150614e-10 1.2537020331853032e-09 2.9849544222016843e-09 4.782133437537745e-10 1.1349879486190592e-09 -3.39328049864693e-09 -2.0335831995451914e-09 -4.888164920873653e-10 1.0354986372453932e-09 -2.4710805929699226e-09 -2.439702664138269e-10 -1.4354392690924057e-09 -1.6653155721010014e-11 1.704912154150584e-09 2.2815605796346863e-09 -9.54655579096073e-10 -1.5092668805303397e-09 2.9633638135333134e-09 -1.7098816419475134e-09 -5.903026803713736e-10 -2.939197714415051e-12 -2.938130554486702e-11 3.838767304973397e-12
PC_3 3.3563039689166183e-06 7.288793711269285e-07 2.432711155262633e-06 3.4592086547590516e-05 -3.3175271934599044e-06 2.8922245393794238e-08 -7.014867302442568e-10 7.225189536057136e-08 -3.446476980660906e-10 0.02532527436999584 0.0007322232778782068 0.0017097125660170377 -0.00032706553349911525 -0.0043748901893874825 0.0019518376634086521 0.003700894457861164 -0.0038875436704660844 -0.00021543601684243234 -0.001378201026810131 0.0005672721077546132 0.005033834959738881 0.0025414026935021996 -0.0017140607662760932 -0.009331542534670164 0.0012754856747331127 -0.0011750461636507003 0.0031509699133185614 -0.0005037949305328692 0.004789945545593339 -5.354379756645267e-07 1.7667347791351147e-05 1.7788104148392367e-05
PC_4 -3.4666071591862263e-06 7.030077779364091e-06 -5.9262115048744424e-06 6.202011328757961e-05 2.251209318202116e-06 4.5155142945214104e-07 -3.6698687861911535e-09 -1.3319746373306515e-07 1.2537020332071104e-09 0.0007322232778781908 0.08562596277530925 -0.0024773703778727747 0.005339659579769321 -0.0035174685617142027 -0.000585670796576839 -0.0029653158547332543 -0.0007387166265530373 -0.005949594726483111 0.0016446569387981165 0.004394103627150692 -0.008623394501590229 -0.0059812736234023415 0.006280386262181613 0.005249857047202566 -0.002888364617112924 0.002261849251386263 -0.0038526601033981762 -0.0003225860107598072 0.0032298918016818315 -4.373247052605232e-06 -2.1909683385646597e-06 9.135902054873072e-06
PC_5 2.783812900153505e-06 5.041518220990469e-07 -1.0185615773608237e-05 -0.00011273367230053926 1.424124248721196e-05 3.252140378133905e-07 -2.573524955830889e-09 -3.895832857287729e-07 2.984954422215005e-09 0.0017097125660170168 -0.002477370377872822 0.11296633852935163 -0.002898780678110669 -0.004453545489742193 -0.0009995483861431913 0.004994154709655573 -0.008244561824066918 -0.0013820673388897978 -0.008912757138294322 -0.006387479660772088 -0.0006577110259362316 -0.008040173795434811 0.006794024378662204 -0.014230797672913712 0.005084773718305548 0.0033232256360181617 -0.0013397588318452165 -0.0015147456793043108 0.008602176600207123 -8.68243554603917e-06 1.3556973971541422e-05 7.007857282038873e-07
PC_6 -3.683930376285129e-05 -6.924657545831243e-06 -2.7996743021447115e-05 -2.6107397497414852e-05 2.644617348757314e-06 4.19998475265264e-07 -2.7501770508691646e-09 -6.558738938986702e-08 4.782133437671153e-10 -0.00032706553349916187 0.005339659579769287 -0.002898780678110659 0.14271876495220598 0.0030785945163586503 0.004912377586882858 -0.006712057876302332 -0.0043808532752729785 0.0028079912659294774 -0.006936051988809836 0.001112618016500604 0.0003635967418269036 -0.011766415747756843 0.0075961747293008695 0.013044450927196692 -0.0042596278048046285 0.00015263709741033849 -0.006428300029697691 -0.0020770167246238636 -0.00512280385508853 -8.573564193502612e-06 -2.4174609825319788e-05 -1.7794170860159455e-05
PC_7 4.9328168929184625e-05 -1.5260534998909756e-06 -1.6354136641754282e-06 -0.00014340551065918306 8.536737641999697e-06 6.509209436512762e-08 -3.9585745312294304e-10 -1.7261511886370467e-07 1.1349879485882444e-09 -0.004374890189387484 -0.003517468561714246 -0.004453545489742277 0.003078594516358637 0.17823805955901348 0.006654442655751231 -0.0009289693684684936 -0.007652605406311076 0.0072681750175422645 0.005203190296462902 0.017626460344913542 0.005288209935435393 -0.01761301632997047 -0.012873067719228694 0.015164170184461251 -0.007351815607438169 -0.00521537331956785 -0.0011358188946871389 0.0066288877092361975 -0.007741354278115716 -4.115953121703469e-06 2.397665478347048e-07 -5.03630097832911e-06
PC_8 -6.87282937078301e-05 -3.2025331322082098e-06 8.925933518168176e-06 0.00017906575830873108 -1.781108052585517e-05 -3.143070817115401e-07 2.105370492685922e-09 4.584594315804293e-07 -3.3932804986350443e-09 0.0019518376634086614 -0.0005856707965767946 -0.0009995483861431425 0.004912377586882833 0.006654442655751163 0.1915254858051325 0.00825910614348634 0.007751248332225649 -0.003151626092402277 -0.0025140357348914974 -0.008875953209839749 0.006184744383280721 0.016804454101427536 -0.010528872918432994 0.006341508385849689 0.013035212400900418 0.002640855503336262 -0.00027389184042913374 0.0012830842960888083 -0.008203005438776268 7.878263582558955e-06 2.011794609913065e-05 1.3305889744302056e-05
