(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal maternal
(Intercept) 0.000123946201373735 3.31916545768317e-05 1.65001089019303e-05 -3.69431082163336e-05 1.23962990773618e-05 -1.22881144447259e-06 8.79355379537483e-07 -2.72768590404104e-06 -7.06011208837637e-06
covarage 3.31916545768317e-05 0.000359522856899654 0.000504518043205247 -0.000575973305096806 -1.38601732705839e-06 9.53220604640357e-06 6.65370703872548e-07 -5.15113376245872e-06 3.25649259922754e-06
covarsex 1.65001089019303e-05 0.000504518043205247 0.00122709354904121 -0.00127389879640754 -4.81220371933867e-06 6.20072499076723e-06 1.49125458386997e-06 -7.33620491120576e-06 2.25953495377539e-07
covarage_sex -3.69431082163336e-05 -0.000575973305096806 -0.00127389879640754 0.00146596109560166 6.0349843854754e-06 -4.30117734844512e-06 -2.46899538969164e-06 7.28840196539546e-06 -1.06774377494605e-06
covarPC_3 1.23962990773618e-05 -1.38601732705839e-06 -4.81220371933867e-06 6.0349843854754e-06 0.000113884536910909 4.67071649393023e-06 -8.52853938078366e-08 3.80830966577621e-06 3.80229792607662e-06
covarPC_4 -1.22881144447259e-06 9.53220604640357e-06 6.20072499076723e-06 -4.30117734844512e-06 4.67071649393023e-06 0.000124460927554055 -9.36125992882675e-07 -5.48512471936613e-07 2.4862300600585e-06
proband 8.79355379537483e-07 6.65370703872548e-07 1.49125458386997e-06 -2.46899538969164e-06 -8.52853938078366e-08 -9.36125992882675e-07 0.000309832043428758 -0.000204839534259969 -0.000187000419664444
paternal -2.72768590404104e-06 -5.15113376245872e-06 -7.33620491120576e-06 7.28840196539546e-06 3.80830966577621e-06 -5.48512471936613e-07 -0.000204839534259969 0.000413727392584571 -2.115130834314e-07
maternal -7.06011208837637e-06 3.25649259922754e-06 2.25953495377539e-07 -1.06774377494605e-06 3.80229792607662e-06 2.4862300600585e-06 -0.000187000419664444 -2.115130834314e-07 0.000377894972286703
