 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
intercept 0.017519382956451758 -1.357833404207483e-05 0.002882842650982964 -0.004338338369652881 0.0001522440071788509 -9.691738371503267e-05 9.941776827842368e-07 2.461148996882925e-06 -7.708576607410796e-08 -0.003726488183016506 0.0014126236133117926 -0.003962246381658877 0.0015865650986731834 -0.002062881933448491 -0.0033493370224122495 0.004456030727195599 -0.0032216355657931316 -0.0004959377656533667 -0.004659586949957298 2.2282866579092147e-05 -0.007827278059840587 -0.0005967502002944698 -0.0054380463105037965 -0.003078376659480796 -0.008786973511286468 -0.007753006824458851 0.0030994102471586745 0.012056288510133541 0.014437699270658298 3.1340481951441146e-05 -0.00013796976962365782 3.3691588876472894e-05 0.0001494085642982739 0.00012874517742542127 -7.709134664174268e-05 -3.58620537352226e-05
yob -1.3578334042088464e-05 4.419098218288377e-06 4.401449016253445e-06 2.3180895032846847e-05 -2.827174344876281e-06 -2.012401058071706e-08 6.7380749928795205e-12 6.860573708738455e-08 -4.3919862413910306e-10 1.4463828012523508e-05 0.000748594004079785 0.00015029770423042728 -0.0005217905843648053 0.00023723662349339625 -0.0006254513878273505 -9.84888238597711e-05 -0.0002674118476304517 0.0005525174127164691 -0.00014441853136673167 -0.0004072085982586691 0.00030979457204173376 -0.00030635416872346283 -5.5005838939280004e-05 0.0003584786162066899 0.00022633709277276282 -6.718618137116622e-05 -0.00017636747864458369 9.544594537784704e-05 -0.0005748011545843569 5.039800568042799e-07 -3.4078769051816373e-07 -5.172806939293054e-08 -2.85493890994166e-07 -8.762605493457612e-07 3.4715551239997776e-07 -2.429603790527895e-06
age 0.0028828426509898107 4.401449016250064e-06 0.0019341778923016115 0.01952757020062333 -0.001856991442959848 -5.606694378293583e-05 5.051921091250816e-07 5.4024777520193164e-05 -4.877458298846619e-07 -5.419963850434616e-05 0.0013795296785238413 -0.0003689501005170109 0.0006607967981341828 -0.0007070831781407338 0.0007498351864330733 1.4835046567149098e-05 -0.006015042000713967 -0.0013138887044860353 0.003758676033075332 0.00035288524448558997 0.0006610700748580178 0.0005774793358464654 0.0028478953878693916 -0.0009189185053557472 -0.00022348312092306292 -0.0031486077551239914 0.0020396947690035387 -0.000797108853565444 0.0014181451164928902 1.547775608933978e-05 -1.9798451421846192e-05 2.409620681063032e-05 0.00012958746675906683 -6.837152541011471e-05 -7.641993888870047e-05 1.3786590476609024e-05
sex -0.004338338369469156 2.3180895031899583e-05 0.01952757020068397 0.4943722463441341 -0.043819446188340924 -0.0005489456274255246 4.828596681594823e-06 0.0012069879813965045 -1.0438794620947607e-05 -0.0023322887635759807 0.02129895848255151 0.024618844315993944 0.017732493584511684 0.016573950659470735 0.024435217695778288 0.030600644255919945 -0.1122331530189228 -0.044831950611750764 0.06861103378981363 0.00668547480545398 0.019664564655341575 -0.03851062562172402 0.004402590901810398 -0.07361277815690166 -0.0042341124487902644 -0.035216456205101804 0.05446622457940137 -0.027406388786598276 -0.026203610094806696 0.0001370683939212535 0.0001948514973894662 -1.511807649631098e-05 0.0023920370609621946 -0.002559549022104497 -0.0004076444677674534 0.00015794944673422134
age_sex 0.0001522440071611565 -2.827174344839356e-06 -0.0018569914429656016 -0.0438194461883358 0.004020155671405063 5.403265947332558e-05 -4.883763932717994e-07 -0.00011392331411823118 1.0083639199618568e-06 7.521435892661333e-05 -0.002185480700375613 -0.0026042268359761705 -0.0012686338322439178 -0.0010100451786057701 -0.0021766742488044 -0.003034567503026752 0.009871598655060732 0.004439466466223963 -0.005842584913459554 -0.0006888564006318434 -0.00233365899609633 0.0031829606676177426 4.570262333983531e-06 0.006934184895392961 0.0007614109444995313 0.0044100796847188935 -0.004582704954924692 0.0021056323099645368 0.0016169049668328646 -1.8647700561831354e-05 -1.7528828629956713e-05 -1.8248379208724556e-06 -0.00020973145046161538 0.0002323696699487134 3.9965476980534484e-05 -9.302735226787819e-06
age2 -9.691738371525172e-05 -2.0124010578778564e-08 -5.606694378294156e-05 -0.0005489456274237195 5.4032659473154905e-05 1.6781966038862471e-06 -1.550977147774535e-08 -1.6207006144426477e-06 1.500710858977091e-08 1.1882186138198512e-06 -2.8366758755468848e-05 7.1422069786695225e-06 -3.358876859057043e-05 4.193043744534605e-05 -3.682738845186561e-05 -1.2174507347334507e-05 0.00015145271065471652 4.871827022036673e-05 -0.00011090009900093882 -2.1229306129982925e-05 -1.2523105526460148e-05 -2.2797944349526443e-05 -6.4080939778133e-05 3.54680972983856e-05 3.489284935258101e-05 0.00011239908232624484 -7.280411520878522e-05 -5.088975818756952e-06 -5.421731132872741e-05 -5.348474997840383e-07 5.944376273822937e-07 -6.214740474286496e-07 -3.7128103908758495e-06 2.082872654019689e-06 1.8827294081925888e-06 -1.793406839403039e-07
age3 9.941776827864928e-07 6.7380749858955126e-12 5.051921091252034e-07 4.828596681578184e-06 -4.883763932702315e-07 -1.5509771477747167e-08 1.4650583417044e-10 1.501941643663592e-08 -1.4213066098340998e-10 -1.4220843792008562e-08 3.2186196024333733e-07 -3.0818044398803195e-08 3.037011336290671e-07 -4.604574747473497e-07 3.2664637301103806e-07 2.1084993881865888e-07 -1.2485212438300854e-06 -4.128491494013752e-07 9.600587270431235e-07 1.9467835569074267e-07 9.3078018331349e-08 1.9495478897058553e-07 3.781195173254571e-07 -3.759497640626e-07 -4.828613219410091e-07 -1.1945818242068945e-06 7.27474798234743e-07 2.7732886912730644e-07 5.648174952470297e-07 5.66540335353308e-09 -5.943765556396483e-09 5.0817266202795836e-09 3.26913427303693e-08 -1.876295352047473e-08 -1.5066227802443525e-08 1.0551551849721431e-10
age2_sex 2.461148997432769e-06 6.860573708439238e-08 5.402477752036021e-05 0.0012069879813962384 -0.00011392331411822022 -1.6207006144476098e-06 1.5019416436681394e-08 3.3127650814810547e-06 -2.9978592723940176e-08 9.380813041984189e-07 6.931460354210181e-05 8.038499928127419e-05 3.0609701032322515e-05 1.576937088429218e-05 6.34374857341565e-05 9.49517754690701e-05 -0.00026809441522822975 -0.00012846661173118918 0.00015618767020138445 2.2019672504692468e-05 7.522477004235702e-05 -7.64697786821161e-05 -9.521088462171757e-06 -0.00019765993683158533 -3.33702330919734e-05 -0.00015786819450360083 0.00012240457901565002 -5.0157645717517455e-05 -2.2908988790030504e-05 7.055897303711847e-07 4.230493407889296e-07 6.347802237150471e-08 5.621447570779035e-06 -6.364083031622153e-06 -1.1130162368502487e-06 1.8461155353223607e-07
age3_sex -7.708576607899101e-08 -4.391986241386018e-10 -4.877458298862046e-07 -1.0438794620944356e-05 1.0083639199616795e-06 1.5007108589816564e-08 -1.421306609838282e-10 -2.997859272393793e-08 2.76780037985317e-10 -4.033462261654487e-08 -6.678857356539047e-07 -7.400584947113475e-07 -2.568536611419618e-07 -2.985486352080487e-08 -5.838767469817493e-07 -9.123008384205746e-07 2.2712809755882177e-06 1.1233018688873965e-06 -1.3224187059403453e-06 -2.0209264014817838e-07 -7.152676485442268e-07 5.579981269189599e-07 1.5945779651459006e-07 1.769846158293645e-06 3.9550911599437887e-07 1.6294765892633204e-06 -1.0494062912176798e-06 3.414573563197882e-07 -3.1365916375901864e-08 -7.89281613529291e-09 -2.5930984708761535e-09 -6.392395013865412e-10 -4.742931749300786e-08 5.3933349694575453e-08 9.574297780836256e-09 -1.0150445875584288e-09
PC_3 -0.00372648818301688 1.4463828012526247e-05 -5.419963850149514e-05 -0.002332288763507808 7.521435892018028e-05 1.1882186137342117e-06 -1.4220843791211064e-08 9.380813043857816e-07 -4.0334622618243196e-08 1.0097039887285397 -0.14922494591225835 0.025369524307788025 0.1292047500153945 0.05238870822974351 0.053594577024028554 0.08702603902464717 -0.2089432160046022 -0.0841807436226609 -0.1044125191643967 0.21668421322154024 0.058085944162568855 0.2941694613421146 0.0405804654346635 -0.5765817292193588 -0.13846053593104035 -0.08103742751911004 0.15976557720582166 -0.1879182295433882 0.4218663572292652 -0.0001644079890954134 -0.000316732329848218 -0.0002428397106989505 0.0021131463494895495 0.0005069690241582772 0.001465925563497418 0.00029521409304962245
