 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
PC_4 -6.372637591037803e-07 7.3549302272286745e-06 -3.65734945827624e-06 -3.3613005682188584e-05 8.301139785815963e-06 4.292294096066954e-07 -3.613626131722102e-09 -2.521615508864197e-07 1.99086249952302e-09 0.0005678117116663782 0.08875841380879299 -0.0025536591955808404 0.005687009336591199 -0.0036934283167732503 -0.0007746506904449166 -0.0027161406515260745 -0.00038689581510002475 -0.005774973476544996 0.001933196064238114 0.004404809248744057 -0.008229911294558035 -0.006461848690135536 0.006278508261417805 0.005151656780392884 -0.003100860445345473 0.0020127251554539257 -0.003969964994037481 -0.0004614832523101003 0.003642482166016845 -1.0909819759879478e-06
PC_5 4.146096199186919e-06 5.954724942309077e-07 -1.4662480797991567e-05 -8.905442005155093e-05 1.328112528576493e-05 4.2626088494792604e-07 -3.2384901088217175e-09 -3.7394552634798173e-07 2.888598765655779e-09 0.0017194064183326668 -0.0025536591955808243 0.11710133028211613 -0.0029296048727331645 -0.005097702454093138 -0.0015015506403203462 0.005616490559409963 -0.008188008407728502 -0.001958379248758932 -0.008818513157343352 -0.006203289883193737 -0.0007902497986663882 -0.008180550200623894 0.006919172019075177 -0.014819195039998567 0.004518585631046398 0.003754473009137765 -0.0011531184034968718 -0.0019392550988858196 0.008685826435433412 -1.4830327102275278e-06
PC_6 -4.2914241652141016e-05 -6.4756893462836635e-06 -9.017289407717424e-06 3.10869364729124e-05 4.8979895524792806e-09 8.779563314388717e-08 -8.688028357968871e-10 -2.8246421005681608e-08 3.092446909814242e-10 -0.00017641373213572896 0.0056870093365912425 -0.0029296048727331264 0.14787966478311107 0.003043437793365131 0.005349686616724264 -0.006620756344306732 -0.003566633846793076 0.0034425935475372515 -0.007173747064710015 0.0012305103093400657 0.0007372735876194319 -0.011684042283017962 0.007193800432166762 0.013209177739752326 -0.0038483361373328555 0.00030463027443400283 -0.006736117188558686 -0.001105527611260591 -0.005261340175193897 -3.006627491504757e-05
PC_7 4.6917994000253335e-05 -1.159506713267165e-06 1.661450875098936e-05 -2.8679370696032356e-05 2.0449820938946324e-06 -2.5230529420517323e-07 1.382422391816598e-09 -6.046793329261106e-08 5.341725513178358e-10 -0.004162524627788072 -0.0036934283167732672 -0.005097702454093154 0.003043437793365114 0.18626687091281977 0.006739343670099237 -0.000199965153184855 -0.006961064589271649 0.007513193952766115 0.0055973928367459335 0.017366937691557796 0.004792529479435714 -0.01817161584303953 -0.01297184522882365 0.015457159384535379 -0.007608547150530199 -0.005268965948180581 -0.0019107238064151007 0.006574605332603517 -0.008493790075570058 -7.975187995524849e-06
PC_8 -6.82571699831136e-05 -3.404346922431096e-06 5.488903785432125e-06 0.00012004625029862485 -1.482030688094266e-05 -2.770886542831575e-07 2.001736696668661e-09 4.126679995708318e-07 -3.17295007983173e-09 0.001715153738939493 -0.0007746506904448596 -0.0015015506403202573 0.005349686616724341 0.006739343670099215 0.19999673357545028 0.00897316199702194 0.006558327758833875 -0.0032812749066207353 -0.0014529919678641075 -0.008448190690639222 0.006589581626499698 0.016165867978901863 -0.010640196677686346 0.006654405713721561 0.013155872034123323 0.0023198558801862863 0.0004401061590291592 0.0006209913079398792 -0.008009473297844632 2.7242418873355263e-05
PC_9 4.895910689680372e-05 -2.9487365008929635e-08 1.7110194633263667e-06 9.344991130474702e-05 -4.8851847516257825e-06 -6.439592339091483e-08 5.580778783326935e-10 8.528459809284778e-08 -3.8947465013663797e-10 0.003759918840987516 -0.00271614065152608 0.005616490559409961 -0.0066207563443067335 -0.0001999651531848472 0.008973161997021955 0.26665460295664195 0.00822198960134645 0.0020122813646471695 -0.01490644173880502 0.007162220539313255 -0.0028359061119856365 -0.0020435057411368777 -0.01034417805336611 -0.004931591279341671 -0.0051579822422475 -0.0006553193775631798 -0.00035622471730932054 -0.006324378095896131 0.012729659782480206 -2.553510245278014e-06
PC_10 -4.1938051267444876e-05 -2.630495907801818e-06 4.1393865403543025e-06 0.00011920309880971805 -1.2354812175897583e-05 -2.580178449314575e-07 2.17929002038452e-09 2.985529464295726e-07 -2.0500951157562917e-09 -0.004054612361485751 -0.00038689581510003743 -0.00818800840772849 -0.0035666338467930897 -0.006961064589271668 0.006558327758833918 0.008221989601346447 0.3236166204943332 0.017000975435165683 -0.007883002056785143 -0.0027282643992504246 -0.0006841841600563697 0.008747079482043408 0.0029080716192981648 -0.0015061977857886155 0.01044692315880024 0.002930625006124899 -0.0017512261021535671 -0.0020548248580044086 -0.008666332125182705 3.3416228323169365e-05
PC_11 -7.735186366325155e-06 4.6000134379757035e-06 -4.6145248112542165e-06 -2.1559537902039626e-05 6.1097123825873525e-06 2.8885180556612927e-07 -2.4112635715231094e-09 -1.8553641363868872e-07 1.4084347703012414e-09 -0.0003618283343377258 -0.0057749734765449885 -0.0019583792487589324 0.0034425935475372333 0.007513193952766114 -0.003281274906620778 0.002012281364647165 0.017000975435165655 0.30275023808925516 0.00537042255638234 -0.001346781725813641 0.012354343767959809 0.013392699088086312 -0.0034994468671135787 0.009525330933110388 -0.0087122083119736 -0.0049594558649321534 -1.0254142667023954e-05 -0.0030365945137483083 0.019627712456852988 1.7798523792585946e-05
PC_12 -8.064890276479721e-05 -1.5900681582176766e-06 1.4086556177726646e-05 6.814792816238066e-05 -7.958090534902767e-06 -4.3462300912873923e-07 3.13170632880098e-09 2.5042065506678943e-07 -2.139974145494847e-09 -0.001523147823959293 0.0019331960642381422 -0.008818513157343303 -0.007173747064709982 0.00559739283674591 -0.0014529919678640936 -0.014906441738805029 -0.007883002056785136 0.0053704225563823635 0.34119271179605815 0.015751245019751007 -0.0006640880396953463 -0.009623637591190668 0.0068147998422845 0.018528212564001004 0.010881358886286172 0.009439535173682378 0.009067039209107078 0.010583419589186994 0.004661437035121702 -1.0054123376131337e-05
PC_13 -1.2770383219738453e-05 -4.055623465868699e-06 1.529114950338729e-05 -7.196312887179568e-05 3.5668059592896696e-06 -4.836125871275123e-07 3.5731377559303635e-09 1.8503771284572224e-08 -6.672044542844672e-10 0.0007820264493816592 0.004404809248744058 -0.006203289883193715 0.001230510309340086 0.01736693769155775 -0.008448190690639202 0.007162220539313241 -0.002728264399250404 -0.0013467817258136232 0.015751245019751003 0.3551236994239863 0.01703813459338949 0.000175147008210801 -0.007495823423981165 0.01808100694666324 0.008990727675984715 0.0023640820932847874 -0.01809610904263542 -0.013231208392851855 -0.005963505957040391 -8.254771791524024e-06
