 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.0013259246993931543 -2.8066172635279815e-06 0.00030368115853219094 0.00027081793593873707 -3.69359109088963e-05 -9.61242653697703e-06 9.236310895388427e-08 1.3190142566486354e-06 -1.3548900530697979e-08 -0.0011102227669072989 0.00046862447988019185 -0.0010727375497034761 -0.00020872581410374502 0.001071237514730269 -0.0008726204488343274 -0.0005445143947886612 -0.0003376895184611388 -1.18070644806934e-05 -0.0008967098371086422 0.0006740985530359894 -0.0003673593123115999 -0.0008353072252075394 0.00011819471509621185 -0.0009179551022916526 -0.00040474306371150184 -0.0007807662593766295 0.00016013010280264641 -0.0006013136184252733 0.0008929196201066218 2.1090988227049166e-07 1.042666562034504e-05 -8.567733193332891e-06 -2.3230245039300386e-07
yob -2.806617263529424e-06 1.0457192726983546e-06 1.5334641406391496e-06 1.8217078841100114e-06 -2.7198887837220427e-07 -1.2334667285989695e-08 6.515370906056185e-11 4.088098098649481e-09 -2.4577407452629923e-12 -4.568620302302703e-06 0.00019831039445412699 6.726275015669888e-05 -6.780375706418748e-05 1.980800214511749e-05 -0.00011288804424690933 -1.254414434956043e-05 -6.090787280171605e-05 0.00010004075736651576 -3.4863812065598867e-06 -0.0001154620977029193 6.310842976459278e-05 -8.351017477085781e-05 2.77715819655212e-05 0.00012217366389001823 7.176404697608006e-05 4.0199250910373844e-05 1.2024955800489166e-05 9.744208553300503e-05 -0.00017849553488308255 -1.7049406648815217e-07 -3.304955811717167e-08 -1.698312681668431e-07 1.271947317938212e-07
age 0.000303681158529919 1.5334641406460288e-06 0.0003911860750614054 0.004336742067802977 -0.00038366023970962446 -1.0443651544704687e-05 8.667870231032734e-08 1.0278329373719953e-05 -8.529943616661761e-08 -0.00011980280229509814 0.00045558494170866036 5.572769251115511e-05 -3.191381385241582e-06 0.0006346826365334455 -0.0008700485025389624 4.257400856623324e-05 -9.31846169177154e-05 0.0004480199297439654 0.0004116030060508331 -0.00015106890038076826 7.43581234293786e-05 -2.516370817082321e-05 0.00014324234861903432 -0.00024914305512242806 0.00018094259992007604 0.00024386898903391328 0.00012110949412949148 0.00024553636135184827 9.002711251710705e-05 2.333207916603503e-06 1.496306666682891e-06 4.054254923685228e-06 -6.918633933008022e-06
sex 0.0002708179358981285 1.8217078839882926e-06 0.004336742067774084 0.09084666038215596 -0.007644335337566062 -0.00011238821562427878 9.096568643647561e-07 0.0001978133590746235 -1.6000735010401469e-06 0.0001349624352694052 -0.0008156335484402553 -0.0013266580563953518 0.002718017947614994 0.0014769028803560077 -0.005331139701635201 0.0031210342375901446 0.0002555656115119687 -0.0015110659707794712 0.005847977208458087 -0.006919069201819613 0.004026770845553729 -0.0010631249076485363 0.0007797774242906313 -0.00404501005133186 -0.0031260998815478367 0.001793791707706394 0.0006296385752339644 0.00399396462796948 0.004098793175635891 4.374545851158802e-05 6.927425315962055e-05 9.846232336099963e-05 -0.00021271078531701968
age_sex -3.693591090540619e-05 -2.7198887834756154e-07 -0.00038366023970703593 -0.00764433533756556 0.0006711839295793308 1.0276424491901575e-05 -8.53117746315127e-08 -1.7925636852499795e-05 1.4857963406433315e-07 -8.142376720718247e-06 0.00013403391977511917 0.00015262622146885646 -0.0002196135876339642 -3.0246527716988893e-05 0.00040723861717294885 -0.00026059240127536984 -0.00014801764046298152 0.00010591047415088927 -0.00043210063695818356 0.0006426627733967199 -0.00034449112885085977 9.147283164723115e-05 -1.0164748138788057e-05 0.0004244360393046187 0.0002576397589522516 7.546896210034961e-05 3.479435217699504e-05 -0.0002949710171378718 -0.0003600619856476168 -3.5255921864989422e-06 -6.709978906587272e-06 -9.456400059605822e-06 2.046996997979346e-05
age2 -9.612426536922443e-06 -1.2334667285869723e-08 -1.0443651544702887e-05 -0.0001123882156250198 1.0276424491967784e-05 2.8747956466019864e-07 -2.441945533467169e-09 -2.830410593139266e-07 2.4032881887372963e-09 3.4304448140450087e-06 -4.546663592295059e-06 2.7868577613787774e-06 -6.978763471528623e-07 -1.0886860363154956e-05 1.749857359658425e-05 2.9599495602106515e-07 -1.3788414520904558e-06 -8.089205235850772e-06 -9.624369498407074e-06 1.2543883701566079e-06 -1.7221685435514207e-06 -8.931299505244004e-07 -2.6488982170417536e-06 9.374191424972521e-06 -1.7585976171868497e-06 -5.481852471751849e-07 -1.6552928070257355e-06 -3.6749859267808724e-06 -4.170783218064403e-06 -6.329399114475772e-08 -6.388136849242235e-08 -1.1581887930365367e-07 2.0575865228011585e-07
age3 9.236310895345783e-08 6.515370905806209e-11 8.667870231029995e-08 9.096568643706697e-07 -8.531177463204138e-08 -2.4419455334668396e-09 2.1161218655411892e-11 2.403258511685442e-09 -2.0813259497273453e-11 -3.472985106398255e-08 3.0985596827007315e-08 -3.9844029415569176e-08 3.134829183159132e-09 5.8983649489710693e-08 -1.3077369148410368e-07 -1.6820255147667856e-08 2.4392153564907333e-08 5.075554225634223e-08 6.419070031327411e-08 -1.1071264659078523e-08 2.2908909451069877e-08 -5.261613564627793e-10 1.5783791589039977e-08 -6.926073610712133e-08 -6.826402568523682e-10 -3.162299771030066e-08 2.870665741558091e-09 2.2378438029887886e-08 9.647805754057157e-09 4.944408824254742e-10 7.454312540796451e-10 9.133043019507278e-10 -1.876436655511338e-09
age2_sex 1.319014256560028e-06 4.088098097995252e-09 1.0278329373649607e-05 0.0001978133590745871 -1.79256368524979e-05 -2.830410593121197e-07 2.4032585116710012e-09 4.916114015346105e-07 -4.165600831673953e-09 -1.4439224794646695e-07 -4.704709328848957e-06 -4.740765782373472e-06 5.5783456926728395e-06 -1.2378940632714738e-06 -9.807447292779644e-06 6.770763381401985e-06 5.76761863414497e-06 -3.889912186179528e-06 8.703881352128782e-06 -1.7163574517302508e-05 9.719007523184745e-06 -2.3037957487365097e-06 -2.4800689739443504e-06 -1.1159010225685934e-05 -7.261815697856761e-06 -6.429423360384444e-06 -3.6353065855652986e-06 4.4396524440874366e-06 7.317430798210586e-06 8.202835454839099e-08 1.9805169953472663e-07 2.542433170428918e-07 -5.820717825434007e-07
age3_sex -1.3548900530030664e-08 -2.4577407356936068e-12 -8.529943616602197e-08 -1.6000735010396556e-06 1.4857963406430067e-07 2.4032881887220005e-09 -2.0813259497151136e-11 -4.1656008316735075e-09 3.599381723258443e-11 4.62877923587789e-09 4.670812290562799e-08 4.408875494061355e-08 -4.573014659895814e-08 2.569019880382069e-08 7.669851971646423e-08 -5.310957679579634e-08 -5.940298342534944e-08 4.6788251632476735e-08 -4.7859461323941044e-08 1.4479380519746757e-07 -8.531906967493512e-08 1.7519346288131536e-08 4.293688016748488e-08 7.965614455109116e-08 7.074965333818649e-08 8.338283695379602e-08 5.5859989298804244e-08 -4.775767341395193e-09 -3.264887640380511e-08 -6.008705927667296e-10 -1.7697090973136712e-09 -2.0547858834855165e-09 5.037475219044607e-09
PC_3 -0.001110222766907354 -4.5686203023028455e-06 -0.00011980280229564386 0.00013496243525894607 -8.14237671983078e-06 3.430444814059109e-06 -3.4729851064095654e-08 -1.4439224796946133e-07 4.628779236062869e-09 0.2293463270379823 -0.01039665214936112 -0.007113212854257749 0.03573140612809346 -0.003302084752514137 0.012531527741234375 0.03203389793272356 -0.055212005407328346 -0.03611779602911602 -0.05335662112753991 0.05190756528954101 0.034023895083689734 0.058616661596960336 -0.0420447959822733 -0.14549308393677648 -0.02912115648486004 -0.01875745839696728 0.03553298110284437 -0.04297129892744146 0.10117246647232028 0.0001308976271611669 -0.000175060275922082 0.00013192137722163838 0.0003372688076561845
