(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.000129378386340383 -1.47237970780096e-05 2.04331642308165e-05 -1.28853171386308e-05 4.45384692814807e-06 -2.10855662568736e-06 7.01121840609581e-06 9.0761157369298e-06 -1.62969371846214e-05 -9.67371018595812e-06
covarage -1.47237970780096e-05 0.000396617242163961 0.000596184538254307 -0.000615457987199396 -1.07862245043331e-05 1.75433847952278e-05 -1.23463958673346e-06 1.32790170211408e-06 -6.69329429195002e-07 -5.28789514495273e-06
covarsex 2.04331642308165e-05 0.000596184538254307 0.00168494190719919 -0.00165112212343856 -8.8353403123065e-06 3.65705075645914e-06 -8.86481859470657e-06 7.40704160324367e-07 -1.20549029716153e-05 4.61992626384583e-06
covarage_sex -1.28853171386308e-05 -0.000615457987199396 -0.00165112212343856 0.00175690257189149 1.46353002066006e-05 -2.91302227682379e-06 -1.3294958625908e-05 1.0602536217738e-06 7.18770107121094e-06 -5.06021112168292e-06
covarPC_3 4.45384692814807e-06 -1.07862245043331e-05 -8.8353403123065e-06 1.46353002066006e-05 0.00010949955434386 4.26075210437401e-06 -2.00048654076042e-06 -1.71581017827162e-07 1.58974284255794e-06 8.1361230592984e-06
covarPC_4 -2.10855662568736e-06 1.75433847952278e-05 3.65705075645914e-06 -2.91302227682379e-06 4.26075210437401e-06 0.000124114630581322 -1.01197917627493e-06 -2.30671380529336e-06 3.55632077415519e-06 2.41792656878851e-06
proband 7.01121840609581e-06 -1.23463958673346e-06 -8.86481859470657e-06 -1.3294958625908e-05 -2.00048654076042e-06 -1.01197917627493e-06 0.000403866823459396 0.000198444274084938 -0.000383534036808125 -0.000368106735081723
sibling 9.0761157369298e-06 1.32790170211408e-06 7.40704160324367e-07 1.0602536217738e-06 -1.71581017827162e-07 -2.30671380529336e-06 0.000198444274084938 0.000453536710733207 -0.000426363255808831 -0.000410154565165591
paternal -1.62969371846214e-05 -6.69329429195002e-07 -1.20549029716153e-05 7.18770107121094e-06 1.58974284255794e-06 3.55632077415519e-06 -0.000383534036808125 -0.000426363255808831 0.00148253108993147 -0.000274440004081059
maternal -9.67371018595812e-06 -5.28789514495273e-06 4.61992626384583e-06 -5.06021112168292e-06 8.1361230592984e-06 2.41792656878851e-06 -0.000368106735081723 -0.000410154565165591 -0.000274440004081059 0.00142998307998324
