 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 2.539183630518252e-05 4.942529606655701e-07 -6.928660033774643e-06 -5.138992970742437e-05 3.481649632532022e-06 1.2688585601108983e-07 -6.94574144568579e-10 -7.111879273173138e-08 4.5130592658443e-10 3.6092708501354874e-05 -1.73188047028933e-05 -0.00020538722582829667 1.1366561534589509e-05 0.00021162039163715167 -8.336475562924153e-05 4.467425197578509e-05 -0.00020568138994647792 7.770277418074072e-05 -0.0003217782051113858 -0.0001358275600893528 1.6831698501778366e-06 -0.00018387932953553216 3.6509747536236924e-05 -0.00014880449741830622 0.00018020608961842946 9.87468746004176e-05 -5.651553088605288e-07 -7.569436470636066e-05 -1.9214722454851134e-05 1.1486294829149717e-06 1.4256107108165004e-06 -2.667324653011833e-06 -1.466318943027189e-06
yob 4.942529606658247e-07 1.6920320535630617e-07 6.841256014695692e-07 2.825921479763571e-06 -2.0455631529901708e-07 -8.747816433220407e-09 4.081841790750133e-11 3.277518841456483e-09 -1.426537500769663e-11 2.2597491880474002e-06 6.301416607765954e-06 -9.811526640850346e-06 -2.8286282302654364e-06 2.4374436480202103e-06 -2.5855479493715496e-06 -1.4738083929380879e-06 -5.553872098618303e-06 5.453305965614876e-06 -1.2244844512890525e-05 -7.637191884303602e-06 8.806057384560206e-06 -5.326962149125964e-06 -2.577405177497423e-06 1.1529249399430088e-05 7.808467370160448e-06 2.8470636507549858e-06 -3.518363424197672e-06 2.64504688543095e-06 -2.0849847856360542e-05 9.379814734289532e-09 5.349251725041194e-09 -2.3816793292474022e-08 -4.7149431986985e-09
age -6.928660033822847e-06 6.84125601471029e-07 0.00011106499494991276 0.001647431361759368 -0.00010659895560753056 -2.170847485210281e-06 1.3333986426000414e-08 2.101517556206588e-06 -1.2949065093508452e-08 2.6375443338046732e-05 1.958779350763248e-05 7.41877712653484e-06 1.2086658605034074e-06 4.1272402425027635e-05 1.5927824024049565e-05 1.0324644976657985e-05 -9.438400500659099e-06 1.8358175971201558e-05 2.182151801503754e-05 1.0946709249232276e-05 1.3066159123008293e-07 -5.425732201509764e-05 -6.231692109627494e-05 -4.718429521107932e-06 5.813656565638383e-05 -1.0550386086646095e-06 -7.398042140245542e-05 -3.6370617220705324e-05 -1.6759373906802157e-05 2.6762291263794486e-07 5.883456361842713e-07 -6.504860585778213e-07 -2.753081103563223e-07
sex -5.1389929705780425e-05 2.825921479805589e-06 0.001647431361760589 0.04528705595921425 -0.002866505048376395 -3.1759843788132646e-05 1.9271495765765135e-07 5.570249710002174e-05 -3.394568326910393e-07 0.00010332653270573108 0.0009493714240802695 0.0013245813849435822 0.0005955574513383865 -3.6986578846197626e-05 -0.0005152648397916684 0.0006849033273184678 -0.0009785427545515588 0.00058707220957679 0.000646820499456705 0.00036987413643563776 0.00011485791109315317 -0.0014812113659126093 -0.0005700910056583733 -0.000849604952141332 -0.00023214461145299332 0.0014080925828576138 -0.00022017418457056484 -3.427314237734309e-05 -0.0009838274420108702 5.361917710235667e-07 6.861216326462618e-06 -9.038451621508764e-06 2.9309709914366007e-08
age_sex 3.481649632374081e-06 -2.0455631530397715e-07 -0.00010659895560762622 -0.002866505048376616 0.00018694462421527507 2.0988500406395382e-06 -1.294178995283295e-08 -3.709644346000905e-06 2.2970174553684595e-08 -1.0975298757253053e-05 -4.7987375802385616e-05 -6.37917547918908e-05 -3.340872367464519e-05 5.119149887781967e-06 2.4991786989939408e-05 -4.5335464327526636e-05 5.6083707892011534e-05 -4.064514711290394e-05 -3.9439355521547755e-05 -1.2572042837252643e-05 -7.399176640109929e-06 8.713182332209104e-05 3.848476520645001e-05 6.66695528095858e-05 7.948500771958825e-06 -9.991427061202432e-05 6.607638707553505e-06 2.378165776690406e-05 4.344841851306639e-05 -1.1559581288358405e-07 -4.5886001110783127e-07 3.7234503354721256e-07 1.3321979818294883e-07
age2 1.268858560102016e-07 -8.747816433265992e-09 -2.170847485210449e-06 -3.1759843788110406e-05 2.098850040637797e-06 4.3287309927112056e-08 -2.700372089664265e-10 -4.210192521861106e-08 2.6326315916192293e-10 -3.990752797622265e-07 2.9958558532041946e-07 1.5750135795295447e-07 8.701576683721028e-08 -5.453302304552584e-07 -5.570870502292791e-07 -2.763465811650187e-07 -8.877077552810573e-09 -2.7623160219090965e-07 -7.673378962879522e-07 -3.8512403687047376e-07 1.5730820382871408e-07 8.747578222343166e-07 1.4458410444077754e-06 5.842106179599724e-07 -1.0191422409437313e-06 1.4738652949986377e-07 1.3118099476244414e-06 8.154798999807242e-07 -6.37178937528062e-07 -6.018189402709513e-09 -1.1716494029661012e-08 1.2986872157564334e-08 3.4511113962362493e-09
age3 -6.945741445595805e-10 4.0818417907891467e-11 1.3333986426002326e-08 1.9271495765752258e-07 -1.2941789952822733e-08 -2.700372089664423e-10 1.7071799019854632e-12 2.633306130672573e-10 -1.6679907726401584e-12 1.3586786167126744e-09 -3.716822191777939e-09 -3.784627829133584e-09 -1.0208845008156426e-09 4.1233657389178625e-09 3.6170686914142e-09 1.5595180403368724e-09 1.4567330020587672e-10 1.9878725185025543e-09 4.3618469712110505e-09 2.6019503989444003e-09 -1.0805857282580363e-09 -4.973011146819259e-09 -1.0747182852479287e-08 -5.626564817165101e-09 6.595159475098083e-09 -1.222955472692295e-09 -7.554635891276683e-09 -5.480145675711945e-09 7.50253303936249e-09 4.365168278061613e-11 7.447805290827193e-11 -8.228033400725398e-11 -1.593481065160495e-11
age2_sex -7.111879273006663e-08 3.2775188415282545e-09 2.1015175562087473e-06 5.570249710003033e-05 -3.7096443460011784e-06 -4.210192521865104e-08 2.633306130674937e-10 7.487208506606799e-08 -4.702787969646567e-10 2.742086194268796e-07 7.559458961094577e-07 8.807152375958195e-07 5.717788028329473e-07 -1.087925759459079e-07 -3.919820470477147e-07 9.349658459000104e-07 -9.982397326187086e-07 8.240812522701695e-07 7.710912728537264e-07 2.0249177704436287e-07 1.1772849478180437e-07 -1.5677120722228963e-06 -8.574746096410405e-07 -1.4631956426534735e-06 5.371670547186855e-09 2.0993369264456476e-06 -2.0773229620925622e-08 -8.164851518027239e-07 -5.484258034394276e-07 3.864256806107185e-09 9.76285228778527e-09 -5.042165478513522e-09 -4.675144034624455e-09
age3_sex 4.513059265671065e-10 -1.4265375008184666e-11 -1.2949065093523348e-08 -3.3945683269111546e-07 2.297017455368778e-08 2.632631591622008e-10 -1.6679907726418132e-12 -4.702787969646869e-10 2.992521446963e-12 -1.6082134056673771e-09 -3.6298198606135194e-09 -3.3236258189928526e-09 -3.1563464860634496e-09 4.1178008258203213e-10 1.965144974722925e-09 -5.933375820825046e-09 5.652313940748462e-09 -4.9508975823574125e-09 -4.713353312216931e-09 -1.6730826959974273e-09 -4.411272399529967e-10 8.688397344672573e-09 5.936768394255895e-09 9.655748380527503e-09 -1.0925570343217408e-09 -1.346249568038107e-08 -3.181835486751858e-10 6.744294463322775e-09 1.6885838611700848e-09 -3.3970464226903594e-11 -6.38016676112499e-11 2.225838337873563e-11 3.7517055939779025e-11
PC_3 3.609270850136699e-05 2.2597491880473045e-06 2.637544333789383e-05 0.00010332653270209625 -1.097529875700769e-05 -3.9907527975912853e-07 1.3586786166931058e-09 2.742086194218703e-07 -1.6082134056355853e-09 0.050134687509588965 0.002461296617856229 -0.0025818904521857948 0.0024471093032675277 -0.012824391806855687 0.002166922376073384 0.002506306493450899 -0.009432977647388336 0.0037626516388917348 -0.009742003677216756 -0.0029017880280358473 0.01948969213470463 0.0021592501801588546 -0.0030416678194938773 -0.022524030555705607 0.007651224762032239 0.0016121869829987673 0.0017127762126694897 -0.0005741582358937717 0.009062928518158247 -1.0591844835846772e-05 -2.049894691407061e-06 1.606918424697587e-05 6.518861914335972e-05
