 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
intercept 0.007749984426435765 -4.568331471324001e-07 0.000616070552965214 -2.4957615003430793e-05 2.915559631523862e-07 -0.002745451337902319 0.00026752952233844465 -0.001765751598091114 0.0008175298844515413 0.002470350995412353 -0.003576490594074238 -0.00030308940150775986 0.0026904180263044746 0.0014006630581037038 -0.004834176405449387 0.00283985949555182 -0.004084320365665615 -0.003470465646233631 -0.006065928055163259 -0.002549364157497111 -0.005740738013755888 3.640028086779687e-05 0.00010989894223830447 0.0045495736949160166 -0.0009281146037062409 -2.3379758003207952e-05 1.633376350272377e-05 -6.55825671973216e-06 1.8140755984465504e-06 -6.7232567218315006e-06 2.6124532647702897e-05 -3.335490421029393e-05
yob -4.568331471340834e-07 2.34967076843312e-06 1.1189408176236434e-06 7.0021930634521595e-09 5.400749651198544e-12 2.1764620380971164e-05 0.00031485768385769875 3.0343805261332574e-05 -0.00024246297230621534 0.00011118642022090755 -0.0002673118816674292 -5.1200844834189156e-05 -0.00016708499199778986 0.000260846925493055 -1.482292790238364e-05 -0.00022434230032561517 0.00019894446890785284 -0.00013259839197466867 -2.4659746881219888e-05 0.00012260249531644148 0.00012767185967314337 -0.00012869227124409703 -7.41043724702308e-05 6.293731657419647e-05 -0.00035539296873326857 2.464827970132014e-07 9.68577128960108e-08 -3.352154628799826e-08 -1.0255738235376575e-06 -2.855766856616556e-07 -5.590443471138714e-07 -7.345382025688946e-07
age 0.0006160705529652887 1.1189408176241895e-06 0.00011801689487507084 -3.966017211098272e-06 3.949638946336992e-08 -0.00012602428788939505 -1.4469422144833392e-05 -0.0004710768045501974 0.0002673588167360277 0.0002725413114799922 -0.0005182607158565543 -0.00042707514772642556 0.00019533306402099942 0.0009582797014168009 -0.00015476304466482515 0.0003813972669346986 -0.00018630253654213421 0.0002561177685833573 -0.00015358292138239798 0.0009834945585796469 -0.00016086457802066522 4.983160513475016e-05 4.923853644230472e-05 0.000814494842792511 8.631092090208208e-05 2.2793039878376085e-06 -3.6666307207315474e-06 -4.514981389488981e-06 -4.513650318052095e-06 1.068068377395008e-05 3.0067650850894933e-06 -1.1892385449140187e-06
age2 -2.4957615003433063e-05 7.002193063437722e-09 -3.9660172110982165e-06 1.405912274115436e-07 -1.4484681506343424e-09 3.874834771448966e-06 6.783057395435101e-06 1.6064658013001763e-05 -1.3816151827538158e-05 -7.163764186782206e-07 1.1964536750752415e-05 1.3238467693211678e-05 -1.608596435860548e-05 -2.5190827783233714e-05 3.97984705826604e-06 -1.648335213051883e-05 1.1783551089710733e-05 -4.881545782409658e-06 7.883134346246937e-06 -2.56554746745119e-05 1.4215385814925005e-05 -4.325117414739681e-06 -8.595521425097557e-06 -3.29890926018197e-05 1.1849560580261665e-06 -1.3965217387211116e-08 9.255864924768904e-08 1.4449468596102838e-07 2.2629507632422264e-08 -2.4057733028329684e-07 -1.8740673733158942e-07 6.703726300551982e-08
age3 2.9155596315240253e-07 5.4007496513632076e-12 3.949638946336867e-08 -1.4484681506343184e-09 1.5368120695452974e-11 -4.504459161528105e-08 -4.2366956138453296e-08 -1.5594641008139094e-07 1.1427252014455152e-07 -7.317758576644477e-10 -1.3318360858526908e-07 -1.2690344529684318e-07 1.9038362117065326e-07 2.423298647318182e-07 -4.702352851649924e-08 1.597860346981031e-07 -1.2706353086811308e-07 -5.4510616607783116e-09 -1.2756886624248747e-07 2.029605740588345e-07 -1.8049083052602934e-07 3.220020122881098e-08 1.0469809158341523e-07 3.52191808890621e-07 -8.774723322905545e-08 -2.896876126181277e-10 -6.006286927908138e-10 -1.3898943090445562e-09 2.4280416457290113e-10 1.5585227820210776e-09 2.1518321092252185e-09 -8.424997161136466e-10
PC_3 -0.0027454513379021866 2.1764620380970903e-05 -0.00012602428788936453 3.874834771447895e-06 -4.504459161527026e-08 0.5094090789377126 -0.08595677127825413 0.024884903991670263 0.06638874047395757 0.03929381229690793 0.04326210143498755 0.0235484099972929 -0.08851691186830353 -0.050600772980197425 -0.03863640177892476 0.09380156964412867 0.026391802646859894 0.15128753470869072 0.0025204655489556396 -0.20318448738656716 -0.05115340812261324 -0.006660246087879492 0.05932620767525794 -0.12847087095935225 0.17705383023600021 8.74384215989518e-05 -0.0001505553066105774 -0.0003874383114169084 0.0006974969108921478 0.00037796077116066136 0.0007433256022210072 0.00042280856578085884
PC_4 0.00026752952233775326 0.0003148576838576973 -1.4469422144946881e-05 6.783057395438905e-06 -4.2366956138492386e-08 -0.08595677127825421 1.5016170593128602 -0.013358536341871247 0.3272081839148513 -0.13000299144213198 -0.127797570329824 -0.011902566900986268 0.050787259391207686 0.06706647386586737 0.10699158588001968 0.1606001688700568 -0.07768511513814541 -0.19291432458898716 0.12805822416889864 0.0697069305016765 -0.09258951402313934 0.05533026117144377 -0.09739597424098952 0.07641768340318779 0.22973513624775257 -0.0002352861759998156 -0.0008106835779937749 -0.00047182503925566235 0.0005597789158789154 0.00022157540499444703 0.00021300818323096164 0.0015546626831375544
PC_5 -0.0017657515980915286 3.034380526133122e-05 -0.0004710768045502412 1.6064658013003288e-05 -1.559464100814093e-07 0.024884903991670655 -0.013358536341870642 2.0598138732094227 -0.10264418560264853 -0.26167265314203436 -0.22487321747767391 0.27404018821589143 -0.14597597972758225 -0.3495165321288053 -0.1498186343175293 0.005955781458172069 -0.1589058963840265 -0.0905732528477315 0.06453995639598759 -0.4288413560239813 -0.1439376872233367 -0.06788614286229477 -0.0437963478291614 -0.11301929888751268 0.2969597314710311 -0.00035988479765515806 0.0013827289906350635 -0.00021123811359542713 -0.0013614179451414304 -0.0007848567136107521 0.0010730981918412696 -0.0005934847692789144
PC_6 0.0008175298844515341 -0.00024246297230621252 0.0002673588167360234 -1.3816151827538038e-05 1.1427252014455063e-07 0.06638874047395776 0.3272081839148516 -0.10264418560265057 2.702323225765348 0.16476669156810472 0.24944135133274045 -0.143711074406416 0.2487069249887256 0.1326019250744684 -0.10649554236432819 0.14859708877058034 0.3919633523022075 -0.43819169381374995 0.11739352213705007 0.3231369272963769 -0.07158604935506534 0.014786637095426923 -0.2747434853580776 0.17480512676134763 -0.22539684764626858 0.0004863616458001168 0.0012595932934766595 -0.00019513139373058603 -0.0004433163460071892 -0.0028037042705667562 -0.0014581017749126786 -0.00015468178295887616
PC_7 0.0024703509954120805 0.0001111864202209079 0.00027254131147995034 -7.163764186767365e-07 -7.317758576772873e-10 0.03929381229690857 -0.13000299144213165 -0.26167265314203214 0.1647666915681025 3.707073279512143 -0.03540318765775016 0.42429745738822616 -0.19398378808173872 0.37620841862604915 0.2690794908775246 0.19268069714165412 0.07480344740957678 -0.41233425278763364 -0.20969999543783663 0.621639313303933 0.19109191585670166 0.0697720964036493 -0.5018322721326418 0.07609486432509908 -0.578992530884273 -0.0008053140865078335 0.0005820609160353703 -0.00023065551756668755 -0.0008103465223368542 0.00046157757250225943 0.0016998327649116187 -0.0012672180138524403
