 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 2.0315195067788614e-05 -1.2385791910446465e-07 -5.566485688561332e-07 9.321311312034276e-09 -3.493178860776518e-11 1.422944768703228e-05 -3.692068588017387e-05 -1.3168732623758414e-05 -7.447233351822175e-05 0.00010516087833653733 -0.00012740562975060293 9.760213995844013e-05 -7.494349498615644e-05 -2.3504008976395653e-05 -0.00014301440022487127 5.425779998504678e-05 -6.496249528845443e-05 -7.980563104214096e-05 -4.3559517840003436e-05 -8.746579414309596e-05 -3.1866541173114896e-05 -9.577462619154734e-06 -6.855276548637438e-05 -0.00014970455209834338 0.00014373974031894023 2.3403038708347207e-07 -3.2084488911763033e-07 -7.570263154165811e-07
yob -1.2385791910447725e-07 2.237126687227571e-07 4.038733276282548e-08 3.623766191916461e-09 -2.5173399520396264e-11 -4.664653142878237e-07 2.289711088754159e-05 8.821228348319632e-06 -1.5628828619133127e-05 -5.765709258406816e-06 -7.183370573113979e-06 -1.8101079102322595e-07 -1.0113663367511497e-05 1.280962464087839e-05 -5.347799721587624e-06 -1.388940358646523e-05 1.6276165097755818e-05 -1.1686006187153603e-05 -6.688220960091466e-06 2.1813921705730158e-05 7.105868118149707e-06 -1.1284641424710147e-06 -1.8998004432535051e-06 1.2496993268200863e-05 -2.827441074774152e-05 -1.3371227325882962e-08 -3.4255124723384564e-08 -5.22163547366922e-08
age -5.566485688560457e-07 4.0387332762795345e-08 1.0460069488707214e-05 -2.2674435440511648e-07 1.4991726725968663e-09 -1.111226294351895e-05 1.7957466644452074e-05 1.0062775158901315e-05 -1.9985470788187456e-05 3.501026367866867e-05 -2.5332253317581762e-05 -8.157749764467134e-06 -2.5524873068150986e-05 1.2655096826244734e-05 4.066773137051912e-06 1.7597184233559446e-05 -6.421122825382108e-06 1.9494484965915167e-05 -2.1238020148435745e-05 9.863595533471612e-06 -1.4599621486212543e-06 -2.006565843856684e-05 -1.063843316967656e-05 -4.4014756080642014e-06 3.378983435068422e-05 2.552560574116621e-07 -2.501153673432901e-07 -3.4002173540723257e-07
age2 9.321311312015264e-09 3.623766191917124e-09 -2.2674435440510946e-07 5.207180832500819e-09 -3.550610196673388e-11 2.9768593376291737e-07 2.8120342621940196e-07 -2.437551065083473e-08 1.1980824916219385e-07 -6.381485771753027e-07 3.805351114813487e-07 6.644516476301609e-08 2.0839865375411486e-07 2.0254604082023542e-08 -2.2827916017092876e-07 -5.944780579312727e-07 3.676176176990432e-07 -5.805178343430518e-07 3.823991920183256e-07 2.1293168115539047e-07 3.3361267985618017e-07 4.090623261463542e-07 1.4966695431311918e-07 2.170684710771959e-07 -1.3327489653168096e-06 -5.038667255810021e-09 3.793235579996714e-09 5.3354172407425736e-09
age3 -3.4931788607595716e-11 -2.5173399520400843e-11 1.4991726725967822e-09 -3.550610196673304e-11 2.481919818540745e-13 -2.3821674679105066e-09 -2.6531347213820954e-09 1.6639256462766608e-10 -1.047572818764087e-09 3.8138211398626025e-09 -2.8129384211419216e-09 2.1015253949988235e-10 -6.858524116447319e-10 -4.976902411124703e-10 1.1196580411249966e-09 3.6039437618035077e-09 -2.2146494103689044e-09 3.4064299584040464e-09 -2.9947606507243074e-09 -1.8015659114593803e-09 -3.244611450753369e-09 -2.710621591829623e-09 -9.698825383661914e-10 -1.134251977339856e-09 9.630253016975791e-09 2.901313600369652e-11 -2.0245486768644944e-11 -2.86958892680973e-11
PC_3 1.4229447687032032e-05 -4.664653142877871e-07 -1.1112262943516454e-05 2.9768593376287004e-07 -2.3821674679102187e-09 0.051732218370624763 0.0016358716972447278 0.002383548474712438 0.0008554932295930505 -0.007267643515416822 0.003643479038470161 0.008415016302744013 -0.006140540307037961 -0.0020945600542398436 -0.001964528850093979 0.0037576161137942406 0.008348299968584447 0.006199584974969008 -0.004317183067291417 -0.01752010018583146 -8.375332688552511e-05 -0.0021510153098097885 0.004978152059670874 -0.0030188546806052025 0.011442604061647788 6.3965953418513094e-06 3.3376039872524865e-05 2.768921646904656e-05
PC_4 -3.692068588017595e-05 2.289711088754152e-05 1.7957466644461243e-05 2.812034262191981e-07 -2.653134721380737e-09 0.0016358716972447135 0.17838868041338052 -0.00829362016790307 0.009178274831835214 -0.010162189568030723 -0.00039104010013759147 -0.005389151578721802 -0.001294076588260634 -0.014359863598371325 0.00415836691656048 0.009893594680527269 -0.01956531273357872 -0.011610095649725743 0.013166788038835716 0.010990778568593733 -0.0050454812538021886 0.0057849724651370515 -0.005919710689266095 -0.0004770809122687746 0.007712780880494296 -7.302624722086943e-06 -1.049168368082164e-05 2.7982702115024904e-05
PC_5 -1.3168732623758404e-05 8.821228348319634e-06 1.0062775158902008e-05 -2.4375510650851357e-08 1.6639256462778447e-10 0.002383548474712437 -0.00829362016790307 0.23336379116680575 -0.0038602739725407107 -0.007220733222195326 0.0006349513707555821 0.005397592039920789 -0.015764362793813002 -0.001660248434561862 -0.01836071379177406 -0.013288393415511881 0.00048801227271461897 -0.01710760652705737 0.014000866906468637 -0.02656277899361462 0.006893533436035875 0.004717507378907622 0.0004666078001593151 -0.004719319045416439 0.017596933315843992 -1.8051555164311858e-05 2.8641579881671055e-05 -2.370714158287442e-06
PC_6 -7.447233351822216e-05 -1.5628828619133158e-05 -1.9985470788186297e-05 1.1980824916217506e-07 -1.0475728187639563e-09 0.0008554932295930799 0.009178274831835212 -0.0038602739725407185 0.2906912096013655 0.003646147379352005 0.01426505132019011 -0.014374213723209954 -0.00971029471815029 0.00723097997976593 -0.014599606039918289 -0.0008651683877407808 -0.0004113710323618378 -0.024761098925892476 0.014353692936024834 0.0299094332112735 -0.008788397178076321 0.0008598549957185223 -0.009193987186134784 -0.0031792672213495623 -0.014203802065866062 -1.5641986836867175e-05 -5.381568859082141e-05 -4.911467609335793e-05
PC_7 0.00010516087833653967 -5.765709258406902e-06 3.501026367866817e-05 -6.381485771753103e-07 3.813821139862767e-09 -0.007267643515416824 -0.010162189568030748 -0.007220733222195331 0.0036461473793520023 0.36288347983069896 0.015026836384254165 -0.0010648229748655745 -0.016813970211679036 0.01991774378348908 0.005040029895568882 0.0330364898087385 0.011184878610387583 -0.03804099502657136 -0.025795269527108873 0.02909965310265337 -0.010149734243198595 -0.011743150736112895 0.0005088826379153517 0.010132885768260455 -0.017051731448930345 1.925325655083615e-06 -4.442677606637845e-06 -1.7674197952952655e-05
