(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.000768691710311424 0.000666903897717911 0.000191583143546594 -0.000299056583274474 -3.73398691449456e-05 2.80682822189425e-05 -9.20703111411526e-06 2.34534726535019e-05 -2.4913718755065e-05 -2.53412435057688e-05
covarage 0.000666903897717911 0.00180581601277094 0.00198198613414975 -0.00289835961415909 -2.46313208508473e-05 5.68644409203555e-05 1.55223166122475e-06 -8.32583668618972e-06 3.27528337497961e-05 6.73776488885752e-06
covarsex 0.000191583143546594 0.00198198613414975 0.00372462055696777 -0.00507294024096441 -2.31868094026727e-05 3.97617407150082e-05 -1.88769591729183e-05 1.86171756634354e-05 -3.11663527205446e-06 -6.19182772951202e-06
covarage_sex -0.000299056583274474 -0.00289835961415909 -0.00507294024096441 0.00757719061218199 2.97398629414495e-05 -2.35381953608159e-05 3.339734022714e-06 -3.02119649787736e-05 -9.07078627298511e-06 1.67784165162724e-05
covarPC_3 -3.73398691449456e-05 -2.46313208508473e-05 -2.31868094026727e-05 2.97398629414495e-05 0.000322090530185152 -2.89061525530135e-06 1.97344865836426e-06 -4.51162658625372e-06 2.12796147920666e-05 1.00540798209e-05
covarPC_4 2.80682822189425e-05 5.68644409203555e-05 3.97617407150082e-05 -2.35381953608159e-05 -2.89061525530135e-06 0.000382550557460262 9.45099480447476e-06 -1.61866388474547e-06 1.49035660293447e-05 7.7959844727531e-06
proband -9.20703111411526e-06 1.55223166122475e-06 -1.88769591729183e-05 3.339734022714e-06 1.97344865836426e-06 9.45099480447476e-06 0.000434301692696747 -0.000193438231241587 -1.05265735090541e-05 -1.11981092116411e-05
maternal 2.34534726535019e-05 -8.32583668618972e-06 1.86171756634354e-05 -3.02119649787736e-05 -4.51162658625372e-06 -1.61866388474547e-06 -0.000193438231241587 0.00222192016753757 -0.00169913494922404 -0.00190164103937318
gmm -2.4913718755065e-05 3.27528337497961e-05 -3.11663527205446e-06 -9.07078627298511e-06 2.12796147920666e-05 1.49035660293447e-05 -1.05265735090541e-05 -0.00169913494922404 0.00546689151800848 -0.0020426695491663
gpm -2.53412435057688e-05 6.73776488885752e-06 -6.19182772951202e-06 1.67784165162724e-05 1.00540798209e-05 7.7959844727531e-06 -1.11981092116411e-05 -0.00190164103937318 -0.0020426695491663 0.00576869303965946
