 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 0.00011781101884161828 8.247015947042648e-06 -2.2651452435468997e-07 2.1461567998341385e-09 -1.70051207050906e-05 1.512208765777824e-06 -4.192126699175317e-08 3.843191732122418e-10 2.233517683238181e-07 1.8129955187281735e-07 -1.5048767247120095e-07 -2.2817157235725364e-08 -7.814084978353542e-08 8.033087568668274e-08 -5.5390075607493865e-08 6.163170221562073e-08 -3.091723352170372e-08 -7.757293661730282e-08 -6.463339061096924e-08 -6.670200777621548e-08 2.6319815733886006e-08 3.214030906016311e-08 -2.0701914276008165e-08 -4.514566002250146e-08 -7.3327408586490546e-09 -6.808876820590224e-08 3.7829203532421924e-08 -4.427649459229566e-08 -7.271215411582372e-07
age 8.24701594696802e-06 0.0002647118242704439 -6.083070972932126e-06 4.343852093018966e-08 0.003272144592585866 -0.0002472762896015746 5.665771437789759e-06 -4.0301804816443235e-08 -4.5572348578137856e-08 1.9968303928243735e-07 -1.613626453702453e-07 2.0243810567330317e-07 1.317865090934577e-07 8.956616961738404e-08 9.262319384985764e-08 4.724699874691872e-08 9.259810785557572e-08 -3.5243157663684695e-07 -3.290049544128789e-08 2.7625831242922466e-08 -1.6938670540661364e-07 -2.786141446565744e-07 -2.0819482771803462e-07 2.4480374504579875e-07 1.705331558482866e-07 -1.325635736662308e-07 1.714098941273365e-07 3.380040889016288e-07 3.6204907639048645e-06
age2 -2.2651452435588484e-07 -6.083070972931785e-06 1.424307515200773e-07 -1.034056781691569e-09 -7.34871627568244e-05 5.673664588928275e-06 -1.325098928866069e-07 9.585634918307704e-10 3.0291279298290986e-09 -4.19816017312713e-09 2.9476121632023462e-09 -4.821267418942922e-09 -3.224127945631737e-09 -2.8732169800101833e-09 -1.4947886603166278e-09 -4.595946240338214e-10 -2.018557498709633e-09 8.046745862928716e-09 1.0258683372174746e-09 -5.168070850976287e-10 3.599570636851386e-09 5.5845575754792635e-09 3.757877735666186e-09 -4.967795914585924e-09 -4.57623649659578e-09 2.637019737896284e-09 -4.428053733479826e-09 -7.732423578381767e-09 -8.375133161994698e-08
age3 2.1461567998401082e-09 4.3438520930187735e-08 -1.034056781691598e-09 7.627536397438587e-12 5.144559736068328e-07 -4.040519954426589e-08 9.597677311534104e-10 -7.055466992988241e-12 -3.304012769558656e-11 3.099988565760436e-11 -1.9987977981812253e-11 3.4623931623028424e-11 2.2620146391784716e-11 2.5419322527109695e-11 7.457898412077909e-12 8.764659045626648e-13 1.5526391534207593e-11 -5.699719570540433e-11 -1.1028363798343282e-11 1.6900307572732513e-12 -2.4805179652665936e-11 -3.4091199813211344e-11 -2.1722613962906546e-11 3.1229504833098867e-11 3.630967553775396e-11 -1.6447435849407264e-11 3.426614363113742e-11 5.4101339921692353e-11 5.716836754367204e-10
sex -1.700512070426408e-05 0.0032721445925761664 -7.348716275659985e-05 5.144559736052193e-07 0.11326069802357565 -0.008471818971919417 0.00019327726633670182 -1.374545025235011e-06 -3.5790050372886785e-07 -9.586654223792587e-07 4.4247982773084186e-08 1.7517117387966494e-06 -1.7483752450200884e-06 -1.3631680116677134e-06 2.51549645147137e-06 -9.079800541880054e-07 -2.355927875136087e-06 -2.9976015753190356e-06 -6.415024595037231e-07 3.0599243780044328e-06 6.579619428141286e-07 -2.6336860150922284e-06 -4.145525333073038e-06 2.0826218754113374e-06 1.2253140082127683e-08 -1.7383177092943424e-06 3.968409928796261e-06 1.3396082876702232e-06 4.831598242695178e-05
agesex 1.512208765582813e-06 -0.00024727628960092 5.673664588913061e-06 -4.04051995441566e-08 -0.008471818971918793 0.0006508246559691063 -1.5153059159628751e-05 1.0952888346976294e-07 6.361911322366348e-08 9.532505029724022e-08 -1.153447741689648e-08 -9.215194147735773e-08 1.0436063759364338e-07 5.2709802834154245e-08 -1.122856577493145e-07 8.628106884088916e-08 1.7243861093982264e-07 2.405684451956026e-07 2.7345424590965044e-08 -2.26265974562076e-07 -9.315515561121628e-08 1.7441703862754302e-07 2.6981088136044653e-07 -9.332782498929548e-08 -8.281908377814306e-08 1.412321919062905e-07 -3.3419145502334787e-07 -1.0877062650307946e-07 -4.411069919599645e-06
age2sex -4.192126699951976e-08 5.665771437777666e-06 -1.3250989288632314e-07 9.59767731151326e-10 0.00019327726633667372 -1.5153059159627696e-05 3.593689966111134e-07 -2.6400031381978058e-09 -2.361602211963554e-09 -2.532603415735648e-09 2.3222669596828058e-10 1.830577239386822e-09 -2.1557760003610905e-09 -3.4875972847128196e-10 1.463937624392626e-09 -2.515351308871707e-09 -3.439801281675778e-09 -5.593861197568689e-09 -7.112564629575916e-10 4.98449252853226e-09 2.9610251977538975e-09 -3.0705829492734145e-09 -5.816177351321e-09 6.462119942647621e-10 3.119404946878902e-09 -3.6464037018743483e-09 8.127124610060188e-09 2.1476286518088367e-09 1.1676580498082578e-07
age3sex 3.843191731580332e-10 -4.03018048163137e-08 9.585634918277599e-10 -7.055466992966655e-12 -1.3745450252347125e-06 1.0952888346974803e-07 -2.6400031381976375e-09 1.9693493107595313e-11 1.9668701650824673e-11 2.0999459448859966e-11 3.5549387113340664e-14 -1.4234682907999784e-11 1.639778495456204e-11 -1.171744613872912e-12 -5.691823337369556e-12 1.9552495178498334e-11 1.9868506858371527e-11 3.9547892009180574e-11 5.802821934460411e-12 -3.402151812371827e-11 -2.541907809305557e-11 1.573911301043307e-11 4.064111617767652e-11 6.298800130351946e-12 -2.8146530629158322e-11 2.893752516665049e-11 -6.06272435866296e-11 -1.3052003703261468e-11 -9.560369980713856e-10
pcs.V3 2.2335176832389053e-07 -4.557234857829172e-08 3.0291279298325265e-09 -3.3040127695610136e-11 -3.5790050373404025e-07 6.361911322405342e-08 -2.3616022119724865e-09 1.966870165088842e-11 1.2448715957457406e-06 6.213302594214829e-08 -3.1739047516231286e-08 2.2539912804252704e-09 5.5058151200860236e-09 1.7394704709613445e-08 -5.459029303622791e-09 1.1615177395818313e-08 6.96670428492215e-09 1.1723661407329806e-09 -1.3521336156427036e-08 1.3229350534888564e-08 -3.2083724026702533e-09 -1.1747553545675855e-08 -1.4028307419154992e-08 -1.6672941431833623e-08 -3.841902379755099e-09 -9.635345476415368e-09 1.020750062485591e-08 -2.5213907163131226e-10 9.528193032646646e-07
pcs.V4 1.812995518727875e-07 1.996830392829545e-07 -4.1981601731390495e-09 3.099988565768951e-11 -9.586654223658873e-07 9.532505029620547e-08 -2.532603415711399e-09 2.0999459448683728e-11 6.213302594214821e-08 1.3053678984178223e-06 2.1049430922676262e-08 -3.604273798556101e-09 1.6102265533938705e-08 -1.8477194569049234e-08 -6.587490615432516e-09 1.8631103910034023e-08 -4.697030312573296e-09 -2.82400386366065e-09 6.8467405042542586e-09 -1.1587114483746817e-08 -6.656681934777059e-09 1.4258506825477506e-08 7.920955167722007e-09 2.159982131086267e-09 7.561740112553927e-09 -2.8809971950089996e-09 -2.193578928448509e-10 9.964783837280719e-10 -6.385432113582642e-07
pcs.V5 -1.504876724711914e-07 -1.61362645370358e-07 2.947612163204929e-09 -1.998797798183055e-11 4.424798276937657e-08 -1.1534477416605567e-08 2.3222669596137766e-10 3.554938716404714e-14 -3.173904751623127e-08 2.104943092267629e-08 1.3485997310609191e-06 1.0857097468370842e-08 -3.0369447792088384e-09 -1.9491080687355505e-08 3.989738379516674e-09 -6.687022825374806e-09 1.7768596370968917e-08 1.515277756906928e-08 9.862691264393537e-09 1.4030475640222064e-09 1.1470045293673735e-08 1.2880298150308752e-08 -1.1761232648695595e-08 -6.134505368405e-09 1.1636085186886778e-08 9.399853829772218e-09 6.63522150347455e-09 6.663499472833579e-10 1.980999806207183e-07
pcs.V6 -2.2817157235751387e-08 2.024381056735582e-07 -4.821267418948724e-09 3.4623931623069286e-11 1.751711738807927e-06 -9.215194147823656e-08 1.83057723940756e-09 -1.4234682908151541e-11 2.2539912804253225e-09 -3.6042737985563614e-09 1.085709746837088e-08 1.3360326724786172e-06 5.604962191884043e-09 -1.3205267954824708e-09 1.2073580474956549e-08 -8.020423021518611e-09 2.4828428200848677e-08 3.1788374333005243e-09 -1.3655964290924904e-08 -1.3097320517353231e-08 4.346790251021775e-09 6.803829609592624e-09 -2.557443524748699e-09 2.409923544381243e-09 -9.057361275918299e-11 5.919860515837847e-09 -3.1380915846778584e-08 -1.1248375956624169e-08 3.0501761505477936e-07
pcs.V7 -7.81408497835808e-08 1.3178650909377063e-07 -3.2241279456389333e-09 2.2620146391835914e-11 -1.748375245012596e-06 1.0436063759307093e-07 -2.1557760003478312e-09 1.6397784954466803e-11 5.505815120085983e-09 1.6102265533938765e-08 -3.036944779208881e-09 5.604962191884293e-09 1.4952317558385707e-06 8.486847217211254e-09 -6.944454535830987e-09 -2.045551937915275e-08 2.8282257603007815e-09 -9.143808665628258e-09 1.45983307499656e-08 -7.0120937241255955e-09 -4.799598364487935e-09 -5.394719870629828e-09 -2.4164747410957745e-08 1.0407668577279387e-08 7.404774776434554e-09 -2.6583190978102655e-08 -1.1270055656962293e-08 -2.5294193468367843e-09 -5.686147580141188e-08
pcs.V8 8.03308756866446e-08 8.956616961762378e-08 -2.873216980015692e-09 2.541932252714884e-11 -1.3631680116619986e-06 5.2709802833713e-08 -3.4875972846096805e-10 -1.1717446139476491e-12 1.739470470961337e-08 -1.8477194569049227e-08 -1.9491080687355512e-08 -1.3205267954823568e-09 8.486847217211246e-09 1.4778054420288888e-06 1.765895857729228e-08 -5.482752601163258e-09 -9.275502476346808e-10 4.139495263163166e-08 7.908331278518495e-09 -3.0155952327979515e-08 6.183601243019496e-09 4.78264431077273e-09 -8.496718806119842e-09 1.9566921695872242e-08 2.6363225614844185e-08 1.0586197285482234e-08 4.6040892679363e-09 2.1710411546487368e-09 -3.339439774400949e-08
pcs.V9 -5.5390075607509714e-08 9.262319384986734e-08 -1.4947886603168048e-09 7.45789841207882e-12 2.5154964514749774e-06 -1.1228565774959793e-07 1.4639376243993787e-09 -5.691823337419429e-12 -5.4590293036226694e-09 -6.5874906154326795e-09 3.9897383795167166e-09 1.2073580474956453e-08 -6.944454535831121e-09 1.765895857729218e-08 1.4611563358701743e-06 -7.14458651486964e-09 1.3141516214113174e-08 -7.181007761448267e-10 4.1250152353143814e-09 -1.5701699374757466e-08 -2.2372720808653114e-09 -1.1064403722860402e-08 3.2996636749303163e-09 -1.4343043339586565e-08 -2.5475559833445362e-08 -1.3720732167458157e-08 -3.2477761527245863e-09 1.36551546885184e-08 9.650892804412986e-08
pcs.V10 6.16317022156027e-08 4.724699874708305e-08 -4.595946240376923e-10 8.764659045908561e-13 -9.079800541849651e-07 8.628106884065586e-08 -2.5153513088662822e-09 1.9552495178459198e-11 1.1615177395818288e-08 1.8631103910034133e-08 -6.687022825374853e-09 -8.020423021518477e-09 -2.0455519379152733e-08 -5.482752601163219e-09 -7.14458651486957e-09 1.4670543109469034e-06 6.972286820186193e-09 1.3208681004424361e-08 5.589966326262732e-09 -1.3274494896906512e-09 -2.013192634522359e-08 6.8658972359015e-10 9.292216881133864e-09 6.449237023465392e-09 -1.2018000063891277e-09 2.0413191372986138e-08 2.2415002777583763e-10 -7.364407118535632e-09 3.5484064098608496e-07
pcs.V11 -3.0917233521716527e-08 9.259810785599634e-08 -2.0185574987193202e-09 1.5526391534276766e-11 -2.3559278751266867e-06 1.7243861093910388e-07 -3.4398012816591162e-09 1.9868506858251696e-11 6.966704284922024e-09 -4.697030312573211e-09 1.7768596370968874e-08 2.4828428200848955e-08 2.82822576030082e-09 -9.275502476346469e-10 1.314151621411334e-08 6.97228682018615e-09 1.4446689505485078e-06 2.2720187000044984e-09 1.1265439279707845e-08 -1.5520206030994443e-08 -1.4123143809335024e-09 -1.2588669434451967e-08 5.4265799344102044e-09 9.692378792409364e-09 -7.089680006637641e-10 6.230795360887076e-09 -1.5562427613057858e-08 1.3370333181126324e-08 3.342835423982405e-08
pcs.V12 -7.757293661725409e-08 -3.524315766369412e-07 8.04674586293066e-09 -5.699719570541652e-11 -2.9976015753299394e-06 2.405684451964684e-07 -5.593861197589473e-09 3.954789200933501e-11 1.1723661407328472e-09 -2.8240038636601137e-09 1.5152777569069174e-08 3.178837433300736e-09 -9.143808665627904e-09 4.13949526316319e-08 -7.181007761448506e-10 1.3208681004424561e-08 2.272018700004963e-09 1.4499183815730476e-06 -1.9557766153248103e-08 -7.547869543065301e-09 -4.0507914809046355e-09 9.134537175367228e-09 -8.820396033176422e-09 -3.5019293181856802e-09 -1.344106211042808e-08 5.883098219083267e-09 -1.8122865467134994e-08 1.920621007586819e-08 -5.528110501478475e-09
pcs.V13 -6.463339061096578e-08 -3.290049544129795e-08 1.0258683372177054e-09 -1.1028363798344896e-11 -6.415024595041739e-07 2.7345424591002585e-08 -7.112564629585255e-10 5.802821934467596e-12 -1.3521336156427066e-08 6.846740504254256e-09 9.862691264393545e-09 -1.3655964290924871e-08 1.4598330749965607e-08 7.90833127851848e-09 4.125015235314372e-09 5.589966326262742e-09 1.1265439279707866e-08 -1.9557766153248093e-08 1.4798999082217211e-06 4.086496670094947e-09 -1.3696523167484138e-08 -1.0826124920312146e-09 -2.310738634825374e-08 -1.0856704585873412e-08 -1.9558458175800394e-08 -2.8761834518810267e-09 1.2364117079340152e-08 2.671063373296523e-09 -1.286097048341627e-07
