 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gpm gmp gmm
intercept 0.03931864525459149 0.01689611469837816 -0.0005254665927227892 5.199945119874015e-06 0.06532372630988352 -0.006482032083252695 0.00020253836158151732 -2.0096405429014104e-06 4.731550824660516e-06 9.638461936832625e-06 -8.278335762325608e-06 -5.744012047074491e-06 2.230165594490295e-05 -2.565585387261261e-05 -2.2041656282858178e-05 9.295788979412385e-06 -1.4222264603667914e-05 8.314710537453705e-06 -4.9007441316454565e-05 -2.7148587427270765e-05 -2.8319395840551548e-05 5.358676192193167e-06 -1.695678419208726e-05 -2.9791724938457096e-05 -1.805309788271991e-05 -2.196384295485504e-05 3.880022516379862e-05 -1.0457281651328067e-05 -0.00013010759523519685 0.0008114424799215293 0.00021410259378309743 -0.0003096014642311117 -0.0008556716296506548 0.00043044301387117507 -0.00040141673818663934
age 0.016896114698444438 0.0189966475988382 -0.0005470795093894101 4.989669599380179e-06 0.20655038712403298 -0.018917000154122163 0.0005448600950557853 -4.970340888148413e-06 -4.114877395388527e-06 -9.81488941568813e-06 -1.342200284994707e-05 4.772870213930114e-06 2.2301824021331427e-06 1.3357068149387163e-05 -2.1435001080266065e-05 2.1068049457016308e-06 -8.488745419153763e-06 5.9298855689905135e-06 1.432292193261306e-06 1.4393028593763993e-05 6.9173773282849164e-06 -3.060274579602736e-06 -2.03794007210984e-05 -1.7573492896255796e-05 -2.8353105938296446e-05 -1.0709581494442975e-05 -1.3316245887359237e-05 7.3415412972821426e-06 -3.702402340167981e-05 0.00018199683731196 -0.000461759609455842 0.0008247848769653594 -0.000890742666797553 0.0003884931144486512 0.0003506820575464628
age2 -0.0005254665927248045 -0.000547079509389434 1.593065756225294e-05 -1.4682220028562337e-07 -0.005882122897545817 0.0005447891814235333 -1.586077770208667e-05 1.4615538281327832e-07 1.057429000973749e-07 3.498327578927933e-07 3.766162271345989e-07 -1.2584400945836392e-07 -8.242443718377879e-08 -3.651472773199913e-07 6.188901590659394e-07 -4.542347400981655e-08 2.2164018617052672e-07 -2.4022963084776013e-07 8.752362790648229e-08 -4.107913043912338e-07 -1.3522934423434511e-07 4.421242843646706e-08 6.00329620767151e-07 5.681075145629541e-07 8.013616087272545e-07 3.4043818887890853e-07 2.9279633665423287e-07 -2.1134148426662469e-07 1.7981620871683417e-06 -5.810810421743967e-06 1.2050641241206696e-05 -2.048245362889424e-05 2.3671243148230443e-05 -1.2417401953271074e-05 -7.964379064590162e-06
age3 5.199945119890444e-06 4.9896695993789916e-06 -1.4682220028558298e-07 1.3675610872124233e-09 5.315497621824754e-05 -4.971846681909286e-06 1.4622743150203424e-07 -1.3613875641104225e-09 -7.546207551760552e-10 -3.544593348090106e-09 -3.350702130615573e-09 9.815001596274286e-10 7.076169725405935e-10 3.1016027660528673e-09 -5.785761067314699e-09 4.527972476362857e-10 -1.852750962425592e-09 2.7997908502854705e-09 -1.9197480572455673e-09 3.66824523657294e-09 6.25154561420958e-10 -2.039755784665062e-10 -5.5775556933644235e-09 -5.7521980744625525e-09 -7.028583311561842e-09 -3.287836352257446e-09 -1.9170538569660226e-09 1.9098884382871004e-09 -2.230735919389123e-08 5.710908498748955e-08 -9.61982380667691e-08 1.6094016727418354e-07 -2.0566681816610736e-07 1.2173171583856076e-07 5.3343316293289894e-08
sex 0.06532372631179036 0.20655038712517781 -0.005882122897579853 5.315497621856773e-05 4.758314495265699 -0.426578317878711 0.01204779552970325 -0.00010794509407475933 8.041596235599636e-05 -0.00018090936447342552 0.00011487494297095583 0.00017015155813889838 -0.00019519703173603468 0.0004239444239351871 -0.0003585281995151306 5.973066809455972e-05 7.232164904485062e-05 0.00034286525796087654 0.0004548590721584361 0.00045785015633311213 0.0001345225317739613 -0.0002199720390292112 -0.0002670103425678766 -0.0003712962798869555 -0.00019087076778997179 8.341041117285483e-05 -0.0003003488568857947 0.00036693857024517435 -0.0006030080107717247 -0.002839456290871298 -0.010567798273290432 0.015778534129832482 -0.011323941079783325 0.00584002894719135 0.012838837731867505
agesex -0.006482032083424458 -0.018917000154216976 0.0005447891814263956 -4.9718466819365565e-06 -0.4265783178786644 0.03875577012142499 -0.0011074632280512725 1.0025282172842571e-05 -5.491522612043098e-06 1.705740181476706e-05 -9.057407427787581e-06 -1.6635777412957745e-05 1.942432162864174e-05 -3.972557835988541e-05 3.342033958496609e-05 -3.1885003797448196e-06 -8.16113959082672e-06 -3.284666853786486e-05 -3.7580984339611824e-05 -4.5191070790152706e-05 -1.2747065872530597e-05 1.750964793759954e-05 2.4003217263748835e-05 3.47262231928171e-05 1.67792684711607e-05 -6.499222663725549e-06 2.5704557892020666e-05 -3.5133344147918975e-05 5.9799326328803024e-05 0.0002685893043150093 0.0008984777949951638 -0.0013728780505385442 0.0009889306596883763 -0.0006387313063533318 -0.0009922351617309873
age2sex 0.00020253836158617722 0.0005448600950584253 -1.5860777702166223e-05 1.462274315027897e-07 0.012047795529700586 -0.0011074632280511523 3.200821932443877e-05 -2.9287634466415915e-07 1.2501384301933048e-07 -5.190537634787712e-07 2.1464806411107656e-07 4.876540271146033e-07 -6.245073497716391e-07 1.1760987973691065e-06 -9.739822222205096e-07 5.0335431147195144e-08 2.692488512509661e-07 9.810546606887903e-07 9.486121231837658e-07 1.3827731168789066e-06 3.835455642693908e-07 -4.262221292040427e-07 -7.064664478754261e-07 -1.0255898035930272e-06 -4.717171858582219e-07 1.5961243867191912e-07 -7.315435852894887e-07 1.026421475051433e-06 -1.7924634400430114e-06 -7.5275911868705844e-06 -2.3695980676852153e-05 3.639438017783709e-05 -2.7630720132650758e-05 1.983079713206269e-05 2.4240617129250207e-05
age3sex -2.0096405429448747e-06 -4.970340888173315e-06 1.4615538281401995e-07 -1.3613875641174107e-09 -0.00010794509407472346 1.0025282172840415e-05 -2.928763446641286e-07 2.7089695040787902e-09 -9.574060541906118e-10 5.187603874287434e-09 -1.4692308716588845e-09 -4.390424712874172e-09 6.490856711283251e-09 -1.1058689183275993e-08 8.978711226389872e-09 -2.8014057583123535e-10 -2.6703889980109123e-09 -9.306131694702642e-09 -7.482878840897888e-09 -1.322781606238845e-08 -3.6628492073907473e-09 3.512824804772727e-09 6.425988144825733e-09 9.56230468878739e-09 4.044497625831412e-09 -1.28144946115864e-09 6.813456907866417e-09 -9.44216079803922e-09 1.715650213329989e-08 6.993842377696491e-08 1.9804911107357742e-07 -3.035041948768732e-07 2.4403670664025433e-07 -1.8953265848332167e-07 -1.885826314632237e-07
pcs.V3 4.731550824688085e-06 -4.1148773953527854e-06 1.0574290009633655e-07 -7.546207551665052e-10 8.041596235653128e-05 -5.491522612092135e-06 1.250138430207425e-07 -9.57406054203481e-10 9.268587378778146e-06 1.5126511552742387e-06 5.567397243303666e-07 5.7431517593321734e-08 -6.814791301632178e-08 9.497032280010821e-08 -2.6724991692585135e-07 1.2253834139913183e-07 -2.849918888430886e-07 1.7410018369230623e-08 -4.072045236072053e-07 -2.650242029358398e-07 9.078369303122735e-08 3.415367911649379e-07 -3.654614394473765e-07 3.271850578938818e-07 -5.509530798779838e-08 -5.252603224788179e-08 -1.6130143156775716e-07 2.851881229815879e-07 1.263609307277961e-05 5.520538187602544e-06 -1.7638855921231228e-06 -1.9798385487169677e-05 1.6418890413757308e-05 -4.206786932826297e-06 7.962273975598782e-06
pcs.V4 9.63846193677691e-06 -9.814889415695229e-06 3.4983275789304224e-07 -3.5445933480927456e-09 -0.00018090936447267254 1.705740181470018e-05 -5.190537634769046e-07 5.1876038742709385e-09 1.512651155274267e-06 9.50967036139116e-06 7.536651613485461e-07 3.556172555093564e-07 7.672813236886286e-07 -1.1380199360119179e-07 -5.683012699166908e-07 -1.0102598983213289e-07 -1.5272035271277927e-07 -4.794229761970211e-07 -9.507614151995305e-08 -4.147041566715404e-07 -8.792737651254276e-08 7.94942802227068e-07 -4.777407754080052e-08 3.935097345042745e-07 5.946780261492584e-07 5.991412507168845e-07 -1.4636913610506864e-07 2.950234449533653e-07 1.659890704388508e-06 -4.035472556112372e-06 6.086706342007085e-06 -1.1799064398465659e-05 3.1190330769147836e-06 -3.004884516527763e-05 1.4232943696578544e-05
