 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.00011293443037560535 9.194260266011742e-06 -3.197609293336072e-07 3.1349484253689347e-09 -4.631267444508446e-05 3.474348366068126e-06 -8.754657614062034e-08 7.473730211582638e-10 6.532832606585744e-07 2.384895163852493e-09 -1.623088413002509e-07 2.200737622886756e-08 -4.218370920214626e-08 1.0552933460591313e-07 -2.231857353260242e-07 1.746265027769293e-07 -8.09882134142756e-09 -1.8086461489824191e-07 -3.436513725050285e-08 3.0840136205870687e-09 -9.983420339860602e-08 1.079769837101052e-07 -1.0364718652207846e-07 -9.932938053652584e-08 -2.297076584157389e-08 -1.6915599109730852e-07 1.510666317779147e-09 1.218553281640537e-07 -2.1744222196967186e-05 -2.530718507754288e-05 3.3070063614428246e-05 2.6994329938198063e-05
age 9.194260266001026e-06 0.00040756756143795224 -9.163538858945844e-06 6.441635458864105e-08 0.005261323012604879 -0.00038711212591532423 8.718450786616467e-06 -6.136758059207806e-08 5.679526712588348e-07 2.0217652066117902e-07 -9.913671023190697e-08 2.1353589106559226e-07 2.3794388918319022e-07 1.3309643399094914e-07 4.571050909143063e-08 4.2969517836081255e-07 2.7045064815053127e-07 -7.029909351657508e-07 3.896217094638824e-08 1.361717295204301e-08 -4.998058911321961e-07 -3.1118861146156886e-07 -1.1367242455399352e-07 4.297824882608074e-08 2.866798459734021e-07 -7.683395096405345e-08 4.632959070748079e-07 4.82593193348735e-07 -1.368925723924696e-06 -3.4808848865258004e-06 5.337919197912219e-06 9.7511466393158e-06
age2 -3.197609293357797e-07 -9.163538858944772e-06 2.099647329746548e-07 -1.5006811961570934e-09 -0.00011597435736326265 8.72282506713568e-06 -2.0023512383335687e-07 1.4330796696589325e-09 -1.0545121089843843e-08 -4.920595035856044e-09 1.1061861673221527e-09 -5.01534627273597e-09 -5.827560764131305e-09 -4.153886597660339e-09 6.516105556898894e-10 -9.05761909721351e-09 -6.6669555786137095e-09 1.5315549403089796e-08 -9.359241647004426e-10 1.299562381715481e-10 1.0687921930656807e-08 5.361388713311816e-09 1.8104722299526533e-09 -6.173042492363405e-10 -7.373858499783444e-09 1.5305167513273987e-09 -1.1224376955660415e-08 -1.1825370166176733e-08 3.655881026672392e-08 9.117949247768272e-08 -1.4858792114411737e-07 -2.0365483766524003e-07
age3 3.134948425376739e-09 6.441635458860625e-08 -1.5006811961565349e-09 1.0895164232055122e-11 8.023695600136074e-07 -6.142091602075861e-08 1.4336792957037657e-09 -1.0422855198220196e-11 5.993594825480495e-11 4.276332737725313e-11 -5.029627923013298e-12 3.5381761687929694e-11 4.079510232455025e-11 3.740118150339654e-11 -1.2692962460543872e-11 6.241165205047816e-11 5.1177988410099895e-11 -1.043854307865321e-10 2.2657577214758367e-12 -3.7422492311603825e-12 -7.273253513040906e-11 -2.6211345754819114e-11 -8.973170641159597e-12 1.6877656508323421e-12 5.614304633379006e-11 -9.441667909634484e-12 8.448527652553825e-11 8.759666089026526e-11 -3.279251239080008e-10 -7.492829651115124e-10 1.2024921672828194e-09 1.3903809579859668e-09
sex -4.631267444645293e-05 0.0052613230125914245 -0.00011597435736296668 8.023695600115647e-07 0.19109772634947184 -0.013922497180137152 0.00031218681384253383 -2.1959634037511045e-06 8.487677080548577e-08 2.007667395725431e-06 -2.988691449308867e-07 1.14541862778813e-06 3.7854066489072004e-06 -6.708934889421762e-06 4.092445222915617e-06 4.9463654199403385e-06 -4.4190820269212445e-06 -1.7181536630488055e-06 -4.4171869086246235e-06 2.7348390573125384e-06 -1.7090488541828425e-06 2.255174653450249e-07 5.421624709589426e-07 -5.275560494895622e-07 -1.324412560471725e-06 -3.833624379126193e-06 1.0020325830796028e-05 1.5016228224207271e-06 1.3619539195451666e-06 0.00010768342159471109 -3.124322876786746e-05 6.768318691869632e-05
agesex 3.4743483658583903e-06 -0.00038711212591385996 8.722825067103294e-06 -6.14209160205347e-08 -0.013922497180135251 0.0010419139455333229 -2.3842044883281956e-05 1.7044440193554613e-07 3.071213187858729e-08 -1.3716144852577352e-07 -2.9008953446651832e-08 -1.6544811005146393e-08 -2.9046829749580687e-07 4.7393036518995265e-07 -1.5168257421825939e-07 -3.765090439731499e-07 1.971005977215543e-07 1.2576183207926194e-07 2.6627355915679714e-07 -2.1658978729494556e-07 7.410916914717025e-08 -1.2278759039273865e-07 -2.0523335583294345e-10 1.215222187732767e-07 -5.4799636484180865e-08 2.563976490284763e-07 -8.180697219647208e-07 -1.8638512413742425e-07 -1.3831947992993092e-07 -5.831893816284165e-06 -5.937078853306798e-07 -6.311095883858894e-06
age2sex -8.754657614420727e-08 8.718450786583048e-06 -2.002351238326209e-07 1.4336792956986843e-09 0.00031218681384245073 -2.3842044883279e-05 5.553635181690048e-07 -4.0323357956514235e-09 -1.7524246887364651e-09 2.9825532488127183e-09 1.633645830131724e-09 -3.6052935623245617e-10 6.540588546307863e-09 -1.0532653180519539e-08 1.5498685570661003e-09 8.72964720598814e-09 -2.167870306138552e-09 -2.4645734116095404e-09 -5.7410733936134925e-09 4.750689686643266e-09 -9.074998314336303e-10 5.2780478843272465e-09 -1.010944590001682e-09 -4.7215110505294e-09 3.6463763931975616e-09 -5.88753610784297e-09 1.9657198936029963e-08 5.191878269530615e-09 4.524157671863527e-09 9.104419463741033e-08 6.170101367193664e-08 1.7657380944532167e-07
age3sex 7.473730210224437e-10 -6.136758059171385e-08 1.4330796696508503e-09 -1.0422855198164296e-11 -2.1959634037502553e-06 1.704444019355058e-07 -4.0323357956509834e-09 2.970576128317503e-11 1.50859260641231e-11 -2.013156979650408e-11 -1.6144656672819315e-11 4.3360450460377696e-12 -4.28269290710199e-11 7.604135901947999e-11 -4.203879078046231e-12 -6.711272726902712e-11 1.6086056478767987e-12 1.3998244735091247e-11 4.0837070610952324e-11 -3.2358426682535224e-11 3.305967030734637e-12 -5.2486058064375554e-11 1.5037206932266846e-11 4.674691670428685e-11 -3.7896634024522223e-11 4.407353687771275e-11 -1.4457294703317876e-10 -4.4263679612086804e-11 -7.774207683056837e-11 -4.310208103493726e-10 -6.899914153576571e-10 -1.4867150713835522e-09
pcs.V3 6.532832606585426e-07 5.679526712596067e-07 -1.054512108986138e-08 5.993594825492933e-11 8.487677083511615e-08 3.071213187632351e-08 -1.7524246886836846e-09 1.5085926063739488e-11 1.2375568913488882e-06 1.468960796899038e-07 -2.7861147247260727e-08 1.2830168341372772e-08 2.5858959593977967e-08 2.502918544522472e-08 -3.619031281821825e-08 1.7034714428359283e-08 2.3338891368600753e-08 -1.2124926432629857e-08 1.457080267174885e-09 2.5034545508121294e-08 -1.849561053307872e-08 -1.935275285561976e-08 -3.2274921635551823e-08 -3.078844538265376e-09 -1.4264069121686499e-08 -2.3564507484201872e-08 8.35399236815817e-09 2.49606415551378e-08 4.5957896188485544e-07 4.883616272005742e-07 4.1274643050418896e-07 5.881009072715488e-07
pcs.V4 2.384895163836112e-09 2.0217652066142559e-07 -4.920595035861663e-09 4.27633273772931e-11 2.0076673957374856e-06 -1.3716144852670433e-07 2.9825532488346204e-09 -2.013156979666462e-11 1.468960796899037e-07 1.3585835110444644e-06 6.170310124047904e-08 -1.595595007711002e-08 3.3714864213412344e-08 -4.97128236263582e-08 -1.742146625042033e-08 2.4125795739432034e-08 4.2507783317050495e-09 -1.4870477245440815e-09 1.1349421103711207e-08 -9.140434505019768e-09 -1.725000888991368e-08 6.383661314115466e-09 -3.974128419264485e-09 8.022527755406664e-09 7.804369756510167e-09 -1.800822965409577e-10 1.3948260565759182e-08 1.1634155998213279e-08 2.7677825033905577e-07 3.0495119820182926e-07 -1.158070143243715e-06 -9.71081326143006e-07
