 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
pcs.V5 -2.3648881578138926e-07 -3.9182091236805536e-08 -1.828294509252911e-10 3.2676151109717707e-12 -1.3368057952798398e-06 7.999608767105429e-08 -1.317742899339457e-09 7.1720908125335526e-12 -4.3249887341009066e-08 6.119666420018619e-08 1.6546391455453611e-06 1.8485447687253092e-08 -1.0406854796355386e-08 -4.0702322977113974e-08 1.645833373170694e-08 -1.577784329927501e-08 1.085091976565288e-08 4.336603409188185e-08 8.528739361805127e-09 1.001083719473941e-08 9.53488242912695e-09 2.4376294918860193e-08 -2.602354808118703e-08 -1.5680611842502285e-08 4.024656876715791e-09 2.2855447981776257e-08 -9.058916598103237e-09 -2.4387791276243883e-09 7.438529588006885e-08 -9.19314956459663e-08 7.288587208708863e-07 -3.4490606951797353e-07
pcs.V6 -4.142279425083999e-08 2.160276844634406e-07 -5.139585138026132e-09 3.625057221916364e-11 5.529438283730646e-07 5.1734038609408314e-08 -2.3817958865610105e-09 2.0455695968358135e-11 1.1896388734108861e-08 -2.090922218691558e-08 1.8485447687253023e-08 1.5857659793737976e-06 6.3226193596284915e-09 -8.016535225769165e-09 1.6941826653310736e-08 -7.087298151029374e-09 4.90792608190709e-08 -9.594585715693695e-09 -1.8015412164272893e-08 -9.2555497853258e-09 1.3129130284833392e-08 -2.585793485577129e-09 -4.227931603701318e-09 6.173727655008717e-10 -5.982099944387163e-09 1.450537943164822e-08 -3.2909688174703233e-08 -1.5969271254702423e-08 -1.1374287520539516e-07 -3.368544121900947e-07 8.560026331595745e-07 4.817105186088976e-07
pcs.V7 2.797481982457534e-08 2.165919447069266e-07 -5.273207933753849e-09 3.579247333200913e-11 1.0815391528146867e-06 -9.568780187261768e-08 2.1395551196271593e-09 -1.1475684982554057e-11 3.28120990638621e-08 3.070609594057691e-08 -1.0406854796355332e-08 6.322619359628481e-09 1.8009250759950553e-06 5.607771709833519e-09 -1.4019119314056463e-09 -3.3652943462984075e-08 3.7144120506901296e-09 -3.728114245108132e-09 2.6416379674241645e-08 -7.177438344459991e-09 -7.120459598133812e-09 -4.254530746590279e-09 -3.112226142403848e-08 1.1890406970285464e-08 2.0726566988246917e-08 -4.739754262114626e-08 -5.8029922249712335e-09 -9.321554572994829e-09 3.946610828127346e-08 -3.9656347428718754e-08 2.8694472989197467e-07 -4.6448112901231957e-07
pcs.V8 1.1402085910969688e-07 7.071126757900215e-08 -3.2140602618746525e-09 3.2073754411060634e-11 -7.682587893709382e-06 4.7269873794577683e-07 -9.26951255236379e-09 6.01209866581721e-11 3.122191404004764e-08 -5.5855239042498806e-08 -4.070232297711426e-08 -8.016535225769286e-09 5.607771709833629e-09 1.7888829688930474e-06 1.9613507699838938e-08 -1.6286206480779998e-08 -8.821322308832744e-09 5.666704141758642e-08 1.1781527748733297e-08 -3.032516648636002e-08 5.17779532766583e-09 3.70098067540025e-09 -4.693033752399796e-09 2.479094878040078e-08 1.6209269273552473e-08 3.096578926549904e-08 1.9252661510811804e-09 -4.670472085950497e-09 -8.185879202117477e-08 -1.8239865687528776e-07 2.833290149886467e-07 -7.65532759725054e-08
pcs.V9 -1.836331456228712e-07 8.94941412054876e-08 -5.798447139271298e-10 -2.7383803334811e-12 6.440095319341859e-06 -3.1808587600840244e-07 5.240268156690892e-09 -2.8610215413007506e-11 -3.325897122920544e-08 -1.805724016841977e-08 1.6458333731707156e-08 1.694182665331089e-08 -1.4019119314057542e-09 1.961350769983901e-08 1.760418704337451e-06 -1.4112457417645056e-08 1.1270610123084909e-08 2.941389906667724e-08 2.682755115537223e-08 -1.128523218142539e-08 -1.9831813690387192e-09 -1.1648372054991285e-10 2.671527706633094e-09 -3.4493254512340555e-08 -5.117256369547879e-08 -9.400582443423784e-09 -5.399089203124423e-09 1.2228509181115743e-08 7.329855143414078e-08 -1.570634653244254e-07 3.3952514400960597e-07 -2.2330799074800947e-07
pcs.V10 1.7374082022770567e-07 2.396119812622478e-07 -3.770248157590545e-09 1.846628671640088e-11 1.7175883430126473e-06 -7.198257969554329e-08 3.492847787456959e-10 2.9987690059178613e-12 2.2921411721612864e-08 3.573345969449184e-08 -1.5777843299275048e-08 -7.087298151029384e-09 -3.3652943462983976e-08 -1.6286206480780365e-08 -1.4112457417644905e-08 1.7793145403726975e-06 7.525363042507225e-09 1.1774244098477144e-08 2.0675999439434025e-08 8.419597693099296e-09 -3.109271596237528e-08 2.7586654558951253e-09 -2.9155486046076064e-09 -4.82188142917792e-09 2.5570744635607877e-09 3.5100196130936086e-08 -3.6635514030781817e-09 -1.015847862235831e-08 2.624699569100261e-07 1.8934906993268986e-07 3.462379689149792e-07 1.054935730422235e-07
pcs.V11 4.929501478095944e-08 3.8389244003499494e-07 -8.960506953442229e-09 6.616823051197752e-11 -3.7768045554272393e-06 2.0145810758655956e-07 -3.0595613199009362e-09 1.220189641448982e-11 2.1713006415775068e-08 -7.689719826145968e-09 1.0850919765652786e-08 4.9079260819070804e-08 3.7144120506901e-09 -8.821322308832238e-09 1.127061012308472e-08 7.52536304250723e-09 1.7247975380449416e-06 -2.6308400261487165e-08 1.1678989672935438e-08 -7.291578385479582e-09 -1.155059920903522e-08 -9.530299562855565e-09 -4.682294969117116e-09 1.696800057954402e-08 -3.237135565445214e-09 -1.4966299253481736e-09 -2.3498219586624854e-08 1.0930317359163259e-08 -2.3356224928258906e-08 -5.800502742520879e-08 1.8102506673266184e-07 1.0104560949716573e-07
pcs.V12 -2.3332391897530812e-07 -5.39834447191146e-07 1.1943020110121176e-08 -8.260848646877364e-11 1.5937255142018766e-06 -1.1303241611504137e-07 2.4418228551662974e-09 -1.6477789045638244e-11 -1.5246071274122155e-08 -7.324120564588455e-09 4.336603409188192e-08 -9.594585715693647e-09 -3.728114245108163e-09 5.6667041417586565e-08 2.9413899066677238e-08 1.1774244098477106e-08 -2.6308400261487165e-08 1.751165390267855e-06 -6.332066248244128e-09 -3.95567462745519e-09 -2.801289428072587e-09 2.0587673442118462e-08 -2.068780713463264e-09 -1.530061113080239e-08 -1.7390912141251497e-08 1.767686910817515e-08 -3.93714974985161e-08 3.7341943155333146e-08 2.1466965815707107e-07 2.6992600574646366e-07 -3.589891444747906e-07 -3.632999927632319e-07
pcs.V13 -1.609732592698583e-07 7.658003413958074e-08 -1.328789149579596e-09 1.8761266588812134e-12 -3.3670270019282513e-06 1.884198376402082e-07 -4.187075768227348e-09 3.024769616776725e-11 -4.277732615979491e-09 1.2300953483873712e-08 8.52873936180502e-09 -1.8015412164272854e-08 2.6416379674241725e-08 1.178152774873352e-08 2.6827551155371984e-08 2.067599943943418e-08 1.1678989672935544e-08 -6.3320662482443485e-09 1.804874311209066e-06 2.0960372354251115e-08 -2.7252138313459215e-08 2.559121129044876e-08 -5.5834510257491266e-08 -2.1189031659479585e-08 -2.111810691933876e-08 5.291559437601102e-09 2.507241102531939e-08 2.940406285069375e-08 1.1579113952962258e-07 1.0118411104675517e-07 6.676324067352467e-09 -5.749791044441806e-07
pcs.V14 -4.16706316508545e-08 1.8118090418569433e-08 8.090387421309168e-11 -4.605263310991873e-12 1.4514518711023538e-06 -1.225106461238068e-07 2.903249963269173e-09 -2.0948361321698243e-11 2.3196005332199334e-08 -1.953864667021991e-08 1.001083719473949e-08 -9.255549785325747e-09 -7.177438344460014e-09 -3.0325166486359994e-08 -1.1285232181425343e-08 8.41959769309924e-09 -7.291578385479552e-09 -3.955674627455183e-09 2.0960372354251168e-08 1.766350860640034e-06 -2.4018700390657235e-08 -6.90368937983957e-09 8.044520563202455e-09 -1.4957919330840995e-08 -1.5583904277029684e-08 4.282155449038025e-10 -4.750961634441548e-09 -1.9154321510910584e-08 8.170715858808064e-08 1.9997718204513406e-08 4.4409150049603323e-07 1.257670307073166e-07
pcs.V15 -9.280750412223722e-08 -2.2674776748285618e-07 4.480688068523844e-09 -2.855583045914738e-11 2.7383583737252456e-08 -8.081033608809736e-08 3.445661121300474e-09 -3.41202290243401e-11 -1.0766601307857863e-08 -2.211446005255472e-08 9.534882429127095e-09 1.3129130284833407e-08 -7.120459598133891e-09 5.1777953276658565e-09 -1.983181369038672e-09 -3.109271596237534e-08 -1.1550599209035274e-08 -2.8012894280724596e-09 -2.725213831345907e-08 -2.4018700390657205e-08 1.7881966489093964e-06 3.897061079623136e-09 5.5924088077602025e-09 2.285933384477562e-08 1.0561354099876953e-08 -1.8795125786652363e-08 -4.641183215054211e-08 -9.75492056763375e-09 7.807818256310499e-08 1.3359596908281216e-07 -6.797924479633787e-07 2.9706048220040894e-07
pcs.V16 4.537725498962202e-08 -3.638714125446325e-07 6.584060768966821e-09 -3.541317122943052e-11 4.558652019975795e-07 -1.3857479661263152e-07 5.179540257166375e-09 -4.735499935601051e-11 -2.030663440150508e-08 1.538886875707732e-08 2.4376294918860366e-08 -2.5857934855770992e-09 -4.254530746590391e-09 3.7009806754001924e-09 -1.1648372054978166e-10 2.758665455894969e-09 -9.530299562855679e-09 2.058767344211864e-08 2.5591211290448953e-08 -6.90368937983952e-09 3.897061079623168e-09 1.7545499533419139e-06 -8.54427928660163e-09 -2.841318637841904e-09 -3.116409229296224e-08 2.314410028637366e-09 -1.789145928475594e-08 -2.9535479230942335e-08 -2.2496248216967034e-07 -2.8413741106936584e-07 4.72107622960787e-07 5.604474201768322e-07
pcs.V17 1.5566404809104084e-08 -2.819861313253603e-07 5.3063404669161056e-09 -3.2476779056973166e-11 -1.7737430574100815e-06 1.679010024034787e-07 -4.861579230439772e-09 4.166641590923052e-11 -3.6375972791572325e-08 2.8844442597636174e-09 -2.6023548081187165e-08 -4.2279316037012995e-09 -3.112226142403841e-08 -4.693033752399635e-09 2.671527706632835e-09 -2.915548604607464e-09 -4.682294969117058e-09 -2.0687807134634292e-09 -5.583451025749122e-08 8.044520563202379e-09 5.592408807760079e-09 -8.54427928660186e-09 1.7865473268722458e-06 4.40056360802375e-08 -1.793589150043281e-08 -9.443176816490773e-09 -1.0536577404871677e-08 -2.6584477130829772e-08 3.665558277139893e-08 -1.9322452874523426e-08 -4.484205544497275e-07 1.2400225431723983e-07
pcs.V18 -8.888565167776346e-08 2.2910485556216125e-07 -4.738793379569066e-09 2.8529776919970445e-11 1.854127959431087e-06 -5.446673214969316e-08 -1.0065696458786095e-09 2.3793079960939527e-11 -3.318752927985912e-09 1.2617863353981883e-08 -1.568061184250232e-08 6.173727655009507e-10 1.1890406970285499e-08 2.4790948780400793e-08 -3.449325451234062e-08 -4.821881429177896e-09 1.696800057954416e-08 -1.5300611130802524e-08 -2.1189031659479602e-08 -1.4957919330841012e-08 2.2859333844775565e-08 -2.841318637841929e-09 4.4005636080237486e-08 1.7396063386229575e-06 -1.4766490723329771e-08 -2.186941146877198e-08 -4.02231487035018e-09 -2.82203695043956e-09 3.338910051017245e-07 4.245857106740602e-07 -5.607179356322855e-07 -4.4765182989129754e-07
pcs.V19 8.045497524762422e-08 4.995880103582871e-07 -1.2509189149062485e-08 9.519546530691665e-11 -4.665370269439746e-06 2.0855099109596157e-07 -2.581265416257262e-09 7.438336006775176e-12 -1.1208879170038262e-08 1.0987319113574168e-08 4.024656876715675e-09 -5.982099944387292e-09 2.072656698824689e-08 1.6209269273552294e-08 -5.117256369547885e-08 2.557074463560744e-09 -3.23713556544526e-09 -1.7390912141251438e-08 -2.111810691933895e-08 -1.5583904277029697e-08 1.0561354099877106e-08 -3.1164092292961985e-08 -1.7935891500432933e-08 -1.4766490723329955e-08 1.7502615130220587e-06 8.377845532974736e-09 -4.324400784003027e-09 6.4100394327434385e-09 -3.316065807423276e-07 -3.926999808320129e-07 8.938179454132509e-08 1.660691833254217e-07
pcs.V20 -1.9851631824326645e-07 -1.2658603464562753e-07 2.899063320055305e-09 -2.0717299205959383e-11 -5.5911397688280535e-06 3.7323955741140555e-07 -8.633150811258403e-09 6.530474003432058e-11 -2.4984485515973064e-08 1.4316125589572537e-08 2.2855447981775986e-08 1.4505379431648178e-08 -4.739754262114618e-08 3.096578926549948e-08 -9.400582443424119e-09 3.510019613093637e-08 -1.4966299253481566e-09 1.7676869108174943e-08 5.291559437601009e-09 4.282155449036721e-10 -1.879512578665251e-08 2.314410028637134e-09 -9.44317681649087e-09 -2.1869411468771982e-08 8.377845532974914e-09 1.7405749091300243e-06 -2.4742281529636768e-09 3.318765399166803e-08 2.567688506909405e-07 1.1682749008402384e-07 -3.5755158575762767e-07 -2.4352197480682134e-07
pcs.V21 1.1462838315699583e-08 2.7465993291328047e-07 -6.917311756232988e-09 5.231632595170487e-11 6.475252526380462e-06 -5.637951299515981e-07 1.3942203824124438e-08 -1.0425221881841457e-10 1.462202615085296e-08 3.7034327737112414e-09 -9.058916598102947e-09 -3.2909688174703174e-08 -5.802992224971223e-09 1.925266151079401e-09 -5.399089203123576e-09 -3.6635514030785233e-09 -2.349821958662525e-08 -3.93714974985156e-08 2.5072411025319168e-08 -4.7509616344412265e-09 -4.641183215054179e-08 -1.7891459284755528e-08 -1.0536577404871677e-08 -4.022314870350114e-09 -4.3244007840033526e-09 -2.47422815296364e-09 1.7387945600184648e-06 -6.325109264307216e-09 7.978060757311957e-08 8.00203721796355e-08 -2.4608960163119925e-07 -5.331384120497485e-07
pcs.V22 2.5498493600059586e-08 4.0044191803704814e-07 -9.745043180851423e-09 6.991422302482721e-11 -1.507854686805172e-06 6.866825070094857e-08 -1.6253458295757263e-09 1.293818647695178e-11 2.6070824612731242e-08 1.0659405067580591e-08 -2.4387791276244342e-09 -1.5969271254702452e-08 -9.321554572994819e-09 -4.670472085950434e-09 1.2228509181115676e-08 -1.015847862235828e-08 1.0930317359163272e-08 3.7341943155333146e-08 2.940406285069359e-08 -1.9154321510910587e-08 -9.754920567633648e-09 -2.9535479230942153e-08 -2.658447713082989e-08 -2.8220369504396744e-09 6.410039432743535e-09 3.3187653991667864e-08 -6.3251092643069966e-09 1.7740608296117994e-06 1.5909926119281263e-07 1.931041252031375e-07 1.4074309035867066e-07 -7.87738979232236e-07
proband -2.3520811855632117e-05 6.212739714985611e-07 -7.2645017842865694e-09 -2.8648121025918386e-11 7.14020577840146e-05 -4.833478971838308e-06 1.0493587891034321e-07 -7.756968522865696e-10 5.83012124871249e-07 2.0041024003866166e-07 7.438529588007368e-08 -1.137428752053908e-07 3.9466108281269445e-08 -8.185879202116254e-08 7.32985514341379e-08 2.6246995691002233e-07 -2.3356224928255482e-08 2.1466965815707073e-07 1.1579113952962842e-07 8.170715858807867e-08 7.807818256310338e-08 -2.2496248216967428e-07 3.66555827714062e-08 3.338910051017257e-07 -3.3160658074232567e-07 2.567688506909509e-07 7.978060757308222e-08 1.5909926119281366e-07 0.00026025688666744953 0.00011420556297416599 -0.00021214057857135086 -0.00020815805298603245
sibling -2.779885121487506e-05 -1.2484882550068155e-06 4.330725391576274e-08 -4.3467355997862906e-10 9.471711902187568e-05 -4.505910837897337e-06 5.3940465507957557e-08 -1.3070540850865227e-10 6.153845103489813e-07 3.5722231809816684e-07 -9.193149564596378e-08 -3.368544121900892e-07 -3.965634742872139e-08 -1.823986568752654e-07 -1.5706346532442926e-07 1.8934906993268875e-07 -5.8005027425204214e-08 2.699260057464607e-07 1.0118411104676038e-07 1.9997718204510494e-08 1.3359596908280792e-07 -2.84137411069373e-07 -1.9322452874517162e-08 4.2458571067406355e-07 -3.926999808320091e-07 1.168274900840343e-07 8.002037217958841e-08 1.9310412520314098e-07 0.00011420556297416598 0.00033847484172067435 -0.0002571117476638964 -0.00025375044349099037
paternal 3.825561757617079e-05 2.0917197131157945e-06 -7.716835894431726e-08 7.008636904135597e-10 -6.523507380733773e-05 1.829159743177398e-06 4.793298132585108e-09 -2.48650909694341e-10 4.630409768399e-07 -1.2941830354619186e-06 7.288587208708834e-07 8.560026331595685e-07 2.8694472989197774e-07 2.8332901498860593e-07 3.3952514400961916e-07 3.462379689149808e-07 1.8102506673265197e-07 -3.5898914447478175e-07 6.676324067342466e-09 4.4409150049603884e-07 -6.797924479633726e-07 4.721076229607989e-07 -4.4842055444973584e-07 -5.607179356322869e-07 8.938179454131315e-08 -3.575515857576453e-07 -2.4608960163114356e-07 1.4074309035866322e-07 -0.00021214057857135054 -0.00025711174766389604 0.000502680103996176 0.00014245624807063227
maternal 3.139930893543847e-05 8.60835064968577e-06 -1.7217463067279255e-07 1.148026086956178e-09 3.7528442806950724e-05 -4.644733094492072e-06 1.459474383604167e-07 -1.2906341403363684e-09 4.5615313325709266e-07 -1.0432362966241584e-06 -3.4490606951796924e-07 4.81710518608893e-07 -4.644811290123173e-07 -7.655327597253228e-08 -2.2330799074799994e-07 1.0549357304221767e-07 1.0104560949716428e-07 -3.6329999276322576e-07 -5.749791044441838e-07 1.2576703070732227e-07 2.970604822004185e-07 5.604474201768463e-07 1.2400225431723377e-07 -4.4765182989130247e-07 1.6606918332541948e-07 -2.435219748068329e-07 -5.331384120497033e-07 -7.877389792322415e-07 -0.00020815805298603232 -0.00025375044349099037 0.00014245624807063246 0.0004939933354353855
