 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
pcs.V5 -1.895070185373405e-07 -1.0750775636218531e-07 1.8169615579593767e-09 -1.2163050117586838e-11 4.4052632064678926e-07 -3.367483054025963e-08 6.989764425853127e-10 -3.6196869205734404e-12 -2.9162921802852598e-08 2.4804165806500225e-08 1.0791461975230955e-06 6.472148136458055e-09 -1.403825128083237e-09 -1.8058421192355138e-08 6.468225427559452e-09 -4.378355789141953e-09 1.4201823146682292e-08 1.7579996560471604e-08 7.330495282940104e-09 5.569566390188539e-09 7.64537923054279e-09 1.1039012831409525e-08 -1.327946192220076e-08 -7.428392436376336e-09 3.9893809486052064e-09 9.066172745672389e-09 3.1365208214932097e-09 2.7158360909250486e-09 1.6704118342177298e-07
pcs.V6 -9.024271999864689e-08 1.6799650727847225e-07 -4.163484342228958e-09 3.063495104579373e-11 1.0729297317018283e-06 -4.3615370259174303e-08 6.959078888129199e-10 -5.558170363685154e-12 1.5042869550298484e-09 -2.5706931240903806e-09 6.472148136458054e-09 1.0621268572326362e-06 4.4178237678443136e-09 -2.627212407337153e-09 9.860459391746697e-09 -9.271560897526585e-09 2.0572481400938796e-08 9.722122603059264e-10 -1.0743380474236e-08 -1.0157600150075404e-08 1.977669500485339e-09 6.076914268324166e-09 -3.1956490439114402e-09 4.893401522525714e-09 3.227212705113149e-09 5.804424524888603e-09 -2.623747049150789e-08 -1.2558173733036622e-08 2.700940177918677e-07
pcs.V7 -4.5429912085728074e-08 4.15367377206293e-08 -1.0855933715382597e-09 7.1694636306286936e-12 -2.297436685744409e-06 1.374209297626645e-07 -2.726241194888675e-09 1.887889405256134e-11 5.142167451681807e-09 1.4248982927798741e-08 -1.4038251280831515e-09 4.417823767844334e-09 1.2044420578166207e-06 6.474716275088618e-09 -3.923200212501667e-09 -2.1072918661394043e-08 -6.634184346113675e-11 -6.071311513266552e-09 1.3823141316010433e-08 -5.717330672910232e-09 -3.4789478513365684e-09 -1.5910092734130985e-09 -1.9801129306755772e-08 8.898249124024036e-09 5.098510327680899e-09 -2.3817758464840304e-08 -8.819176460676167e-09 -4.631198706384678e-09 -6.030034087241316e-08
pcs.V8 7.416177807080661e-08 5.367105624359519e-08 -1.9575202405767243e-09 1.823905007675475e-11 -7.678249806674038e-07 8.878973108634506e-09 5.351642511081838e-10 -6.269237774179589e-12 1.44661398686879e-08 -2.075992629703132e-08 -1.8058421192355148e-08 -2.6272124073371834e-09 6.47471627508865e-09 1.186786446427702e-06 1.905439409339e-08 -7.10443815822806e-09 -1.1065576934555478e-09 3.3410248034556766e-08 7.599365774481809e-09 -2.3872097298688078e-08 3.3755393161658805e-09 6.256290080152471e-09 -6.748313063092229e-09 1.6596755250732828e-08 1.9322128496004356e-08 1.101661692379176e-08 6.1865044029435655e-09 -1.2995799722886723e-09 -3.213080707147158e-08
pcs.V9 -6.953073888249025e-08 1.0494540929519993e-07 -1.7788226507880005e-09 9.184530744533746e-12 2.4231101200811864e-06 -1.0915261693921731e-07 1.410454146623399e-09 -4.823212797475144e-12 -4.511502364280342e-09 -1.1776508642402692e-08 6.4682254275594365e-09 9.860459391746716e-09 -3.923200212501694e-09 1.9054394093390034e-08 1.1662972535162664e-06 -5.617670346453643e-09 1.0546284953893939e-08 1.9066752385956593e-09 8.723781496427912e-09 -1.0780893546783158e-08 -3.88002640144733e-09 -1.1025005769955733e-08 1.0108575183054493e-09 -1.3773275300708062e-08 -2.3080617835000156e-08 -1.083399631208533e-08 -2.814433677436072e-09 6.410965763785605e-09 5.790009550218765e-08
pcs.V10 5.417154332044054e-08 9.355947095632936e-08 -1.4899480813017636e-09 7.480046529605932e-12 -4.948506590933975e-08 1.7750971355251275e-08 -9.908899355003513e-10 1.0058069642580548e-11 1.1898633199068902e-08 1.7599050103077048e-08 -4.37835578914188e-09 -9.27156089752655e-09 -2.1072918661394103e-08 -7.104438158228072e-09 -5.617670346453585e-09 1.178735274731037e-06 4.283953219739994e-09 1.1492715536283015e-08 7.862368770433841e-09 2.800502666684037e-09 -1.9483978435209135e-08 2.815475015558458e-09 3.822557756794876e-09 5.383518768198844e-09 6.284732711163751e-10 1.8698842769760894e-08 -4.006522595392232e-09 -7.130716447542041e-09 3.5344099264931605e-07
pcs.V11 -6.10229974813223e-09 1.245230004760345e-07 -2.8442824241890338e-09 2.173662535224868e-11 -8.050852972184317e-07 5.2476263712439724e-08 -6.901097323932284e-10 5.342985769731151e-13 8.861728401515737e-09 -3.2802562161954975e-09 1.420182314668233e-08 2.0572481400938786e-08 -6.634184346111687e-11 -1.106557693455555e-09 1.0546284953893924e-08 4.283953219740015e-09 1.160908600966936e-06 -3.392023388158708e-09 4.154251554905672e-09 -6.909165452107364e-09 -8.359769490447734e-09 -7.922617007948494e-09 7.180091261741073e-09 6.9806453969354316e-09 -6.349440490858584e-10 5.213317094083288e-09 -1.3902911929631038e-08 6.327227299245106e-09 4.486193506586996e-08
pcs.V12 -9.963357031837822e-08 -3.199197968540221e-07 7.1494039610124215e-09 -4.962750878014557e-11 -2.774100015857292e-06 2.249993751634192e-07 -5.145340895252195e-09 3.5676642475215656e-11 -1.0634465041903597e-09 -3.540942065636278e-09 1.7579996560471773e-08 9.722122603059553e-10 -6.071311513266631e-09 3.3410248034556674e-08 1.9066752385957995e-09 1.149271553628307e-08 -3.3920233881587845e-09 1.1679574454521477e-06 -1.2828832262815564e-08 -7.321177182033244e-09 -3.917252377777052e-09 1.2582570574408509e-08 -6.327383076978414e-09 -5.9058990886827375e-09 -1.0902370763762251e-08 3.3148475229667516e-09 -1.8460153152471264e-08 1.5315156589087898e-08 5.071409999855526e-10
pcs.V13 -8.717908663181114e-08 -9.605028104236725e-08 2.47933831441805e-09 -2.1774087600881436e-11 -1.4814451632349012e-06 8.252486669633358e-08 -1.891228505602454e-09 1.3782643778672677e-11 -8.673294631983343e-09 6.697790193315757e-09 7.330495282940155e-09 -1.0743380474235972e-08 1.3823141316010393e-08 7.59936577448179e-09 8.723781496427977e-09 7.862368770433881e-09 4.154251554905637e-09 -1.2828832262815599e-08 1.1906173894462747e-06 2.8749642097471963e-09 -8.024736296499141e-09 5.3383872827657786e-09 -1.7197042199810498e-08 -1.1154736334079166e-08 -1.7149929820138376e-08 -5.339278751802286e-09 1.0358083144441207e-08 2.1464247224260062e-09 -1.5871084725948717e-07
pcs.V14 -4.471763716990294e-08 6.467109816427094e-08 -1.2402338209880706e-09 6.394131890275944e-12 2.8669775702451063e-06 -2.0893936859719383e-07 4.4659536537805035e-09 -2.9281446807210207e-11 1.4632504263927631e-08 -9.34535197536688e-09 5.569566390188381e-09 -1.015760015007544e-08 -5.71733067291018e-09 -2.387209729868801e-08 -1.0780893546783254e-08 2.800502666683962e-09 -6.9091654521073235e-09 -7.321177182033294e-09 2.8749642097471537e-09 1.1711137822434986e-06 -6.3121490857493995e-09 -2.4334050767974923e-09 1.0714615655996012e-08 -1.324338391334588e-08 -7.097182015616603e-10 -2.263244127616554e-09 -9.273484396771116e-10 -1.345127046698272e-08 2.3791917940097223e-07
pcs.V15 -2.2715203918703565e-08 -1.726447826092168e-07 3.723941690301223e-09 -2.599484533493403e-11 2.99832883367422e-07 -6.853891026633959e-08 2.4240903156399474e-09 -2.1989507760893673e-11 -3.794760037696575e-09 -9.21052239753224e-09 7.645379230542663e-09 1.977669500485306e-09 -3.478947851336463e-09 3.375539316165906e-09 -3.880026401447433e-09 -1.9483978435209132e-08 -8.359769490447676e-09 -3.91725237777693e-09 -8.024736296499095e-09 -6.312149085749517e-09 1.1856021365713047e-06 -2.836257529671945e-09 -4.770254084307635e-09 4.172218974867988e-09 5.390237089290558e-09 -1.2508195953563592e-08 -1.8421835336840136e-08 -5.3566427587200775e-09 -3.1526749218221804e-08
pcs.V16 2.318532884409641e-08 -1.7331313108662273e-07 3.0520267001606286e-09 -1.5198796401414013e-11 -1.5403181009637229e-06 8.413131036114598e-08 -8.363312803616588e-10 -1.0310505116535131e-12 -1.1999295349539554e-08 9.709355055426408e-09 1.1039012831409502e-08 6.076914268324144e-09 -1.591009273413028e-09 6.2562900801524585e-09 -1.1025005769955738e-08 2.8154750155584914e-09 -7.922617007948496e-09 1.2582570574408623e-08 5.338387282765824e-09 -2.4334050767975986e-09 -2.8362575296720033e-09 1.1665861260282719e-06 3.360614816955725e-11 6.428999735872702e-10 -1.707141239502822e-08 -3.0834567978289804e-09 -1.3595629177566318e-08 -9.632612903963939e-09 7.354236002291344e-08
pcs.V17 -2.8788819216269924e-08 -2.071303828047326e-07 3.792671217982779e-09 -2.2370326737327527e-11 -3.4894745246776303e-06 2.2417288954543678e-07 -4.795415758172862e-09 3.334460013480136e-11 -1.736139143482669e-08 7.0654321209924596e-09 -1.3279461922200604e-08 -3.19564904391144e-09 -1.980112930675582e-08 -6.748313063092311e-09 1.0108575183055458e-09 3.822557756794964e-09 7.1800912617409956e-09 -6.327383076978317e-09 -1.719704219981041e-08 1.0714615655995985e-08 -4.77025408430775e-09 3.360614816948719e-11 1.1943933866560167e-06 1.5988295938014406e-08 -1.253622306406736e-09 -1.9037131880975663e-09 -6.4179485248869795e-09 -1.9875945761480318e-08 -6.233657126046201e-08
pcs.V18 -2.7572976276225816e-08 2.1871898527334766e-07 -4.212950140968153e-09 2.4537057516281704e-11 2.151580163383781e-06 -8.084324898420168e-08 -1.69450087149847e-11 1.3540181435553325e-11 -1.1528695058090498e-08 5.101437668947992e-09 -7.428392436376272e-09 4.893401522525733e-09 8.898249124023934e-09 1.6596755250732854e-08 -1.3773275300708009e-08 5.383518768198788e-09 6.9806453969354125e-09 -5.905899088682948e-09 -1.1154736334079257e-08 -1.3243383913345684e-08 4.172218974868087e-09 6.428999735872452e-10 1.5988295938014234e-08 1.1600702784050847e-06 -9.068496657490178e-09 -7.409669291585038e-09 -1.144782100124747e-08 -1.86545761903267e-09 -4.232155942723077e-08
pcs.V19 8.99858641132933e-10 1.6848344804574084e-07 -4.4855824074427665e-09 3.543652739495437e-11 -7.337406718557946e-07 -1.4129250834702132e-08 1.2679726255054337e-09 -1.328678859709855e-11 -4.857049800405452e-09 8.792728900070624e-09 3.989380948605167e-09 3.2272127051131223e-09 5.098510327680956e-09 1.932212849600439e-08 -2.308061783500021e-08 6.284732711163851e-10 -6.349440490858336e-10 -1.0902370763762178e-08 -1.7149929820138343e-08 -7.097182015617555e-10 5.3902370892905514e-09 -1.7071412395028178e-08 -1.2536223064066176e-09 -9.068496657490235e-09 1.1684421515916616e-06 5.653488513862678e-09 1.1599867481068725e-10 5.161819778472089e-09 -1.8260711989179819e-07
pcs.V20 -4.6772286066843415e-08 -1.5179783007625016e-07 3.2209773642334186e-09 -2.120136506527915e-11 -2.202296321061235e-06 1.7888047060054616e-07 -4.585890334733413e-09 3.601937817428673e-11 -1.3975167153339708e-08 1.3234379982438388e-09 9.06617274567257e-09 5.8044245248886204e-09 -2.3817758464840403e-08 1.1016616923791697e-08 -1.0833996312085188e-08 1.8698842769760954e-08 5.213317094083229e-09 3.3148475229667483e-09 -5.339278751802269e-09 -2.263244127616496e-09 -1.2508195953563654e-08 -3.0834567978290846e-09 -1.903713188097656e-09 -7.409669291584881e-09 5.653488513862603e-09 1.1713009963662978e-06 8.192947587240778e-09 1.4490800319690803e-08 4.537539616475584e-08
pcs.V21 4.5331958488015635e-08 1.3430942876792833e-07 -3.6108924127907162e-09 2.8964550815099325e-11 3.90400799934423e-06 -3.323834653467497e-07 8.310737610031519e-09 -6.358183917553203e-11 6.831929718808275e-09 2.705196908908806e-09 3.1365208214928614e-09 -2.623747049150809e-08 -8.819176460675648e-09 6.186504402943794e-09 -2.8144336774366496e-09 -4.006522595392335e-09 -1.3902911929630778e-08 -1.8460153152471122e-08 1.0358083144441449e-08 -9.273484396775042e-10 -1.8421835336840014e-08 -1.3595629177565989e-08 -6.417948524886331e-09 -1.1447821001247779e-08 1.1599867481093635e-10 8.192947587241077e-09 1.1730666254707174e-06 2.375192482844065e-09 -2.1669579311630711e-07
pcs.V22 -2.218076233632916e-08 3.232084984860213e-07 -7.3736484888292054e-09 5.121529334073908e-11 6.410778516879481e-07 -4.7523398998808224e-08 6.147755460760626e-10 -1.3033156943074705e-12 2.945240780876349e-09 3.378897211552464e-09 2.7158360909250826e-09 -1.2558173733036622e-08 -4.6311987063847365e-09 -1.2995799722886506e-09 6.410965763785592e-09 -7.130716447542101e-09 6.32722729924511e-09 1.5315156589087816e-08 2.146424722425949e-09 -1.3451270466982635e-08 -5.356642758720008e-09 -9.63261290396394e-09 -1.987594576148037e-08 -1.865457619032707e-09 5.161819778472123e-09 1.4490800319690748e-08 2.3751924828442736e-09 1.179515727149381e-06 -1.0031104708027492e-07
proband -7.779882939463973e-07 3.5044508095774277e-06 -7.90136269999438e-08 5.247336896191477e-10 4.569448201110632e-05 -4.135093425836755e-06 1.084641730285972e-07 -8.872492706947907e-10 8.712771317857582e-07 -5.711781247977135e-07 1.6704118342176867e-07 2.7009401779186725e-07 -6.030034087241076e-08 -3.213080707147001e-08 5.790009550218445e-08 3.534409926493149e-07 4.486193506587162e-08 5.071409999856908e-10 -1.5871084725948746e-07 2.379191794009706e-07 -3.1526749218220395e-08 7.354236002291577e-08 -6.233657126045967e-08 -4.232155942723468e-08 -1.8260711989179623e-07 4.537539616475604e-08 -2.1669579311629901e-07 -1.0031104708027644e-07 6.922347164206215e-05
