 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.00031786424994234043 -0.00044472854904665273 8.289164655577865e-06 -4.9452050448421487e-08 0.0019464444108977103 -0.00012582782657271374 2.602829463833404e-06 -1.7293076208359774e-08 -1.6296001022757362e-07 8.421460692939734e-07 -2.825229248380441e-07 1.0184408785319427e-07 -5.049405779710602e-08 -6.406168352794062e-08 3.402935237254733e-07 4.7594669493253457e-07 -7.109683128245005e-08 -2.1788577888548103e-07 -5.439273180879827e-07 6.879903184776754e-08 -1.7399013920514965e-07 2.5107830016990885e-07 -7.0807613087321e-08 1.4840551707048967e-07 -7.055388455871551e-07 -8.24238409239031e-08 1.443554103802647e-08 -2.8193529381272914e-07 -1.0326266737163635e-05 2.1464831416330995e-05 1.372371158213699e-06
age -0.0004447285490467541 0.002169050090850576 -4.2199784069885787e-05 2.6404306810372595e-07 0.033263842426935496 -0.0020176788458332877 3.922068224324385e-05 -2.453299445247759e-07 1.0363445961483368e-06 -7.298002119762256e-07 2.6234635335980554e-07 -6.729031595020706e-07 -6.923655579048251e-08 2.1482923010598893e-07 6.69201590297286e-09 -4.1599958682048815e-07 5.853431145868739e-07 4.700593341013731e-07 3.7068494421617405e-07 -2.516882587522883e-07 4.722654634472893e-07 -4.358242359756722e-07 -1.2245510253825374e-06 -2.58250899237653e-07 2.1163332337480543e-06 -2.007620187662319e-08 1.3625142742213545e-07 5.9826182771229e-07 -1.0673374700077335e-06 -2.751237854609922e-06 7.018791881648109e-06
age2 8.28916465557027e-06 -4.2199784069889656e-05 8.284681127670194e-07 -5.230376649364837e-09 -0.0006408275707587706 3.9219403024055784e-05 -7.692818195037986e-07 4.854980780143253e-09 -1.7160259887213447e-08 1.2934804556161315e-08 -5.514105796281005e-09 1.1648095299042704e-08 1.6348767340924486e-10 -6.042980062625536e-09 3.483005524955575e-12 8.310239767738967e-09 -1.1682158993536159e-08 -7.853181669330619e-09 -5.8433699064544095e-09 5.68523651363903e-09 -8.290068821983953e-09 7.456525076162825e-09 2.2848955953607345e-08 4.951902794317725e-09 -4.232366599419245e-08 7.674408455510226e-10 -4.714277768075632e-09 -1.175498335691166e-08 3.977263360006226e-09 1.973556292923716e-08 -1.1902070619831991e-07
age3 -4.9452050448076274e-08 2.6404306810330084e-07 -5.230376649356591e-09 3.332927088070838e-11 3.974285162428394e-06 -2.452944398135455e-07 4.854628140413531e-09 -3.092123198137033e-11 8.677289275705784e-11 -6.946200730693024e-11 3.339402116157863e-11 -6.561570334795095e-11 3.5330211569789152e-12 4.99346618039165e-11 -1.0195990905365008e-12 -5.363305718315358e-11 7.67742099906123e-11 4.204695403359682e-11 2.5344503318150487e-11 -4.189745440758623e-11 4.659472907135855e-11 -3.7937434252385244e-11 -1.3743993983612868e-10 -3.240488023749588e-11 2.7212782356579465e-10 -5.823424998372862e-12 4.184366762451439e-11 7.231721363644616e-11 4.1311043535813103e-11 2.5328977588767788e-11 6.587244460376711e-10
sex 0.001946444410981671 0.033263842426646754 -0.0006408275707531689 3.974285162393436e-06 1.519624822299834 -0.0927412296530506 0.001815932505814453 -1.1457742585548046e-05 -1.955205964757711e-05 1.7293350190800124e-05 4.689281032911463e-06 -2.3294830692921677e-05 -8.573813540358353e-06 -2.1538959392075945e-05 4.18812344127534e-05 1.3835730403548154e-05 6.045581194460517e-06 2.357333244173243e-05 -1.4295923799509242e-05 -4.3199895090157236e-06 1.4562443935023926e-05 8.399358943346202e-06 -4.427563849133404e-05 6.148545832674764e-06 5.791398826068453e-06 1.4183690618394283e-05 -2.619926208902555e-06 -8.787582617944673e-06 8.053082114407875e-05 0.00023131258033804448 -0.0002937605198815223
agesex -0.0001258278265757016 -0.002017678845814388 3.9219403023685875e-05 -2.4529443981121436e-07 -0.09274122965303278 0.00571227526340475 -0.0001128250641282492 7.17675146922086e-07 1.2797211721537083e-06 -9.767126539456303e-07 -2.540249925092488e-07 1.451037258976366e-06 4.72427485919611e-07 1.2767763934067867e-06 -2.5002137389019434e-06 -8.429600041320918e-07 -3.310656059143888e-07 -1.3899346547482477e-06 8.797516575845559e-07 3.6050579940072345e-07 -9.013302002517368e-07 -5.905860481322656e-07 2.6766816373195206e-06 -3.190222615310424e-07 -3.987341181867994e-07 -7.504736106683968e-07 -5.02083679753123e-08 5.976743144186975e-07 -6.1465402407064354e-06 -1.4991397562166457e-05 1.620949630570989e-05
age2sex 2.602829463906971e-06 3.922068224289037e-05 -7.692818194968767e-07 4.854628140369906e-09 0.0018159325058137465 -0.00011282506412822746 2.2479335260598403e-06 -1.442096491534779e-08 -2.712806420192833e-08 1.786414045000831e-08 4.366932909613508e-09 -2.8633100297401078e-08 -8.605844081854272e-09 -2.4087734554078577e-08 4.8235964833083815e-08 1.6040268459760867e-08 6.384739996922407e-09 2.6447556019531005e-08 -1.7968664867367014e-08 -8.794345593571885e-09 1.8258400586602287e-08 1.3734136821704559e-08 -5.228878590516711e-08 4.324610747255824e-09 8.729934754777187e-09 1.2364283047614667e-08 4.779965429243783e-09 -1.3293440232493607e-08 1.5004788140995194e-07 3.01167379659452e-07 -2.8551845737462525e-07
age3sex -1.7293076209363876e-08 -2.4532994452179606e-07 4.854980780084599e-09 -3.092123198099914e-11 -1.1457742585541334e-05 7.176751469218109e-07 -1.4420964915345088e-08 9.331414535363787e-11 1.813258359302338e-10 -1.0478586662533509e-10 -2.3070511924317784e-11 1.792144156987511e-10 5.364386647975734e-11 1.4755460706176803e-10 -3.0189029891596096e-10 -9.902653556813997e-11 -4.217814415417201e-11 -1.624465446189817e-10 1.1775078881690915e-10 6.549313782711541e-11 -1.19636490380905e-10 -1.0127143259868161e-10 3.30871813239872e-10 -1.0951956277278492e-11 -6.07497204498161e-11 -6.447220510379967e-11 -5.2078303167160625e-11 9.373916168908173e-11 -1.1735289718135897e-09 -1.9090584684066177e-09 1.5796900747718272e-09
pcs.V3 -1.6296001022566e-07 1.0363445961565956e-06 -1.716025988737877e-08 8.677289275812331e-11 -1.9552059647230977e-05 1.2797211721325132e-06 -2.7128064201512186e-08 1.8132583592760296e-10 1.4418373067002944e-06 8.719449022234114e-08 -3.84037734070174e-08 -1.707229055750024e-09 -5.812617567937717e-09 3.426068747085456e-08 -2.6997384323689078e-08 1.0838579388008798e-08 1.1649825928753036e-08 -2.3290219349497906e-08 -1.3869885411473564e-08 2.760210553182488e-08 3.037248090018141e-09 -1.605837509381029e-08 -2.2740026916450876e-08 -3.023715462770047e-08 -1.8155908078160764e-08 -3.0630970388493946e-08 1.9235083670591825e-08 -2.895525066693579e-09 2.55004736464555e-07 1.2052701691049703e-06 7.446045995697843e-07
pcs.V4 8.421460692930551e-07 -7.29800211981236e-07 1.2934804556260704e-08 -6.946200730756526e-11 1.729335019060112e-05 -9.767126539336047e-07 1.7864140449775397e-08 -1.0478586662388355e-10 8.719449022234064e-08 1.5181515991607793e-06 4.684305552836356e-08 8.91598304769848e-09 8.14200092754607e-09 -3.237988499332315e-08 -9.423066487847126e-09 3.206240940441817e-08 -7.144202885081529e-09 -4.191939708768937e-09 -1.5913708922539554e-09 2.404489581263029e-09 -1.0911668010876838e-08 -1.064089138561164e-09 3.145974078397619e-10 2.90414331462272e-09 2.1312400396866148e-08 1.2912511267494344e-08 -1.6389027815277145e-10 -1.4427470865654192e-09 -8.407922431995118e-08 -7.680220425104177e-07 -6.683435435621975e-07
