 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gp gm
intercept 0.03128253106855899 0.011599165232294087 -0.0003707267364626216 3.764345590726084e-06 0.04338850642277712 -0.004393266639573867 0.0001407528780927367 -1.4378600284828754e-06 5.13367580330665e-08 8.690339635935165e-06 3.341428523873814e-06 -7.450623366389989e-06 3.974593258903516e-07 -2.0556094615877495e-05 2.9988314447583216e-06 4.3838354810280883e-07 -5.5472232416611456e-06 -3.332977255831891e-06 -2.1751598882394846e-05 -5.282030589458776e-06 -1.3103318068098467e-05 4.516668337378087e-06 -8.051732339915403e-07 9.928562486797558e-07 4.144895653069265e-07 -8.37421138328801e-06 1.3419099604067652e-05 -8.97562097980918e-06 -7.388365647782898e-05 0.0002784874862329151 0.00022823814169346509 -0.0002648318929132721 -0.0001313534095077984
age 0.011599165232322545 0.010102576937795635 -0.00030036017262274103 2.8229098835083867e-06 0.10247369924933827 -0.009716560324022657 0.00028850701545505067 -2.707810211035901e-06 2.0420756936210383e-06 -4.253351807141472e-07 -5.5757788619359235e-06 1.825796948088975e-08 -1.5313405145105754e-06 -2.1648724372317403e-06 4.0191623635295026e-07 -6.123168808571341e-07 -1.7115711035637605e-06 -3.888753386586866e-06 -5.374193647833194e-06 5.220412341973819e-06 -4.049332136031335e-06 -7.47272802288521e-07 2.0539404394016469e-07 7.624747734876682e-09 -2.250311491026558e-06 -8.040887560803078e-06 -7.489914077425323e-07 1.043728723844448e-06 -1.7464955079750171e-06 -2.7213803123946086e-05 -1.9560092626828597e-05 3.723437854995869e-05 2.0963971434923353e-05
age2 -0.0003707267364633697 -0.00030036017262271387 9.031899922024086e-06 -8.581011527653398e-08 -0.0030129456629992934 0.0002889172406551161 -8.675260829114924e-06 8.230004215248303e-08 -7.893548550275193e-08 4.352714339583347e-08 1.5280505782480343e-07 9.552545252552626e-09 4.661036628511027e-08 6.530304127833901e-08 2.527970416670329e-09 3.218666746222628e-08 5.2171793855461894e-08 9.735361463457643e-08 1.9199171450110833e-07 -1.5123788741750035e-07 1.235216182772156e-07 -5.091000888429601e-10 1.0421090591948831e-08 2.2738647281472353e-08 5.979687150767921e-08 2.3310187508885986e-07 3.4796961445565305e-10 -1.033660473504311e-08 2.798441704774088e-07 6.15506886361328e-07 3.6908433506204434e-07 -8.045133751117028e-07 -5.785919364653394e-07
age3 3.7643455907338995e-06 2.8229098835089305e-06 -8.581011527655997e-08 8.243245492992799e-10 2.804851152922912e-05 -2.7166379363734635e-06 8.244925296232637e-08 -7.907681429497688e-10 9.06098886884221e-10 -5.686540502431012e-10 -1.3210211102499945e-09 -2.024778544863032e-10 -4.926017273190048e-10 -6.824526841004548e-10 -1.6297738921540042e-10 -3.5400538420461747e-10 -4.852584340494374e-10 -7.198233728424319e-10 -2.1163498522915926e-09 1.347717066173038e-09 -1.2260332789627582e-09 1.5129791786973473e-10 -2.425649894196266e-10 -3.8761101881304324e-10 -4.641774494299852e-10 -2.1484282677093575e-09 2.684075604650495e-10 -8.571487243933923e-11 -4.876720466336136e-09 -3.656123823459812e-09 1.03742274723587e-09 4.119281811267666e-09 3.3536383655808484e-09
sex 0.043388506423916874 0.10247369924997221 -0.0030129456630175844 2.8048511529396325e-05 2.2624268813506654 -0.21113357272113964 0.00616629203254685 -5.6868425404780695e-05 8.20738544413348e-05 -4.9942900488806464e-05 -3.404943884914323e-05 1.3772244659923475e-05 -9.97464260776654e-05 0.00014682230250635605 -3.093504214945974e-05 1.1530198238561862e-05 -1.3479567351490238e-05 4.646402952386926e-05 4.046140379283619e-05 0.00012968999344821125 2.025502859255721e-06 -2.759335415617545e-05 -4.5695856892226584e-05 -0.00010540537462858801 -1.4389394897666508e-05 -4.753637846277348e-05 -1.3851642318286326e-05 7.67765847313196e-05 -0.0002583585984162717 -0.0014291602654906619 -0.000808346037126561 0.0013704050032625089 0.001139410243346555
agesex -0.004393266639667196 -0.00971656032406956 0.00028891724065648034 -2.71663793638607e-06 -0.21113357272116762 0.01995815816398983 -0.000589571779021675 5.4923724498622444e-06 -7.982549669365055e-06 5.477003666055047e-06 4.0263146143729755e-06 -1.3990679951515168e-06 9.045650387118965e-06 -1.4455852416641914e-05 3.7447717509268856e-06 -5.947136190598002e-07 3.6454284647897046e-07 -4.538677376888995e-06 -3.078424164739674e-06 -1.2536637261751135e-05 -6.511580566224931e-07 2.1168331928031523e-06 4.253351873605479e-06 1.076553562797682e-05 6.67811882214075e-07 4.844613362961987e-06 1.5144184880406063e-06 -7.192767645362366e-06 2.4111211836956573e-05 0.00013093171795963744 8.564694058374299e-05 -0.00011783208871638623 -0.00011631188785364133
age2sex 0.00014075287809592357 0.0002885070154569921 -8.675260829171521e-06 8.244925296284559e-08 0.006166292032548465 -0.0005895717790217498 1.7615270771704425e-05 -1.6588739746262099e-07 2.407782490896651e-07 -1.8637094937945892e-07 -1.411400584832235e-07 4.8806457401218534e-08 -2.648363895430956e-07 4.4072353721541653e-07 -1.330597193834119e-07 6.523032535911247e-09 1.6701118952354863e-08 1.4514394396869377e-07 6.007711350918757e-08 3.7675059688203815e-07 2.626528372373616e-08 -4.902139821025972e-08 -1.305267406674949e-07 -3.385326749430193e-07 -4.3685824465715566e-09 -1.5627581017695039e-07 -4.8429592268761145e-08 2.0591494407788487e-07 -8.11658294335774e-07 -3.848214424182152e-06 -2.3831300710341054e-06 3.114224747841789e-06 3.3632348249356554e-06
age3sex -1.437860028520828e-06 -2.707810211064695e-06 8.230004215330286e-08 -7.907681429571157e-10 -5.686842540480249e-05 5.4923724498635785e-06 -1.6588739746263973e-07 1.5795814166398304e-09 -2.338606625655572e-09 1.9693005374436733e-09 1.523763362450498e-09 -5.18414039868182e-10 2.492522230072097e-09 -4.2094452942033444e-09 1.4809396190067108e-09 9.927127700217121e-12 -3.8269676964810725e-10 -1.4940584923248937e-09 -2.6077102677711373e-10 -3.5368765275362487e-09 -2.703787791235704e-10 4.002934213193275e-10 1.2149778832733675e-09 3.2784552136832734e-09 -1.1096039174646992e-10 1.5619230228073198e-09 3.8470625683489574e-10 -1.8609888871377504e-09 8.800357236085772e-09 3.717953815312846e-08 1.9389985608463463e-08 -2.64580107133899e-08 -2.942259750793998e-08
pcs.V3 5.133675809120362e-08 2.0420756936649934e-06 -7.893548550405907e-08 9.060988868965055e-10 8.207385444171864e-05 -7.982549669400866e-06 2.407782490907113e-07 -2.3386066256652383e-09 4.72889346982246e-06 2.0030698598102484e-07 -7.039501458351504e-09 -5.5429055357196615e-09 1.64906425822248e-07 1.4201052901209828e-07 6.0617742664466005e-09 1.44715470449243e-07 -1.2439199208687052e-07 1.6724907894456427e-07 -1.2378393591281114e-07 -3.6952587368909647e-08 1.4759393521586945e-08 -3.9638840944935256e-08 -2.056684463759775e-07 8.788515476672217e-08 5.805844875859263e-08 -3.070479339039511e-08 1.2279568786873829e-07 8.423539599882299e-08 2.639271839850151e-06 5.177810664476744e-06 -1.675020553783975e-06 -1.738291607089494e-06 2.9784443329041755e-06
pcs.V4 8.690339635897273e-06 -4.253351807419706e-07 4.352714339668655e-08 -5.686540502514308e-10 -4.994290048931028e-05 5.477003666102503e-06 -1.863709493808579e-07 1.9693005374567035e-09 2.0030698598101656e-07 4.521142419440972e-06 7.347811416332928e-08 2.5992821901975788e-08 1.2617674243326346e-07 -4.385716880297071e-08 -1.2455768526684724e-07 1.0802122408950795e-08 1.4910235600066564e-07 -6.583765128959844e-08 3.5475494703670434e-08 -2.2217855612093735e-07 -2.4154689192083047e-07 1.0129866909742495e-07 1.9878198216921693e-07 1.0813208633240282e-07 1.7192982075983198e-07 8.264721913738645e-08 -3.607791829180309e-08 -1.626489347442302e-08 -6.253530818718405e-07 -1.5354782349866266e-07 3.713768892842358e-06 -2.898394556988046e-06 -4.405169083732444e-06
