 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.00010708602697313199 5.440193348238719e-06 -2.0993397321548096e-07 2.1697393542039984e-09 -3.986015282693123e-05 3.0192421089851392e-06 -7.513037885430318e-08 6.306651111082462e-10 5.503144910823592e-07 1.0046251133126327e-07 -2.6384877420366883e-07 -8.541038429494243e-08 3.758232921276757e-08 1.230582566199733e-07 -1.8691890688612742e-07 1.3130261984803783e-07 6.860430495063892e-08 -2.0168532093648147e-07 -7.053628806917679e-08 -2.5086396749334656e-08 -7.877420036224378e-08 4.3029821260423894e-08 9.998520080970523e-09 -2.4988149630663995e-08 5.603844189412499e-08 -1.612120091802129e-07 1.9523098282178373e-08 3.7872841822194556e-08 -1.9966231819239835e-05 -2.3973618190186425e-05 3.26100749197717e-05 2.704974490430454e-05
age 5.440193348497368e-06 0.0003869636647785344 -8.635766898146883e-06 6.017522661415938e-08 0.004868161894217339 -0.0003557199852162981 7.943115235126718e-06 -5.5363727255988194e-08 3.4255985858587626e-07 1.2837179379135702e-07 -6.896472472618738e-08 1.7960216786533052e-07 2.221883495322151e-07 5.523548328551242e-08 8.24397819709439e-08 1.6736041146376888e-07 2.74856271013021e-07 -5.441613086607683e-07 6.135095507074125e-08 3.673640350319396e-08 -2.613784218951533e-07 -3.216108208842659e-07 -1.7177979542918846e-07 2.0724287363789216e-07 3.3281017835523724e-07 -1.071859757644855e-07 2.3398888576262728e-07 4.277940697783589e-07 1.1630360607004377e-06 -1.3934819075267397e-07 1.5069163855660494e-06 5.497715366206014e-06
age2 -2.0993397321536354e-07 -8.635766898149093e-06 1.9644343119212868e-07 -1.3919598967744522e-09 -0.00010639624753786323 7.946439899948753e-06 -1.8084491667606886e-07 1.2816225585335146e-09 -4.53350438152581e-09 -2.9024535807924273e-09 8.466117581729394e-10 -4.465023583265215e-09 -5.374582708074634e-09 -2.430430417288146e-09 -6.570505940528633e-10 -2.4463130364551455e-09 -6.409304064836453e-09 1.1738846429421043e-08 -1.0889006334406325e-09 -5.186784051820233e-10 5.514860788840175e-09 5.7208502989965834e-09 2.9494483643343306e-09 -4.3111894329262325e-09 -8.32092667897709e-09 2.3454587515652866e-09 -5.977903741010424e-09 -1.0304029722534804e-08 -2.235921163592615e-08 1.8586828405269413e-08 -5.7466461650007225e-08 -1.0875731778755851e-07
age3 2.1697393542259005e-09 6.017522661415555e-08 -1.3919598967740864e-09 1.0020360746824172e-11 7.290890479004121e-07 -5.5414198202625335e-08 1.2823003557392267e-09 -9.231281964378192e-12 1.0750419357989755e-11 2.5383990874579403e-11 -5.596101577370292e-12 3.277970643618423e-11 3.736590384370545e-11 2.3966951987917564e-11 -8.804518781324984e-13 1.062798370166831e-11 4.734687202893727e-11 -7.934704375491527e-11 1.5275845674289876e-12 3.535615574200579e-13 -3.732611379933978e-11 -2.987332046672956e-11 -1.648948179513877e-11 2.621803663262613e-11 6.313547583251199e-11 -1.539483632648303e-11 4.603891226083238e-11 7.350473242223058e-11 1.02030919269014e-10 -2.537290938287447e-10 5.240620155045012e-10 7.25197086599214e-10
sex -3.986015282016151e-05 0.004868161894227304 -0.00010639624753809431 7.290890479020834e-07 0.1797055450200211 -0.013006777504815187 0.000289426637121675 -2.0187056951927862e-06 -1.948211143550651e-06 8.840076600471809e-07 -8.322993968479007e-07 1.7533518547433234e-06 1.8775781267252363e-06 -5.0922734431387625e-06 6.154383591505306e-06 9.433726981816948e-07 -3.6621809420548432e-06 7.219264494435195e-08 -2.567356501882657e-06 8.277643487440526e-07 5.121030860704547e-08 1.7679712378687676e-08 1.7134685241410203e-06 2.150244741083493e-06 -4.600010509334575e-06 -2.5286379171851657e-06 5.665941826262507e-06 -1.154030834408743e-06 3.9986962951370436e-05 0.00010835731171609844 -4.93919592739745e-05 -1.08468487055603e-06
agesex 3.019242108466785e-06 -0.000355719985217361 7.94643989997288e-06 -5.541419820279664e-08 -0.013006777504814902 0.0009671346364072002 -2.1963215678617333e-05 1.5569349140952042e-07 1.8958813333041296e-07 -3.2900371114725464e-08 5.5863202294371895e-08 -6.353457175049041e-08 -1.6900963756545988e-07 2.980013728275264e-07 -3.2169153738148424e-07 -3.510451826431841e-08 2.0910945752195252e-07 -8.110175219504921e-09 1.3659106384786786e-07 -9.106791442033533e-08 -6.896334790918097e-08 -9.82717719267271e-08 -9.160834518953489e-08 -8.017439190496704e-08 2.345158828372362e-07 1.6014248878957855e-07 -4.815114677628692e-07 4.847269077529965e-08 -2.4863674338118196e-06 -5.719593294726966e-06 8.979911032485273e-07 -1.7329969826260544e-06
age2sex -7.513037884437663e-08 7.943115235147786e-06 -1.8084491667655106e-07 1.2823003557426728e-09 0.0002894266371216639 -2.196321567861698e-05 5.077535980204198e-07 -3.6558612850911033e-09 -5.585084548888845e-09 9.049898180272018e-11 -1.0881246308337769e-09 7.193707187072118e-10 4.116440073804063e-09 -5.564349763513937e-09 5.6024934598209066e-09 -1.3522869843718397e-10 -3.468171501348501e-09 3.550260724922491e-10 -2.9242656235911263e-09 2.105424391075909e-09 2.8363861297123114e-09 4.300660823702685e-09 1.1272663862683091e-09 -3.8858678150573334e-10 -3.653741657325367e-09 -3.716747923264043e-09 1.1819702029415901e-08 -1.2555787721763416e-09 5.030051414756714e-08 8.545708582876791e-08 2.3353892418370537e-08 7.759508782914073e-08
age3sex 6.306651110034281e-10 -5.536372725609101e-08 1.2816225585359482e-09 -9.231281964396151e-12 -2.0187056951926884e-06 1.556934914095165e-07 -3.6558612850910706e-09 2.6709053835341328e-11 4.481581078964296e-11 4.728149076498027e-12 7.360656840145528e-12 -4.01654501504625e-12 -2.833780470952157e-11 3.4933197158611856e-11 -3.2639747455221466e-11 5.160932632279188e-12 1.6418019105246422e-11 -3.831668122435234e-12 2.0656058783290896e-11 -1.352642208827382e-11 -2.7412283677547435e-11 -4.222313399226116e-11 -1.6287179763557357e-12 1.9614793608711377e-11 1.769587317840103e-11 2.853679451268219e-11 -8.839069584043232e-11 1.1219481703510408e-11 -3.6517847894876333e-10 -3.711356364093396e-10 -3.8398623806872676e-10 -7.872823159481452e-10
pcs.V3 5.503144910823822e-07 3.4255985858535014e-07 -4.533504381513926e-09 1.0750419357906079e-11 -1.948211143558394e-06 1.8958813333098852e-07 -5.585084548901986e-09 4.481581078973669e-11 1.2329113035330811e-06 1.3488251821808984e-07 -3.794478477158733e-08 1.1597383100570946e-08 2.7340314560473674e-08 2.5041322979817848e-08 -2.7048968454551565e-08 2.2025550437348965e-08 2.097084940965186e-08 -1.4398142448778748e-08 5.726592044625208e-10 1.863710126278325e-08 -1.3658593765900612e-08 -1.7286577222009918e-08 -3.517752286125217e-08 -3.9631498747774966e-09 -1.1066623767909374e-08 -2.5633438174649673e-08 8.328997752375034e-09 2.1234040820448156e-08 4.976732234512993e-07 5.344305238272367e-07 3.750831130683703e-07 4.28023050296574e-07
pcs.V4 1.0046251133127779e-07 1.2837179379113938e-07 -2.9024535807875048e-09 2.5383990874544706e-11 8.840076600380978e-07 -3.2900371114040426e-08 9.049898178695548e-11 4.728149076611172e-12 1.3488251821808997e-07 1.3367589922350338e-06 5.721824007349489e-08 -1.664920579642601e-08 3.0207090625236115e-08 -5.227044851278475e-08 -1.7337254275906414e-08 2.9300991113774232e-08 -5.384660137626121e-09 -6.927371551625718e-09 9.86619390242433e-09 -1.6232649822852143e-08 -2.0270373190457537e-08 1.33915311444695e-08 -6.638233559056605e-10 1.2397886849895693e-08 1.1562155089026585e-08 1.1814652463118199e-08 5.609743626619433e-09 1.0574851985160262e-08 1.9134438858068627e-07 3.010570587137581e-07 -1.1294558713889815e-06 -9.142694144975429e-07
