 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.0002502527099760481 -3.446597963050721e-05 4.2147300858896285e-07 -6.892814457045974e-10 -9.147331205760804e-05 1.1832629733746986e-06 7.564109905761326e-08 -1.2614302961054268e-09 2.1717875289337075e-06 -4.992271273615023e-07 -3.171835903968459e-07 -4.932586859828035e-07 8.552225954421589e-08 -1.0849922196142634e-07 -7.411728654395644e-07 -6.599131098921526e-08 8.689769183937234e-07 1.8372869021581098e-07 -1.1774382294274238e-07 -3.4605669126580945e-07 -4.377018524103291e-07 9.982823352785413e-08 4.174260375423093e-07 -4.0121847808986055e-08 5.586498458456632e-07 -8.416701193670219e-07 8.109476839146167e-08 1.3807836762268183e-07 -2.6952596169291165e-05 -5.6240448157133206e-05 8.528392548120475e-05 6.493383755106669e-05
age -3.446597963099923e-05 0.0011416028896132611 -2.4612742677862643e-05 1.669180655617656e-07 0.015891899604638465 -0.0011072458534011568 2.3889187217304645e-05 -1.621209213485458e-07 2.0922700221129596e-06 1.0040210034277755e-06 8.751734180636678e-07 -8.613562622155541e-08 8.743239525853104e-07 -8.86841591624397e-08 -1.0944752323013006e-06 1.5336871819140362e-07 2.3727275416036908e-07 -5.153058820532301e-07 -2.449832771920882e-07 8.056101933531552e-07 1.478651953369304e-07 -9.513596122307554e-07 -1.578621020699362e-06 -7.518993324364916e-07 1.1517080796204585e-06 -1.6776274368555582e-07 5.235680348673386e-07 -3.888101627176691e-07 3.1191395695371538e-06 -4.617263521974778e-06 -9.105216283954662e-06 3.4130553533902695e-05
age2 4.2147300859092166e-07 -2.4612742677884947e-05 5.41021106117435e-07 -3.732781296579668e-09 -0.0003354940535542242 2.3897031194727477e-05 -5.256998862117596e-07 3.6295549132377006e-09 -3.802725207329148e-08 -2.3579075283649036e-08 -1.9152931079044996e-08 7.817919928630829e-10 -2.235004561886611e-08 -2.5526027403058276e-09 2.6023181408450718e-08 2.2117285925090107e-10 -7.537783896913213e-09 1.1152214867699461e-08 7.61617660332526e-09 -1.460995981748759e-08 -1.637365389118188e-09 1.6417395647925066e-08 2.681641827335697e-08 1.2788602348515774e-08 -2.881340001399503e-08 6.018484359364588e-09 -1.614298400149641e-08 4.349692561595225e-09 -7.826244076996817e-09 1.4405265539720423e-07 3.8138693837754727e-08 -6.93152051952653e-07
age3 -6.892814458255263e-10 1.6691806556184387e-07 -3.732781296577944e-09 2.617885762843469e-11 2.2355103161130655e-06 -1.621573196830041e-07 3.629425046326139e-09 -2.5471409474449063e-11 2.0795508368660477e-10 1.854880931618873e-10 1.2567096190566415e-10 -5.771990986956598e-12 1.6960958135736088e-10 4.96627161192712e-11 -1.9204885865543667e-10 -1.7276186350953437e-11 6.78293582681143e-11 -7.878074987308197e-11 -7.494564067849155e-11 8.245971956848964e-11 -5.301603974782751e-12 -8.41248724091845e-11 -1.52096861692919e-10 -7.000423929177898e-11 2.1981096493192802e-10 -4.709767073116267e-11 1.3198695032211867e-10 -1.432491209725956e-11 -3.6142853252934107e-10 -1.3339739161113977e-09 5.391106448990991e-10 4.529568213586003e-09
sex -9.147331207251098e-05 0.015891899604633327 -0.000335494053554046 2.2355103161114295e-06 0.5765550662192652 -0.03972556325594578 0.0008496927742654437 -5.730787161495296e-06 -1.425679852382864e-06 -2.1142189758161526e-06 4.631116681432527e-06 -1.4102223973797228e-05 2.2639395486530428e-05 -1.1717886371158167e-05 2.443184949680336e-05 -5.200075897484285e-06 -1.6926575657573574e-05 2.8141627984168448e-05 4.4078627023721645e-06 1.740729138773089e-05 1.7998171559426817e-05 -1.2657300326434585e-05 -2.9005380883115945e-05 -4.2236865543547696e-05 1.629080419705863e-05 -8.957174180967575e-06 6.400207416847096e-07 -1.4288536603393226e-05 0.0001467000915645785 -0.00021120263491239974 6.874137218808185e-05 0.0004062119492350396
agesex 1.1832629749182857e-06 -0.0011072458534011594 2.3897031194723022e-05 -1.621573196829448e-07 -0.039725563255950336 0.002808403277455417 -6.128587947572613e-05 4.2015985134880003e-07 3.8568648065955914e-07 -1.4037420773218364e-07 -1.2582727294744948e-07 1.1688066637693468e-06 -1.6783173381149033e-06 4.629519456507685e-07 -1.3302579301849783e-06 6.184098341677681e-07 1.0051835064753515e-06 -1.9772776247744853e-06 -1.1763729940733567e-07 -1.3596516346858383e-06 -1.3225597254482113e-06 5.526644612698667e-07 1.8993160799836564e-06 2.9256459554812273e-06 -1.4491371787501824e-06 7.187021894179726e-07 -5.464276640310446e-07 5.878927955649419e-07 -8.710325248685994e-06 1.7430012571945107e-05 -1.1679531048786366e-05 -2.879956925603027e-05
age2sex 7.564109903011333e-08 2.3889187217331476e-05 -5.256998862122542e-07 3.6294250463289576e-09 0.0008496927742656309 -6.128587947573228e-05 1.36134957404688e-06 -9.480488516006888e-09 -1.5827321313675206e-08 8.141986309087146e-09 -7.605944960580655e-10 -2.812531201436168e-08 3.8097539746966344e-08 -2.8224298813078665e-09 2.3269873909966812e-08 -1.7121620719482485e-08 -1.8415709060383034e-08 4.268386607917945e-08 -3.3409668158405163e-09 3.136116670561422e-08 2.8204456460785935e-08 -4.780278532996893e-09 -4.181680981574213e-08 -6.401962388702957e-08 3.464970281788818e-08 -1.8619387172237103e-08 1.83633852592351e-08 -8.330497309472924e-09 1.7689303360408972e-07 -4.4843298347153257e-07 3.5070155060572204e-07 6.621592486089562e-07
age3sex -1.261430295856637e-09 -1.6212092134840403e-07 3.629554913233738e-09 -2.5471409474416412e-11 -5.730787161497098e-06 4.2015985134887886e-07 -9.480488516007688e-09 6.700318516873048e-11 1.4740281166421763e-10 -7.687093099367552e-11 2.4889775376304956e-11 2.006392394416977e-10 -2.6582907870195126e-10 -2.6870466530086854e-11 -1.2540036085906173e-10 1.3182053124460208e-10 1.0354610398906133e-10 -2.9406226202015554e-10 6.020525054895984e-11 -2.2151587949992944e-10 -1.7996750571502898e-10 -8.817908690595051e-12 3.054828016526449e-10 4.4916029870978495e-10 -2.4633678690553115e-10 1.4525404217835837e-10 -1.479951275807275e-10 3.495405850860715e-11 -1.2740781989662272e-09 3.4654217816876216e-09 -2.88324677098149e-09 -4.86858591513656e-09
pcs.V3 2.1717875289337104e-06 2.09227002211322e-06 -3.8027252073297984e-08 2.07955083686654e-10 -1.4256798523285456e-06 3.8568648065558825e-07 -1.582732131358619e-08 1.474028116635925e-10 3.049947527328325e-06 4.779779287578843e-07 -1.0791037153398036e-08 7.003470046967998e-08 1.8148995023575658e-08 3.7217052018282635e-08 -1.535825181689528e-07 2.128871654129639e-08 7.301143658124618e-08 -5.491476245163583e-09 -6.616203884428152e-08 5.32817973234458e-08 -2.54187747632898e-08 -1.2925800418322676e-08 7.026659774692651e-10 -1.5685430220543725e-08 -6.268615521890718e-09 -1.0053959741232752e-07 -5.786920137888072e-08 2.1927031897091484e-08 6.233983866864672e-07 1.0020752756354963e-06 2.1060525452217873e-06 1.6627950139852088e-06
pcs.V4 -4.992271273615055e-07 1.004021003427063e-06 -2.3579075283633015e-08 1.8548809316177445e-10 -2.114218975851421e-06 -1.4037420772960635e-07 8.141986309029226e-09 -7.68709309932689e-11 4.779779287578858e-07 3.4146460249311242e-06 2.0487081554405757e-07 2.7990423393589612e-08 1.0007001207079766e-07 -1.1032866431774089e-07 -1.6336167447794987e-07 9.170572898221707e-08 -2.5592150707810453e-08 1.649668835303202e-08 6.498654608218013e-08 -1.0154014553815498e-07 -4.077043673090845e-09 9.260727876588937e-08 -1.91208853934463e-08 -1.4697551744616178e-08 4.581229529263844e-08 6.157334273001598e-08 -4.55498190065299e-08 1.6484619457800893e-08 -1.2456565451611279e-07 6.179977912385617e-07 -2.6570906749124453e-06 -2.0412163503047737e-06
