 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.0004001435487361996 -0.0005380914067603703 9.905807367496505e-06 -5.859624474305788e-08 0.002208928786786896 -0.00013880078061676414 2.8050510140050284e-06 -1.828359732897614e-08 2.864085238152963e-07 7.295050980394232e-07 -6.499693545926115e-07 2.2703078677130596e-07 -3.422953423962075e-09 -3.589245071020235e-08 4.4519685585400177e-07 3.711046245712575e-07 1.213113628268343e-07 -4.760498756442365e-07 -2.067700222200857e-07 -6.482242279375064e-09 -1.6435288982864236e-07 1.568289616587794e-07 1.6825623655908574e-07 4.2532156862909176e-07 -8.272754304053001e-07 -1.9676406423620276e-07 8.991090176968355e-08 -2.3746005652990432e-07 -2.8185007101843946e-05 -3.7168072974798446e-05 5.1939677757736515e-05 3.671308285540382e-05
age -0.000538091406752485 0.0023782644297357966 -4.5785908697524246e-05 2.8379951507609027e-07 0.035239523752163916 -0.0021075173187970558 4.0446106495022584e-05 -2.500484714391096e-07 1.1432403108531574e-06 -6.574259804879296e-07 7.865998589706116e-07 -7.28715532526362e-07 3.4923617507147594e-07 5.421724891052429e-08 -6.232234666419978e-07 -2.496857361112033e-07 6.887152382195219e-07 2.764172661041865e-07 -1.3837255876882903e-08 1.0135595579644048e-07 -2.0862115003890625e-07 -7.352268415061931e-07 -1.418262974782865e-06 -8.289211500564055e-07 2.4769238280440737e-06 -3.79842661830828e-08 -8.537010732216879e-08 4.4819303457564755e-07 7.534278785520087e-06 1.6550261860736483e-05 -1.3186922394165636e-05 -6.0763701448953325e-06
age2 9.905807367283056e-06 -4.578590869751654e-05 8.895341642850653e-07 -5.563313714816163e-09 -0.0006705573960874848 4.047222832106768e-05 -7.838597436428155e-07 4.889786744107127e-09 -2.0104872437142566e-08 1.2145447256384843e-08 -1.4554763335505103e-08 1.2206789034248464e-08 -8.950592764688844e-09 -3.0443250060477934e-09 1.2782239174649354e-08 5.817611852823021e-09 -1.428547215019523e-08 -3.5690991137733585e-09 7.260272714572117e-10 -8.877141084672374e-10 5.0426933171313935e-09 1.3044257011981356e-08 2.6139243094347494e-08 1.548188581107507e-08 -4.943269556429359e-08 1.107362895689574e-09 -1.4517557926442983e-09 -9.559992890817164e-09 -1.3934332678288796e-07 -2.8746972439009147e-07 1.965805049483004e-07 1.062101390890366e-07
age3 -5.859624474217029e-08 2.837995150764763e-07 -5.563313714823791e-09 3.5116020074915306e-11 4.112632547421761e-06 -2.503740077943621e-07 4.893194428036147e-09 -3.0808139151913936e-11 1.0769523528106414e-10 -6.763111820703044e-11 8.322608287507259e-11 -6.631080748832276e-11 6.552874871046883e-11 3.241690390432814e-11 -8.305600018708558e-11 -4.23533688364659e-11 9.554120317524562e-11 1.2568543364491775e-11 -1.2384278494213148e-11 -2.5587273676430957e-12 -3.7183753406927653e-11 -7.141819473808243e-11 -1.5608430931935967e-10 -9.499364940032421e-11 3.1715688679062956e-10 -7.985924881562252e-12 2.6959288817883247e-11 6.259692492319468e-11 7.672581075163377e-10 1.534071182168381e-09 -8.69931146776935e-10 -5.254754132990902e-10
sex 0.0022089287870168807 0.03523952375147575 -0.0006705573960739135 4.112632547335672e-06 1.615524683980232 -0.09697727313872248 0.0018706176882217998 -1.1641390203913396e-05 -1.9528802006895533e-05 1.7880827457306204e-05 2.5296884693464874e-06 -1.6716100829449127e-05 -3.081161463943216e-06 -2.4936443731653817e-05 3.6255313010987244e-05 4.585753758179529e-06 1.0092039056865858e-05 1.6765774254419634e-05 -1.0094877107774188e-05 6.843866879053524e-06 -3.480855822852869e-07 -7.468708993262449e-06 -3.198823656679834e-05 8.956235755605056e-06 -2.0510186560446575e-06 1.1268155097443717e-05 -1.6010485971979246e-05 -1.4741876260894553e-05 0.0002708739025122061 0.0004550825726925157 -0.00018153371220058575 -0.0006079613783041536
agesex -0.00013880078063796373 -0.002107517318746573 4.047222832009182e-05 -2.503740077882897e-07 -0.0969772731387086 0.005877982880105876 -0.00011441125094649934 7.180415854112554e-07 1.25639386735637e-06 -9.969017927911987e-07 -6.931876891446255e-08 1.0103325355695135e-06 6.805243651072311e-08 1.4951538700461398e-06 -2.0447552781635516e-06 -2.723275319405062e-07 -5.588100372333416e-07 -9.937255162702187e-07 5.929083124645467e-07 -3.6544448620383233e-07 -1.164225762902421e-08 2.803757006244883e-07 1.8912171575182038e-06 -4.260343331817157e-07 1.0114097643811753e-07 -6.3825970408943e-07 6.734908594740183e-07 9.179796542625701e-07 -1.65011563857929e-05 -2.5354335206704836e-05 7.944030133216562e-06 3.3491357707354956e-05
age2sex 2.8050510143670973e-06 4.044610649400857e-05 -7.838597436232575e-07 4.89319442791472e-09 0.0018706176882212322 -0.0001144112509464813 2.24700986091158e-06 -1.4225872133628527e-08 -2.6399593747942967e-08 1.7720760265880558e-08 7.138662991390202e-11 -1.9367386220028655e-08 4.987256808663183e-10 -2.84932029333474e-08 3.7535034672440964e-08 4.717350034044908e-09 1.0352582445751275e-08 1.8903648196861077e-08 -1.2014346992641915e-08 6.095132264541974e-09 1.328714137791629e-09 -1.8104148025149434e-09 -3.634574297722875e-08 5.372979419126744e-09 -1.3134103278315257e-09 1.117527154795741e-08 -8.129961166401247e-09 -1.8847318581557948e-08 3.219221743047119e-07 4.404528024047944e-07 -9.891981094110944e-08 -5.73917459277084e-07
age3sex -1.8283597331273574e-08 -2.5004847143366785e-07 4.889786744000429e-09 -3.080813915124066e-11 -1.1641390203907869e-05 7.18041585411023e-07 -1.4225872133626204e-08 9.086437041688454e-11 1.757677579868315e-10 -9.957652940936817e-11 7.008570802349937e-12 1.169993961078795e-10 -1.0146710221632953e-11 1.756174028704014e-10 -2.24275885839814e-10 -2.69405972827031e-11 -6.419076505782903e-11 -1.1596192390417755e-10 7.949226724362838e-11 -3.1990551601550317e-11 -1.6024954958429076e-11 -1.0852522159059696e-11 2.2720037726124905e-10 -1.2175314837950824e-11 4.087917601809382e-12 -6.162007296545266e-11 2.3698241634516133e-11 1.245838436293655e-10 -2.0663068298553917e-09 -2.438594520073037e-09 3.2860865062345595e-10 3.0733076838069697e-09
pcs.V3 2.864085238117973e-07 1.1432403108752443e-06 -2.0104872437567522e-08 1.0769523528369652e-10 -1.9528802006368675e-05 1.2563938673245716e-06 -2.639959374732687e-08 1.7576775798298437e-10 1.6450008182021615e-06 1.7052859062693639e-07 -3.869754368700488e-08 -9.138289780187599e-10 1.0419660195645198e-08 3.246763110679885e-08 -5.4767752285126045e-08 1.889028353118077e-08 3.44535117695601e-08 -3.206174020098111e-08 -2.0589623434662888e-08 3.495444137546582e-08 -2.6677251091459697e-09 -2.1208339107392163e-08 -2.991803704425843e-08 -2.7682725037327004e-08 -2.8388969345893524e-08 -2.2332130434785532e-08 2.151477044023188e-08 1.769794225548064e-08 5.059009241774869e-07 5.233058534077573e-07 8.792176090523504e-07 5.314005680279237e-07
pcs.V4 7.295050980413633e-07 -6.574259805150956e-07 1.2145447256908055e-08 -6.763111821027552e-11 1.7880827456424575e-05 -9.969017927378302e-07 1.7720760264843287e-08 -9.95765294028692e-11 1.7052859062694192e-07 1.7698319773672094e-06 8.009641795901076e-08 -5.829933318177181e-09 2.0809193847312812e-08 -5.7996705294312935e-08 4.484342908232609e-09 4.2114097540192116e-08 -1.180806556293752e-08 -1.319027321439714e-09 -1.0130955898533375e-08 -2.359310856258588e-09 -8.062861614017889e-09 5.9484703945157354e-09 -1.1437748255228555e-08 1.6432181978213995e-08 2.0315960708957642e-08 2.98610064133317e-08 1.5301607302144685e-09 1.7769402781606194e-08 6.019071528703925e-08 1.5871648227101526e-07 -1.2433790577766095e-06 -8.391381456617086e-07
