 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.00012058172976116547 3.219000404718581e-06 -1.7223589724503727e-07 1.977181063889422e-09 -5.4038055717676275e-05 3.54629232191211e-06 -7.717182077510325e-08 5.742467833590464e-10 6.203565384371983e-07 1.5503649324355162e-07 -2.565240198754971e-07 -8.186773556699627e-08 2.68725379682851e-08 1.0915592828334413e-07 -1.6392836692958395e-07 1.7429091127995252e-07 4.886244158864702e-08 -1.979609728114527e-07 -8.440895823983483e-08 1.90094140767052e-08 -1.0006758705471197e-07 5.016432756853368e-08 2.744818038610513e-08 -4.479445824801689e-08 2.2428292019114104e-08 -1.2419912917202866e-07 1.8860730629905646e-08 4.9156350064545194e-08 -2.1014961280102955e-05 -2.4887629213555635e-05 3.4691903086220745e-05 2.882206578396832e-05
age 3.219000405214209e-06 0.00039821391462312086 -8.852244401262101e-06 6.152088011460021e-08 0.004984541985411246 -0.00036207618305252205 8.050909364356861e-06 -5.5933580935151454e-08 3.1919438857358697e-07 1.759715915263896e-07 -6.280696943478858e-08 1.7188084045920192e-07 1.2227623439937702e-07 4.990712590919555e-08 2.065480132888042e-08 1.7372793801507106e-07 2.691995366104075e-07 -5.470828843726841e-07 3.008526778776022e-08 -1.86478551097805e-08 -2.4476367412293986e-07 -2.710570009378333e-07 -1.757363413265654e-07 1.8114602225482425e-07 3.5215870571275113e-07 -2.6071342790353545e-07 2.6784726058817446e-07 3.95481396089906e-07 9.888524511674037e-07 -7.085269549314349e-08 3.3144890400240704e-06 5.146396033433704e-06
age2 -1.722358972480263e-07 -8.852244401268527e-06 2.005514340083211e-07 -1.417158387309517e-09 -0.00010854141866854436 8.05989684505179e-06 -1.8266855639107578e-07 1.2904531302893632e-09 -3.942083496879557e-09 -3.656978154723171e-09 5.664741121734687e-10 -4.392153966174009e-09 -3.1962096370952785e-09 -2.474315637952858e-09 5.931747488496154e-10 -2.3668553997272653e-09 -6.1919664903143125e-09 1.1825078892768048e-08 -4.734815519126432e-10 8.991537046723361e-10 5.1878335853843544e-09 4.760903467575128e-09 3.0790891238152963e-09 -3.792193062005213e-09 -8.724040770460747e-09 5.291834166809318e-09 -6.778244046111818e-09 -9.780974181046306e-09 -1.8806068898036628e-08 1.613739353828507e-08 -9.692506127102124e-08 -1.0232766789020598e-07
age3 1.97718106390833e-09 6.15208801146301e-08 -1.417158387309268e-09 1.0172862042630426e-11 7.416394266219844e-07 -5.605091323160314e-08 1.291778019894166e-09 -9.270701150467233e-12 6.601721384531892e-12 2.768411674683642e-11 -3.242230916539661e-12 3.3301312727021505e-11 2.2164740004083048e-11 2.5400441340422627e-11 -8.409455471380535e-12 9.123266317373924e-12 4.5120517339859785e-11 -7.981360122653256e-11 -2.4025050872345893e-12 -9.863986621041618e-12 -3.578897711247876e-11 -2.417725026580898e-11 -1.7727546502261294e-11 2.3264017902445994e-11 6.57740803037815e-11 -3.3861232219460626e-11 5.15228144122245e-11 7.156383702820241e-11 7.379880047137122e-11 -2.415552201595097e-10 8.094542090319005e-10 6.981567982727725e-10
sex -5.40380557096806e-05 0.0049845419854166895 -0.00010854141866866498 7.416394266228255e-07 0.17714880747559822 -0.012758887417071586 0.0002826720128835117 -1.963666262298019e-06 -2.7374474886718603e-06 2.5232632024244048e-06 -3.0617246137613496e-07 9.670549475674189e-07 2.489268380211402e-07 -5.813451585804192e-06 6.080204362685992e-06 1.7651269945850725e-06 -5.080345397639235e-06 -7.098931332399934e-08 -4.331335564600667e-06 1.7000356600713568e-06 1.562740473054311e-06 5.669116285714478e-07 7.134071873235036e-07 1.640866331193529e-06 -2.1282946161516506e-06 -4.879611980850341e-06 3.3321763828705768e-06 -1.1659489490358826e-06 6.814323594487775e-05 0.00011931150199199089 -5.564825201277594e-05 -2.9251342192140304e-05
agesex 3.5462923214633522e-06 -0.0003620761830529975 8.05989684506155e-06 -5.605091323166621e-08 -0.012758887417072713 0.0009444299755418377 -2.1360870965832742e-05 1.5085787563112508e-07 2.6643348949556286e-07 -1.615809422379489e-07 -9.02212240681063e-09 -1.5215845611059993e-08 -5.067407269129825e-08 3.4030184248329763e-07 -3.2171604059970746e-07 -8.191753549201337e-08 3.2986009499362384e-07 1.1025902727549792e-09 2.646369347661821e-07 -1.2163007292694083e-07 -1.790230413969519e-07 -1.2808860831002347e-07 -3.6905099756470396e-09 -7.320073902369147e-08 4.569012587003837e-08 3.1177907921401674e-07 -3.109202652577801e-07 2.9647900280314512e-08 -4.723954315784905e-06 -6.3538890441399975e-06 1.8026135510323683e-06 7.733239644267594e-08
age2sex -7.717182074754152e-08 8.050909364358589e-06 -1.8266855639109717e-07 1.2917780198942383e-09 0.0002826720128835615 -2.1360870965834555e-05 4.919636935167013e-07 -3.5298590072449323e-09 -7.532463175636166e-09 2.8410940753684476e-09 8.592803592656493e-10 -1.4455051500333716e-10 1.4826428919798312e-09 -6.341770355726999e-09 5.825280986958327e-09 7.26291689332802e-10 -6.456103962978283e-09 2.2238692239532198e-10 -5.698832456174148e-09 2.487330532892416e-09 5.2253056351787055e-09 4.832473483807045e-09 -1.0846666543308717e-09 -1.980428430939135e-11 6.569838608610315e-10 -6.880066838564302e-09 7.879181174327572e-09 -4.3975350829626403e-10 1.0356753699378809e-07 9.64623618727679e-08 -3.0859595285649175e-09 4.140049017549778e-08
age3sex 5.74246783353041e-10 -5.5933580935294854e-08 1.2904531302923696e-09 -9.270701150486948e-12 -1.963666262298537e-06 1.5085787563115028e-07 -3.529859007245212e-09 2.5705767932408717e-11 5.91741633048299e-11 -1.2968662255087736e-11 -9.193723004900366e-12 4.470237712247867e-13 -9.628130800778589e-12 3.9226320400605404e-11 -3.6339580309896415e-11 -6.933096564487631e-13 3.8935581763395363e-11 -3.669199267682718e-12 3.941295842275388e-11 -1.58656186060939e-11 -4.3045344024902456e-11 -4.5230065770013915e-11 1.547312694601141e-11 1.3975520181010247e-11 -1.2634548624148567e-11 4.974462989331459e-11 -5.946590888536198e-11 2.8822771971700715e-12 -7.621195672151447e-10 -4.2377519749189515e-10 -1.5991724031318122e-10 -5.631121440032799e-10
pcs.V3 6.203565384369066e-07 3.1919438857335017e-07 -3.942083496873728e-09 6.6017213844876e-12 -2.7374474886803226e-06 2.664334894962602e-07 -7.532463175653358e-09 5.91741633049601e-11 1.3858930195667395e-06 1.6709526869918977e-07 -3.1051378637013986e-08 5.142180210115151e-09 3.102602064840912e-08 2.4141925538603573e-08 -3.1048916227022196e-08 2.461420259511506e-08 1.842146320484362e-08 -1.07459247670189e-08 3.602457945931462e-10 2.1075174449502532e-08 -1.4470852554188766e-08 -1.663088796615733e-08 -2.8885685072242838e-08 -4.1041482890182195e-09 -1.0155500488499041e-08 -1.8844330708722445e-08 1.1045603224355485e-08 2.0457507990948132e-08 5.19950655936609e-07 5.5233220441636e-07 5.334753990902971e-07 4.6000116002732895e-07
pcs.V4 1.5503649324371782e-07 1.759715915260074e-07 -3.6569781547143845e-09 2.7684116746773697e-11 2.5232632024129084e-06 -1.6158094223705747e-07 2.841094075347415e-09 -1.2968662254933446e-11 1.6709526869919006e-07 1.5175152437740706e-06 7.430425109898795e-08 -1.8657083001632715e-08 2.5205024665801497e-08 -5.9328151484837085e-08 -7.783947106945439e-09 3.652357251764495e-08 -1.007342184809267e-08 4.63427233046219e-11 6.1052245909658605e-09 -2.0887465860382418e-08 -1.7087497773194083e-08 1.6080887150157234e-08 5.991631625265937e-09 1.0388175371252906e-08 1.7880478696143298e-08 1.5992944581410517e-08 1.6548099479212984e-09 5.011831297125521e-09 1.3984709033729932e-07 3.1608032759902147e-07 -1.1268513301945152e-06 -9.084095576915282e-07
