 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.00014833015713560508 3.2476831758624772e-06 -1.850440664415743e-07 2.1646281733372347e-09 -6.413468317347902e-05 4.281209702995972e-06 -9.370092442557017e-08 6.919407598638382e-10 7.39745551783688e-07 1.7781907959959901e-07 -2.8494772887391675e-07 -6.23940189314478e-08 3.2883811584916465e-08 1.2218414601368647e-07 -1.6583870966720408e-07 2.092854243842791e-07 4.795981926138933e-08 -2.2496890324907774e-07 -8.384094583691384e-08 1.0690582843037156e-08 -9.579251870150386e-08 5.124326279527268e-08 2.620170107043425e-08 -6.044673356531278e-08 5.808871754774557e-09 -1.4825028272766497e-07 2.2912654919287386e-08 5.652142979621157e-08 -2.447162936950801e-05 -2.9141541043541594e-05 4.109991268631498e-05 3.4192778090824804e-05
age 3.2476831759329457e-06 0.000430811135990799 -9.574996760507979e-06 6.654208553980779e-08 0.005229392419259256 -0.0003798000345521787 8.441542436145786e-06 -5.861799447493465e-08 3.5335072463364725e-07 1.9077939720177688e-07 -1.08089861022423e-07 1.8015568133511868e-07 1.681601521769855e-07 7.9490205378033e-08 1.885559285735661e-08 1.7794405115223834e-07 3.08811796834788e-07 -6.124402148661072e-07 6.288806511363444e-08 -2.002576714995649e-08 -2.5292067024871356e-07 -3.111916290919301e-07 -1.6408569386142925e-07 2.1860628207865435e-07 3.676401806032066e-07 -1.84029891265394e-07 3.0245182649209773e-07 4.557944939308585e-07 1.0277046529970652e-06 1.8126209803920797e-07 3.723975761403758e-06 5.4413482019432565e-06
age2 -1.8504406643465758e-07 -9.574996760506497e-06 2.1687565247014638e-07 -1.5324207902181163e-09 -0.00011388120518204524 8.455959927263245e-06 -1.9158246973917705e-07 1.3528264820557632e-09 -4.611708771953857e-09 -3.813491463888138e-09 1.3907646913012836e-09 -4.632045802107525e-09 -4.465053274621485e-09 -3.348502139812855e-09 6.202295032825759e-10 -2.2879739804013988e-09 -7.104355718152285e-09 1.3341644012625635e-08 -1.2081272719361443e-09 1.0553784290648801e-09 5.478002155033498e-09 5.670787714753378e-09 2.7652747742605847e-09 -4.708321237097045e-09 -9.131460485432268e-09 3.4037099100664758e-09 -7.619053106858732e-09 -1.126667361622595e-08 -2.016135762474351e-08 1.179923438006572e-08 -1.1130038745788797e-07 -1.0614251224113676e-07
age3 2.1646281733078094e-09 6.654208553978763e-08 -1.5324207902178587e-09 1.0999427366633038e-11 7.780941486289172e-07 -5.8808005859583426e-08 1.3549791084072e-09 -9.720554881709063e-12 1.0641478449416042e-11 2.7619697343962372e-11 -8.346976397859685e-12 3.5180152100655536e-11 3.254630679335066e-11 3.298010349601983e-11 -8.345285015318806e-12 7.69885431280219e-12 5.1775358081575935e-11 -9.100589956503098e-11 2.4101401674630527e-12 -1.1959567365349678e-11 -3.8472692501785267e-11 -3.067181856336716e-11 -1.5471401017572057e-11 3.0286713384900983e-11 6.909394659137386e-11 -1.9554936137296604e-11 5.7591154680422033e-11 8.235895785564324e-11 7.555500875880613e-11 -2.3198043414053014e-10 9.49032259354448e-10 7.252714295357935e-10
sex -6.413468317029308e-05 0.005229392419258095 -0.00011388120518202312 7.780941486287907e-07 0.18667233796525018 -0.01345251468583408 0.0002981723194345059 -2.072241307259517e-06 -2.5261316891312646e-06 2.823762946118498e-06 -8.625648754488668e-07 8.346812283315322e-07 6.68485805666988e-07 -5.706256100260463e-06 5.975256095233712e-06 1.2672664344558095e-06 -5.3597010508058315e-06 5.913567353786408e-07 -3.926844570266734e-06 1.8167131612222753e-06 2.1957997822436605e-06 5.939201763075056e-07 -1.058969399676128e-07 1.7423054309740132e-06 -2.2512197826245836e-06 -4.642101292964346e-06 4.170774764020617e-06 -3.2241024975273715e-07 7.912744238434337e-05 0.00013353665530108032 -6.602612170467189e-05 -4.40244556229915e-05
agesex 4.2812097038039706e-06 -0.00037980003455190264 8.45595992725798e-06 -5.8808005859551265e-08 -0.013452514685833198 0.0009963598999151678 -2.254568670486695e-05 1.5929535445996693e-07 2.522269401792085e-07 -1.8595577008236648e-07 2.3781873676893214e-08 -8.544906198098874e-09 -8.064079832782587e-08 3.3141163589329945e-07 -3.133843105137364e-07 -4.440805786597999e-08 3.4586593702679127e-07 -4.5006151696593945e-08 2.3510042125795832e-07 -1.3371488160463956e-07 -2.2562129334801702e-07 -1.2799164976731568e-07 4.9445514107747814e-08 -8.672878968132613e-08 3.889781693020278e-08 2.773805384300565e-07 -3.79509526853781e-07 -2.8352330729662104e-08 -5.522997047741385e-06 -7.268505857387291e-06 2.490402334707059e-06 1.0094269842446209e-06
age2sex -9.370092443388547e-08 8.441542436148898e-06 -1.9158246973924865e-07 1.3549791084077038e-09 0.00029817231943446795 -2.254568670486559e-05 5.194956832633593e-07 -3.72908074341427e-09 -7.264662205117902e-09 3.2816777344127734e-09 2.276982877925232e-10 -1.7948772554264624e-10 2.1696457148747676e-09 -6.06315891269747e-09 5.667595365756589e-09 -1.3084001721825317e-10 -6.681901737566106e-09 1.1908905500042759e-09 -5.099635387236057e-09 2.7675905350766296e-09 6.260196553247741e-09 4.755791570844288e-09 -2.1867333280746764e-09 3.188603489482136e-10 1.1740613766227679e-09 -5.86318736610149e-09 9.459375684916254e-09 6.879287016339129e-10 1.222510334892292e-07 1.1437778466859695e-07 -1.8082292254867624e-08 2.358693156134912e-08
age3sex 6.919407599551072e-10 -5.8617994474947044e-08 1.3528264820560803e-09 -9.720554881711421e-12 -2.0722413072591276e-06 1.5929535445994848e-07 -3.72908074341407e-09 2.716899028790039e-11 5.721234368579862e-11 -1.4592736248770353e-11 -5.324221118418872e-12 -4.578523752825142e-13 -1.4565748977177993e-11 3.6607291026227665e-11 -3.558333504552219e-11 5.19435142867983e-12 3.942226885142074e-11 -9.904416965896687e-12 3.5627994659131746e-11 -1.7792957021180052e-11 -4.9732051437989065e-11 -4.409352106082193e-11 2.292943507781504e-11 1.1733661105358146e-11 -1.8493885876046604e-11 4.129682165715767e-11 -7.065338527486247e-11 -3.869864595458295e-12 -9.055996912066936e-10 -5.355438072310513e-10 -4.30033617844411e-11 -4.606754505033378e-10
pcs.V3 7.397455517838205e-07 3.533507246365543e-07 -4.611708772019734e-09 1.0641478449881775e-11 -2.5261316890318983e-06 2.5222694017170453e-07 -7.264662204945099e-09 5.721234368455903e-11 1.6760609184723624e-06 1.8856876306918392e-07 -3.607835751199822e-08 5.5774150309022625e-09 3.5478004587352686e-08 2.8160673794708048e-08 -3.601958539380175e-08 2.749418707140182e-08 1.8866815528294443e-08 -1.1731198779109049e-08 -1.1266729152959152e-09 2.297298203480368e-08 -1.769187411732577e-08 -1.879270353242173e-08 -3.222442744006497e-08 -4.163016584162954e-09 -1.2186247698360045e-08 -1.82466083060021e-08 1.3316083161152897e-08 2.3726878514976714e-08 5.830620592746102e-07 5.937468558996803e-07 7.107076867493015e-07 5.734330796955461e-07
pcs.V4 1.778190795994137e-07 1.9077939720293636e-07 -3.813491463914496e-09 2.761969734414888e-11 2.823762946157897e-06 -1.8595577008536841e-07 3.2816777344824043e-09 -1.4592736249272917e-11 1.885687630691819e-07 1.8235453274437703e-06 8.265188908073444e-08 -2.0861450386667214e-08 2.9464284864326455e-08 -6.618869128867516e-08 -7.048593798541376e-09 4.357167200271016e-08 -1.3839547920986533e-08 -2.0304220209508575e-10 3.9544727749959815e-09 -2.6934129646113082e-08 -1.7613301235756993e-08 2.1367825437562705e-08 7.75180748110811e-09 1.0568793544987575e-08 2.0357232423677416e-08 1.6536427577263423e-08 1.015825457054753e-09 5.216018720605074e-09 1.3372906131589573e-07 3.2705332718374025e-07 -1.271906326306605e-06 -1.0264091250032191e-06
