 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.0001400039026789634 4.4791586282359526e-06 -2.0026224217718677e-07 2.187194449390865e-09 -3.154466964103759e-05 2.1305489919563884e-06 -4.926767055058577e-08 4.063435289901626e-10 6.877468384050382e-07 1.0427343395143766e-07 -2.76249496715888e-07 -2.6485792380379742e-08 3.607141658448517e-08 1.1775009312376807e-07 -1.7084926830462755e-07 1.850955426912507e-07 5.581847870703665e-08 -2.0034630315706053e-07 -7.930358366480452e-08 -1.9617589508583485e-08 -4.655660290590658e-08 8.215608983054739e-08 2.6685815375442214e-08 -6.188049500878932e-08 2.8236713733502787e-08 -1.9444392327505362e-07 1.4671716302923347e-08 3.584463447087717e-08 -2.3267309830236946e-05 -2.7657787361725294e-05 3.9071414951400686e-05 3.2228449558173515e-05
age 4.47915862822384e-06 0.0003936002682068473 -8.772399391192188e-06 6.108742226637756e-08 0.004741561813683089 -0.0003461834515674625 7.721682555289191e-06 -5.3759024883422984e-08 3.7841240402184207e-07 1.2470215375925971e-07 -1.5494315268899492e-07 1.877299500368164e-07 3.0527936278824447e-07 9.236724993732893e-08 1.4055408331516622e-08 1.2788813714289256e-07 2.555716543175965e-07 -5.999396223063012e-07 1.7201129685025718e-07 -7.370486979508073e-09 -2.6553303330757155e-07 -3.988654358774668e-07 -1.4872312060814042e-07 2.0484074341256814e-07 3.6741390905044195e-07 -2.147559986307862e-08 2.889716967470472e-07 4.690304081261098e-07 1.07789309309222e-06 5.859705135889532e-07 2.7518497073471963e-06 4.791917725996931e-06
age2 -2.002622421759891e-07 -8.772399391195768e-06 1.9924425844589799e-07 -1.4106241044538325e-09 -0.00010361678551613012 7.733769617155092e-06 -1.7583252178906142e-07 1.244773705642304e-09 -5.538027613950678e-09 -2.4563229249171378e-09 2.4691094058647864e-09 -4.646364461988012e-09 -7.498317452506794e-09 -3.495236530539043e-09 7.592214581082618e-10 -1.4121340016948263e-09 -5.943506667975823e-09 1.3138753377610125e-08 -3.4553149452857915e-09 4.512972417204383e-10 5.652465846332142e-09 7.498759796284827e-09 2.4172145545827286e-09 -4.332428519045549e-09 -9.089909974656624e-09 2.0548756127647797e-10 -7.19963309101311e-09 -1.1465321173466822e-08 -1.8342342054599274e-08 3.794081564721426e-09 -9.339703340457695e-08 -9.310567135440294e-08
age3 2.187194449329204e-09 6.108742226637952e-08 -1.410624104453389e-09 1.0144927791854675e-11 7.098200020297655e-07 -5.3921313536860904e-08 1.246660702654767e-09 -8.965837631046998e-12 1.8840595438594526e-11 1.949030729425098e-11 -1.579723628369007e-11 3.400074813506995e-11 5.35876785563482e-11 3.3251338076886566e-11 -9.77443093834891e-12 3.150809943967118e-12 4.428885130664007e-11 -9.02547493619726e-11 1.7576343254545755e-11 -6.5322551742903036e-12 -3.841597753074264e-11 -4.2607154421459864e-11 -1.254584800928023e-11 2.7473078211469447e-11 6.863507352585037e-11 5.955468971536586e-13 5.3961848265031564e-11 8.298502737563389e-11 4.919564874366788e-11 -1.6978156692537997e-10 8.326245062389302e-10 6.381133963410372e-10
sex -3.154466965502882e-05 0.004741561813684547 -0.000103616785516163 7.098200020299838e-07 0.172534716470598 -0.012467218377687052 0.0002768583177634929 -1.9268495108054844e-06 -1.7192473687486419e-06 8.45840353758102e-07 -2.639671531440867e-06 1.6755560532544625e-06 2.659563873689038e-06 -5.798192410490169e-06 5.53062057696413e-06 1.4065611457822828e-06 -5.466905595185587e-06 2.61037332073578e-07 -1.4629470892190265e-06 1.132175913630015e-06 7.108443498590955e-07 -8.019213769660337e-07 5.663871978753621e-07 1.4311947536011957e-06 -3.563412680179214e-06 -1.3036616766910057e-06 5.192117383298426e-06 9.444351545101075e-08 7.354660024670461e-05 0.00012105439885054914 -7.161290376639578e-05 -2.3885252165264875e-05
agesex 2.1305489922166003e-06 -0.0003461834515673049 7.733769617151642e-06 -5.3921313536837326e-08 -0.012467218377686209 0.0009256689273381028 -2.0982268764779356e-05 1.4843919178086133e-07 1.775911383508288e-07 -3.8590066731645465e-08 1.636643985914947e-07 -6.526781465033243e-08 -2.176732256356569e-07 3.4986870252391656e-07 -2.8234669106147426e-07 -5.733815187900439e-08 3.5398893693164356e-07 -2.04619824305169e-08 7.743659695195399e-08 -1.1159567592485673e-07 -1.0866497073027804e-07 -3.441826188169115e-08 -7.989854623177376e-09 -4.165973851049811e-08 1.4729352500040225e-07 6.167784912870828e-08 -4.520857275747561e-07 -5.720871640726211e-08 -5.065030408086387e-06 -6.411924517015115e-06 2.6343711287361267e-06 -1.8486118756207626e-07
age2sex -4.926767057269551e-08 7.721682555282987e-06 -1.758325217889462e-07 1.24666070265409e-09 0.000276858317763455 -2.0982268764777947e-05 4.842556822986576e-07 -3.4803022785953397e-09 -5.471351566667512e-09 2.7065722317314e-10 -3.1812421768689095e-09 8.883907133191578e-10 5.023044491902825e-09 -6.5498728641918186e-09 4.876006386397804e-09 2.6613667796754953e-10 -6.813898225390439e-09 4.808884674047578e-10 -1.884740645692187e-09 2.637193523172983e-09 3.5872182917146614e-09 2.7704290174037883e-09 -7.513297573339634e-10 -8.821873957873081e-10 -1.339917658831154e-09 -1.3214013526997817e-09 1.1012528076285858e-08 1.3618667918303505e-09 1.1200972750022902e-07 9.868746304508972e-08 -2.1226250768719124e-08 4.4570019425490005e-08
age3sex 4.0634352918148506e-10 -5.375902488339133e-08 1.2447737056416857e-09 -8.965837631043061e-12 -1.9268495108050817e-06 1.4843919178084153e-07 -3.4803022785951184e-09 2.538564685380598e-11 4.5151657000981567e-11 3.67245433851458e-12 2.079268508763284e-11 -6.056166706505679e-12 -3.311574022503549e-11 4.0028967447348026e-11 -2.8992850251421624e-11 1.681130562345312e-12 3.966719325015924e-11 -3.620409208002516e-12 1.477308347110539e-11 -1.8175598373836084e-11 -3.159973755955077e-11 -3.104441905499075e-11 1.1760088731727029e-11 2.033869148174078e-11 -1.0277401655754746e-12 1.0705782126430897e-11 -8.116932313776424e-11 -8.72063858123826e-12 -8.316672135986453e-10 -4.6014260141206723e-10 -4.207260663407154e-12 -5.698988808868225e-10
pcs.V3 6.877468384051445e-07 3.7841240402321717e-07 -5.538027613981847e-09 1.8840595438814934e-11 -1.7192473687019367e-06 1.7759113834734136e-07 -5.471351566588045e-09 4.515165700041648e-11 1.557922998573804e-06 1.5392921786988756e-07 -4.1451437280219836e-08 9.543643168769766e-09 3.301791048140707e-08 2.8849880324673706e-08 -3.147051781267419e-08 2.34358224705285e-08 2.0581177836065142e-08 -1.2620272304615404e-08 -2.32856262887016e-09 1.9962929721681096e-08 -1.702196431888802e-08 -1.8673384878337053e-08 -3.373787591052034e-08 -4.1962710770740155e-09 -1.2179138700329786e-08 -1.8741784698689173e-08 1.3266957023225768e-08 2.2741114199557205e-08 5.370453492071566e-07 5.517810936145277e-07 6.330254903400297e-07 5.380389791346903e-07
pcs.V4 1.0427343395145189e-07 1.2470215375993853e-07 -2.4563229249325874e-09 1.9490307294360627e-11 8.458403537830853e-07 -3.859006673352991e-08 2.7065722321647847e-10 3.67245433820374e-12 1.5392921786988698e-07 1.678328193427267e-06 6.450129297569957e-08 -1.9672949424420212e-08 3.339391974531822e-08 -5.5673434868897135e-08 -9.815660146468101e-09 3.440254498431023e-08 -7.723764334931322e-09 -6.3709980857005625e-09 8.405222439980608e-09 -2.161358596412434e-08 -1.9406133036870088e-08 1.7834061547034817e-08 1.8623136199578307e-09 1.0890201338677748e-08 1.2701991574301868e-08 1.1765106023119214e-08 4.324465976037314e-09 8.953481248806993e-09 1.2935862319292387e-07 2.812970065961362e-07 -1.2466061295448876e-06 -9.595117691456491e-07
