 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gp gm
intercept 0.03906444265957262 0.052573855660056804 -0.0013426963405180244 1.1232823502281625e-05 0.345387683425037 -0.02645821196348292 0.0006644048619185139 -5.467677314417516e-06 -2.0138953230539786e-05 2.9779236847759735e-05 5.081219539509551e-06 -9.923248669019256e-06 3.388382657832146e-06 -3.112437629652541e-05 1.5561819113233503e-06 9.580999232622685e-06 -1.1124206793521232e-05 -1.1110598955830336e-05 -2.3725382127819168e-05 -9.537827582844498e-06 -2.039419938827216e-05 1.2018488402584027e-05 1.4279216367194787e-06 5.501876514264945e-07 -1.3783457021742858e-05 -1.1832660867654974e-05 2.1878584579747286e-05 -2.0591533780319695e-05 -4.901630989646723e-05 0.0004119275566805425 7.549183498661063e-05 -0.00029081211774538543 -3.1901751735469295e-05
age 0.052573855662613585 0.17872037701030513 -0.004327983984350005 3.4236015956691096e-05 2.344150789452014 -0.17334384788668833 0.0041892334460311535 -3.307063092888534e-05 -8.389509328898051e-05 3.9957648831541e-05 1.0947093470610321e-05 -3.488354812656777e-06 -2.0558171298179104e-05 -3.369339240513824e-05 6.9320457640185825e-06 2.7956620671815855e-05 1.8768619469681176e-06 -2.4816752896210208e-05 2.309559219740187e-05 1.0444301651212342e-05 -1.8005142313926063e-05 4.523980700760323e-06 5.423501298794912e-08 2.971416359985729e-05 -4.0447006310639885e-05 1.1331807318652846e-05 3.180266881183024e-08 2.640254307923926e-06 7.585681187000535e-05 -0.0007864147644043181 0.00015308898444403246 0.0005616241017925882 -0.0002371172418099199
age2 -0.0013426963405825294 -0.004327983984354308 0.00010522711328645818 -8.357578270794994e-07 -0.05653780785450901 0.004196200870765149 -0.00010179185217784347 8.066120864748102e-07 1.9309453811975283e-06 -9.745470177595539e-07 -2.300698054467308e-07 9.26932233786998e-08 4.485792574145415e-07 8.422086347924529e-07 -1.308440177830211e-07 -7.010543048884494e-07 -1.6774021397251837e-08 6.005552413242461e-07 -4.5176201975481836e-07 -2.784054609616566e-07 4.747226988349746e-07 -1.6895356768343768e-07 -1.0244391294744513e-08 -6.885094593191638e-07 9.889275001454478e-07 -1.8629860968840668e-07 -3.6579897763735156e-08 1.3229779251848444e-08 -1.8376724769481097e-06 1.8155258349697644e-05 -2.2248942995287246e-06 -1.3091009699565008e-05 4.299198968723266e-06
age3 1.1232823502781476e-05 3.4236015956687335e-05 -8.35757827078633e-07 6.666055187967333e-09 0.00044567350188248875 -3.3197876101503885e-05 8.083900746452088e-07 -6.431166528978674e-09 -1.44879349251934e-08 7.78554090166687e-09 1.596417366753975e-09 -8.726417740685486e-10 -3.246292431572323e-09 -6.918755321676754e-09 6.926020954415785e-10 5.732223744298516e-09 -8.967202365322115e-11 -4.669249241041175e-09 2.6251714816844697e-09 2.341059811559555e-09 -4.1260322594979115e-09 1.7676055827218302e-09 8.505344161726423e-11 5.146032043918369e-09 -7.821229161713917e-09 7.868215409224184e-10 7.053635907531341e-10 -7.688928630467593e-10 1.3522398382625632e-08 -1.3476684051813228e-07 1.0613180724605606e-08 9.708526363436374e-08 -2.5821536396260696e-08
sex 0.34538768354424526 2.3441507897280838 -0.05653780786123071 0.0004456735019359331 64.49579142875784 -4.73561725104142 0.1135219193447159 -0.0008881362902787978 -0.0007281309819301911 0.0008662145037597631 0.00041060472990895843 -0.00010456934937792417 -0.0008107694636259824 -0.0003163696821775913 0.00017214156916682327 0.0009627305253369119 -4.5558715585330066e-05 0.00025758270828064807 0.00021972810832794604 0.00030614170118965116 -4.1926084574121345e-05 -7.49962961564837e-05 -0.0002390824264548361 0.0007930904573754985 -0.00014590865785624757 0.0004080332308327276 -0.00039866125594591455 6.084606273237402e-05 0.0030897490305561116 -0.014038287807764992 -0.004618694578600796 0.00826166444059279 0.0005692183167336719
agesex -0.02645821197211981 -0.17334384790680712 0.0041962008712555995 -3.319787610540562e-05 -4.73561725103702 0.34903075665651656 -0.00839861752611622 6.595094579021613e-05 5.087804265206993e-05 -6.178323621136727e-05 -2.670414805578741e-05 6.2827278406014054e-06 5.7544884219057745e-05 2.036089600329284e-05 -1.0233478706663273e-05 -7.208851273644634e-05 1.0547282020455196e-06 -1.9010127085799372e-05 -1.7361328146497248e-05 -2.5735563862696274e-05 3.844966023554064e-06 4.166594515709448e-06 1.6434680543924344e-05 -5.535888972780282e-05 1.0506629483094348e-05 -2.658783730606872e-05 2.7939102699874092e-05 -4.527626338906072e-06 -0.00022890093195578412 0.0010528967636664075 0.0003797610158656886 -0.000603027395700657 -0.00010617039608692923
age2sex 0.0006644048621278922 0.004189233446508233 -0.00010179185218947182 8.08390074737748e-07 0.11352191934448817 -0.008398617526107247 0.0002028809930370631 -1.599418268806423e-06 -1.1577144252426672e-06 1.4262239270736896e-06 5.579167386440169e-07 -1.113295885891732e-07 -1.3449908911609993e-06 -4.1228702172461333e-07 1.7970391376203952e-07 1.754378586645141e-06 3.392960474101717e-08 4.6575313893340214e-07 4.268401854661343e-07 7.07348804388053e-07 -1.1318548453613226e-07 -6.825758714196641e-08 -3.773926901595951e-07 1.2497725008950196e-06 -2.4584689089593157e-07 5.514259733272809e-07 -6.480775652534476e-07 1.081750022486964e-07 5.425893044226617e-06 -2.5977913652480138e-05 -9.829194124838705e-06 1.4363174638968666e-05 3.835785350538425e-06
age3sex -5.467677316048392e-06 -3.3070630932662466e-05 8.06612086566705e-07 -6.431166529708661e-09 -0.0008881362902759476 6.595094579006735e-05 -1.5994182688045387e-06 1.266086422486797e-08 8.524918133896558e-09 -1.0644311764869377e-08 -3.728864637541557e-09 5.598828804555159e-10 1.0334365104989705e-08 2.5992429257492452e-09 -7.776987099774738e-10 -1.38899652696011e-08 -7.338239700682305e-10 -3.795724367939822e-09 -3.312556453526627e-09 -6.304905858599109e-09 1.0782270977710783e-09 3.5447053243113857e-10 2.8169182007369465e-09 -9.163769252739407e-09 1.8261702219580826e-09 -3.6426695924865395e-09 4.8824041373880526e-09 -8.456775790391321e-10 -4.12233269272028e-08 2.115720155694e-07 8.096548866909467e-08 -1.1252753817399585e-07 -3.827761198219798e-08
pcs.V3 -2.0138953230802556e-05 -8.389509328593035e-05 1.9309453811236674e-06 -1.448793492460804e-08 -0.0007281309817693116 5.087804264022908e-05 -1.1577144249582803e-06 8.524918131668566e-09 6.9449094876655566e-06 2.0279243722919878e-07 1.4048370345369288e-07 -9.121855522450942e-08 4.631581061086053e-08 3.888857717839613e-07 -2.6118799916760163e-07 2.452050805804791e-07 -4.2434510911548373e-07 1.7484463580776238e-07 -8.233711573607515e-08 5.4207626488506444e-08 2.4580470574470614e-07 1.0563587639798078e-07 -6.237833104887606e-08 -8.96921032457217e-09 -1.1224039472296256e-07 -1.8893362131112493e-07 1.8671353076795448e-07 -1.6093813713551492e-07 3.6926156200881074e-06 4.240749857867393e-06 -9.020046705037751e-06 2.6734143643161242e-06 6.741118738409829e-06
pcs.V4 2.977923684916742e-05 3.995764883440287e-05 -9.74547017829415e-07 7.785540902223318e-09 0.0008662145037425861 -6.178323621015448e-05 1.4262239270459849e-06 -1.0644311764664764e-08 2.0279243722732107e-07 6.354207392866355e-06 1.1109447560255265e-07 2.9136990625479346e-07 -1.9880617291030422e-07 -6.285329549346228e-08 1.1873945143030692e-08 2.159076044814396e-07 1.696728175986522e-07 -2.3719983970908562e-07 1.5498488092462828e-07 -1.2422142315164133e-07 -3.942038375272022e-07 1.344197510111802e-07 3.1371419964224236e-07 -1.1511719798898967e-09 3.762434849569393e-07 2.8432282453761173e-07 4.110011327535914e-08 -2.579447711150093e-07 -2.511297447416745e-06 5.156309878982091e-06 -6.285469177482062e-06 -7.922142329051415e-06 5.935736876321769e-06
