 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
pcs.V5 -2.7677199402580654e-07 3.483147977106788e-08 -1.804960266183675e-09 1.4887406375956828e-11 6.28477017205019e-07 -8.312258426416702e-08 2.7764952288398665e-09 -2.457604771083254e-11 -3.1899051809120904e-08 7.890533566023822e-08 1.4645618970618223e-06 1.8089235371733028e-09 -3.2460474517481817e-09 -4.180483101772838e-08 1.5770674606661916e-08 -1.0180774226563568e-08 5.362766102374726e-09 4.452791955686017e-08 1.2115200295479657e-08 1.1862141521190246e-08 1.2249014861542536e-08 2.7743341843493996e-08 -2.3657509731743976e-08 -9.17382389401153e-09 1.0261466567725813e-08 1.8098280867555475e-08 -1.0070333894211154e-08 5.301578815603367e-09 2.2477195502058903e-07
pcs.V6 -2.2213965607154024e-07 1.7831501633272028e-07 -4.497763340747629e-09 3.398347001999858e-11 1.5414973302886894e-06 -2.3113298857256114e-08 -3.762759104639902e-10 3.708742982901013e-12 6.430449730107072e-09 -1.3535537563642157e-08 1.8089235371730146e-09 1.4008534577045288e-06 5.8770551226667055e-09 -8.369919250970704e-09 1.976716588588757e-08 -1.3235425746448902e-08 3.7442604490176676e-08 -5.858316868083315e-09 -1.237882379453932e-08 -2.9703321952508516e-09 1.2826574750554667e-08 6.377390179422776e-09 3.603195089194685e-09 1.1732859683434347e-08 -3.975507604278473e-09 1.4823394473352866e-08 -2.7544716417820847e-08 -1.9877189577083955e-08 3.685273649632737e-07
pcs.V7 3.840069560997719e-08 1.2404595190149275e-07 -3.085832104920803e-09 2.0742727307797213e-11 -1.418845668401417e-06 6.706923437594817e-08 -1.041507966817635e-09 7.067316038537765e-12 2.621180036074014e-08 2.611379443197653e-08 -3.246047451748297e-09 5.877055122666491e-09 1.5946747509770974e-06 7.416421579808806e-09 8.877813848905563e-09 -3.873146671845596e-08 5.427299088914615e-09 -8.033295716435642e-09 2.5052631319669736e-08 -7.724939756860169e-09 -2.458456795205402e-09 1.4559923944811444e-09 -2.9863986196329946e-08 2.0198936936395877e-08 1.6574400395921998e-08 -5.003146469469149e-08 -6.078565980111435e-09 -8.097747973520542e-09 -1.1790092206652636e-07
pcs.V8 7.952215803665078e-08 2.7329193676140286e-08 -1.758475382852223e-09 1.8617223911565384e-11 -7.919912194642703e-06 4.892234173271478e-07 -9.771686264005423e-09 6.486055382615995e-11 2.3999773405918623e-08 -5.830892538198349e-08 -4.1804831017728795e-08 -8.369919250972251e-09 7.416421579808617e-09 1.571289236143311e-06 1.6134302855608363e-08 -1.6072595602444565e-08 3.4104535931510742e-09 4.821464704059715e-08 9.805440302288818e-09 -2.519828557705669e-08 -5.17017898730483e-10 7.948675019135988e-09 -1.675807257410961e-09 2.1531722494934488e-08 9.970940150307632e-09 2.7646506888919872e-08 6.179115289122583e-09 -3.5733578062889436e-09 4.610082897171055e-09
pcs.V9 -1.7242367830241856e-07 -4.4124300380759066e-08 2.2674144295496012e-09 -2.177379563347947e-11 6.364566419900518e-06 -3.188335687114992e-07 5.408901540735151e-09 -3.106744749554028e-11 -2.8404462035641256e-08 -1.6156708091474e-08 1.5770674606662157e-08 1.9767165885888444e-08 8.877813848905803e-09 1.6134302855608965e-08 1.547928802422362e-06 -1.444912450961718e-08 3.3722662083699143e-09 2.3492864510070996e-08 2.1820721548580155e-08 -8.395661481204882e-09 2.70398641661634e-09 -6.211799363286658e-09 -5.375981419444795e-09 -2.9484323306068687e-08 -4.11375907115385e-08 -6.9381678944413905e-09 -8.139740875993363e-09 1.5903298676439462e-08 8.822540075173166e-09
pcs.V10 1.2847244216860225e-07 2.3205896827889191e-07 -3.5530238028547816e-09 1.6540092031790247e-11 3.172938599977525e-06 -1.7243196497637379e-07 2.4525748892967356e-09 -1.0540232037655665e-11 2.3520641923059264e-08 4.111931206812075e-08 -1.0180774226563464e-08 -1.3235425746448378e-08 -3.8731466718455875e-08 -1.6072595602444336e-08 -1.4449124509616948e-08 1.5674001579269016e-06 5.8636460186998125e-09 1.1031563674839881e-08 2.492942947656172e-08 1.7987777914945588e-08 -3.579371991203837e-08 5.620306445421433e-09 -2.8632046761845893e-09 -6.315332114561782e-09 8.58768756496475e-09 4.1709822745640586e-08 -7.368583480807206e-09 -8.45659760218043e-09 5.159803690491469e-07
pcs.V11 5.3889366484181904e-08 2.998460666355161e-07 -7.3096346678320775e-09 5.596120599128667e-11 -5.093905976048689e-06 3.053213770013513e-07 -5.466054546111022e-09 2.951596664310315e-11 1.8646833823576197e-08 -7.889783421157123e-09 5.3627661023742785e-09 3.744260449017576e-08 5.427299088914566e-09 3.410453593151827e-09 3.3722662083691396e-09 5.863646018699479e-09 1.5088388217293773e-06 -2.4852979718551943e-08 3.744669678180996e-09 5.718180952771363e-09 -1.4619387462098766e-08 -5.916988092989459e-09 2.804338181795822e-09 1.1040210020521702e-08 -1.7303683374113473e-09 -5.3097712509999455e-09 -1.7720367300721717e-08 6.253351180852318e-09 9.188330652230247e-08
pcs.V12 -1.681501831947626e-07 -6.117705246444335e-07 1.2923725712226326e-08 -8.539360166937703e-11 -1.7674905332110663e-06 1.0866592073588186e-07 -1.8672325661441865e-09 9.378030693858743e-12 -1.450750592148267e-08 2.1407987072786107e-09 4.4527919556860216e-08 -5.858316868083615e-09 -8.033295716435799e-09 4.821464704059645e-08 2.3492864510071257e-08 1.1031563674840088e-08 -2.485297971855249e-08 1.5553506457024901e-06 -1.0284297540902705e-08 -6.319580760487958e-09 1.3395901236610822e-09 1.4960245900933523e-08 4.128496450951352e-09 -2.401658769780163e-08 -1.841068317898824e-08 9.726172507470403e-09 -3.458985636359679e-08 3.204880077482566e-08 -3.333825254287323e-08
pcs.V13 -7.479148553507059e-08 -4.158099942374342e-08 1.3001902874542304e-09 -1.630460294194808e-11 -5.630547078981156e-06 3.554378023229666e-07 -7.810205506258575e-09 5.483200427220347e-11 2.225502902904651e-09 6.118548760941853e-09 1.211520029547926e-08 -1.237882379454048e-08 2.5052631319669587e-08 9.805440302289018e-09 2.1820721548579794e-08 2.4929429476561487e-08 3.744669678180315e-09 -1.0284297540901994e-08 1.5853663818334756e-06 1.1907999097952948e-08 -2.040721446497942e-08 2.5436196256740256e-08 -4.587385094152189e-08 -2.407296158957464e-08 -2.390383907071835e-08 5.939968552815941e-09 1.7560334247135015e-08 1.591097241183384e-08 -1.662918835851691e-07
pcs.V14 4.063509547898136e-09 1.4562811703898382e-08 -7.173500137899352e-11 -1.534638130953112e-12 3.3002001612109233e-06 -2.517679117285959e-07 5.563569476252271e-09 -3.8195438274763483e-11 1.917228013474846e-08 -1.7022581213779997e-08 1.1862141521190492e-08 -2.9703321952500517e-09 -7.724939756860043e-09 -2.5198285577056617e-08 -8.395661481204775e-09 1.7987777914945664e-08 5.718180952771772e-09 -6.319580760488304e-09 1.190799909795298e-08 1.5541960057228133e-06 -1.181267042061136e-08 -1.3521477819549758e-08 1.3064633645985161e-08 -1.5410913832449197e-08 -1.0130333306224298e-08 7.080434807388721e-09 -1.028502680369927e-08 -1.9168798941134615e-08 3.6830885254503633e-07
pcs.V15 -6.54471224002181e-08 -2.574240491733259e-07 5.117541154343114e-09 -3.285558765168731e-11 6.171793350637821e-07 -1.3086915584400312e-07 4.5863877755859545e-09 -4.162018509207462e-11 -1.3780993093095742e-08 -2.151585221332101e-08 1.2249014861542768e-08 1.282657475055512e-08 -2.458456795205313e-09 -5.170178987306897e-10 2.703986416616402e-09 -3.5793719912038235e-08 -1.4619387462098579e-08 1.3395901236607697e-09 -2.0407214464979564e-08 -1.181267042061124e-08 1.5779517065747257e-06 1.207626564806494e-09 -1.8046508828003862e-13 2.3388084812369184e-08 1.0923495864128585e-08 -1.4918411854190214e-08 -4.6025416180748014e-08 -1.1567760768442743e-08 -1.0355936782502122e-07
pcs.V16 -1.7925333887726346e-08 -3.126610940303656e-07 5.410000558327495e-09 -2.7023616425069438e-11 2.214111657422766e-06 -2.720654733373069e-07 8.490609065229662e-09 -7.296961099144475e-11 -1.9474209090954388e-08 2.190217704450173e-08 2.7743341843494396e-08 6.377390179423658e-09 1.4559923944813154e-09 7.948675019135897e-09 -6.2117993632864225e-09 5.620306445421544e-09 -5.916988092988935e-09 1.4960245900932994e-08 2.543619625674018e-08 -1.3521477819549644e-08 1.2076265648064217e-09 1.5404781760090035e-06 -5.440364029583918e-09 -2.6645682833068575e-10 -2.7648675678380148e-08 6.19438587049241e-09 -2.024948873985099e-08 -3.3284880191568344e-08 1.293329522842918e-07
pcs.V17 6.101720282165711e-08 -2.0107767036480443e-07 3.8919445396114584e-09 -2.553084653532266e-11 1.942265543936507e-06 -7.029574790261887e-08 -1.4600068613118235e-10 1.2579531575435708e-11 -3.320215345677518e-08 7.0791560542122735e-09 -2.365750973174387e-08 3.6031950891948736e-09 -2.9863986196330006e-08 -1.6758072574111944e-09 -5.3759814194444986e-09 -2.8632046761845194e-09 2.804338181795675e-09 4.128496450951297e-09 -4.5873850941522275e-08 1.3064633645985322e-08 -1.8046508812047533e-13 -5.440364029583592e-09 1.5880348771593382e-06 4.6036438266112986e-08 -1.769259964779908e-08 -9.040853702616746e-09 -1.2073676311817902e-08 -2.6242112592427245e-08 -1.2647913593307378e-07
pcs.V18 4.037065255849286e-08 2.2977295741392486e-07 -4.661373452480572e-09 2.7359018731405985e-11 7.494769430683307e-07 1.5752591355935904e-08 -2.5888025594473443e-09 3.5885575279563004e-11 -6.25155916512305e-09 6.969625315168908e-09 -9.173823894011672e-09 1.1732859683434257e-08 2.0198936936395837e-08 2.1531722494934842e-08 -2.9484323306068812e-08 -6.315332114561942e-09 1.104021002052173e-08 -2.4016587697801362e-08 -2.4072961589574362e-08 -1.5410913832449396e-08 2.3388084812369124e-08 -2.664568283308164e-10 4.603643826611306e-08 1.5412042380669273e-06 -8.631271838693537e-09 -3.1256346971574355e-08 -5.48892678037494e-09 -5.581640640757815e-09 -4.619715329475302e-08
pcs.V19 6.332443283871635e-08 4.812388273959672e-07 -1.1825805905847057e-08 8.884349264292685e-11 -1.982494166415524e-06 2.575716207076735e-08 1.2439961556223165e-09 -1.794696769804665e-11 -5.914611926605237e-09 2.2678625131380058e-08 1.0261466567725654e-08 -3.975507604278493e-09 1.6574400395922157e-08 9.970940150308395e-09 -4.1137590711539124e-08 8.58768756496447e-09 -1.7303683374107517e-09 -1.8410683178988124e-08 -2.3903839070717628e-08 -1.0130333306224752e-08 1.0923495864128132e-08 -2.7648675678380922e-08 -1.7692599647799118e-08 -8.631271838693254e-09 1.5358449182971562e-06 7.592791586125981e-09 -3.0805742761742664e-09 7.964720117138101e-10 -3.631516557716378e-07
pcs.V20 -1.145435686273755e-07 -3.215446899009156e-07 7.049141177459747e-09 -4.8686674016367605e-11 -4.690687339435425e-06 3.132109519929551e-07 -7.4040293084451665e-09 5.705284722756034e-11 -2.45120831589341e-08 1.703244663011352e-08 1.8098280867555283e-08 1.4823394473351902e-08 -5.003146469469178e-08 2.764650688891893e-08 -6.938167894441381e-09 4.170982274564068e-08 -5.309771251000867e-09 9.726172507470823e-09 5.939968552815416e-09 7.080434807389053e-09 -1.49184118541898e-08 6.194385870492986e-09 -9.040853702616468e-09 -3.125634697157476e-08 7.592791586125303e-09 1.5427473921264443e-06 5.70328985567214e-10 2.1461314028471378e-08 -5.697828779814388e-09
pcs.V21 4.780497231068563e-08 2.735618772235087e-07 -6.998764477126045e-09 5.355238524521329e-11 4.3796467848371005e-06 -3.994809097135514e-07 1.0080742279864085e-08 -7.56436881541987e-11 9.627036350591381e-09 5.71724120350002e-10 -1.007033389421078e-08 -2.7544716417819464e-08 -6.078565980111225e-09 6.179115289122543e-09 -8.139740875992708e-09 -7.368583480807012e-09 -1.772036730072106e-08 -3.458985636359747e-08 1.7560334247135194e-08 -1.0285026803699176e-08 -4.602541618074837e-08 -2.0249488739851514e-08 -1.2073676311818147e-08 -5.4889267803744e-09 -3.0805742761735724e-09 5.703289855668223e-10 1.5323194787381416e-06 2.469894034504981e-09 -2.5697843919804156e-07
pcs.V22 5.335858934256863e-08 4.029936190396003e-07 -9.748388152746651e-09 6.997614235545853e-11 -1.9703587183219557e-06 9.008444086856276e-08 -1.992512230004828e-09 1.5533156143970162e-11 2.2212671419101592e-08 6.717521322920665e-09 5.301578815603069e-09 -1.987718957708434e-08 -8.0977479735204e-09 -3.573357806287631e-09 1.590329867643853e-08 -8.456597602180923e-09 6.253351180852944e-09 3.204880077482607e-08 1.591097241183477e-08 -1.916879894113523e-08 -1.1567760768443077e-08 -3.328488019156903e-08 -2.6242112592427314e-08 -5.581640640757761e-09 7.964720117137063e-10 2.1461314028472374e-08 2.469894034503978e-09 1.5630002678842079e-06 -4.7115216083948745e-08
proband -6.147385441214766e-07 5.504277510619773e-06 -1.1820422697535666e-07 7.668866695772393e-10 8.976801482147961e-05 -7.634379710161376e-06 1.924860893520758e-07 -1.5346740349056236e-09 1.2907441761319581e-06 -7.49766463722793e-07 2.247719550205942e-07 3.6852736496329743e-07 -1.1790092206651946e-07 4.6100828971886194e-09 8.822540075168598e-09 5.159803690491451e-07 9.188330652232505e-08 -3.3338252542883756e-08 -1.6629188358515182e-07 3.6830885254502924e-07 -1.0355936782503106e-07 1.2933295228427788e-07 -1.2647913593308114e-07 -4.619715329474376e-08 -3.631516557716211e-07 -5.697828779815484e-09 -2.569784391980548e-07 -4.7115216083925386e-08 9.545218311308883e-05
