 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.03122921114652248 0.011600568240772222 -0.00037071896973570246 3.76361398863296e-06 0.043613102621883504 -0.004413627442341141 0.00014130454819072749 -1.4425539734412067e-06 4.910830026868466e-08 8.05432936666761e-06 3.6743580692340972e-06 -7.556387257420011e-06 -2.5059651948938295e-08 -2.0165368905163542e-05 3.0417128847001254e-06 7.462911800872572e-07 -5.73564374170275e-06 -3.4953393224503635e-06 -2.1739873696809633e-05 -4.684692162004614e-06 -1.2918795402342776e-05 4.681386398097934e-06 -6.611363890730095e-07 1.0199365968928362e-06 9.530162071533061e-07 -7.9182649251097e-06 1.2914814752970108e-05 -9.233820098295071e-06 -7.390879679722916e-05 -2.7498226597271e-05 7.17912916321025e-05
age 0.01160056824074129 0.010098249601328557 -0.0003002375788474587 2.8218453781700045e-06 0.10241093863734659 -0.009710754803184058 0.00028834336231489926 -2.7063590071109657e-06 2.0403721360873254e-06 -3.2792206737971563e-07 -5.620677261882582e-06 3.1016667133903146e-08 -1.4685633485982941e-06 -2.2170678209745598e-06 3.9438673499711457e-07 -6.630244319619229e-07 -1.68104949392091e-06 -3.862777086363721e-06 -5.373899092282182e-06 5.1299930162973874e-06 -4.074114800461642e-06 -7.697287296185817e-07 1.8021187035697598e-07 1.7069551004116753e-09 -2.331260270151203e-06 -8.109396586359193e-06 -6.778799639494883e-07 1.078647253571824e-06 -1.7192730973896152e-06 1.5828087256983514e-05 5.2506124964053635e-06
age2 -0.0003707189697348523 -0.00030023757884760176 9.028354061658675e-06 -8.577853562517065e-08 -0.003011304606274744 0.0002887635432052082 -8.670875294891078e-06 8.226074196967676e-08 -7.869223892736924e-08 4.109560680419873e-08 1.5380342538389444e-07 9.432451194251763e-09 4.5061024786196047e-08 6.646605868416342e-08 2.7500536636705695e-09 3.359353227559566e-08 5.132242891385774e-08 9.674480054510174e-08 1.9196868740965684e-07 -1.490795679010239e-07 1.2415495769785413e-07 -2.4893918286085456e-11 1.1171363880997955e-08 2.291448861128432e-08 6.179290068929249e-08 2.3495243964576638e-07 -1.1679499806886032e-09 -1.0995091301317678e-08 2.793131297321947e-07 -3.1653454450695256e-07 -3.089768617378726e-07
age3 3.7636139886251914e-06 2.821845378171786e-06 -8.577853562518903e-08 8.240332084148384e-10 2.8036526960012085e-05 -2.7155021959567344e-06 8.241627505359929e-08 -7.90467222505024e-10 9.042391051842216e-10 -5.548497008617119e-10 -1.325926599873901e-09 -2.0218434998532771e-10 -4.841977860139164e-10 -6.882091447976421e-10 -1.6426099378647134e-10 -3.6233345034600256e-10 -4.802614800373757e-10 -7.163280321403185e-10 -2.115936063189334e-09 1.3357303641545864e-09 -1.2292292871246098e-09 1.4880898043631555e-10 -2.4712046014463584e-10 -3.8874489926191067e-10 -4.752028634548516e-10 -2.158813286618661e-09 2.7608468003494627e-10 -8.252761147110904e-11 -4.871645985785036e-09 1.1206942937492893e-09 4.950776918189025e-09
sex 0.04361310262063313 0.1024109386366124 -0.00301130460625294 2.8036526959806805e-05 2.2602939327797773 -0.21093526979171115 0.006160737712095605 -5.6819715083481455e-05 8.133595447316369e-05 -4.5538408497122904e-05 -3.5937463480254276e-05 1.3711725356473092e-05 -9.679045294453473e-05 0.00014459987104244892 -3.138741291839705e-05 8.802249460800995e-06 -1.1823017817646808e-05 4.742203854659206e-05 4.041237284124957e-05 0.00012587682586397868 6.554223399646087e-07 -2.8415290953168593e-05 -4.715810703552294e-05 -0.00010568531838236987 -1.806411221323383e-05 -5.1301749259683115e-05 -1.1345362882743505e-05 7.770919642434605e-05 -0.0002585375104782807 0.00016170644303622884 0.0005205879677108641
agesex -0.004413627442220832 -0.009710754803105981 0.0002887635432028924 -2.715502195935096e-06 -0.2109352697917338 0.01993954648422211 -0.0005890471179658009 5.487751384274579e-06 -7.888910841072897e-06 5.055069173806292e-06 4.195110762798203e-06 -1.3689482081194404e-06 8.761803749124519e-06 -1.425577138515991e-05 3.7930438201523817e-06 -3.157264564285819e-07 1.9548532522308568e-07 -4.6253796961100345e-06 -3.074012231051808e-06 -1.2181988373214689e-05 -5.149630848374574e-07 2.186671726060497e-06 4.40853416779313e-06 1.0795518862758315e-05 1.01931880669683e-06 5.224779848325228e-06 1.3020153496527813e-06 -7.257140525160759e-06 2.4167708325513336e-05 -6.176200459589672e-06 -4.9355022326217634e-05
age2sex 0.00014130454818716637 0.0002883433623128973 -8.670875294831588e-06 8.241627505303834e-08 0.006160737712097016 -0.0005890471179658709 1.7600395059758525e-05 -1.6575570832553656e-07 2.37821522618672e-07 -1.7452443508904029e-07 -1.456844790372654e-07 4.7616647034676145e-08 -2.568716544995089e-07 4.352850087328536e-07 -1.344823082104526e-07 -1.5587312701656693e-09 2.158589655727985e-08 1.4750615235701514e-07 5.996734950988819e-08 3.6694539340142813e-07 2.2381222579941183e-08 -5.0855156760053746e-08 -1.3509323872165547e-07 -3.3941576033051017e-07 -1.421789819724222e-08 -1.672073005214043e-07 -4.286992123233564e-08 2.073669161424126e-07 -8.13813565912424e-07 -2.194788566443252e-07 1.5118778630887065e-06
age3sex -1.4425539734168234e-06 -2.7063590071044456e-06 8.226074196945235e-08 -7.904672225026107e-10 -5.6819715083501655e-05 5.487751384275897e-06 -1.6575570832555623e-07 1.5784092142345488e-09 -2.312002613232584e-09 1.866497780838389e-09 1.5624132713704464e-09 -5.071455882351889e-10 2.4235892387482754e-09 -4.162720519066402e-09 1.4934462378190743e-09 8.075862316477779e-11 -4.2539445724719843e-10 -1.514381621344541e-09 -2.5996116192833037e-10 -3.4522100479755214e-09 -2.3661231748690326e-10 4.1585551931128435e-10 1.2551765132502703e-09 3.2861945974722204e-09 -2.565305156610725e-11 1.6573329459384789e-09 3.3770458857006865e-10 -1.8725972450202808e-09 8.82095738366583e-09 6.3350205048681424e-09 -1.4662186968013527e-08
pcs.V3 4.910830022383714e-08 2.040372136072737e-06 -7.869223892692e-08 9.042391051798371e-10 8.133595447340632e-05 -7.88891084109496e-06 2.378215226192951e-07 -2.3120026132380987e-09 4.71972655562715e-06 2.0512705061087408e-07 -6.36129128881723e-09 -1.1422546457979048e-08 1.6838896909010798e-07 1.4268362934504166e-07 4.379984199837802e-09 1.3746272617806772e-07 -1.199879723842197e-07 1.6695401659833553e-07 -1.2376704248426188e-07 -3.850856483535564e-08 1.2058952981566729e-08 -3.834737504980587e-08 -2.106860506560045e-07 8.678143530036075e-08 5.413950171473187e-08 -3.961284948800244e-08 1.1886098533954383e-07 7.918739001724565e-08 2.630223752838025e-06 3.233162227587642e-06 1.6379783028042219e-06
pcs.V4 8.054329366702348e-06 -3.2792206735785625e-07 4.10956068035122e-08 -5.548497008548761e-10 -4.553840849681322e-05 5.055069173776163e-06 -1.7452443508812255e-07 1.866497780829557e-09 2.0512705061089213e-07 4.5047203072145716e-06 7.840974063523961e-08 2.8746249318934746e-08 1.1662452843552029e-07 -3.8334026907319114e-08 -1.2251190520900576e-07 2.1340645216052262e-08 1.4261354588889146e-07 -6.825451464919087e-08 3.563720520090778e-08 -2.112672516894861e-07 -2.3653312795615276e-07 1.0292767828266079e-07 2.0498009822745787e-07 1.0938317764248258e-07 1.8350812418049063e-07 9.681750294148273e-08 -4.1088824460543356e-08 -1.6594984154419465e-08 -6.196470549836679e-07 -3.5526996736727443e-06 -1.3522715755324427e-06
