 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.0004161839671894708 -0.0005636410844297823 1.0360205620548736e-05 -6.118809357277945e-08 0.0025589987421688796 -0.0001619135271428105 3.2920467727571634e-06 -2.1574223463817157e-08 2.341019129914925e-07 8.06908285704502e-07 -7.22195460931227e-07 2.2388645738876985e-07 6.374302888022674e-08 -1.96575647588541e-08 4.523698360719118e-07 3.860545557728492e-07 1.2151163231944373e-07 -4.3609436113371e-07 -2.9527794909566094e-07 -9.333756846012317e-09 -1.3894970994864534e-07 2.1132787834181004e-07 2.0274414055809125e-07 4.7249099022248454e-07 -8.524573877851022e-07 -2.0615177537040905e-07 1.1179624670888388e-07 -2.3783098737299582e-07 -2.9822331681687354e-05 -3.884162890822502e-05 5.3615142387691475e-05 3.8352058674803326e-05
age -0.0005636410844328104 0.0025334849159450654 -4.87680376382959e-05 3.0226035985620254e-07 0.03885529846388955 -0.0023285334030167327 4.479119582977875e-05 -2.7762894522521125e-07 1.1468507180952789e-06 -6.896259926946553e-07 9.065587607558758e-07 -8.504730550861622e-07 1.5337660312159918e-07 1.5337184439225537e-07 -4.098554222784881e-07 -2.8442867675569397e-07 7.571291211298113e-07 2.865652650297192e-07 7.20027053989448e-08 2.9861920804065417e-09 -1.9724274629539387e-07 -7.44393291303248e-07 -1.7066364418833546e-06 -8.215824136440727e-07 2.687510946722374e-06 -1.7469861601077736e-07 -1.3014046235895167e-08 3.408299691766043e-07 1.0040849281375193e-05 1.51189912013435e-05 -1.2945825034588652e-05 -7.658556279299674e-06
age2 1.036020562062428e-05 -4.8768037638295134e-05 9.473652380693061e-07 -5.9246344275006975e-09 -0.0007405497985035872 4.4783467674844273e-05 -8.692541167801993e-07 5.4357510654931705e-09 -1.999825273844992e-08 1.2576337073420893e-08 -1.682819855377799e-08 1.450306574400118e-08 -5.3633130282955396e-09 -5.1442478378536965e-09 8.300174856032076e-09 6.624541951098944e-09 -1.568014165234128e-08 -3.9198206071069005e-09 -7.553247421200824e-10 1.1710704604826327e-09 4.785577049238024e-09 1.2728223914392506e-08 3.16052701823615e-08 1.5285965102444526e-08 -5.358521105985567e-08 3.5552698329790415e-09 -3.019821262609509e-09 -7.406169141765912e-09 -1.8757434673497678e-07 -2.5414909390728433e-07 1.8996296307445604e-07 1.32631270799115e-07
age3 -6.118809357326284e-08 3.0226035985627285e-07 -5.924634427502807e-09 3.739508734479607e-11 4.549991768496732e-06 -2.7750625264146854e-07 5.434545828610849e-09 -3.4294662253896467e-11 1.051809839449665e-10 -6.885603492643986e-11 9.704923267512129e-11 -8.05435066318001e-11 4.3879104544714416e-11 4.6757804580841484e-11 -5.291077860144076e-11 -4.831344969232881e-11 1.0499094128887133e-10 1.566764913960259e-11 -4.216202028405616e-12 -1.651504454849439e-11 -3.474308624340557e-11 -6.606095249152794e-11 -1.892279217898617e-10 -9.391327609477841e-11 3.437033513070244e-10 -2.181956933546243e-11 3.742450402402103e-11 4.8222791608135895e-11 1.0723738114369636e-09 1.3012161488713571e-09 -8.24173568590985e-10 -6.74593775763243e-10
sex 0.002558998742135828 0.03885529846398565 -0.0007405497985055437 4.5499917685094965e-06 1.8089168760236727 -0.1089633919606773 0.00210978993124976 -1.3183612297469748e-05 -2.631061780544649e-05 2.0982790846256233e-05 2.029307132478337e-06 -2.179019100601688e-05 -7.22761138202435e-06 -2.462534432613123e-05 4.672991788017042e-05 6.4436966850737854e-06 1.2062405428987204e-05 1.946020885637019e-05 -1.2025154389004286e-05 -7.037977828423902e-07 1.83998716073656e-06 -3.3393605826196975e-06 -4.4223002838748144e-05 1.0046733284691897e-05 3.4901373969769415e-06 8.809342246626579e-06 -1.006140475499953e-05 -1.7886165589048002e-05 0.0003102319084427687 0.00038354221519047976 -0.00012554532370716678 -0.0006144171267052477
agesex -0.00016191352713336324 -0.002328533403028705 4.4783467675065186e-05 -2.775062526427777e-07 -0.10896339196067745 0.006626009625240069 -0.00012943218753089743 8.154568847169016e-07 1.6780229715503813e-06 -1.1848672908914346e-06 -2.5420022278727596e-08 1.3431876972462298e-06 3.1762140964009876e-07 1.475180429678657e-06 -2.7214491580146775e-06 -3.7682018421862284e-07 -6.821562657904781e-07 -1.176488407151377e-06 7.102214202820377e-07 1.2059375976381318e-07 -1.222457443969416e-07 -2.1226712658735485e-08 2.675717307965368e-06 -4.864087086812878e-07 -2.6016084295014174e-07 -5.022834889014784e-07 2.7505363272248306e-07 1.0868983387607809e-06 -1.8907357895127973e-05 -2.0641219752559324e-05 4.10833246748638e-06 3.363747676277285e-05
age2sex 3.292046772484484e-06 4.479119583020363e-05 -8.69254116788071e-07 5.434545828657714e-09 0.00210978993124979 -0.00012943218753089914 2.550502606560654e-06 -1.6205615127133782e-08 -3.48948185573628e-08 2.144395877687908e-08 -9.413456181014236e-10 -2.6375258145353904e-08 -4.379619337968228e-09 -2.8075662418910313e-08 5.176578944973596e-08 6.67437435747089e-09 1.2994269175235733e-08 2.2770497477424358e-08 -1.4277566663886131e-08 -3.908767726271183e-09 3.187995855179157e-09 5.053116094378035e-09 -5.2491990098087846e-08 6.217267839057408e-09 6.316285428563897e-09 8.763641068975896e-09 2.874411457792466e-10 -2.185635034341142e-08 3.702748860408425e-07 3.4327845623827963e-07 -1.647925139311176e-08 -5.736143959259703e-07
age3sex -2.1574223463522257e-08 -2.776289452266316e-07 5.435751065520394e-09 -3.4294662254064165e-11 -1.3183612297470246e-05 8.154568847169311e-07 -1.620561512713415e-08 1.0385292620786194e-10 2.3076359132039414e-10 -1.2354618827356814e-10 1.3965387233052335e-11 1.6454633068853173e-10 2.104227305880993e-11 1.730900194191358e-10 -3.216712878090573e-10 -3.923756607593258e-11 -8.268262364054748e-11 -1.4131802242345063e-10 9.29570379419345e-11 3.42051644575835e-11 -2.6556383518854706e-11 -6.003714136096644e-11 3.3404470261084275e-10 -1.4489273893186516e-11 -4.8022523107333394e-11 -4.821297194327289e-11 -3.262429373251829e-11 1.426233774880395e-10 -2.3829699906638896e-09 -1.8028925690481586e-09 -2.3952952627778286e-10 3.057565198517686e-09
pcs.V3 2.3410191299459356e-07 1.1468507180916034e-06 -1.999825273838162e-08 1.0518098394455944e-10 -2.631061780533053e-05 1.6780229715435977e-06 -3.489481855723513e-08 2.30763591319618e-10 1.6687181224214206e-06 1.7943333907179698e-07 -3.62754086830382e-08 -5.384988473056811e-09 1.2307730160192828e-08 2.972860162866505e-08 -5.561187367471389e-08 1.7191728057060565e-08 3.489519495922335e-08 -3.8276186376938725e-08 -1.9679221521383783e-08 3.4393707199490724e-08 -1.4206268774219411e-09 -2.1305098056465985e-08 -3.050097982396947e-08 -2.5789593640644155e-08 -2.837895701352168e-08 -3.021559416142364e-08 2.0274742005542056e-08 1.6914767021609572e-08 5.552960580778645e-07 5.7643197805473e-07 8.543704149927688e-07 4.87797538384075e-07
pcs.V4 8.069082857042214e-07 -6.896259926893325e-07 1.257633707331787e-08 -6.885603492579779e-11 2.098279084646188e-05 -1.1848672909043983e-06 2.1443958777141125e-08 -1.2354618827527255e-10 1.7943333907178938e-07 1.8006033091929024e-06 9.09353178830792e-08 -1.0653539186827853e-08 2.288749401146893e-08 -6.29530757136351e-08 3.3291451102713407e-10 4.3897935075010025e-08 -1.0237439867570477e-08 8.597778754766626e-10 -1.0207089455925941e-08 -2.437162735045128e-09 -6.776773182879887e-09 2.077312137722876e-09 -1.0099679231924776e-08 1.8661976058089653e-08 2.13574507627245e-08 2.5558837860108428e-08 2.016908225350358e-09 2.2570400560489663e-08 1.0115940491695987e-07 1.7836521653517877e-07 -1.2465750130330704e-06 -9.430266653429602e-07
pcs.V5 -7.221954609313455e-07 9.065587607526081e-07 -1.6828198553714395e-08 9.704923267472246e-11 2.029307132316947e-06 -2.5420022268652218e-08 -9.41345618303427e-10 1.3965387234357974e-11 -3.627540868303438e-08 9.093531788307845e-08 1.8399847502129582e-06 1.8001330437492527e-08 -9.84604844924293e-09 -5.4128428966680345e-08 1.932284505629899e-08 -1.4946964538973788e-08 -2.2299934705265857e-08 5.448812246127017e-08 2.0051529070452553e-08 1.5509272998849446e-08 2.7008212385783443e-08 2.4679775100355525e-08 -1.010641168391456e-08 -9.234883537509071e-09 -4.417205583535526e-09 5.643533397487154e-09 -1.0394310906443411e-08 -8.250979844394136e-09 1.027559522039939e-07 -1.264629069535763e-07 2.3384122964560927e-07 2.2241612338179628e-07
pcs.V6 2.2388645738810352e-07 -8.504730550859591e-07 1.4503065743995945e-08 -8.054350663175855e-11 -2.179019100592371e-05 1.3431876972404244e-06 -2.6375258145237393e-08 1.645463306877767e-10 -5.384988473057471e-09 -1.0653539186824455e-08 1.800133043749033e-08 1.770556748396822e-06 1.8055220431648237e-08 4.789398748698716e-10 2.8153223447008084e-08 -2.7401771617241754e-09 7.11628551653631e-08 3.0827686090796055e-09 -1.658564543752686e-08 -2.8632005801219276e-09 -3.625611395601012e-09 4.6916149915349476e-09 3.753847147000221e-09 -1.9547077319432964e-09 -6.144076328002383e-09 -1.5775327311174803e-09 -3.698007578780533e-08 -2.5146962427499508e-08 -1.975370664169867e-07 -3.595854990801869e-07 9.50370810664656e-07 7.096690536734193e-07
pcs.V7 6.374302888072375e-08 1.5337660312083343e-07 -5.363313028281073e-09 4.387910454462648e-11 -7.227611382032223e-06 3.176214096406285e-07 -4.379619337979525e-09 2.1042273058886755e-11 1.2307730160193594e-08 2.2887494011469472e-08 -9.846048449243417e-09 1.805522043164854e-08 2.024299926622593e-06 2.6844335088992136e-08 1.6041613554831308e-08 -3.229020553861118e-08 9.884005132126665e-09 5.172647534012153e-09 2.7811808406449762e-08 -1.2454298969345035e-09 -9.874921884472262e-09 -2.9245418580971855e-09 -1.4104764061489712e-08 8.01982563087184e-09 3.627149006245303e-08 -5.729575833204019e-08 1.3426273861560222e-08 -8.49924081553756e-09 -2.7848506532381487e-07 -5.64643482174485e-07 5.812479917157192e-07 1.660477819840386e-07
pcs.V8 -1.965756475694953e-08 1.5337184438746264e-07 -5.144247837762952e-09 4.6757804580288746e-11 -2.462534432617949e-05 1.4751804296817388e-06 -2.8075662418973096e-08 1.7309001941954579e-10 2.9728601628667784e-08 -6.295307571363193e-08 -5.412842896668285e-08 4.789398748718593e-10 2.6844335088992136e-08 1.992359426337417e-06 7.23696437867071e-09 -3.298978542962908e-08 -3.9039884034927695e-09 3.927234881423184e-08 2.0846888329347958e-08 -2.973657195300002e-08 9.412580405966387e-09 1.8299135225405406e-09 1.5674591164662206e-09 1.0715313285444347e-08 2.6257783635158683e-08 2.299884634915795e-08 2.4172345433139374e-08 -6.18130256636766e-09 -3.140193122200748e-07 -4.515129631507875e-07 7.112382626073127e-07 1.1030081700093137e-07
pcs.V9 4.523698360726225e-07 -4.0985542227319863e-07 8.300174855927881e-09 -5.291077860078097e-11 4.6729917880379395e-05 -2.7214491580278285e-06 5.176578945000098e-08 -3.216712878107748e-10 -5.561187367472181e-08 3.32914511022936e-10 1.9322845056303048e-08 2.815322344700327e-08 1.6041613554831093e-08 7.236964378668924e-09 2.0055481207952493e-06 -8.199918727582e-09 3.077870699178052e-08 3.2600779255747696e-08 4.733472358519689e-08 -6.707831607357966e-09 2.5190238212753083e-08 1.2221430122959854e-08 1.6288292766818489e-09 -1.7007186151822365e-08 -4.840121174761065e-08 -4.737064156506637e-09 -9.933706926444796e-09 1.235248485501986e-08 2.4336106350987113e-07 1.0111092369141409e-07 2.2974559687543691e-07 -6.997940349938116e-07
