 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.00010125511141831074 5.029972248535828e-06 -1.9535129095050922e-07 2.0246273092184273e-09 -3.4886196114330245e-05 2.5733804556859173e-06 -6.310660783680324e-08 5.280204206645787e-10 5.211989379443743e-07 9.239310029547574e-08 -2.393357672036755e-07 -7.924350481269475e-08 3.572838917710818e-08 1.1412563124233365e-07 -1.6974970380397856e-07 1.299772492420246e-07 6.205026004363662e-08 -1.8715746251653487e-07 -6.247816326666823e-08 -1.909043887233314e-08 -7.863670003538609e-08 4.244088846819057e-08 1.0003698830842167e-08 -3.079235451739307e-08 4.4920676399953e-08 -1.4225439156668946e-07 1.9345038737722006e-08 3.409094582139627e-08 -1.874295570495177e-05 -2.2437993381333076e-05 3.0654522582478906e-05 2.5419176281869773e-05
age 5.029972248664679e-06 0.0003608946929362973 -8.053666236230768e-06 5.611700944571142e-08 0.004523046195465191 -0.00033053892800472364 7.381134431443889e-06 -5.14467799413191e-08 3.2450492903506273e-07 1.1947418051753434e-07 -6.31320551371767e-08 1.6444107756626167e-07 2.1687469569283875e-07 5.431641741817206e-08 6.913179626201932e-08 1.537942502251921e-07 2.5885255966002775e-07 -5.147009107481796e-07 6.634905104814967e-08 2.4158243970968712e-08 -2.458819167277128e-07 -3.0309357673843983e-07 -1.7201518756290232e-07 1.9531743450844298e-07 3.203201430851446e-07 -1.009515781401203e-07 2.3447778378598757e-07 4.0219710804571e-07 1.0530536606468894e-06 -6.3442080453303e-08 1.3839231758245282e-06 5.153923441916909e-06
age2 -1.9535129095050544e-07 -8.053666236232367e-06 1.8319415861822723e-07 -1.2980283632055598e-09 -9.885947162367808e-05 7.38439912467749e-06 -1.6806126398683747e-07 1.19102998502184e-09 -4.360859472917827e-09 -2.687315459601169e-09 7.292571003420133e-10 -4.097384555853927e-09 -5.244487631371207e-09 -2.328755524005622e-09 -4.4062834175858e-10 -2.2567723500017013e-09 -6.035413256905426e-09 1.112639166196394e-08 -1.1933107409111114e-09 -2.809089134735491e-10 5.1810604985376535e-09 5.422767435292551e-09 3.025443957710932e-09 -4.096610132161125e-09 -7.985863556579722e-09 2.2356771000294946e-09 -5.970393939798717e-09 -9.698910460315889e-09 -1.9404809868218842e-08 1.6285101578480303e-08 -5.4053179686459484e-08 -1.0229050965294492e-07
age3 2.024627309234006e-09 5.611700944571132e-08 -1.2980283632053255e-09 9.343829380941683e-12 6.774712739209137e-07 -5.149719759647796e-08 1.1917150957762582e-09 -8.579219153855167e-12 1.1004173847871021e-11 2.344269606493749e-11 -4.676329904229651e-12 3.010840694193686e-11 3.65274811375019e-11 2.2769879044852402e-11 -1.9411831931367058e-12 9.927038924424023e-12 4.453898924682133e-11 -7.53644179094581e-11 2.530999400295726e-12 -9.280836300078951e-13 -3.496962675735614e-11 -2.8563509671580235e-11 -1.726695244097328e-11 2.5157437713026596e-11 6.040886769053257e-11 -1.477106346304421e-11 4.580480062949135e-11 6.92497041606251e-11 8.025930018379343e-11 -2.3272690964058893e-10 4.975441547396744e-10 6.848152982545831e-10
sex -3.488619610880139e-05 0.004523046195474859 -9.885947162388895e-05 6.774712739223573e-07 0.16605260077151648 -0.012017559119701492 0.00026735107878050646 -1.8641077791025162e-06 -2.0396235390623123e-06 1.1619266728413864e-06 -8.77229277699241e-07 1.3887616657733355e-06 1.916812874837923e-06 -5.002156051109362e-06 5.391764040505827e-06 1.0189165679622232e-06 -3.387663931802148e-06 -2.819732513744804e-07 -2.534436668664909e-06 8.443887098974768e-07 2.614692731689621e-07 2.415823532065703e-08 1.1710897975263065e-06 1.5657191892290582e-06 -3.895379807723893e-06 -2.4175545113749775e-06 5.436283774893095e-06 -1.0320210367001501e-06 3.921117214678458e-05 9.873555765574551e-05 -5.093028357095758e-05 5.865578884482156e-06
agesex 2.5733804552222794e-06 -0.0003305389280055682 7.3843991246955205e-06 -5.1497197596599055e-08 -0.012017559119702719 0.0008935500214168706 -2.028792961540898e-05 1.4377269714087726e-07 1.9683068382023938e-07 -5.774881001517952e-08 5.562534585923194e-08 -4.374642978488702e-08 -1.6739761493056996e-07 2.9542160044913744e-07 -2.717758622869274e-07 -4.090004200403185e-08 1.9256045806960572e-07 1.7060207283670373e-08 1.4468220170078843e-07 -8.579976674231125e-08 -7.69659835761326e-08 -9.118914919413587e-08 -5.5519042654473436e-08 -4.803543825609504e-08 1.9315141165623644e-07 1.5821745553160368e-07 -4.552419574240824e-07 3.804442002278529e-08 -2.419335685138251e-06 -5.128247009806838e-06 1.1192265711580603e-06 -2.131980318754484e-06
age2sex -6.310660783382858e-08 7.381134431461225e-06 -1.6806126398721472e-07 1.1917150957788276e-09 0.0002673510787805603 -2.028792961541091e-05 4.689377162286673e-07 -3.3754100799530178e-09 -5.7570620563978365e-09 7.34530658299847e-10 -9.954843479249325e-10 3.549894383295196e-10 4.000798465623687e-09 -5.521496080355979e-09 4.556579964313281e-09 4.88911369340865e-11 -3.1504747272801168e-09 -2.044695829933721e-10 -3.260906183563297e-09 1.9358789406891874e-09 2.8793736616615063e-09 4.019082752519629e-09 4.2520642627309747e-10 -8.461819882445459e-10 -2.919611115858252e-09 -3.712299698592025e-09 1.1046213786281453e-08 -9.279016222509968e-10 4.855376174537066e-08 7.457712403961854e-08 1.650618680181513e-08 8.395880545981419e-08
age3sex 5.280204206151116e-10 -5.144677994146303e-08 1.191029985024962e-09 -8.579219153876413e-12 -1.8641077791030672e-06 1.4377269714090352e-07 -3.375410079953304e-09 2.465374380521478e-11 4.645407813625165e-11 -4.98744842679272e-13 6.0777933583159246e-12 -1.6779869724248132e-12 -2.7165714723671078e-11 3.430161252168972e-11 -2.5667759259565724e-11 3.5530455379196745e-12 1.4462085695076083e-11 8.351577304897544e-14 2.3895929019389623e-11 -1.2176536275811702e-11 -2.6912440579949566e-11 -3.9766019592388076e-11 2.4201823012800333e-12 2.0941490097794315e-11 1.373389778417627e-11 2.8485770524171098e-11 -8.1719394905762e-11 8.291173895466054e-12 -3.4963488530013396e-10 -3.0753544462420624e-10 -3.249224228319433e-10 -8.150189871019815e-10
pcs.V3 5.211989379443258e-07 3.245049290339191e-07 -4.360859472892372e-09 1.1004173847693904e-11 -2.039623539100936e-06 1.9683068382307903e-07 -5.757062056461681e-09 4.6454078136700166e-11 1.1645308899746227e-06 1.265352424472613e-07 -3.4852903873055e-08 1.1028769961170617e-08 2.50648648778453e-08 2.3529069075958143e-08 -2.608981836671384e-08 2.0668799971220885e-08 1.9425984184327147e-08 -1.3567121060175474e-08 -2.7915261819406584e-10 1.7393426763225624e-08 -1.2820570743059295e-08 -1.628936577120826e-08 -3.28757940577512e-08 -3.1247655331281637e-09 -9.859746702362687e-09 -2.3722388217490394e-08 8.332940773559686e-09 2.0330688178274344e-08 4.6649522420381666e-07 4.997506663703465e-07 3.6114851278358026e-07 4.019661126044287e-07
pcs.V4 9.239310029551036e-08 1.1947418051771362e-07 -2.687315459605246e-09 2.3442696064966323e-11 1.161926672845365e-06 -5.774881001548137e-08 7.34530658306801e-10 -4.987448427290455e-13 1.265352424472615e-07 1.2630742291837975e-06 5.349007786673113e-08 -1.561560422921185e-08 2.8727922466260204e-08 -4.915895882484112e-08 -1.5482386698935146e-08 2.7332733437886806e-08 -5.387995558555196e-09 -6.407809072896104e-09 9.86967021182287e-09 -1.60203083423926e-08 -1.9040507339236186e-08 1.2662709226431824e-08 -1.5613412564623995e-10 1.0530872966808962e-08 1.0004298500484604e-08 1.1354152456976916e-08 4.739304881745185e-09 9.639783288822255e-09 1.7510270292054634e-07 2.820825277564943e-07 -1.0599529050471295e-06 -8.524860819278964e-07
