 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gpm gmp gmm
intercept 0.019805071206060836 0.007049194305285565 -0.00022636295077053093 2.30862078351853e-06 0.02452972220545848 -0.0024963914747002935 8.031759437837591e-05 -8.236284663495676e-07 6.728528210741055e-07 4.744667997965916e-06 2.877010526451451e-06 -5.147668721418448e-06 1.1721819759651694e-06 -1.1852410184579857e-05 2.6847496811524727e-06 1.1942265150715193e-06 -2.9029748764162306e-06 -2.696315821423476e-06 -1.1842418822309248e-05 -4.082720866885451e-06 -8.941992742159526e-06 2.576719360769608e-06 -1.7190246056316296e-07 1.8877642078914186e-06 3.773357082070398e-07 -3.2667262795736956e-06 8.441056351468116e-06 -6.102510045540333e-06 -4.173031413453815e-05 0.00020167896196408383 0.00015333418138395344 -0.00021119283742385234 -0.00017713851724111102 -8.284844262026266e-05 -0.00010753638961546548
age 0.007049194305305563 0.005981529154846021 -0.0001781558053015792 1.676582182010657e-06 0.05897562336081175 -0.005597663378639293 0.00016632360201815013 -1.561694644565773e-06 2.0794100541057396e-06 -7.092599189816387e-07 -3.888601715806774e-06 3.690909779352005e-07 -1.4793611975551127e-07 -4.910828646828481e-07 1.492594492033621e-06 8.947008034971174e-07 -1.6900819691714022e-07 -3.3829291986308274e-06 -2.018185414358088e-06 2.2269048603867888e-06 -3.1120074170349746e-06 -3.6370980498698174e-07 2.1665866926869563e-07 1.3963515282770255e-06 -1.2701957021683982e-06 -3.561041240824414e-06 -9.946167859441407e-08 6.04971059388579e-07 -1.790749564019173e-06 -4.569037976311279e-05 -6.536390379925904e-06 0.00020848796196396471 -0.00013347193309705375 7.51164548554308e-06 5.297094522612238e-06
age2 -0.00022636295077157825 -0.0001781558053020765 5.368432628332303e-06 -5.108712881882587e-08 -0.0017361257973673085 0.00016666628824653625 -5.008736276862078e-06 4.754513471783341e-08 -7.241436935177517e-08 3.844534425769347e-08 1.0592345929857816e-07 -2.8084687041412648e-09 5.649641850565037e-09 1.5876419807085822e-08 -3.076426876203372e-08 -1.841640749895635e-08 6.278333532941407e-09 8.796366013342331e-08 8.36030283126355e-08 -6.570122853424582e-08 9.490746978498836e-08 -4.450447494200521e-09 -2.9305315332128795e-10 -2.5127179073334992e-08 3.2861467287470256e-08 1.0438239024777793e-07 -9.190224520138361e-09 -1.1967951042479132e-09 1.854929935102904e-07 1.0408914163444784e-06 3.849443323634166e-08 -5.400104595757577e-06 3.832568752489033e-06 -2.7978523491256086e-07 -2.8124696126241123e-08
age3 2.3086207835256406e-06 1.6765821820119994e-06 -5.1087128818741e-08 4.917310101096401e-10 1.618490793177031e-05 -1.5695581863126872e-06 4.768508494745113e-08 -4.577197265622418e-10 7.683856751948975e-10 -4.451894877202691e-10 -9.123316172359836e-10 -6.410387421874741e-11 -9.273796475282586e-11 -1.9871541100365935e-10 1.7102306976978687e-10 1.4236641506272976e-10 -6.181238632256385e-11 -6.961887172650628e-10 -1.0011470703265682e-09 5.940262305268138e-10 -9.384655692359497e-10 1.4541650944860729e-10 -6.144705467130211e-11 1.0457118055565469e-10 -2.5183829050270497e-10 -9.780426375066194e-10 2.372854566706521e-10 -1.2810011474014328e-10 -3.0688455818245114e-09 -6.833652942014752e-09 2.5112298430202254e-09 4.502041332569731e-08 -3.684628758712986e-08 2.6351851694995202e-09 -2.2969700598402967e-09
sex 0.02452972220623093 0.058975623361222876 -0.0017361257973793713 1.6184907931882186e-05 1.3236423687301044 -0.12358773523292552 0.0036113409862892254 -3.332089317155229e-05 4.655465472543561e-05 -3.120329039737338e-05 -3.9013718867610235e-05 2.0180597299288602e-05 -5.543854459211451e-05 9.593298798548336e-05 -1.6073572769614144e-05 2.624165057661183e-05 4.874780026595385e-06 1.3319782377707131e-05 4.079854975856172e-05 7.367240549688491e-05 -1.6543494891910398e-05 -1.768724042016887e-05 -3.6415162726203134e-05 -4.7791720847987065e-05 -1.8230473208567745e-05 -2.771953960011547e-05 -7.180250452555197e-07 5.127755263455296e-05 -0.00021237261962149453 -0.0014434030197872196 -0.00043260846709289747 0.005208131948568084 -0.0026915498613862858 0.0009650653657963995 0.00033120000135341545
agesex -0.002496391474769364 -0.005597663378671404 0.00016666628824749854 -1.569558186321802e-06 -0.12358773523294261 0.011688868722399675 -0.0003454929726102292 3.2202673577351674e-06 -4.560047201785208e-06 3.291339193038576e-06 4.151851852800924e-06 -1.9622391034185216e-06 5.06437156349495e-06 -9.424668422740909e-06 2.0181577072487965e-06 -2.2885431659756362e-06 -1.0519744900295797e-06 -1.4986070860340846e-06 -3.2526077490850985e-06 -7.13606578197222e-06 1.1996811881553726e-06 1.3130071434431508e-06 3.1301368532552246e-06 5.249879621525858e-06 1.1973135438460316e-06 2.7667998968984885e-06 2.3537164507921908e-07 -4.700987882272752e-06 1.854367042334637e-05 0.00012694682029851408 4.484308979374401e-05 -0.00046597175325844973 0.00025385061158523397 -0.00010664791491622546 -2.2654982269340367e-05
age2sex 8.031759438007425e-05 0.0001663236020185403 -5.0087362768746664e-06 4.768508494758232e-08 0.0036113409862902008 -0.00034549297261027387 1.0329466753416483e-05 -9.733531943190411e-08 1.3893507540163703e-07 -1.0919076735154082e-07 -1.3614378549569455e-07 6.104311424029396e-08 -1.4933471820673694e-07 2.8820183887423017e-07 -7.319572934607596e-08 6.238486489635087e-08 4.7881258951344625e-08 5.417259822738334e-08 7.261864477889677e-08 2.1509034767955224e-07 -2.863115001703406e-08 -2.720121260122113e-08 -8.933420359496487e-08 -1.7360988510179714e-07 -2.35766417861401e-08 -8.995490554597326e-08 -1.146390918529464e-08 1.3258758821458625e-07 -5.841405578270465e-07 -3.5978534251997226e-06 -1.2381085647726906e-06 1.3277754721897291e-05 -7.688157820541307e-06 3.379681673659106e-06 3.379295095277155e-07
age3sex -8.236284663646218e-07 -1.5616946445698584e-06 4.7545134717963095e-08 -4.577197265635631e-10 -3.33208931715651e-05 3.2202673577359344e-06 -9.733531943191446e-08 9.274954645199419e-10 -1.3571801355380683e-09 1.1361273736331546e-09 1.3967543761762205e-09 -5.902962441243849e-10 1.4132375461044018e-09 -2.7601687941036767e-09 8.205383104371305e-10 -5.467610420355474e-10 -5.791245435988489e-10 -6.079561662326758e-10 -4.5406173145275144e-10 -2.0334757412768752e-09 2.2695306909572334e-10 1.7977423940178648e-10 7.846667365928857e-10 1.7439457979399727e-09 1.1324985594931401e-10 9.182921366594126e-10 9.45757893631963e-11 -1.1819643873032655e-09 6.137338870966098e-09 3.345841613187201e-08 1.0021706800562884e-08 -1.2202041922525694e-07 7.440717586614313e-08 -3.2703452670717365e-08 6.043281170817257e-11
pcs.V3 6.728528211017015e-07 2.0794100541165774e-06 -7.241436935209802e-08 7.683856751979668e-10 4.655465472542152e-05 -4.560047201783177e-06 1.389350754015576e-07 -1.3571801355371737e-09 3.1357507782406332e-06 5.91428672580402e-08 -1.271366604905969e-08 -1.4458769607797279e-08 1.0030239746491713e-07 7.415139725709332e-08 -5.855789920106331e-09 8.886925570917861e-08 -8.30837598796303e-08 9.729647084922548e-08 -9.997301185341542e-08 2.1384370060458797e-08 2.8072813299779514e-08 -1.1038402128648615e-08 -1.3989771068324476e-07 2.984549602636307e-08 3.3578372268764485e-08 -2.0953369133046986e-08 6.882769680121641e-08 5.9109493467739076e-08 1.726809448912005e-06 3.471702517140435e-06 -8.092867248937587e-07 -1.5854764066182727e-06 -4.5266283670295746e-07 2.473355937715661e-06 1.1223910342768802e-06
pcs.V4 4.7446679979384925e-06 -7.092599189971809e-07 3.8445344258152384e-08 -4.4518948772457244e-10 -3.120329039743279e-05 3.2913391930437555e-06 -1.0919076735168211e-07 1.136127373634386e-09 5.914286725803722e-08 2.938711549209625e-06 -4.501281687112335e-09 2.0594021567439437e-08 8.166568268215826e-08 -2.1862618960283806e-08 -7.089239898852251e-08 -1.1338653976593873e-08 8.780795568992955e-08 -4.676213098353895e-08 3.4493177389322386e-08 -1.216882471504013e-07 -1.5164539354692854e-07 6.838561489555216e-08 1.0772207047963605e-07 6.506598878354149e-08 9.405241647341483e-08 4.380363413437483e-08 -1.6975713203738093e-08 3.007172227644179e-08 -4.857522769501285e-07 8.622797458944106e-07 3.0192079493412947e-06 -3.4247342146228816e-06 -1.5959539932314305e-06 -4.571645997105239e-06 -1.9275250617401043e-06
