 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.00041907693644592053 -0.0005718647003649032 1.0510576950291729e-05 -6.207491137326606e-08 0.002623356608637264 -0.00016589271543235892 3.3713044536015172e-06 -2.208530967447147e-08 2.2146067242810115e-07 8.165602630968423e-07 -7.281924900485847e-07 2.189025686871355e-07 7.315949690009392e-08 -2.380287608854525e-08 4.508608058330862e-07 3.846797861499456e-07 1.1629959387051031e-07 -4.4325344936451117e-07 -2.997626447746724e-07 -1.22446476070283e-08 -1.6043721331781227e-07 2.0067381008005431e-07 2.1282064774413722e-07 4.870641959452372e-07 -8.491961658465538e-07 -1.9619581359138641e-07 1.0934787290387285e-07 -2.4532996706044075e-07 -3.001934148596662e-05 -3.914200678034611e-05 5.3958270730813555e-05 3.825525653797829e-05
age -0.0005718647003787287 0.002583053206161328 -4.9725776456898454e-05 3.082174831592572e-07 0.03981343153172025 -0.0023862770151129235 4.590684877004178e-05 -2.8456379252760337e-07 1.1768140543444003e-06 -6.802768251044128e-07 9.141546882154834e-07 -8.495689927574207e-07 1.1736509731747267e-07 1.399983453195151e-07 -3.8182422053284876e-07 -2.740823042053001e-07 7.807109995421084e-07 3.010927067365296e-07 5.4984098422812857e-08 2.149248412192653e-09 -1.6747803455840594e-07 -7.33625987290272e-07 -1.7510342150580872e-06 -8.399878520615804e-07 2.7397978102462493e-06 -2.2684991448958004e-07 -1.8213905237011584e-08 3.6655818672342443e-07 1.0123940733454605e-05 1.5471296904843404e-05 -1.3362945422836637e-05 -7.5529790997716555e-06
age2 1.0510576950575142e-05 -4.972577645690077e-05 9.660634252167514e-07 -6.042114246955409e-09 -0.000758909054134508 4.590035108659331e-05 -8.910369557314505e-07 5.5724162251165226e-09 -2.047990512717546e-08 1.2344957117314113e-08 -1.7000697263973484e-08 1.4436059460459852e-08 -4.666432569699207e-09 -4.8828015774621434e-09 7.790692272504275e-09 6.428329909469904e-09 -1.615552826681703e-08 -4.223455051453188e-09 -4.0745659896694216e-10 1.188166778013253e-09 4.2628748701192755e-09 1.246405466581758e-08 3.24505382633562e-08 1.564816687806879e-08 -5.463372550571569e-08 4.616436248741135e-09 -2.9676743837140356e-09 -7.863132616711125e-09 -1.8972655601298157e-07 -2.606953619243889e-07 1.9875190748492778e-07 1.3117087694538361e-07
age3 -6.207491137498895e-08 3.0821748315940717e-07 -6.042114246957676e-09 3.814078071712222e-11 4.663304219841008e-06 -2.8446005820679366e-07 5.571415075180498e-09 -3.516152872917334e-11 1.0740934762220566e-10 -6.685420859159015e-11 9.823947133280948e-11 -7.987184307782404e-11 3.94551489521355e-11 4.507283195651642e-11 -4.9981568812129924e-11 -4.712549321970475e-11 1.080671448257868e-10 1.777442904314776e-11 -6.611474706984405e-12 -1.65873051522682e-11 -3.1802171718064635e-11 -6.403728792564615e-11 -1.944099954331173e-10 -9.639088852477447e-11 3.5044088195589154e-10 -2.8688758988234804e-11 3.7432326045860365e-11 5.077052471407566e-11 1.0897329760237177e-09 1.3421291986928602e-09 -8.85118314217989e-10 -6.717878523147556e-10
sex 0.0026233566080194216 0.03981343153331292 -0.0007589090541650964 4.663304220030084e-06 1.8520468027858374 -0.11156023692971904 0.002159990794718765 -1.3496475484523141e-05 -2.6447381062196686e-05 2.1675435752573847e-05 2.008851850945271e-06 -2.189885738928521e-05 -7.764477022915875e-06 -2.5869546923934194e-05 4.854910427117352e-05 6.962901301050013e-06 1.2093403039018347e-05 1.929435804559834e-05 -1.2832780496908545e-05 -9.775997255690693e-07 2.343717041140165e-06 -3.329968584425985e-06 -4.499147851144874e-05 1.0035012388617133e-05 4.258939080511448e-06 7.941902770470367e-06 -1.0364636129717576e-05 -1.755227146414107e-05 0.00030506184576439913 0.0003826912872527253 -0.00010242448712496219 -0.0006218097969814708
agesex -0.000165892715393676 -0.0023862770152102562 4.59003510884619e-05 -2.8446005821833936e-07 -0.11156023692975314 0.006783914221829002 -0.00013251294125291732 8.348222449026237e-07 1.6898516421067046e-06 -1.2222497532230438e-06 -2.3062781475300365e-08 1.3524082728191835e-06 3.45227824724057e-07 1.5502561962079433e-06 -2.8296547074732215e-06 -4.084523070790949e-07 -6.839302673330966e-07 -1.1671347881554386e-06 7.592511549335488e-07 1.3667889983216615e-07 -1.537814330958704e-07 -2.747854488751448e-08 2.7231276149310453e-06 -4.815004934667889e-07 -3.03452420888543e-07 -4.4639546965532764e-07 2.882719218340361e-07 1.068742883554717e-06 -1.8581913110471526e-05 -2.0495596833800402e-05 2.5252238968219932e-06 3.402877120009249e-05
age2sex 3.371304453032569e-06 4.59068487718221e-05 -8.910369557658133e-07 5.571415075393933e-09 0.0021599907947201387 -0.0001325129412529603 2.6111603310475193e-06 -1.6590311216450612e-08 -3.520187661977537e-08 2.210124730360568e-08 -9.969548150840629e-10 -2.6608556275824435e-08 -4.832204881265108e-09 -2.954495609806249e-08 5.384515130324189e-08 7.281465059479617e-09 1.302107684699804e-08 2.2605020427283735e-08 -1.5250382676137254e-08 -4.210206278994174e-09 3.838065692035188e-09 5.293606101982891e-09 -5.345800117483844e-08 5.99313715560051e-09 7.085165311068963e-09 7.594009749154486e-09 1.2679617128143289e-10 -2.155308071244494e-08 3.635875764786194e-07 3.383649443694613e-07 1.8357385943044546e-08 -5.800060207051145e-07
age3sex -2.2085309670005352e-08 -2.8456379253939804e-07 5.572416225343807e-09 -3.516152873058294e-11 -1.3496475484536524e-05 8.348222449031827e-07 -1.659031121645624e-08 1.0631480108493417e-10 2.331002899050649e-10 -1.2733542678584165e-10 1.4350350566108452e-11 1.663383793011883e-10 2.34064043831602e-11 1.8248610955323753e-10 -3.3456504743083315e-10 -4.296964650590698e-11 -8.274649409528981e-11 -1.4037404362997875e-10 9.920333943619983e-11 3.603997815777779e-11 -3.098268104333801e-11 -6.226968441115163e-11 3.40432074960491e-10 -1.2042839900248048e-11 -5.2345183939521824e-11 -4.032089150505046e-11 -3.215316956803005e-11 1.4105581841276796e-10 -2.3385323594352747e-09 -1.7586098243255014e-09 -4.88305003772481e-10 3.0908242646421118e-09
pcs.V3 2.214606724371838e-07 1.1768140542900548e-06 -2.0479905126127946e-08 1.0740934761570301e-10 -2.644738106347584e-05 1.689851642184529e-06 -3.5201876621295854e-08 2.3310028991464117e-10 1.6620791722972484e-06 1.8168537531797742e-07 -3.667760565207093e-08 -5.026968021043033e-09 1.263927540653133e-08 2.9677272406092452e-08 -5.6048036088051886e-08 1.7755135363238296e-08 3.529678431158861e-08 -3.9017751379295903e-08 -1.9611558700823833e-08 3.49088854282616e-08 -9.631985211338514e-10 -2.199500133618828e-08 -3.099989678867023e-08 -2.605011522833789e-08 -2.8129313297819657e-08 -3.163814155640671e-08 1.9901624469057545e-08 1.6766709870714966e-08 5.641788236821475e-07 5.861342782009786e-07 8.346662950783048e-07 4.897161848177567e-07
pcs.V4 8.165602630921774e-07 -6.802768250671786e-07 1.234495711659527e-08 -6.685420858712047e-11 2.167543575357984e-05 -1.2222497532840704e-06 2.2101247304794605e-08 -1.2733542679331008e-10 1.8168537531797388e-07 1.7955393133837174e-06 9.190092729744231e-08 -1.0489283647512717e-08 2.313098744668299e-08 -6.348972771817855e-08 -8.087654486388514e-11 4.3857081417575196e-08 -9.838564740256205e-09 4.4952203160691726e-10 -9.558197613617082e-09 -2.032061554716651e-09 -6.993143920479691e-09 1.5765959749926007e-09 -1.0210643952865581e-08 1.8765645213221516e-08 2.1570419874358745e-08 2.5903766667677585e-08 2.566321186828625e-09 2.260111039413526e-08 1.1101379117072844e-07 1.870382732369779e-07 -1.258964230072997e-06 -9.543063850453168e-07
