(Intercept) covarage covarsex covarpcs.V3 covarpcs.V4 proband paternal maternal gpp gpm gmp gmm
(Intercept) 0.0115818112257067 0.00833360909055861 6.36161514048337e-05 -0.000197091100785873 0.000547438111597386 3.57784424096676e-05 0.000456444466911983 0.000223214110905063 -0.000293379802905935 -0.00103986100641447 -5.99673769177388e-05 -0.000271553657516085
covarage 0.00833360909055861 0.00830631872911382 0.000265447547325661 -0.000118301520213094 0.000439506444347583 -0.000180682737337488 -0.000221286323264111 0.000518863041646447 0.000788917638666737 -0.000817018138731656 -0.000215899752228763 -0.000611624856521147
covarsex 6.36161514048337e-05 0.000265447547325661 0.00240364688476427 -6.13319066156883e-05 2.76268038589719e-05 -0.000143276612834844 -2.28724183859446e-05 0.000174207651883101 0.000107042621244597 -0.00027314316541214 -0.000227631455105335 -8.54480816041025e-05
covarpcs.V3 -0.000197091100785873 -0.000118301520213094 -6.13319066156883e-05 0.00233790389180297 0.000219721256996037 0.00020794845359489 0.000251262709043404 -7.38062170152543e-05 -3.5717025375404e-05 -0.000125859935759804 0.00015909368514656 0.000122817565160803
covarpcs.V4 0.000547438111597386 0.000439506444347583 2.76268038589719e-05 0.000219721256996037 0.00201016260003081 -1.73613825804505e-05 -4.53556357043086e-06 0.000217529501672238 -0.000206484622074672 -0.000125141852059789 -0.000290305448861962 -0.000172517067994142
proband 3.57784424096676e-05 -0.000180682737337488 -0.000143276612834844 0.00020794845359489 -1.73613825804505e-05 0.00559857898412849 -0.00259554781290675 -0.00299769751353355 -0.00058964723777433 0.00066131474224 0.000200278812102599 -2.14792075841747e-05
paternal 0.000456444466911983 -0.000221286323264111 -2.28724183859446e-05 0.000251262709043404 -4.53556357043086e-06 -0.00259554781290675 0.0223820196955512 0.00234521077927258 -0.0165953021464822 -0.0145442016961366 -0.00050568236691794 -0.000884748369943565
maternal 0.000223214110905063 0.000518863041646447 0.000174207651883101 -7.38062170152543e-05 0.000217529501672238 -0.00299769751353355 0.00234521077927258 0.0190371277214725 -0.00102211776355657 -0.000723720478289127 -0.0144689435686815 -0.010964728230047
gpp -0.000293379802905935 0.000788917638666737 0.000107042621244597 -3.5717025375404e-05 -0.000206484622074672 -0.00058964723777433 -0.0165953021464822 -0.00102211776355657 0.0575905961800577 -0.0295806697168595 0.00498501949273688 -0.00241071367481442
gpm -0.00103986100641447 -0.000817018138731656 -0.00027314316541214 -0.000125859935759804 -0.000125141852059789 0.00066131474224 -0.0145442016961366 -0.000723720478289127 -0.0295806697168595 0.0549530181621394 -0.0046281012205081 0.00342371085717771
gmp -5.99673769177388e-05 -0.000215899752228763 -0.000227631455105335 0.00015909368514656 -0.000290305448861962 0.000200278812102599 -0.00050568236691794 -0.0144689435686815 0.00498501949273688 -0.0046281012205081 0.0392044071220103 -0.0132162591539694
gmm -0.000271553657516085 -0.000611624856521147 -8.54480816041025e-05 0.000122817565160803 -0.000172517067994142 -2.14792075841747e-05 -0.000884748369943565 -0.010964728230047 -0.00241071367481442 0.00342371085717771 -0.0132162591539694 0.0319730382069407
