(Intercept) covarage covarsex covarpcs.V3 covarpcs.V4 proband sibling paternal maternal
(Intercept) 0.000643117876635864 5.83571144680194e-05 7.36015219035525e-06 3.79145562631724e-05 -2.59994268618086e-06 -0.000119609695699238 -0.000158836282113629 0.000217448019414321 0.000182733913007027
covarage 5.83571144680194e-05 0.000750592902375854 2.74179394149078e-05 -5.02263548451995e-06 3.68700491106219e-05 -4.91570255209351e-05 -2.98602971399601e-05 -1.34301706801796e-05 4.85704603455252e-05
covarsex 7.36015219035525e-06 2.74179394149078e-05 0.000513529595014963 -1.71585645074546e-05 6.00163114590431e-06 -2.28969361861183e-05 -1.16118416807985e-05 -1.01673215427955e-05 3.22256519384513e-06
covarpcs.V3 3.79145562631724e-05 -5.02263548451995e-06 -1.71585645074546e-05 0.000602771445238745 6.15719123002347e-05 3.24176382045257e-05 3.35875876331637e-05 1.46390506630559e-05 1.94524560309901e-05
covarpcs.V4 -2.59994268618086e-06 3.68700491106219e-05 6.00163114590431e-06 6.15719123002347e-05 0.000583013006782826 5.81792199751234e-06 1.86071454551125e-05 -6.62547800074216e-05 -5.10917573188172e-05
proband -0.000119609695699238 -4.91570255209351e-05 -2.28969361861183e-05 3.24176382045257e-05 5.81792199751234e-06 0.00157450527920946 0.000624659147045352 -0.00122803656536974 -0.00122310392989105
sibling -0.000158836282113629 -2.98602971399601e-05 -1.16118416807985e-05 3.35875876331637e-05 1.86071454551125e-05 0.000624659147045352 0.00200742758494266 -0.001490409526105 -0.00148306835467862
paternal 0.000217448019414321 -1.34301706801796e-05 -1.01673215427955e-05 1.46390506630559e-05 -6.62547800074216e-05 -0.00122803656536974 -0.001490409526105 0.0029037265860732 0.000811415840183077
maternal 0.000182733913007027 4.85704603455252e-05 3.22256519384513e-06 1.94524560309901e-05 -5.10917573188172e-05 -0.00122310392989105 -0.00148306835467862 0.000811415840183077 0.00285532743493838
