 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 0.03122561558694029 0.01160439762066616 -0.000370811500074222 3.764203823125404e-06 0.04358634398376315 -0.004410672202259455 0.00014119318781422906 -1.4412718898255976e-06 8.653826114442011e-08 7.979393663578861e-06 3.7778286485786957e-06 -7.651845963893277e-06 -3.259447930638243e-08 -1.990721378637109e-05 3.189279824559551e-06 6.236267404270034e-07 -5.696607375675311e-06 -3.352077842176715e-06 -2.155758077983766e-05 -4.724016282830727e-06 -1.3327159706596189e-05 4.818862031041203e-06 -6.183725264854755e-07 1.1082275318644503e-06 9.675689729337045e-07 -7.875741693767274e-06 1.3008924374719431e-05 -9.123564133631626e-06 -4.9836560029918193e-05
age 0.011604397620743081 0.010101471434602964 -0.0003003375360743096 2.8228374138234803e-06 0.10245697461064694 -0.009715386177408697 0.00028849234302123875 -2.7078812443199083e-06 1.970551919047309e-06 -2.4252833346890455e-07 -5.691280949752088e-06 -2.018732156393745e-08 -1.4605010169112494e-06 -2.241117336328811e-06 3.9847393410685376e-07 -6.766591989832241e-07 -1.7076746570589463e-06 -3.8995745216498506e-06 -5.3140523583724e-06 5.0573216753088365e-06 -4.048781555146463e-06 -8.202843494195035e-07 2.1860630645886932e-07 1.3592919776828577e-08 -2.34368136925941e-06 -8.088139219104247e-06 -6.488959090836425e-07 1.0805049208720913e-06 8.90395787521192e-06
age2 -0.00037081150007696516 -0.00030033753607499583 9.031394405213116e-06 -8.580787567014836e-08 -0.0030125772010825822 0.000288891065538634 -8.674923429717746e-06 8.230152891220057e-08 -7.707990752107942e-08 3.919550656915357e-08 1.5524893197864655e-07 1.0913259810438829e-08 4.49096672009279e-08 6.637957503832194e-08 2.2871276654299585e-09 3.425721773205471e-08 5.187316741550399e-08 9.726144436913353e-08 1.9003506580878646e-07 -1.4722139828047226e-07 1.2455262781714355e-07 8.642092678654545e-10 1.014407866716686e-08 2.242818571319708e-08 6.206742658110967e-08 2.3432477976006254e-07 -2.0941864478645616e-09 -1.132831939095485e-08 -4.022964326701064e-08
age3 3.764203823144552e-06 2.8228374138213996e-06 -8.580787566991981e-08 8.243052803198621e-10 2.8047212962647223e-05 -2.7165609166331737e-06 8.244904342068886e-08 -7.907889403306748e-10 8.944853960011912e-10 -5.445379656311302e-10 -1.3317144636716605e-09 -2.161224409041429e-10 -4.837557050688522e-10 -6.772362543881138e-10 -1.5544223123307627e-10 -3.719711758507113e-10 -4.825892454581131e-10 -7.140829376002697e-10 -2.095112588835707e-09 1.3214940762966954e-09 -1.2477899952652501e-09 1.4794503087056159e-10 -2.384481066977619e-10 -3.8219059928691353e-10 -4.765820134223035e-10 -2.1527214942995986e-09 2.8591790472014123e-10 -7.576991858346016e-11 -1.7149573646405474e-09
sex 0.043586343985719964 0.10245697461181569 -0.0030125772011177707 2.8047212962981523e-05 2.261014688942712 -0.21100376021301953 0.006162757744397344 -5.683856920268402e-05 8.002166225514044e-05 -4.430273974618e-05 -3.673720577113597e-05 1.2075413285895622e-05 -9.666182004260283e-05 0.00014562974684137215 -3.0490126393818464e-05 7.866192805493373e-06 -1.2132024402290691e-05 4.753784886406767e-05 4.289905752620678e-05 0.00012424780042064756 -1.1881211640505077e-06 -2.8684788783605007e-05 -4.609693175862356e-05 -0.00010495395601893749 -1.817114057644058e-05 -5.05536904549289e-05 -1.0363001679037237e-05 7.838267702079585e-05 9.475184226052624e-05
agesex -0.004410672202416665 -0.009715386177489299 0.00028889106554110477 -2.716560916657138e-06 -0.2110037602129746 0.019946047054166017 -0.0005892362779956453 5.489482291205473e-06 -7.803546933432176e-06 4.982968419611325e-06 4.229802616221851e-06 -1.2370717907891348e-06 8.756099880903076e-06 -1.4377178032122068e-05 3.705430989865368e-06 -2.270383594117611e-07 2.098981538594464e-07 -4.661252815915077e-06 -3.2854400678603865e-06 -1.206411060227302e-05 -3.126449994528279e-07 2.180777941505224e-06 4.327621439957808e-06 1.0730795153905899e-05 1.023622194394752e-06 5.1637572574320875e-06 1.2206481489285272e-06 -7.3252289164563314e-06 -4.7803315450677035e-06
age2sex 0.00014119318781860376 0.0002884923430235231 -8.67492342978841e-06 8.244904342137608e-08 0.006162757744394461 -0.0005892362779954987 1.7605731890186313e-05 -1.658025825667173e-07 2.3695986669665335e-07 -1.7432698929471057e-07 -1.44919080807419e-07 4.462099823245304e-08 -2.5697166923729546e-07 4.4004755317306343e-07 -1.316691062289991e-07 -4.250103213772478e-09 2.179843723377878e-08 1.4970963587694087e-07 6.534097038608584e-08 3.649552667389954e-07 1.495179619483625e-08 -4.927380160226938e-08 -1.3347041169377107e-07 -3.3761737778932855e-07 -1.4090271406576297e-08 -1.6578091024344342e-07 -4.0887292031544944e-08 2.0963516473771027e-07 -1.2989978631854517e-07
age3sex -1.441271889874588e-06 -2.707881244349059e-06 8.230152891307781e-08 -7.907889403389858e-10 -5.683856920264139e-05 5.489482291202617e-06 -1.6580258256667323e-07 1.5787983360476535e-09 -2.321753444872506e-09 1.8853171148228422e-09 1.536227580929557e-09 -4.888323668045939e-10 2.427379975540467e-09 -4.21963019573595e-09 1.4648373040812407e-09 1.0652975180636175e-10 -4.3414090453619405e-10 -1.5471532502763106e-09 -3.0068122106852575e-10 -3.4495371428757163e-09 -1.518937157022999e-10 3.861664264608572e-10 1.2481138891124756e-09 3.270543729562451e-09 -2.9605062320090774e-11 1.6480440795418034e-09 3.236522133069473e-10 -1.896459743502707e-09 4.275934814224056e-09
pcs.V3 8.653826121448898e-08 1.970551919095061e-06 -7.707990752250701e-08 8.944853960145791e-10 8.002166225513196e-05 -7.803546933432886e-06 2.36959866696726e-07 -2.321753444873709e-09 4.703007073454631e-06 2.2248093618332532e-07 -2.1008334091207782e-08 -2.3329065201328542e-08 1.706891275637975e-07 1.388102971328607e-07 6.307597805043027e-09 1.3429602546567347e-07 -1.2507761530345883e-07 1.5991135550816003e-07 -1.0884120556808094e-07 -5.4493106177951886e-08 1.44469109251942e-08 -4.848189160625629e-08 -2.0178215149611373e-07 9.049806267330032e-08 5.212538031181671e-08 -3.435873821986881e-08 1.2558893026757494e-07 8.007129378950948e-08 5.091354435784009e-06
pcs.V4 7.979393663546188e-06 -2.425283334885913e-07 3.919550656975363e-08 -5.445379656368751e-10 -4.4302739746180155e-05 4.9829684196122035e-06 -1.7432698929476623e-07 1.88531711482367e-09 2.2248093618332485e-07 4.485947134844186e-06 9.466324685010602e-08 4.0829797042897925e-08 1.1420814329262794e-07 -3.289786149921118e-08 -1.2378977547290694e-07 2.4129214881027436e-08 1.4821213594570142e-07 -6.001913396437952e-08 2.094011646142964e-08 -1.9457760289840414e-07 -2.4126801576830323e-07 1.1435632073885119e-07 1.95841004655268e-07 1.0601569355990675e-07 1.8574770124495314e-07 9.153857978456376e-08 -4.767923057569508e-08 -1.6951090726697633e-08 -3.0902843388366246e-06
