 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.00012407201597377425 4.488175190264085e-06 -1.8915790711062318e-07 2.0251609719786334e-09 -1.991095391198223e-05 1.316925247252719e-06 -3.000837297993214e-08 2.5606998199474474e-10 6.181373970383599e-07 8.421639888446785e-08 -2.3701523719346306e-07 -1.619835029242715e-08 5.137944577172814e-08 1.2716554968732633e-07 -1.406722180824475e-07 1.5007137843008068e-07 3.3976760486387206e-08 -1.869983023111089e-07 -8.773102757387598e-08 -8.853525317876985e-09 -2.7975782115105493e-08 7.961585015368287e-08 2.7894748487556673e-08 -5.8840867219871765e-08 1.035897337046377e-08 -1.60461245605061e-07 2.715405344036909e-08 3.438174081976287e-08 -2.054082651314038e-05 -2.4410162304026337e-05 3.454886787169044e-05 2.8328187198366516e-05
age 4.488175190278659e-06 0.0003446346150437802 -7.692617057189362e-06 5.364654166784748e-08 0.00411563833128453 -0.00030098591163480517 6.724219537745266e-06 -4.689047329893165e-08 3.3878870974059887e-07 9.118449499446968e-08 -1.205571827502226e-07 1.6359755357269584e-07 2.687012582016248e-07 1.3532272117606254e-07 1.2668447896264133e-08 1.15745212573648e-07 2.097073040459617e-07 -5.64531370834381e-07 1.1956666595002932e-07 2.4564223123942912e-08 -2.5451428533670534e-07 -3.5151587264700196e-07 -1.320656467167515e-07 2.0983620884838117e-07 3.1382775337506497e-07 -2.219405866749191e-08 2.1604826254801777e-07 4.0653644823701154e-07 1.14965866991938e-06 -4.143060355057134e-08 1.7824437287466323e-06 4.829094570344033e-06
age2 -1.8915790710599102e-07 -7.692617057190043e-06 1.7499371212254052e-07 -1.2408209540480455e-09 -9.007513396477857e-05 6.734105333149499e-06 -1.5334904011767558e-07 1.0873815993768874e-09 -4.98579551369628e-09 -1.7374603841553089e-09 1.8881416043846724e-09 -4.090258818391123e-09 -6.64749925271408e-09 -4.331439624005249e-09 6.461938854126177e-10 -1.3476496632629272e-09 -4.851933819583081e-09 1.2551792601622148e-08 -2.1935959828255777e-09 -3.4496288365975906e-10 5.461871257532271e-09 6.706460725221601e-09 2.0585155308793705e-09 -4.5597688744083395e-09 -7.71471631382341e-09 2.2758236564679035e-10 -5.56453882662742e-09 -1.0080692175299795e-08 -2.0790641517101784e-08 1.6314569787198125e-08 -6.816456926716262e-08 -9.602055905952728e-08
age3 2.025160971969082e-09 5.3646541667838475e-08 -1.2408209540476979e-09 8.93785178846351e-12 6.180274229524541e-07 -4.70254833654894e-08 1.0889874370710382e-09 -7.84482725476506e-12 1.7017108506964587e-11 1.4051778419908984e-11 -1.2147530158550061e-11 3.0308329489638534e-11 4.761099583358343e-11 3.8258928715929486e-11 -8.09485020341878e-12 3.463858089477724e-12 3.605078944879709e-11 -8.761800520881399e-11 8.50405646405735e-12 -5.349324289416494e-13 -3.7577180233983134e-11 -3.86224556307767e-11 -1.020035112952165e-11 2.992994318577578e-11 5.806183615445809e-11 5.793179068337016e-13 4.2642196024136996e-11 7.381565497763895e-11 7.628322687299509e-11 -2.4929570809843505e-10 6.387739945428771e-10 6.646158925228622e-10
sex -1.9910953906632192e-05 0.004115638331279329 -9.007513396465092e-05 6.18027422951499e-07 0.14966194560229218 -0.010822729174578565 0.00024051319930617473 -1.675083920580677e-06 -1.0978397708310545e-06 3.587912259881685e-07 -2.5553289698186513e-06 6.525933048302041e-07 2.7854691722197113e-06 -3.274831058753169e-06 4.360404643366559e-06 8.731853355919897e-07 -5.104284557325099e-06 -7.914024340011425e-07 -1.0857240782461676e-06 2.457902770861594e-06 -3.173389786429484e-07 -9.894353462783491e-07 -2.8982249726079995e-07 1.7589361826672826e-06 -3.262805458313464e-06 -1.900559612035028e-06 3.547244985637219e-06 -7.136469425186397e-07 6.511706997283926e-05 9.52025832856979e-05 -6.452176109987848e-05 -1.5351958588450515e-05
agesex 1.3169252472564175e-06 -0.0003009859116342084 6.734105333135885e-06 -4.702548336539259e-08 -0.010822729174579498 0.0008042186195897619 -1.8243234256282434e-05 1.2915736601291913e-07 1.2526890863499171e-07 -1.1983466397583773e-08 1.6712094387793616e-07 5.405382978743903e-10 -2.2522065942328556e-07 1.7045458497802553e-07 -2.0774024515506444e-07 -3.568965650172333e-08 3.328398234170063e-07 5.3839847642065193e-08 5.320439741526833e-08 -2.039662540821243e-07 -2.200726957557581e-08 4.918247955849543e-10 3.933404903927901e-08 -8.360386853987182e-08 1.4570737666454445e-07 9.702942362762076e-08 -3.3159492099558275e-07 1.991134915399393e-09 -4.48893673477909e-06 -4.930746454889547e-06 2.5227435526142882e-06 -6.534823421805836e-07
age2sex -3.000837297364976e-08 6.724219537735961e-06 -1.5334904011745273e-07 1.0889874370693977e-09 0.00024051319930621406 -1.8243234256283796e-05 4.2137885975974845e-07 -3.0307570094580198e-09 -4.162493843553906e-09 -2.261399622155504e-10 -3.3959448419835173e-09 -4.2355515313904226e-10 5.156175570893579e-09 -2.6295121405527795e-09 3.400308656898397e-09 8.465126300000317e-11 -6.466042615879828e-09 -1.1595783189057782e-09 -1.367070515400927e-09 4.557545958214035e-09 1.3824866084879672e-09 1.5735757322457446e-09 -1.4989422876581312e-09 5.344600591086299e-10 -1.6971083792864113e-09 -1.9407388064101324e-09 8.362766171119257e-09 5.346400686455347e-11 9.9320979469856e-08 7.170367402948642e-08 -2.3786228947643956e-08 5.14910818877744e-08
age3sex 2.5606998198557565e-10 -4.6890473298857967e-08 1.0873815993750821e-09 -7.844827254751479e-12 -1.6750839205810699e-06 1.2915736601293724e-07 -3.0307570094582113e-09 2.2124369701131414e-11 3.555710551276276e-11 6.497358505941134e-12 2.2750691478582372e-11 2.1966642526539683e-12 -3.371233445768721e-11 1.3195067142437203e-11 -1.9899837232820724e-11 1.7225662931145689e-12 3.811295704459265e-11 8.146137626902961e-12 1.1585232736650122e-11 -3.038742402062204e-11 -1.3951638043659214e-11 -2.0111586057466758e-11 1.5146064377452178e-11 6.9045494119175176e-12 3.599521409467854e-12 1.3795357096597341e-11 -6.288355126134832e-11 2.6033448057578234e-13 -7.416000474924955e-10 -2.983800432638878e-10 3.184675241708913e-11 -5.937704152256152e-10
pcs.V3 6.181373970384881e-07 3.3878870974180536e-07 -4.985795513723499e-09 1.701710850715613e-11 -1.097839770790372e-06 1.2526890863194467e-07 -4.162493843484321e-09 3.555710551226689e-11 1.3838690394012376e-06 1.3960622503098815e-07 -3.5239300899281386e-08 8.26306785942903e-09 2.6982466313323184e-08 2.7853150128829955e-08 -2.9551158386925595e-08 2.304088873312682e-08 1.7208790085693322e-08 -1.1211338854140353e-08 -1.0268199726508227e-09 1.9353221049897704e-08 -1.1894483006265068e-08 -1.635976411119421e-08 -3.0913102979857295e-08 -3.754154342533945e-09 -1.1540920921377307e-08 -1.685962475340505e-08 1.5218970112368005e-08 2.1608006775770493e-08 5.116754707416125e-07 4.86660894130155e-07 5.500006307116231e-07 4.76003048075385e-07
pcs.V4 8.421639888447427e-08 9.118449499458494e-08 -1.7374603841578434e-09 1.4051778419926437e-11 3.587912259923265e-07 -1.1983466397887915e-08 -2.2613996220873737e-10 6.497358505893426e-12 1.3960622503098807e-07 1.4871810163933325e-06 5.652839124828662e-08 -1.84470233587792e-08 2.804024239017088e-08 -5.037755018467492e-08 -1.0405817463252409e-08 2.85195793639498e-08 -7.306757997204378e-09 -5.101675876898414e-09 8.292149833762282e-09 -1.8125058763894182e-08 -1.763108603379417e-08 1.5219595522439867e-08 3.3361615600961723e-09 1.201867000228249e-08 1.0688037969382664e-08 9.04941837418641e-09 4.2358736054674985e-09 1.1896479523577584e-08 1.2978891190822432e-07 2.3851059370956206e-07 -1.091071486284746e-06 -8.468663461029717e-07
