 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.00012197963516336315 5.890933400166785e-06 -2.3246897051575417e-07 2.4139443923748686e-09 -2.100600901667392e-05 1.4046146306576914e-06 -3.3768598029637114e-08 3.08569189858374e-10 6.61401103593285e-07 8.509940308607338e-08 -2.703254942280851e-07 -7.628266081708348e-08 3.67795005709983e-08 1.35821435365842e-07 -2.0082975350461393e-07 1.600479755083414e-07 7.061106639552717e-08 -2.1273774538571579e-07 -9.996688326698232e-08 -8.212115489592704e-09 -6.053714416080386e-08 6.246516938937188e-08 1.2321238274638636e-08 -4.0175173653721645e-08 6.147620582215209e-08 -1.7950065458723175e-07 1.7962366616165e-08 4.215234031550717e-08 -2.184120762852799e-05 -2.6018557187512167e-05 3.584290490862494e-05 2.9659314073320325e-05
age 5.8909334002823566e-06 0.0004271367494398594 -9.534734228180659e-06 6.647425636612284e-08 0.005499047518499274 -0.000401879470176418 8.975158511634289e-06 -6.256793756957912e-08 3.96780881637725e-07 1.3593121919376154e-07 -6.925888738107178e-08 1.7831210641732313e-07 2.757918611107465e-07 9.016447333560206e-08 8.654903848008117e-08 1.5713637357466856e-07 2.7613202365948556e-07 -6.083719699307136e-07 9.922165946572208e-08 4.454665601470595e-08 -2.838187424065629e-07 -3.823816690752969e-07 -1.975805564249647e-07 2.3871430851333686e-07 3.909888172814156e-07 -1.0539268601956024e-07 2.98475962603652e-07 4.920306328009571e-07 1.047016673056458e-06 -1.6915586936880115e-07 2.1050713814012423e-06 6.180752231479838e-06
age2 -2.3246897051770163e-07 -9.534734228180505e-06 2.1687856579879808e-07 -1.5371672001083662e-09 -0.0001202378474443529 8.981330295362463e-06 -2.044214367866109e-07 1.4488975206439321e-09 -5.4994187052005445e-09 -3.0510035805241344e-09 7.146043504552739e-10 -4.449657699737921e-09 -6.700551951078443e-09 -3.376651190819113e-09 -6.640264190009632e-10 -2.1047250958739413e-09 -6.484068785716429e-09 1.3313135515198703e-08 -1.848935474184174e-09 -7.04199009792969e-10 5.95545617377572e-09 7.019289368133956e-09 3.480208537336383e-09 -4.930109436522743e-09 -9.654106585772872e-09 2.183062768600264e-09 -7.56300217731054e-09 -1.192704380916089e-08 -1.8132278533638e-08 2.207841557855444e-08 -7.611173082441261e-08 -1.2501098866461799e-07
age3 2.4139443923995368e-09 6.647425636609184e-08 -1.5371672001076552e-09 1.1066084681894354e-11 8.241966172540613e-07 -6.26488897754277e-08 1.4498414352309684e-09 -1.043827586105816e-11 1.571738687650355e-11 2.629014823214737e-11 -4.2273121512444566e-12 3.275213430451097e-11 4.694420675278251e-11 3.159599749998374e-11 -1.0427512116517548e-12 7.93260409023025e-12 4.8594616764007504e-11 -9.130776572266209e-11 5.9273410413975905e-12 1.4239533373049679e-12 -4.017629301251672e-11 -3.8389147851913204e-11 -1.9830685069749096e-11 3.0071083769065046e-11 7.27998747474165e-11 -1.3653394813319924e-11 5.7797888062330533e-11 8.606473195123259e-11 5.710779196872969e-11 -3.0180920624404184e-10 6.890509166684214e-10 8.560184995654731e-10
sex -2.1006009009984065e-05 0.005499047518498009 -0.00012023784744434103 8.241966172540881e-07 0.19887708769711646 -0.014359578595146534 0.0003186599505074084 -2.2161293462742826e-06 -2.285110216707854e-06 8.953046621753108e-07 -1.5065224448257898e-06 8.329481110116211e-07 2.4204178276093e-06 -5.6957042402726265e-06 6.613428689411821e-06 1.7470344220027839e-06 -5.642608849333778e-06 -2.2487017707729846e-07 -2.355264339018965e-06 2.526678968898472e-06 2.2480173292323697e-07 -4.3510934452557954e-07 2.7242752678857506e-07 2.308122793228565e-06 -3.8928166861567155e-06 -3.4136762832795684e-06 4.973604567310632e-06 -3.8056806831268524e-07 7.193950954564024e-05 0.00011717371270862627 -7.116798207644948e-05 -5.621882604022595e-06
agesex 1.4046146307411775e-06 -0.0004018794701764929 8.981330295365344e-06 -6.264888977545514e-08 -0.014359578595144414 0.0010653573967606897 -2.4132133469361877e-05 1.7059841164477264e-07 2.229704324583177e-07 -4.112170211066293e-08 1.0146144673431699e-07 9.499904533226176e-09 -2.1466849461009792e-07 3.337616390632648e-07 -3.453820785230973e-07 -9.07787352594229e-08 3.5697741161177213e-07 1.4968500235814458e-08 1.2011599838179616e-07 -2.1922478036326731e-07 -8.97363851853639e-08 -6.739222122682082e-08 1.9713476956898734e-08 -9.341736787004478e-08 1.73817390453263e-07 2.1255883106641918e-07 -4.3930712984209723e-07 -2.5336536381887992e-08 -4.836691863358432e-06 -5.930874595363139e-06 2.1901276896196236e-06 -1.737992499167317e-06
age2sex -3.376859802085069e-08 8.975158511627272e-06 -2.044214367864892e-07 1.4498414352303507e-09 0.0003186599505073171 -2.4132133469358658e-05 5.56577425668585e-07 -3.997186923407266e-09 -6.675781676244948e-09 3.3127376457550606e-10 -1.9600407054906942e-09 -9.535819869118785e-10 5.131003525168228e-09 -6.225318426573809e-09 6.0860060561857966e-09 1.0539999062653146e-09 -6.773430554044873e-09 -2.1582839985610095e-10 -2.6039751269778377e-09 5.010964781326639e-09 3.4260172174756273e-09 3.7161719920392355e-09 -1.5697037675463446e-09 -1.3776769390249803e-10 -2.179004933534601e-09 -4.774506485574838e-09 1.0906770745643654e-08 6.754642442853037e-10 1.0453256233246487e-07 8.25072215997676e-08 -2.1822121966162005e-09 8.391930887598917e-08
age3sex 3.0856918983423715e-10 -6.256793756953236e-08 1.4488975206431244e-09 -1.0438275861054038e-11 -2.2161293462733644e-06 1.7059841164472957e-07 -3.997186923406805e-09 2.913507562038321e-11 5.4665255526715344e-11 3.0761302892756328e-12 1.257864512254064e-11 7.419788055600463e-12 -3.4444379010131e-11 3.911403085171167e-11 -3.657158378701475e-11 -3.578658933568653e-12 3.89933675754259e-11 7.336321449654696e-13 1.8907462649333095e-11 -3.391772851259762e-11 -3.201669743851757e-11 -3.8853849383008714e-11 1.868925840956782e-11 1.8313285582280366e-11 6.849450616527728e-12 3.5690955891677614e-11 -8.161888179633672e-11 -4.326445444395469e-12 -7.666064086447294e-10 -3.0814298094466205e-10 -2.0955316847998438e-10 -8.723585904509423e-10
pcs.V3 6.614011035932557e-07 3.9678088163737435e-07 -5.499418705192356e-09 1.571738687644433e-11 -2.2851102167221953e-06 2.229704324594115e-07 -6.67578167627034e-09 5.466525552689859e-11 1.396404819044966e-06 1.572739945501692e-07 -3.737999394799945e-08 1.1968647291163186e-08 3.075312885328343e-08 3.033790334663214e-08 -3.020421102239197e-08 2.3113162321014084e-08 2.2468257283960158e-08 -1.657797797242495e-08 -1.2524884539030708e-09 2.17973789847529e-08 -1.3807814679430519e-08 -1.794479442436287e-08 -3.6361565909502926e-08 -4.930039961926156e-09 -1.157121157912094e-08 -2.5468346718418834e-08 1.1566877673562907e-08 2.237086500967359e-08 5.599492659201612e-07 5.702511412098164e-07 4.749103948158158e-07 4.753079857130407e-07
pcs.V4 8.50994030860859e-08 1.3593121919398926e-07 -3.0510035805293506e-09 2.6290148232184566e-11 8.953046621828875e-07 -4.112170211123891e-08 3.3127376458885195e-10 3.076130289179299e-12 1.5727399455016927e-07 1.5197813849613994e-06 6.730347859653319e-08 -1.9321010520533898e-08 3.1844256209536204e-08 -5.570865731679928e-08 -1.6297327434369608e-08 3.158924770404687e-08 -6.595265956923887e-09 -4.279979449721375e-09 1.0321846394606166e-08 -1.8538873259011033e-08 -2.1754109793852373e-08 1.5818099617322292e-08 1.3086155295970517e-09 1.2024205496560975e-08 1.524912020425321e-08 1.3134222755084646e-08 7.02705157843598e-09 1.2847446199392758e-08 2.053871816394928e-07 3.184736126663382e-07 -1.2497475075554198e-06 -1.0039060582181931e-06
