 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.00515850104424115 0.00015902568290462985 0.0031752152174352338 0.007886571598935507 0.00858561451833479 0.0025128458616612403 5.607107495869085e-06 1.8696430408712223e-05 -3.86964074017574e-06 5.117651306070856e-06 -5.143441016011288e-06 -7.502669702455497e-06 3.812798294241039e-06 1.1077893844121978e-06 -6.997111536135483e-06 -7.220809122337317e-07 -6.004007839068536e-06 -3.958574212726715e-06 -1.1717788444469786e-05 6.732323644931667e-06 3.7021704062694923e-06 2.042378938941669e-06 -3.669554786903806e-06 2.7668589768086797e-06 4.346052044901359e-06 7.394593996881823e-06 -0.00015449642748723892 -0.00035104004708201326 -0.0002709466641539157 0.0005171377722120393 0.00023666452362140135 0.0005896186151710424 0.00021946569804987993
AGE 0.00015902568290462952 8.52479963297417e-06 -1.295281221783041e-06 -2.768830551953025e-05 -3.6609882892152015e-05 -1.1388182976868964e-05 -1.515618654258903e-08 1.130523447196375e-06 -1.4940840325856116e-07 2.423535912589041e-07 1.746396573790677e-08 -1.4080671423965775e-07 -3.7467054889087655e-08 -8.99004214023462e-08 -3.830681680944197e-07 3.1617415027153385e-07 -2.3648559105882254e-07 -5.279886362145523e-07 -5.568546585535766e-07 2.03224280963258e-07 2.5088727479242913e-07 -1.445544667682989e-07 -5.4202042551804826e-08 -1.4441357266780445e-07 3.242916605719512e-08 -4.6831229304997554e-08 -5.335568379689305e-06 -8.057792012278534e-06 -6.52529300232932e-06 6.045763197286892e-06 9.751818089951983e-06 1.1381616076077294e-05 8.685669524550801e-06
sex 0.0031752152174344297 -1.2952812217784983e-06 0.029158899629471203 0.03450795534599942 0.02432282965974349 0.005277066811612229 -4.76831405339019e-06 1.1797242882648099e-05 -7.389783446896887e-07 -9.673308262523914e-06 7.843301667305142e-06 -3.094055720514792e-06 -2.031096702226274e-06 1.8853781846409362e-05 4.068425762679262e-06 6.7279110929800675e-06 -3.0897693186737315e-08 5.562184334814754e-06 3.8884554965300644e-07 1.286649035338561e-05 -3.920557135182573e-07 -1.2250438731096532e-05 3.734036155385872e-06 -5.854102052843353e-06 1.610750625398903e-05 1.1395712050528073e-05 -5.234407215413653e-05 -0.00021296203334528554 -0.00018164536290798993 0.00011569678919526032 -9.503178069829336e-05 0.0005335029375246255 0.00023157497673236696
age_sex 0.007886571598935159 -2.768830551952405e-05 0.03450795534600462 0.07093977755959616 0.06856456349382185 0.018493380651983637 2.447960311804703e-06 5.634709561720651e-06 1.656712240928225e-05 -4.259417700983036e-06 6.396082821566844e-07 1.7057598780252644e-06 -7.66250493719706e-06 2.3679655040946047e-05 -8.055635477766414e-07 1.2035738226131965e-05 -3.4059266555763836e-06 1.765249469137758e-05 -4.990836341415267e-07 9.292335328953248e-06 8.84762182790892e-06 1.8949687521237278e-07 -2.822607103139848e-06 -1.2237043839105328e-05 4.430997415853709e-06 -3.1083452352574856e-06 -0.0003475080651704268 -0.00019708201066805567 -0.0004184108473127871 0.00031281446200620154 -0.00043858732383554334 0.0014732544418902588 0.0003412058708512887
age2_sex 0.008585614518334969 -3.660988289214746e-05 0.02432282965975095 0.06856456349382636 0.07643075470844328 0.02246158871177818 3.266233084806192e-06 -1.5433682525974248e-06 2.44227090149538e-05 -2.0686038035927447e-06 -2.38479843731838e-06 2.8792037072476113e-06 -6.985048097382582e-06 1.6226607636058782e-05 -2.6497005069542412e-06 3.2408930899525135e-06 3.991528073392082e-06 2.2150047068882188e-05 -3.2095108502895024e-06 4.128019725542943e-06 1.2955591888316129e-05 1.3247741646016426e-05 -5.885604863824651e-06 -7.4966069481322444e-06 -3.307771551221167e-06 -6.749787685109903e-06 -0.00028659759409500256 -0.00017319360398384138 -0.00033504412141220744 0.0003495849410777561 -0.0004590731299749304 0.0015380831532364975 3.747942652965999e-06
age3_sex 0.0025128458616613595 -1.1388182976868312e-05 0.005277066811614719 0.018493380651985573 0.022461588711778842 0.006960948984801993 6.857455554376681e-07 -1.2877414428758657e-06 8.079188164578357e-06 -5.594524214509635e-07 -6.848697619145888e-07 4.517015619764801e-07 -1.4461398151975532e-06 3.602613123555571e-06 -9.960372529966663e-07 -1.2908711905699792e-06 2.595694052326247e-06 6.4680312603815545e-06 -1.8851086410359452e-06 5.390402173741288e-07 4.082580077708604e-06 5.990820174485541e-06 -2.2841350443488636e-06 -1.1892508896593627e-06 -2.081786216950674e-06 -1.6527706027667992e-06 -6.030630454690127e-05 -5.802541389040343e-05 -6.479065523758552e-05 8.136657490320549e-05 -8.816251416525876e-05 0.0004106066642171957 -6.139291856863863e-05
PC.PC1 5.607107495869675e-06 -1.51561865425955e-08 -4.768314053386518e-06 2.4479603118107937e-06 3.266233084812127e-06 6.857455554393408e-07 2.29957593361649e-06 -1.9414842876749945e-08 -1.5810173762398751e-07 -1.672359749054355e-07 7.207828934573247e-08 -1.0650082339388487e-07 -1.4330017350432594e-07 1.5993609145939033e-07 5.7424107604261085e-08 -8.221594632381108e-08 4.331582035384663e-08 2.909028005673381e-07 -2.4284330248590065e-07 -1.124330210238579e-07 2.3415003544942119e-07 -1.7108464658783426e-07 -3.9342827642858353e-08 1.8994119532956018e-07 4.803503600032578e-07 -2.9376516281026805e-07 8.338856128555387e-07 -4.0291457855107035e-07 -1.048704065913436e-06 4.492794604818098e-06 3.367301399499694e-06 6.046203659939068e-06 2.731523843214338e-06
PC.PC2 1.869643040871222e-05 1.1305234471963967e-06 1.1797242882646044e-05 5.634709561716324e-06 -1.543368252601934e-06 -1.2877414428771646e-06 -1.941484287674933e-08 3.4655126204195576e-06 8.189137695684163e-08 -2.404528726771803e-09 2.390265030055629e-07 -1.0397483881036973e-06 -1.7385061481727217e-07 -2.523355233376664e-08 1.1564102762915474e-07 2.438181603512448e-07 -8.321737521557426e-07 -5.585956920645588e-07 7.38686544984066e-08 -2.632793312034481e-07 -1.3472175802005258e-07 -2.7655325799819377e-08 -1.0007109997494796e-07 -2.1321952282555255e-07 -4.0024568534853465e-07 9.861005691475827e-08 -1.6810746658061685e-06 -4.161488793553336e-06 9.054342620983466e-06 1.6694120524640328e-06 9.726399770322362e-06 -3.3087648236338445e-06 -1.5207972009521446e-07
PC.PC3 -3.869640740175204e-06 -1.4940840325855206e-07 -7.389783446863443e-07 1.6567122409285723e-05 2.4422709014956115e-05 8.079188164578858e-06 -1.5810173762398934e-07 8.189137695684566e-08 4.336950732680543e-06 6.348717832975043e-08 3.382306102581532e-07 3.6340780042993874e-07 2.8109211947208538e-08 -2.2035282303274665e-07 -7.71143346349423e-08 5.536791329043882e-07 2.688065352159356e-07 -3.1420218263267175e-07 6.704557642173375e-08 1.3737040001633332e-07 -1.6340024225985913e-08 -6.695476630927906e-08 2.5544672991872266e-07 -2.8109729118117786e-08 -4.1007506320430484e-07 -1.2535690635597966e-07 -7.021223952657762e-07 -2.735386503009403e-06 2.1841415080397883e-06 -5.751175917402799e-06 -2.1778865544018554e-06 -1.1258278417883273e-05 -1.4996048066550261e-06
PC.PC4 5.117651306071775e-06 2.4235359125889806e-07 -9.673308262521302e-06 -4.2594177009759815e-06 -2.0686038035842074e-06 -5.594524214482876e-07 -1.672359749054353e-07 -2.40452872677199e-09 6.348717832975309e-08 5.676546435262455e-06 8.303092221435637e-07 -4.0753209445853665e-07 1.720851600275975e-07 -1.8247488097419391e-07 1.8635042122432076e-07 -5.2192191722371555e-08 -1.6474550457396698e-07 -9.74002231754299e-08 1.7873721801270188e-08 -3.767992124724774e-08 -9.279827778574516e-08 2.4665672090886744e-07 -1.329502470199498e-07 -7.961583149513448e-07 3.33822818590997e-07 4.352968343125831e-07 -6.604081701838389e-07 2.8509687769806657e-06 -8.157105702694632e-06 -1.0235946340931633e-05 3.063876608115199e-06 3.6941596026971428e-06 6.058472649331701e-06
PC.PC5 -5.143441016011256e-06 1.7463965737908964e-08 7.843301667304652e-06 6.396082821563257e-07 -2.384798437318514e-06 -6.848697619145985e-07 7.207828934573338e-08 2.390265030055621e-07 3.382306102581525e-07 8.303092221435639e-07 6.3069807950171616e-06 8.198276266772009e-08 3.9315643462990255e-07 -5.757091995869302e-07 4.403091488153296e-08 5.405513188318759e-07 4.202251699746577e-08 5.404270473281453e-07 6.221658475974309e-08 3.1436757872946216e-07 6.832041986852354e-08 5.62932596501757e-08 -3.312543680287791e-08 2.550504586708661e-07 4.870194267207554e-07 -1.589363211817537e-08 2.42480358030101e-07 -2.4436704354321965e-06 4.4770011778681105e-06 7.470880727007688e-07 2.85610470419953e-06 3.7211242367506665e-06 -1.3912856156555023e-05
PC.PC6 -7.502669702454712e-06 -1.4080671423966153e-07 -3.094055720510953e-06 1.7057598780325623e-06 2.8792037072545333e-06 4.5170156197833804e-07 -1.065008233938851e-07 -1.0397483881036963e-06 3.6340780042994123e-07 -4.075320944585381e-07 8.198276266772015e-08 6.8195958283734446e-06 1.6898530244245188e-07 -4.578346883497434e-08 -6.417730761334002e-07 2.650018748345284e-07 1.9144095556863168e-06 2.610827334408296e-07 5.674921387990634e-07 5.338842742915138e-07 4.966469050094896e-07 -4.137593869939244e-07 -5.505930463836239e-07 3.1868773328285896e-07 4.426202502848446e-07 -5.125472150364148e-07 1.136442331288726e-06 6.863168310600985e-06 4.394002890616437e-07 -6.818614232151176e-06 -6.313811490841335e-06 -1.083076449062328e-06 -9.138828932111421e-06
PC.PC7 3.8127982942408107e-06 -3.74670548890889e-08 -2.0310967022274974e-06 -7.662504937198906e-06 -6.985048097384113e-06 -1.4461398151979293e-06 -1.4330017350432586e-07 -1.7385061481727312e-07 2.8109211947208746e-08 1.7208516002759852e-07 3.931564346299058e-07 1.6898530244245148e-07 6.054306057097021e-06 7.156445317076124e-07 5.697998004516416e-08 -1.3877342099226594e-07 4.1992930306053775e-07 -6.347531987577996e-07 7.24867367311527e-08 7.150812845741424e-07 3.5787295430635184e-07 1.2706657685219324e-07 -1.2006028860411937e-07 2.558328100192976e-07 1.7493965567886045e-07 -1.3808204668459293e-07 7.056738028018349e-07 5.742136943735079e-06 8.453647120222173e-06 -4.214216307891553e-08 1.471959270706125e-06 -2.6636840545710356e-07 -9.827637222528967e-06
PC.PC8 1.107789384411199e-06 -8.990042140234087e-08 1.885378184640555e-05 2.367965504093801e-05 1.6226607636049882e-05 3.6026131235528896e-06 1.5993609145938967e-07 -2.523355233376673e-08 -2.2035282303274897e-07 -1.8247488097419177e-07 -5.757091995869295e-07 -4.578346883497572e-08 7.156445317076154e-07 8.453584251649022e-06 7.248912228342179e-08 -1.338115303642892e-06 2.79324550275274e-07 -1.9810731124158984e-07 1.9743264399496745e-08 -1.4796974211539515e-07 4.579568939587259e-08 2.921129505055986e-07 -2.10813648858102e-07 -8.58288557541867e-07 1.306334129023637e-07 -2.449248031556669e-07 7.575305020076345e-07 -4.157606151928019e-06 -5.099332276859021e-06 3.920395235421438e-06 1.1513881044539337e-05 1.1045686925664233e-06 1.0534218057060575e-05
PC.PC9 -6.997111536136074e-06 -3.830681680944243e-07 4.068425762677972e-06 -8.055635477801157e-07 -2.6497005069579313e-06 -9.96037252997715e-07 5.7424107604259854e-08 1.156410276291548e-07 -7.71143346349428e-08 1.8635042122432166e-07 4.403091488153354e-08 -6.41773076133401e-07 5.6979980045164927e-08 7.248912228342172e-08 5.594272019878794e-06 7.1167039639224e-07 5.52862356827271e-08 4.5652021008261107e-08 -9.366795847438818e-07 2.7322774696953593e-07 4.8941803404313445e-08 1.7811130868755351e-09 6.042361388573649e-09 9.284312606624631e-08 8.850712370846233e-07 -1.7339645968716485e-07 -7.132126569879114e-07 3.2432494686060055e-06 -6.1290829945241646e-06 -5.004625113681523e-06 5.284882826835547e-06 9.22010468539935e-06 1.669815212150475e-06
PC.PC10 -7.220809122334487e-07 3.1617415027154e-07 6.7279110929812415e-06 1.2035738226133253e-05 3.2408930899533407e-06 -1.290871190569818e-06 -8.221594632381073e-08 2.4381816035124547e-07 5.536791329043874e-07 -5.219219172237309e-08 5.405513188318772e-07 2.650018748345266e-07 -1.3877342099226615e-07 -1.3381153036428917e-06 7.116703963922376e-07 1.0998490511618304e-05 -8.914229305733853e-07 -5.442654009716048e-07 6.357344285521299e-07 1.5391057425783953e-07 -8.698828218988462e-08 -2.837474040736928e-07 2.8644539356632596e-07 -3.245128539500031e-07 -1.5621750956277493e-07 2.400006280265435e-07 2.288158556453441e-06 4.0070520673672125e-06 1.4360383662985597e-05 -2.7277538419274613e-07 -1.4491594052560755e-05 -1.040360855587372e-05 -1.064389541719114e-05
