 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
intercept 0.0002493768371606755 1.7174352320884247e-06 -1.6242213981173913e-06 -9.984614080816932e-06 4.139846376988645e-06 6.2466170429486695e-06 1.0759265902454369e-07 1.709109572288967e-06 -9.603876986307772e-07 5.774512904425237e-07 -1.514110961864482e-08 3.863182078958401e-07 -1.8699314726268272e-07 2.6726077980133377e-07 5.989640093505843e-08 2.613750619851614e-07 7.42694920784416e-07 1.570246455989071e-07 -7.316128894334459e-07 -1.3773831765368494e-07 -5.020249079352213e-07 2.893908616758122e-07 1.3702947636427845e-06 1.2813915154172776e-07 1.847394746832318e-07 -8.043986364950837e-07 -4.1952168854000895e-06 1.2379690840506874e-05 -9.008217333863175e-07
AGE 1.7174352320883919e-06 6.564160233340406e-07 4.238231997148964e-07 6.202420311777346e-07 -6.063526145106956e-07 -5.011850834915146e-07 -1.7444790120401546e-08 4.250572274424285e-08 -4.193522637806662e-08 2.1382903919515074e-08 7.13437636902289e-08 3.608675348478802e-08 -4.4933090715580804e-08 1.2824127766717575e-08 1.7916777748716833e-08 4.265105327531409e-08 5.8834204470266487e-08 -7.190019068747023e-10 -6.06731633643694e-08 1.68194704116824e-08 4.57917957767808e-09 -1.1369982131531373e-08 3.831997746170797e-09 -7.819061923002644e-09 8.150163753491303e-09 -3.652279430928412e-08 -3.5014632930828407e-07 -1.2742453111187587e-09 6.285633201424224e-07
sex -1.6242213981174093e-06 4.2382319971489777e-07 0.0010630824939275865 7.280242990301531e-05 -0.0002804259512903268 -5.964397058427945e-05 2.8593036330018505e-07 3.154707311307859e-07 -1.5793380219533762e-07 2.790508215998038e-07 1.3576980012316046e-06 -7.607062280687256e-07 -1.7788496775092744e-07 1.7522160642136684e-07 -5.444030404935089e-07 1.4431070574396118e-08 4.915062714633523e-07 -5.78034272273596e-07 -1.9209072667745812e-07 4.170458798394999e-07 -1.6139152043200552e-07 -8.075271848871432e-07 1.9264229401228634e-07 -3.927046453236186e-07 -3.2457210983409815e-07 3.599518053222023e-07 -1.6479121820378063e-06 -5.8794250288152766e-06 1.1179469850547984e-05
age_sex -9.98461408081714e-06 6.202420311777527e-07 7.280242990301801e-05 0.0005609625437195262 -5.735619985132752e-05 -0.0002058093180394702 3.808000592441356e-07 1.359354550486341e-07 1.078472498939267e-07 4.857909437303543e-07 4.3400526231597714e-08 1.2887234688929204e-08 -4.3636350640391463e-07 4.40562359777757e-08 2.334530879074695e-08 9.935557740823957e-07 -6.679099801419665e-07 -8.080290284679321e-08 5.00910496022672e-07 6.321275450434138e-08 -2.2870748788628848e-07 -3.2501079793555176e-07 -9.371460262060969e-07 -2.6021217258334584e-07 2.9942315828830006e-08 2.1360688352013447e-07 -8.950708743639975e-06 5.475908642772421e-06 5.7590748829568124e-06
age2_sex 4.139846376988603e-06 -6.063526145106952e-07 -0.0002804259512903254 -5.735619985132532e-05 0.00016201525112271653 5.0958413411857125e-05 -2.0387235276873926e-08 -6.574578788965536e-08 1.8848560904481545e-07 -1.8790951718638043e-07 -4.337055191286131e-07 1.4768717146651674e-07 5.974968096184307e-08 -8.047278601028649e-08 2.625000156498291e-07 -1.3034015765117458e-07 1.0911202937610443e-07 2.0650849727695716e-07 1.3689891360734066e-07 -3.262677826627655e-07 7.236098754260139e-08 -6.237013591431522e-08 5.530459456920613e-08 -1.6905032068910656e-09 9.471158269797069e-08 5.1878922025489973e-08 6.912540310248587e-06 -3.976842889502366e-06 -6.167411407516602e-06
age3_sex 6.24661704294871e-06 -5.011850834915197e-07 -5.964397058427996e-05 -0.00020580931803946864 5.0958413411857755e-05 0.00010604396596248649 -7.503821475570388e-08 -2.7253150901240098e-09 1.0446255927483223e-07 -1.687160679519561e-07 -1.1102255605659934e-07 5.045381957664206e-08 1.1927554581873104e-07 -1.6854416460808585e-08 -9.40967007456443e-08 -2.9236124089540007e-07 2.71331142010308e-07 -1.0233927627310452e-09 -2.014672534788905e-07 -1.8377307634890348e-07 1.828040658515164e-08 5.267053278325241e-08 2.546321056469643e-07 1.9262918833978713e-08 -8.776919008851066e-09 5.493218294928791e-08 5.600617035884029e-06 -4.885963556522951e-06 -4.89572392288328e-06
PC.PC1 1.075926590245397e-07 -1.7444790120401605e-08 2.8593036330018664e-07 3.808000592441378e-07 -2.0387235276875438e-08 -7.50382147557054e-08 4.820787677314988e-07 -1.1751292998804795e-08 -9.896743797718858e-09 -2.2669856116043154e-08 -3.954054751777906e-08 8.65532760895873e-09 -4.2084938988605e-09 2.4881289296508144e-08 4.586100873990534e-08 -1.252465924061683e-08 -1.4678062790832103e-08 2.0823778698681268e-08 -2.174828286232127e-09 -2.3173829698521696e-08 3.665267061390259e-08 3.265521969858981e-09 1.0203801015300807e-08 -1.5355827070185884e-08 -7.889956744412987e-09 -5.188359636982534e-09 -3.7421053987529384e-08 7.466402385651553e-07 4.827776313395126e-07
PC.PC2 1.7091095722890052e-06 4.25057227442428e-08 3.154707311307833e-07 1.3593545504863816e-07 -6.574578788965556e-08 -2.7253150901260314e-09 -1.1751292998804773e-08 9.234231139852499e-07 -5.809262697323552e-08 5.839446611967851e-08 1.541825640842888e-08 -1.6637511094764438e-08 -1.0644376905278915e-09 -2.4932395476498823e-08 1.4920950443522054e-08 1.8441664854730885e-08 7.507872686519824e-09 -1.382672016052653e-08 -5.289636873350591e-09 -7.850292216332719e-09 -2.1184371620533477e-08 4.308809207254741e-08 8.860407835819073e-09 -1.852190914455385e-09 6.656107159556708e-09 1.2244307546479389e-08 -1.1434472600075024e-07 4.986677852658484e-07 6.625833129031856e-07
PC.PC3 -9.603876986307486e-07 -4.193522637806644e-08 -1.5793380219533354e-07 1.0784724989393258e-07 1.8848560904481368e-07 1.0446255927482954e-07 -9.896743797720135e-09 -5.80926269732354e-08 1.0103153042593597e-06 2.4752692092676834e-08 5.96126189324734e-08 4.729100677832749e-09 2.3342702803429164e-08 -5.516171572307294e-08 3.7046519070069525e-09 3.111429133579133e-08 -1.2417242777406845e-08 -2.4081281254818182e-08 -4.074612484437839e-09 3.064662491361566e-08 2.5186942971381692e-08 -4.5664952677016954e-08 -4.981029668629163e-09 5.644555172332065e-08 1.7865800640961817e-08 -8.482223621472949e-10 -1.9152839657176198e-07 -1.1433046122107659e-06 -1.0921905098772626e-06
PC.PC4 5.774512904425219e-07 2.1382903919515035e-08 2.7905082159980427e-07 4.857909437303485e-07 -1.8790951718638175e-07 -1.6871606795195533e-07 -2.2669856116043065e-08 5.839446611967938e-08 2.4752692092676357e-08 1.2963422781447084e-06 9.820979973389599e-08 -4.6450184936490567e-08 1.2364728591780697e-07 5.666118302154197e-08 9.104017036941733e-09 -3.0764509227646765e-08 -1.6049331012952848e-08 6.056907622638463e-08 -1.7755166242897106e-08 5.3415901294265074e-08 3.942596873950485e-09 4.34868267286694e-08 -4.874996096423916e-09 1.3652951460225468e-09 -9.014846794043971e-09 -4.297006846974148e-08 -4.5292565071872807e-07 -2.9275704045726914e-07 -3.3222109780216524e-07
