 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal gpp gmp
intercept 0.016044503897093387 0.00035980822998864714 -0.0021548982350845353 0.002946181930570964 0.016079518211704332 0.011040510181702056 0.0001047962196228661 -1.6218836919749872e-05 0.0007349101460573052 9.285772062247202e-05 -7.933313686039461e-05 3.354477913018346e-05 -5.258533785840945e-05 3.6495614892001454e-05 -2.0578761596034842e-05 -1.634286279652307e-05 -9.422835294662565e-07 -1.1011234391940336e-05 -5.099092592473665e-06 8.020886344801614e-06 -0.00011092602907969655 1.1411905759114883e-05 4.398509017294509e-06 -2.6391247826911765e-05 -1.3184429984602128e-05 2.8855475232964564e-05 -4.9776574382052065e-05 -0.0005417456825002751 0.0006668089932646534 0.0013340622620468371
AGE 0.0003598082299886493 2.990869947221195e-05 3.3928994460879195e-05 5.5434237889468044e-05 0.0001112552671650861 7.709273269591434e-05 -1.6333855092489226e-06 1.945601124466384e-06 -1.5893617193769527e-06 2.3873960576970134e-08 1.0212686375389458e-06 -1.081221430460494e-06 5.143319828370929e-07 7.433730651777568e-07 -2.8388327668215226e-07 1.5645186000542816e-07 -1.2867777520031477e-06 -1.7467538701349528e-06 -3.8847277260419435e-07 6.272972858346716e-07 -9.486364689524719e-07 1.755754570522039e-08 5.452791337253543e-07 -2.1742016591892404e-06 2.090295709035604e-07 -2.16315836759343e-06 3.83539849740067e-06 1.4480195130257045e-05 -9.459941812815201e-05 9.122211636219051e-05
sex -0.0021548982350851676 3.3928994460874953e-05 0.024143628506267997 0.012594737186100696 -0.02088917296415377 -0.01941940296582838 1.1427893080276487e-05 1.0668317076404697e-05 3.7613173023846505e-05 7.589615913034684e-07 1.8287494118759323e-05 3.841953428113848e-06 -8.919006187289363e-06 -1.1861024546366395e-06 -4.850336847080863e-06 8.453293317456006e-06 1.6549745800807024e-05 1.1942992500641e-05 -6.837839361813031e-06 1.0395559334228956e-05 1.6157294710440295e-06 -8.311419096494917e-06 7.551985033143675e-06 -1.4848385204633644e-06 1.7656736155731393e-05 6.994485178693388e-06 0.00036557576409519167 -0.0005777794917024507 0.0010215988392619484 -0.0006608062196055027
age_sex 0.002946181930570089 5.543423788946496e-05 0.012594737186102857 0.029683898903298464 0.02355345232376881 0.0015394039531126215 -1.2676857282301622e-05 2.023324716869847e-05 -2.9375319356411734e-05 -6.171107794605594e-06 -3.992289121469328e-06 2.1475907887302423e-05 1.3164240899559139e-05 -7.830236523213915e-06 6.580712502615564e-06 -3.5105181865808886e-06 -3.0884203993092216e-06 -7.644033935221342e-06 -4.72524821681908e-06 1.571187489712645e-05 -8.513743028426765e-06 -2.860071614694029e-05 1.507462593949879e-06 2.5450336294648245e-05 1.110489895987976e-05 -2.372997682620769e-05 5.055875046446108e-05 -0.00019162198361120648 0.0022618932167032106 -0.0018774562877008183
age2_sex 0.01607951821170431 0.0001112552671650913 -0.020889172964149435 0.02355345232377465 0.1102600828722097 0.06999151885960637 -1.900644881793574e-05 2.3264017375020652e-05 -8.387889952589957e-05 -3.395242438505779e-05 1.3289587134543415e-05 1.0302994056380586e-05 3.2487640795233094e-05 2.1576972004821156e-05 2.09431361284318e-05 -4.52093759649216e-05 1.895022021629242e-05 -4.3393716104206115e-05 -9.739650086726505e-06 -1.9927142364744197e-06 -2.4203868431621308e-05 -3.1922613794117925e-05 -6.937635887738398e-06 3.4838595061558365e-05 1.326793662372879e-05 -2.5550094703655072e-05 -0.00010971270011356869 1.9542409195258962e-06 0.0010965169279395159 -0.0009222289518929689
age3_sex 0.011040510181702554 7.709273269592059e-05 -0.019419402965826338 0.0015394039531169833 0.06999151885960966 0.05421940715496182 -3.2760217580324685e-06 4.571769805275604e-06 -4.5016758287797846e-05 -2.2421696885686044e-05 2.3274684795317675e-05 -1.0311469179293937e-05 8.34041754915733e-06 2.243376787617991e-05 1.1365586777060899e-05 -2.9326893372429876e-05 1.442275885531915e-05 -3.128347247700591e-05 -1.0623401174305594e-05 -1.6911916043108146e-05 -1.575796455829438e-05 -5.306450538817576e-06 -4.284341181048649e-06 3.3560607148543364e-06 1.1672330866636973e-05 -2.139983003916227e-06 -3.2557347491317805e-05 6.758610083190229e-05 -0.000690415043588162 0.0003316551011069139
PC.PC1 0.0001047962196228595 -1.633385509249071e-06 1.1427893080277794e-05 -1.2676857282301448e-05 -1.9006448817945903e-05 -3.2760217580414568e-06 3.788375636070373e-05 8.685174472979627e-06 3.658501183817894e-05 -5.782443884140534e-06 1.2715070888444504e-05 8.977029926486992e-07 -1.3028097194458604e-05 5.258818010432805e-06 -6.3418935039827e-06 2.725038173128579e-06 7.963255204504486e-06 1.2387087135396204e-06 -3.3910259893191014e-06 -3.936150336948186e-06 2.12253350712218e-06 -1.7948415482976915e-06 3.467962554200629e-07 -1.813464723848577e-07 -1.2305968001347756e-06 -4.905665078669602e-08 7.605379427568505e-07 -1.8319312398458273e-05 4.25622814844061e-05 3.6340548849655204e-07
PC.PC2 -1.6218836919752765e-05 1.9456011244663563e-06 1.06683170764067e-05 2.023324716869518e-05 2.326401737500767e-05 4.5717698052672944e-06 8.685174472979566e-06 9.767024236576826e-06 8.916201071110321e-07 -2.0012665746733542e-06 4.6390439170793136e-06 -3.623874906265217e-07 -2.9498505281656987e-06 1.2355609393192301e-06 -2.050945309636587e-06 9.290145908391317e-07 6.038308027687473e-07 -9.124740023819006e-07 -1.70502332190586e-06 -1.580587287622927e-06 1.0211746423479408e-06 -4.110239872911974e-07 -1.0816879076290158e-07 -2.1332667669910736e-07 -9.356260542337123e-07 7.40422082229069e-08 6.268183778190213e-06 -9.641765014945196e-06 -9.615418271875994e-06 2.3351961650868122e-05
PC.PC3 0.0007349101460572929 -1.5893617193773739e-06 3.761317302385114e-05 -2.9375319356415752e-05 -8.387889952592923e-05 -4.501675828781974e-05 3.658501183817921e-05 8.916201071111417e-07 9.892426499556347e-05 3.9106630680068025e-06 1.6954609289883401e-06 4.392182577484184e-06 -1.5025423349702383e-05 5.419203364318724e-06 -6.564447014617912e-06 2.4519272459083677e-06 8.776395317122462e-06 1.5388292680728885e-06 -6.00997253102991e-07 -1.7757418246598637e-06 -6.181705820614143e-06 -6.866683013155027e-08 5.331182358056896e-07 -1.8908095068319773e-06 -3.026471155533101e-06 4.592918520954171e-06 -1.5725722082561454e-05 -1.9501174284019093e-05 6.300060705074539e-05 1.521991235115402e-06
PC.PC4 9.285772062247443e-05 2.3873960576962388e-08 7.589615912987512e-07 -6.171107794606076e-06 -3.395242438504564e-05 -2.242169688567676e-05 -5.7824438841405e-06 -2.001266574673366e-06 3.910663068006888e-06 1.0180302449171415e-05 -5.098092048737911e-06 1.7989433779136625e-07 2.5243094176280587e-06 -1.0859293315545938e-06 6.178678622687139e-07 -9.87377369441803e-07 -1.5438645067053162e-06 5.945202718700768e-07 9.498877763801701e-07 1.6887192971457803e-06 -3.4597807170566107e-06 1.5078609666836065e-06 -2.97430979725826e-07 -1.7159496495048434e-06 -7.383025182992288e-07 3.024755678981333e-06 -6.5777923138416495e-06 7.4717618783739745e-06 -2.3038341680886968e-06 -1.4272809748444554e-05
