 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
intercept 0.0001451668253571753 1.3057077444784758e-06 -7.272279470500291e-07 -8.320836696795857e-06 2.956909191243242e-06 4.823527354597699e-06 -3.0886330322647226e-08 6.674418855976239e-07 5.450594215181966e-09 7.529774808510287e-08 1.1424153573717584e-07 7.886655975187797e-08 -4.097403145884604e-07 2.387393789327005e-07 1.198261487332007e-07 -7.090184307029633e-08 1.3869821415537284e-07 6.007925556436203e-08 -1.6776566263483075e-07 -1.473886027498705e-07 -1.6536838885637994e-07 3.283627304379207e-08 2.1955119844502572e-07 -4.132136185735241e-08 9.346753605817024e-08 -1.8290287502956548e-07 -2.805033290621959e-06 8.672057659660965e-06 -1.7560421528373416e-06
AGE 1.3057077444784614e-06 5.050735996827658e-07 3.7301906306118614e-07 4.714977407532497e-07 -5.05855722456276e-07 -4.028816425312222e-07 -1.3013787492359629e-08 3.528090088044173e-08 -3.102284382420101e-08 2.2055554363421897e-08 5.503693295610043e-08 2.8906765100398792e-08 -3.02079839555086e-08 9.646793326165249e-09 1.9569463197476166e-08 2.8651658081775172e-08 4.588927239929739e-08 2.8840191970628528e-09 -4.871291299366822e-08 1.3164351260242968e-08 4.3917588467197294e-10 -5.623288137882275e-09 1.73448785741232e-08 -6.500565405078108e-09 5.017571659792873e-09 -3.235888714101407e-08 -2.6394339086314927e-07 3.1396550446720996e-08 5.133943708530483e-07
sex -7.27227947050064e-07 3.73019063061184e-07 0.0008298223531547466 5.769134621624479e-05 -0.00021941059202808507 -4.6968419727498446e-05 2.395650360577111e-07 2.4997662183078415e-07 -2.0607856262006e-07 2.7928104157705106e-07 1.0538441808912376e-06 -4.79882367916264e-07 -4.4556281665965076e-08 6.255940207669194e-08 -3.63005663258469e-07 6.64178848222186e-08 4.5283996655828895e-07 -4.619163310875662e-07 -2.1027247848938782e-07 2.632577572122164e-07 -6.402297356411059e-08 -5.264153852236042e-07 3.9560045075767776e-07 -3.413831000907002e-07 -2.206553482767939e-07 2.2234731959847263e-07 -5.437987942009796e-07 -1.2944345241019672e-06 7.880887145240869e-06
age_sex -8.320836696795752e-06 4.714977407532428e-07 5.769134621624403e-05 0.00043915327582605667 -4.4722157894654555e-05 -0.00016109752547682575 2.723459017769247e-07 8.772957726597616e-08 9.220227085931165e-08 3.3457011900243264e-07 9.487277395760362e-08 -7.263352377640708e-08 -2.961989939584858e-07 4.850146490884777e-08 -5.915595814020502e-08 7.420504908189366e-07 -4.912069155129747e-07 5.7265818737294224e-08 4.823631209855971e-07 8.793286940212556e-08 -4.651110543691604e-08 -2.69539221778055e-07 -7.388035050719964e-07 -2.515363986846109e-07 -4.067774733852591e-09 9.865188670911327e-08 -7.280767305314125e-06 6.372768642525556e-06 4.597257130159165e-06
age2_sex 2.956909191243273e-06 -5.05855722456276e-07 -0.00021941059202808583 -4.472215789465554e-05 0.00012668666023543407 3.9893939174819626e-05 -9.898350090192653e-09 -5.869992832137204e-08 1.7125753958260933e-07 -1.4817542151086665e-07 -3.639687132929704e-07 8.287461572893072e-08 -2.9640091579016826e-09 -1.6622389751566782e-08 1.712903772883342e-07 -1.1757444452361646e-07 6.18976862396636e-08 1.610403423131647e-07 1.1155025993172227e-07 -2.557066411662735e-07 6.201295987360712e-08 -3.087220865998566e-08 6.657082158784406e-09 4.628317842554824e-09 8.749845265367542e-08 1.900100262865696e-08 5.328743549116008e-06 -3.6726758084938506e-06 -5.175393308188621e-06
age3_sex 4.823527354597683e-06 -4.0288164253122036e-07 -4.696841972749828e-05 -0.0001610975254768264 3.989393917481931e-05 8.299938755449208e-05 -4.621197568181223e-08 -1.3689670189082509e-09 8.813289873596625e-08 -1.3442987512423238e-07 -1.2773634744004912e-07 5.8899196667603086e-08 7.163091891028335e-08 -1.4398005753761159e-08 -5.724350008385498e-08 -2.2296513171588163e-07 1.8087877053271453e-07 -5.535993771082099e-08 -2.1072310151345824e-07 -1.6457555080793442e-07 -1.4497194304465189e-08 3.948365238213035e-08 2.3170518192197246e-07 3.686955086808746e-08 1.4178193217523112e-08 4.981769689201243e-08 4.600912737719007e-06 -4.708137611533309e-06 -3.935094248679485e-06
PC.PC1 -3.088633032264634e-08 -1.3013787492359637e-08 2.3956503605770953e-07 2.723459017769224e-07 -9.898350090191525e-09 -4.62119756818109e-08 2.9430529240635465e-07 4.245509941900233e-09 1.0031996295353729e-08 -2.4470395112228094e-08 -2.3785914039167575e-08 -1.6977226185400338e-09 -1.4091571154971509e-08 1.672197088524582e-08 1.4785267172837472e-08 -1.1004350673968824e-08 6.233037954735384e-10 1.503743234491991e-08 -9.677347938223802e-09 -7.819704329577775e-09 1.976992636579576e-08 -6.4182618598633875e-09 3.2293797415630032e-09 -9.310076461662154e-09 9.436525126062875e-10 -1.2308805683293364e-08 -2.0289495197817573e-08 4.801127879631959e-07 3.105478862053419e-07
PC.PC2 6.674418855976757e-07 3.528090088044223e-08 2.499766218307818e-07 8.772957726597392e-08 -5.869992832137194e-08 -1.36896701890779e-09 4.245509941900063e-09 4.987608511065913e-07 -3.006264787889064e-08 3.5332475996765474e-08 2.0432835279737464e-08 -3.9651595023486096e-08 -1.783605639152371e-09 -7.974820061580893e-09 -5.13304481466699e-09 1.4835349265718217e-08 -8.02869646339956e-09 -6.140667133030564e-09 2.6460241292356202e-08 4.785015851362619e-09 -6.4300756070293085e-09 4.620784623742611e-09 -5.1496398723043194e-08 -1.1506568529816779e-08 -3.925021357846758e-09 1.6899437140147724e-08 -6.970269125250824e-08 2.8591595600046254e-07 4.851045234410602e-07
PC.PC3 5.450594215184069e-09 -3.102284382420109e-08 -2.060785626200607e-07 9.220227085930914e-08 1.712575395826093e-07 8.813289873596694e-08 1.003199629535337e-08 -3.006264787889039e-08 6.187763606000773e-07 3.9541807671573466e-08 2.9920944192602536e-08 1.2997945809888596e-08 1.5660949596240713e-08 -3.299044485397242e-08 2.865119913831812e-09 3.223100334218966e-08 -3.578639286426901e-09 -1.5633312824712824e-08 -1.0578665511781453e-08 1.537554370278201e-08 9.986691655033366e-09 -1.4951513981790596e-08 1.2544816286300898e-08 4.39607148589597e-08 5.083975905876347e-09 -6.993857012186414e-09 -1.5089688058940715e-07 -7.511078045943671e-07 -6.829858057262386e-07
PC.PC4 7.529774808510287e-08 2.205555436342202e-08 2.7928104157705074e-07 3.345701190024347e-07 -1.4817542151086585e-07 -1.3442987512423275e-07 -2.4470395112228064e-08 3.533247599676524e-08 3.95418076715732e-08 7.523093790657827e-07 5.794713116582247e-08 -3.667425466744923e-08 1.0658287810116532e-07 4.2084403785447955e-08 1.698126388837381e-09 -3.336493141174668e-08 -1.2415027851798885e-08 3.4566534301680576e-08 -3.4299901247094256e-09 3.1974154248602484e-08 9.156397755211635e-09 2.6770866515974162e-08 -1.5749179775774883e-08 -1.504462967479423e-10 -5.1742289499303265e-09 -1.784266350705408e-08 -2.978754425478593e-07 -1.7661868624549405e-07 -2.696064349700318e-07
