 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.0024191203214084123 7.557808476522664e-05 0.0013859451634769056 0.003907832316496376 0.004489523025855355 0.001366144996103459 2.3240331043888782e-06 5.966550151967683e-06 -1.0779353068981123e-06 1.5736104080950173e-06 -8.01778470986807e-07 -2.939524326835697e-06 9.262915655947404e-07 -1.6455206250010383e-07 -3.105188416183929e-06 -1.0979067938036484e-06 -3.5659323759186786e-06 -2.2000310489168006e-06 -5.32623058531027e-06 2.9368486363856404e-06 1.5536914068254876e-06 1.6297318276340795e-06 -1.3807883083932184e-06 1.2287023399487814e-06 1.013509252230467e-06 3.036754264089453e-06 -0.00010858549816728397 -0.00013198005771267608 -9.169015422663641e-05 0.00023880485229268216 0.00010664642025562476 0.0002242128624594417 0.00012418924871852437
AGE 7.557808476522637e-05 4.109849231316284e-06 -6.729051081370642e-06 -1.900847527814328e-05 -2.0959482047829554e-05 -6.223476225344351e-06 5.5727994913154615e-08 3.2985608825201746e-07 -1.0791432388127313e-07 7.550582279167232e-08 7.640784134058917e-08 -7.113453086323547e-09 -8.19244883471167e-09 -7.370075163996589e-08 -1.7388554040376417e-07 5.040839832727983e-08 -9.515117055880103e-08 -2.0669336832220283e-07 -2.605708398381375e-07 1.3415896601357477e-07 1.1594483015581883e-07 -8.999338299054154e-09 -2.0830556868016024e-09 -3.974527518763262e-08 -5.100197860123583e-08 -7.937297004125098e-08 -3.2039566156068847e-06 -3.233356401066496e-06 2.560309131891473e-07 5.058381876792246e-06 4.2402865645567165e-06 7.279302984831617e-07 4.718749192600383e-06
sex 0.0013859451634770019 -6.7290510813701834e-06 0.013963205140124337 0.016433167277792 0.011573747157425913 0.0025171414396171353 -4.052338359921591e-06 5.442903261683161e-06 -1.0014850123374921e-06 -3.3118364064513846e-06 6.36639235740561e-06 -2.3423797521346194e-06 3.0650053807060305e-07 5.044457629059733e-06 2.258188877521429e-06 3.228082506251258e-06 -3.213057106913468e-07 3.8115925513027692e-06 -3.6905239489636646e-07 6.316323465248197e-06 -3.4134199306563985e-07 -6.630060868242527e-06 9.15755380595335e-07 -4.055525419977837e-06 8.5476635638915e-06 5.412577056612787e-06 -7.12153354374708e-05 -4.294955617949142e-05 -6.08965714797084e-05 1.9088433993017346e-05 -6.829094530754266e-05 0.0002532378679324743 9.862102128910935e-05
age_sex 0.00390783231649648 -1.900847527814219e-05 0.016433167277791635 0.035118256809693535 0.034930806636460254 0.009686090346729901 -1.066811970834302e-06 3.796808390318787e-06 9.108457254304864e-06 -2.367473083239107e-06 4.361280123428098e-06 2.468211436614907e-06 -3.500217088143203e-06 7.280471395001046e-06 2.2661520670771366e-06 7.988702260106899e-06 -1.228831380256409e-06 5.258453039054448e-06 -1.138599764723575e-07 3.2622321072730965e-06 3.193663789158087e-06 1.1408153029813793e-06 1.7501063765967182e-06 -8.666020157551407e-06 3.672659887936915e-06 -1.3031677173085216e-06 -0.0002922499848431179 -1.4785203827834117e-05 -0.0002319412271658498 0.00010104489240230237 -0.00022502893835305972 0.0008089260691050021 0.0001395785275723387
age2_sex 0.0044895230258553765 -2.0959482047828297e-05 0.011573747157425242 0.034930806636459574 0.04032078410326027 0.012217649886772363 5.532048364503431e-09 1.2366029530020203e-06 1.2793946350541887e-05 -2.13070077021876e-06 2.0078757384985693e-06 6.014378651099724e-06 -3.4605796263214333e-06 6.420759720812248e-06 2.2380176069274593e-06 3.9945834029355966e-06 2.6797191650054514e-06 4.3801459014004104e-06 6.475610158790443e-08 -4.884469128144784e-07 4.2322983709534405e-06 9.30137546663839e-06 3.052385120349656e-06 -7.336315686008181e-06 3.9461145659842724e-07 -2.930709546013168e-06 -0.0003047416564983844 -2.246950216628534e-05 -0.00024122676836491194 0.0001613453047591793 -0.00023926588058686182 0.0009423082134309217 -3.317833687008712e-05
age3_sex 0.0013661449961034483 -6.2234762253438414e-06 0.0025171414396168686 0.009686090346729547 0.0122176498867722 0.003908164666934037 4.0568558520637485e-08 9.682903676163033e-08 4.0444638856081774e-06 -6.159242136906256e-07 3.9301748280788883e-07 2.3103563297535186e-06 -7.814560622035519e-07 1.7187128105677971e-06 4.1723514999696824e-07 2.529853547893698e-07 1.4180449203568157e-06 9.274491475260049e-07 -2.137935717737564e-08 -8.47328698052859e-07 1.033097436996797e-06 4.195439071258504e-06 1.136634461148166e-06 -1.7880026104374131e-06 -2.871503729359786e-07 -6.773815200591439e-07 -8.588639006973087e-05 -1.519317621224619e-05 -6.262590250675781e-05 5.58288539177429e-05 -5.966389842335291e-05 0.00028216438306490017 -4.900779930759055e-05
PC.PC1 2.32403310438888e-06 5.572799491315044e-08 -4.052338359921158e-06 -1.0668119708335532e-06 5.532048365334497e-09 4.056855852089737e-08 9.889870701668677e-07 2.477131306666693e-08 -2.880042240822887e-08 -1.012848342444252e-07 5.380578294547155e-08 -3.9659631530609725e-08 -7.23302752049852e-08 7.637115375195571e-08 2.9045290201927764e-08 -1.0270034099120568e-08 2.0792498235741447e-09 1.185284344712515e-07 -1.1488375004991384e-07 -6.045744818890338e-08 9.4227826069818e-08 -8.078486278308344e-08 -1.9633739987250244e-08 1.054972050864618e-07 2.4558056550932027e-07 -1.3690732349047912e-07 3.2939297204966143e-07 -2.837649368910937e-08 -3.0350224174785636e-07 1.3647223865481287e-06 2.0929667573222792e-06 1.3298500582934464e-06 2.2316451338816246e-06
PC.PC2 5.966550151967511e-06 3.2985608825201365e-07 5.44290326168288e-06 3.7968083903182302e-06 1.2366029530015725e-06 9.682903676153045e-08 2.4771313066667787e-08 1.4148303639335257e-06 -2.2505215981715386e-08 2.901115986710291e-08 1.1330022514060044e-07 -6.060759481592875e-07 -1.1879217839750799e-07 -1.8316328452667303e-08 -2.3112081045636413e-08 2.5705878587149398e-08 -4.583141549537293e-07 -2.1018517947644683e-07 6.988953141052487e-08 -1.3798218757661743e-07 -7.544185586735072e-08 -1.6440901902318212e-08 -1.3534370209718607e-07 -1.0803002809204265e-07 -1.9870982833003587e-07 9.679194743866812e-08 -7.843065222101e-07 -2.155597475471158e-06 3.19188524872258e-06 1.8447043056839333e-06 3.3737038456785376e-06 1.2747447420681037e-07 -5.619812123195658e-07
PC.PC3 -1.077935306898241e-06 -1.0791432388127607e-07 -1.0014850123379453e-06 9.108457254304094e-06 1.2793946350541372e-05 4.044463885608098e-06 -2.8800422408229695e-08 -2.2505215981715905e-08 1.799690350717144e-06 5.013431218711816e-08 1.317411630336539e-07 2.098516045837152e-07 1.7197130400141438e-08 -5.799377482624663e-08 -1.7473488001146122e-08 1.573296281646891e-07 1.6245737769814303e-07 -1.0946746139604319e-07 6.200371340567058e-09 6.332423246097575e-08 1.8134569274157587e-08 2.5583053284990333e-09 1.35687359238794e-07 -5.8237558946606143e-08 -2.061407306765015e-07 -1.0748343951367806e-07 -3.0598927964536386e-07 -1.1418600906675548e-06 1.7142489410405862e-06 -2.13065898029086e-06 -1.1334628091059125e-06 -5.654136329376016e-06 -9.80818682348275e-07
PC.PC4 1.5736104080950681e-06 7.550582279167325e-08 -3.311836406451419e-06 -2.3674730832388727e-06 -2.130700770218495e-06 -6.159242136905587e-07 -1.0128483424442487e-07 2.9011159867102975e-08 5.013431218711774e-08 2.3293117796963982e-06 3.1331129273011087e-07 -2.3185407155634535e-07 1.1164744274131405e-07 -1.622039107732712e-08 5.003863544631061e-08 -1.6778338635160508e-08 -8.046501259452213e-08 -8.247403785569833e-09 1.123761807196022e-08 -2.7322246035591304e-09 -5.209464307791086e-08 1.019617370532287e-07 -7.719872027159827e-08 -3.8908161742621563e-07 1.4169280169759245e-07 2.058638096899151e-07 -5.113897070921961e-07 2.074778194536338e-06 -4.704137652571471e-06 -5.110429925616037e-06 8.735243167989578e-07 3.924902412046434e-06 2.6584440637651457e-06
