 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal gpp gmp
intercept 0.0015829387949383548 5.0252360014032216e-05 0.00043945367426715705 0.0012963440603361565 0.001490386888498074 0.00043996312718146103 -2.0668929960653033e-06 8.396929120743798e-06 -1.5614158078044283e-06 2.815283840825912e-06 -1.1639271396760992e-06 -9.141904198226308e-07 9.534609268009414e-07 1.5186663165294248e-06 -1.1134368717697397e-06 -2.6955665503978087e-06 -1.5251917281329226e-06 -5.652844163925766e-07 -3.154447061247714e-06 5.004060816767248e-07 -2.9605967973528793e-07 2.354277531810023e-06 9.112566741412942e-07 1.6189651779599955e-06 -8.968489804921308e-07 4.0115090089796726e-07 -1.8436171364429832e-05 -0.00013425797649915423 0.00021827669259474482 6.837041207961828e-05
AGE 5.025236001403222e-05 2.7025830872818925e-06 4.398399909377317e-06 3.1089738533678102e-06 3.2165776947985518e-06 1.3463377093942634e-06 -8.584578587797833e-08 4.0000497770735206e-07 -6.340392488335298e-08 1.0821347949854495e-07 6.001108609387003e-08 -1.8600620668771836e-08 -8.15945788133749e-08 5.479248769566802e-08 -4.010349202597993e-08 -3.494569040565375e-08 -2.3082531545287695e-08 -7.787513343269038e-08 -1.6476774378975714e-07 2.725763531330841e-08 4.4810936490459535e-08 1.3913328670581872e-08 1.713005382044119e-08 -2.0482031870811032e-08 -4.012573500624544e-09 -6.243902053210087e-08 -7.118629097138921e-07 -3.5149944941568023e-06 4.505286958317679e-06 1.4921365530129708e-06
sex 0.0004394536742671086 4.398399909377388e-06 0.006308647802459141 0.005156202607520785 0.0022340059618525337 0.00022819204844258997 -1.6326455925133249e-06 3.2610069732997946e-06 -2.6852843771814598e-06 -1.3269435913783976e-06 3.650096799160827e-06 -1.4920501682152346e-06 1.623009633239628e-06 -1.01092417521442e-08 1.5822881317599572e-06 -9.864373943312603e-07 2.870494577146991e-06 4.204836937470781e-06 -1.6236022852513741e-06 2.2753779746694637e-06 -1.0053398803028337e-06 -1.7931331011959045e-06 1.2122166319112265e-07 4.374765738575422e-06 4.0659870280279695e-06 2.506223882849575e-06 3.5706776443975094e-05 -5.1068277817844555e-05 2.4531166861971414e-05 -5.751123030313889e-06
age_sex 0.001296344060336162 3.108973853368601e-06 0.005156202607521098 0.011188933137450363 0.010321106207298735 0.0025913747547618403 -7.032349603059464e-07 2.4779811339238774e-06 7.889147278578222e-07 -1.41635778647191e-06 -2.4419035867572026e-07 1.8325191269766635e-06 1.7045213637650707e-06 -1.26154812865226e-06 4.3381765484925844e-07 1.439208022746212e-07 -8.15734968698848e-07 4.038674736872731e-06 -1.6443251333310678e-06 1.947016460530813e-06 1.2108831235546575e-06 -9.844907695277724e-07 1.6634129890705085e-06 5.706484952755922e-06 1.7160173130473339e-06 -3.079924482942145e-06 -3.18324748408076e-05 1.4893392281327872e-05 0.00011191206061799098 -0.0001709823042567984
age2_sex 0.0014903868884981026 3.2165776947995284e-06 0.0022340059618529613 0.010321106207298883 0.012248103395425508 0.003554916833291043 -1.013616043287981e-06 1.2322223821316799e-06 2.508695593958441e-06 -1.964512097723626e-06 -1.6058967163222892e-06 3.353980970918588e-06 2.447288260689033e-06 -9.022429613061704e-08 -6.930558836637245e-07 -2.8757833899717453e-06 1.1660780910052726e-07 2.383715794868999e-06 -9.679958737364065e-07 1.808178656874903e-06 2.9277118990426778e-06 9.481661366025979e-07 3.5554943701720394e-06 3.6485938970424837e-06 -1.5994765167469323e-06 -5.105554957339286e-06 -3.300112741057699e-05 1.975684032467157e-05 0.00019444662939380062 -0.00021979126500760754
age3_sex 0.000439963127181469 1.3463377093945727e-06 0.00022819204844270986 0.002591374754761877 0.0035549168332910355 0.0011183971870490463 -4.5128654634358264e-07 2.2795215430367153e-07 7.843713030289145e-07 -6.12776722187717e-07 -4.4188551507888056e-07 1.0421314681378768e-06 8.558020018522971e-07 3.454765492953284e-07 -5.067707666552257e-07 -1.556593091761346e-06 4.606840347220793e-07 3.6917613199237683e-07 -2.6617102857502275e-07 5.858043354225765e-07 9.905870037452588e-07 6.990181892595275e-07 1.3733312955922354e-06 5.674375055612032e-07 -1.0643232645254487e-06 -1.6231486429521114e-06 -6.924224288727089e-06 -2.6778008640957136e-06 7.604943948806942e-05 -6.386002978242886e-05
PC.PC1 -2.066892996065466e-06 -8.58457858779727e-08 -1.6326455925153465e-06 -7.032349603089683e-07 -1.0136160432904745e-06 -4.5128654634418186e-07 1.0793477185791523e-06 5.001289887910892e-08 -4.4715040775564866e-08 -1.2131984937245472e-07 8.121345011470505e-08 -4.296931267866706e-08 -9.151104417436044e-08 7.395274517778551e-08 4.638131781326088e-08 -2.186930992747579e-08 -1.4821437429963383e-08 1.0907203827479863e-07 -1.0173624142188996e-07 -7.473292891958167e-08 1.0401308136834702e-07 -1.0350922815343574e-07 1.8314839762142316e-08 2.2162816892926022e-08 1.206025256498189e-07 -1.7150697883306654e-07 3.982356386832413e-07 -7.940015666621127e-07 1.8137070228598962e-06 1.9173258948984563e-06
PC.PC2 8.39692912074375e-06 4.0000497770734714e-07 3.2610069732995816e-06 2.477981133924401e-06 1.2322223821323693e-06 2.2795215430386447e-07 5.001289887910841e-08 1.7015386423243288e-06 -9.90068935807888e-08 7.460352828615893e-08 9.607335036190074e-08 -2.726501052331086e-07 -8.872082703911144e-08 -1.9580568211674165e-08 1.9700477347171483e-08 3.040675412516351e-08 -2.7217787909232593e-07 -1.6735837778704795e-07 3.4816969220495984e-08 -1.2392317500402972e-07 -4.288084163336617e-08 -3.370672273387901e-08 1.2241255861902377e-09 -2.64119593184256e-08 2.509986107387167e-09 1.1371840158224535e-08 1.4435753459013456e-06 -2.166238689604193e-06 -3.6951780733198067e-07 4.837959918469067e-06
PC.PC3 -1.5614158078045911e-06 -6.340392488336004e-08 -2.6852843771791423e-06 7.8891472785922e-07 2.5086955939583757e-06 7.843713030286919e-07 -4.4715040775564244e-08 -9.900689358078994e-08 1.902267411033107e-06 4.675531352734434e-08 8.978820123040832e-08 1.2935200219695757e-07 2.4913441642971564e-08 -9.011844552756243e-08 1.7939898340861805e-08 1.57577180184833e-07 1.3127979075987307e-07 -1.5287538383079602e-07 1.8437764805160536e-08 7.987301709180556e-08 4.168988752924488e-08 -6.030233041606142e-08 7.157220093724367e-08 3.220548153146897e-08 -3.8281707240138493e-08 -3.175890347465127e-08 -1.8152152397634265e-06 6.531194216386168e-07 -4.109588829575878e-06 -1.2112618220655012e-06
PC.PC4 2.8152838408258035e-06 1.0821347949853057e-07 -1.326943591376224e-06 -1.4163577864689959e-06 -1.964512097721344e-06 -6.127767221871881e-07 -1.2131984937245535e-07 7.460352828615873e-08 4.675531352734344e-08 2.358860431336457e-06 1.3287646527606463e-07 -1.4229831107405795e-07 9.355091308646988e-08 -5.064064500971323e-09 2.5021678130417736e-08 -9.205644478258844e-08 -1.0764791002334435e-07 7.616822975933035e-10 3.336654240426518e-08 1.967731985816881e-08 -7.862401218255275e-08 1.1995195386622815e-07 -3.65079697456661e-08 -2.2799118546220595e-07 -7.843134734574582e-08 1.2103184918497527e-07 -9.262646288479752e-07 1.617714229358802e-06 -2.2399778756035335e-06 -2.124814437556056e-06
