 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal gpp gmp
intercept 0.001449072868112505 5.111935381812501e-05 0.00028371640461792287 0.0013216288584214963 0.0017894629790614048 0.0005926830566635422 -2.2417016946215723e-06 5.18217005940826e-06 1.3010339085999512e-06 1.3333368000832668e-06 1.545579519222344e-07 -1.0241774310548478e-06 7.255549675214466e-07 1.0753402855758706e-06 -2.1670169353970144e-06 -1.965338384096439e-06 -2.525824481964838e-06 -1.7996297409560418e-06 -2.1111600424894007e-06 8.353397717214792e-07 1.7470533572248962e-08 1.6155842981193555e-06 -3.8740886994327783e-07 3.8695768617565386e-08 -1.3535368453795002e-06 5.162790279807097e-07 -1.5336754714245563e-05 -9.235351022047362e-05 0.00013218967888696065 7.747231214358112e-05
AGE 5.111935381812515e-05 2.952189874692686e-06 5.223866444741397e-06 9.524341748615054e-07 -3.1071893780185177e-06 -1.6356580421609122e-06 -9.132478753036415e-08 2.6384460885749936e-07 -1.5544292956456257e-08 9.619873894634218e-08 1.345349519037164e-07 2.9155757138616282e-08 -4.792804752253971e-08 6.396855692420459e-09 -1.0655370269664384e-07 1.3322808548695007e-09 -7.101314703200949e-08 -7.732243821887721e-08 -1.4754419029389387e-07 7.3931079602241e-08 5.346718212179411e-08 1.4880007623814947e-08 2.122000893668897e-08 -9.989912832411094e-08 -6.702073755822008e-08 -1.361006456112426e-07 -4.5527985401015824e-07 -1.9395371165729456e-06 5.026745442975153e-07 3.579478515390709e-06
sex 0.00028371640461825193 5.223866444740784e-06 0.005845701442143288 0.004109194084302472 0.0008881439507602172 -0.00024728604470666485 -1.222366547177006e-06 3.063447895412386e-06 -2.8893490965913355e-06 -9.634429811229565e-08 3.945579325646082e-06 -2.295923653483551e-06 1.9211476217845532e-06 -4.132848980324913e-08 1.0267715744908732e-06 -4.4778378465128254e-07 8.845111591799372e-07 8.796931535060219e-07 -8.998419256364843e-07 2.6943251399467893e-06 -8.127915780449293e-07 -3.653552842406592e-06 2.8346301110085467e-07 1.613895884961458e-06 4.237658754235581e-06 1.7596801732922923e-06 5.766845178976712e-05 -6.0479312872694496e-05 -1.3644930855516539e-05 5.348154491876853e-05
age_sex 0.0013216288584217276 9.524341748600955e-07 0.004109194084300598 0.010414652448587554 0.010701140617550085 0.0029855196487318086 -1.2940083690861213e-07 1.7138239581468754e-06 1.3210968131689364e-06 -1.3693017752379192e-06 -4.956983691600828e-09 3.158213657095222e-07 2.711849359121622e-06 -5.791457806156994e-07 1.8481719511824547e-06 8.0165267521546e-07 2.3010271238287498e-07 -1.5961066319332442e-06 -1.7128918304062569e-06 1.5740943342445643e-06 1.267980971274612e-06 -1.2003480317184828e-06 6.74624658011117e-07 3.0375633247554173e-06 2.696372874507566e-06 -1.4018456323583496e-06 -2.373589517704887e-05 -2.396713212976545e-05 5.0709175423676784e-05 -5.709281883705876e-05
age2_sex 0.0017894629790613588 -3.107189378020167e-06 0.0008881439507573818 0.010701140617547851 0.015286088361772946 0.00509567430959803 -3.24105831632486e-07 1.1628297149183156e-07 4.205532127473658e-06 -3.023454373109251e-06 -2.224827188872087e-06 3.3079062690436115e-06 4.200589526549849e-06 5.565359144120171e-07 2.2427301523209622e-06 -1.8511068989891617e-06 4.1635997741343586e-06 -3.623126342001901e-06 -2.1639055073054417e-06 5.053364185983831e-07 2.3253325568900194e-06 3.0186743653676513e-06 1.9001784932683846e-06 3.2099327096912673e-06 6.664927451322286e-07 -1.1246608874451267e-06 -5.4433516210186486e-05 -9.24815293738441e-06 0.00013377047600007384 -0.00013433499981153923
age3_sex 0.0005926830566634774 -1.6356580421612926e-06 -0.0002472860447076483 0.0029855196487307495 0.005095674309597587 0.001849527301397203 -1.9610474107605772e-07 -1.5478545953541645e-07 1.6423915730491486e-06 -1.1625120336409191e-06 -8.145577031718521e-07 1.5361793808850848e-06 1.579129624068486e-06 5.125597562491241e-07 4.774063382743259e-07 -1.1045110664785345e-06 2.142106644940845e-06 -1.4722315192785406e-06 -8.703507608892235e-07 -3.5170530597557914e-09 6.717195746150738e-07 1.756409183179523e-06 7.648806919597769e-07 9.219901969065042e-07 -1.6800966311096632e-07 2.81616232898206e-09 -2.0238406806518683e-05 -4.526784930777867e-06 5.3304534593395054e-05 -4.661142379723061e-05
PC.PC1 -2.2417016946213157e-06 -9.132478753036754e-08 -1.222366547175837e-06 -1.2940083690571663e-07 -3.241058316296644e-07 -1.9610474107530868e-07 8.054433241121799e-07 6.272638529169406e-08 2.7409714738848827e-08 -1.3532824492674533e-07 5.696185186431249e-08 -4.544338976702174e-08 -8.868402436497229e-08 7.602141194994124e-08 2.378951565627344e-08 -3.487487412177056e-08 5.352931581456796e-09 7.98621839203911e-08 -1.0169606404074163e-07 -5.8234862726243376e-08 9.102815710396583e-08 -1.0050845448577409e-07 2.1458198153937785e-08 3.0560998599697485e-08 1.100416799554781e-07 -1.457531162499845e-07 4.657137085532912e-07 -7.338430107133735e-07 1.890400201910376e-06 1.0736683370504436e-06
PC.PC2 5.182170059408164e-06 2.638446088574895e-07 3.0634478954124758e-06 1.7138239581475719e-06 1.1628297149290237e-07 -1.547854595350415e-07 6.272638529169396e-08 1.1371464738704445e-06 -8.605362696781813e-08 8.319393104811273e-08 1.0069555935808674e-07 -3.7645449216192533e-07 -1.015945140381326e-07 -2.7124328052567017e-08 -7.088724343413083e-08 4.2054093188004043e-10 -3.139620943047331e-07 -1.1659205937390467e-07 1.1924949970805207e-07 -1.0329037544697016e-07 -2.0367052247626568e-08 -6.039988629331096e-08 -1.0318634510385289e-07 -5.286915383843296e-08 -3.7124217218246306e-08 7.219276841165815e-08 1.1098337696523017e-06 -2.457480764183793e-06 -2.403376067845194e-07 4.520243061821045e-06
PC.PC3 1.3010339085998163e-06 -1.5544292956444683e-08 -2.889349096594338e-06 1.3210968131643906e-06 4.2055321274704455e-06 1.6423915730485318e-06 2.740971473884823e-08 -8.605362696781782e-08 1.436761762978795e-06 1.0698397394649915e-07 8.480488977759162e-08 1.412071226362217e-07 1.6791371421789235e-08 -8.33338083971878e-08 3.151794392500192e-08 1.4131352895589243e-07 1.1394238149104596e-07 -7.727549425691843e-08 -2.917306869836534e-08 6.250990359589925e-08 1.8023835623950992e-08 -9.339681581117431e-09 6.410238455375413e-08 2.058385415904046e-08 -5.0644487086807027e-08 -5.308303774768615e-08 -1.694824650288229e-06 3.3572333004455695e-07 -3.4567083503460933e-06 -1.2134918529930861e-07
PC.PC4 1.3333368000831468e-06 9.619873894633875e-08 -9.634429811207498e-08 -1.3693017752378578e-06 -3.023454373109534e-06 -1.1625120336410752e-06 -1.3532824492674443e-07 8.319393104811229e-08 1.0698397394649822e-07 1.6695622094671026e-06 1.1271985327049353e-07 -1.6162263591167336e-07 1.3087392821087596e-07 4.26728595423498e-08 -1.4851078630616799e-08 -1.1509817992556108e-07 -1.0471023780938592e-07 1.5032649299097422e-08 4.62243886946858e-08 3.3156030320185176e-08 -5.456645693784023e-08 1.0975351003731332e-07 -4.437693263771512e-08 -2.1814810025157804e-07 -6.025980429345222e-08 1.0002081826507747e-07 -8.601922396065416e-07 1.6164251876874844e-06 -2.564203336923521e-06 -1.5090752250818658e-06
