 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
PC.PC5 -6.580546407673767e-07 6.894760955970154e-08 1.420211484817198e-06 -2.2253670846653606e-07 -7.898795272802531e-07 -1.9222616054889645e-07 3.2960890109742486e-08 4.762217747467389e-08 7.570514042836384e-08 1.555378071282151e-07 1.9196027591827835e-06 8.716426802449702e-08 5.7178682822294883e-08 -1.1239957014833795e-08 2.2431635862057136e-08 -2.808533751271825e-08 1.1364507204186323e-07 1.2439101758079601e-07 -3.7471406786332874e-08 8.584149025822063e-09 7.490300718660724e-09 -4.7966703365496235e-08 5.747216931263896e-09 5.66272934260603e-08 1.664385057662904e-07 -3.187031678566504e-08 -3.408941154224819e-07 1.0051724475836248e-06 9.349348149372731e-07 -3.7293693287767745e-06
PC.PC6 -3.1607240702843616e-06 -4.394617612530432e-08 -1.3618348104853085e-07 1.1033653855806772e-07 3.7738964361199723e-07 2.1847600804506136e-07 -5.422447666056417e-10 -4.6938372092602166e-07 1.661668368433106e-07 -1.953350168499932e-07 8.716426802449679e-08 2.4461470758010077e-06 1.516778193033452e-07 4.672468802100305e-08 -8.317871745179626e-08 1.077086342343352e-07 6.636941212202298e-07 2.8191101146231454e-08 4.605408921265958e-08 2.561078345616519e-07 1.798307309556294e-07 -9.362265606767027e-08 -2.0916903756723177e-07 6.107303307583545e-08 1.2656321765581744e-07 -1.669025545015926e-07 6.105371543872023e-07 6.111560990931347e-07 -1.6786262235171268e-06 -2.016683408808728e-06
PC.PC7 -1.1970538300134229e-06 -6.926086299927059e-08 2.7021814526615945e-07 -1.2719108067507345e-06 -8.378681562980996e-07 4.824356570991009e-09 -5.92126539783032e-08 -8.435428092546757e-08 7.771268173546522e-08 1.4509186080080417e-07 5.71786828222945e-08 1.5167781930334671e-07 1.7934322355512825e-06 1.8248486052981644e-07 2.548782041663132e-09 4.9366383821718014e-09 1.5415353060851404e-07 -1.2895252741059454e-07 6.753763056505816e-09 3.369610353242096e-08 3.408041692214405e-08 -3.776017261412611e-09 -2.4200176927249318e-08 3.713062961346851e-08 -6.373446427332822e-08 -4.380375639746479e-08 6.867384615682378e-07 2.079699662329555e-06 -1.1137684271696388e-06 -1.6135932262398745e-06
PC.PC8 4.798548085265312e-07 4.692497951747797e-09 -1.1908077087120135e-06 1.5740434094540153e-06 3.0768625692536552e-06 1.0607247850258553e-06 6.397263515299574e-08 -6.812245181314766e-08 -2.4606189236932062e-08 8.521645285577478e-08 -1.1239957014833343e-08 4.672468802100325e-08 1.8248486052981644e-07 2.250498259506454e-06 6.729092190554722e-08 7.315065359712964e-08 4.205053559670028e-09 -8.801501042849636e-09 6.391357383141461e-08 3.92560031992379e-08 -2.226052223990534e-08 1.8772424013223948e-08 -4.974076506101291e-08 -4.4442948266872804e-08 -9.596455657884394e-08 -1.1480582290758862e-07 1.1130381977082712e-07 -5.675968823756331e-07 -3.9225062906742026e-07 3.173764464623931e-06
PC.PC9 -6.949345958946848e-07 -3.6074027206477696e-08 -1.2404605881438245e-06 -5.56240433161462e-07 -4.805562998536275e-07 -4.0447287474584223e-07 1.3676697354692969e-08 -3.5243628606779663e-08 7.486836159534072e-09 3.484039604449791e-08 2.2431635862057123e-08 -8.317871745179538e-08 2.548782041663413e-09 6.729092190554773e-08 1.9776146637794527e-06 2.0026573776211424e-07 2.1633253022563825e-07 1.619917778622928e-08 -2.8755591293041843e-07 5.373195367972639e-08 2.5085141520902725e-08 5.9213998378647215e-08 -5.160376062710812e-08 -2.9332065492466e-09 2.2505754235188068e-07 -1.4408124329275413e-07 -9.636041204358815e-08 -2.7935222357697784e-06 3.393388154195938e-06 1.2738545177647355e-06
PC.PC10 1.247605332119701e-07 9.508290255146457e-08 1.8744968946994779e-06 9.088388688698619e-07 -4.162988203198661e-06 -2.2994593733080973e-06 2.4169080308654285e-08 -2.9912638556438874e-08 5.117572597971467e-08 -2.2541639406436552e-08 -2.8085337512718428e-08 1.0770863423433477e-07 4.936638382171635e-09 7.315065359712982e-08 2.0026573776211467e-07 2.908812263138602e-06 -1.2427898946824896e-07 -8.856720025548141e-08 1.2660933969679715e-07 1.7882521840149966e-08 -3.079790435879967e-08 3.2013956544270537e-09 2.8498824294282807e-08 -2.3177960140862752e-07 2.6808927916383084e-08 2.7322096556966328e-08 1.3143346954855642e-07 1.5730610618630102e-06 -1.361004796129558e-06 -1.463767679445528e-06
PC.PC11 -3.6847958956841277e-06 -8.732462867322386e-08 1.3199253352198742e-06 2.629020687755943e-07 1.5818518619282886e-06 6.618551069275089e-07 1.3298154822699212e-08 -3.6716111937713115e-07 1.4652333395031346e-07 -1.2170656161800904e-07 1.1364507204186339e-07 6.636941212202317e-07 1.5415353060851366e-07 4.205053559669751e-09 2.1633253022563743e-07 -1.2427898946824859e-07 2.4553460600164594e-06 -6.153117305876294e-08 9.263893258690303e-08 2.4921096778515995e-07 1.3690941454857784e-07 -5.010692270979939e-08 1.2870047823091725e-08 -8.617874031910112e-08 2.694465448167165e-08 -1.1128620522972678e-08 -9.357136733846209e-08 2.708878785517233e-07 1.504191596948921e-06 -2.2140564608207865e-06
PC.PC12 -1.5312721261477103e-07 -5.622939611123539e-08 7.866926884207106e-07 2.280008147923384e-07 -3.2742588632759827e-07 -4.079826488858851e-07 5.8616327716355115e-08 -1.35794147461876e-07 -4.956750656681773e-08 1.692315003290238e-08 1.243910175807961e-07 2.8191101146231298e-08 -1.2895252741059436e-07 -8.80150104285005e-09 1.619917778622951e-08 -8.856720025548065e-08 -6.153117305876372e-08 3.1254663160677188e-06 -2.3352222747397168e-07 9.288416552812692e-08 1.0946625111649014e-07 2.6118756760392807e-07 -1.6360534758534413e-07 -7.985279155335608e-08 3.450697058285053e-07 7.73873557352767e-08 7.939466424348725e-07 -1.1733234984008746e-06 4.2686597478287575e-06 -1.912088073484397e-06
PC.PC13 -3.4689689377752715e-06 -1.8017079367178974e-07 4.2436806682601425e-07 3.9477232972998073e-07 -2.682630690903027e-07 -3.6142754817330927e-07 -3.067288329095474e-08 -3.8712243842100235e-08 1.3713420259781711e-08 -3.169238809157318e-08 -3.747140678633244e-08 4.605408921266098e-08 6.7537630565061215e-09 6.391357383141439e-08 -2.875559129304187e-07 1.266093396967969e-07 9.263893258690425e-08 -2.3352222747397173e-07 2.003944079548661e-06 5.4952282131712305e-09 -7.923102121894862e-08 8.893541361548872e-08 3.0324608956836716e-08 -1.6080100186808366e-08 -1.7947378163418567e-07 -1.0071479139520941e-07 4.1376969638000306e-07 1.817535368564256e-06 -9.56092302569647e-08 -2.9125693438663963e-06
PC.PC14 -9.88654942638504e-07 5.584051221970944e-09 7.730807042183607e-07 -4.827401011711954e-07 -1.1724542016223214e-06 -5.150103020166486e-07 -4.488422273885427e-08 -1.0914108479426483e-07 8.304675387755616e-08 5.1237930580290006e-08 8.58414902582194e-09 2.5610783456165226e-07 3.3696103532420673e-08 3.925600319923778e-08 5.3731953679726234e-08 1.7882521840150168e-08 2.492109677851594e-07 9.288416552812755e-08 5.495228213170684e-09 1.780715237664145e-06 8.790338878917949e-08 -8.239678324379032e-08 -2.8525650485257355e-08 6.240995454183857e-08 5.631768956439462e-08 -5.425238780403085e-08 2.414702229523728e-07 -4.6544326825993113e-07 2.347724018440065e-06 -1.7702626053552456e-06
