 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
PC.PC5 -8.017975763001641e-08 5.943771499704363e-08 7.312539884111542e-07 -1.2036582212548721e-07 -9.63218381320371e-08 1.1938194970370869e-08 -4.839043393521168e-08 1.7526728142544728e-08 8.608624077978093e-08 1.3340674612457727e-07 2.2941134343028494e-06 5.128738601344688e-08 4.594293496557819e-08 -6.787054129971513e-08 -2.7628674142558835e-08 2.6737775829873137e-08 2.183340260604037e-08 2.8858152864453723e-08 4.840371631107949e-09 -3.25727175705134e-08 -5.1040673614022154e-09 -1.3816577064405573e-08 -6.5458310707126855e-09 1.2763182438878578e-07 1.4942141055657107e-08 7.838012710765579e-08 -4.935387853221889e-07
PC.PC6 6.933103806514607e-07 2.3977118252877367e-08 -5.065254149263029e-07 -3.214610004743013e-08 8.874143981778718e-08 5.17905067094348e-08 1.2293716581683036e-08 7.026101414372587e-09 -1.8150411629042952e-09 -4.87999497602518e-08 5.128738601344709e-08 2.7709299889869094e-06 1.4280214931905698e-07 -2.8932672351619337e-08 -1.2477564948445396e-07 2.0478176488528388e-09 -2.5847612370406614e-08 -2.514545590167391e-08 -1.5466565440078204e-07 2.7067014330850554e-08 2.3982605456103026e-08 -3.7430408652313634e-08 -9.27479039978588e-08 -1.906216554913166e-08 -3.9622459348342643e-08 -1.7445106827685152e-08 4.8742769596009483e-08
PC.PC7 3.455888218725838e-07 -5.5007933103857556e-08 -2.7420294593904687e-07 -3.9041755317538705e-07 1.9319265506176347e-07 1.513929351826536e-07 8.532315826471376e-09 -3.465064162768098e-09 3.79940618913469e-08 1.1382449475977903e-07 4.594293496557927e-08 1.4280214931905526e-07 2.159177383807933e-06 1.7937217809233152e-07 3.111793653905933e-08 -1.3372643469563536e-08 -5.137004818654453e-09 -5.12728646689449e-08 -1.9486958528506238e-08 -3.998921180068404e-08 2.697080188450092e-09 -1.7469094697839773e-08 -1.4264942621799816e-08 -7.30027026848795e-08 -8.36193911260129e-09 -5.043265735085207e-09 6.769153416612801e-07
PC.PC8 2.3353247590655811e-07 9.894266635200176e-09 1.4423960713442826e-07 7.823153349042589e-08 -6.015560089121579e-08 -3.795929954558687e-08 3.6435905103088524e-08 -5.634118601532738e-08 -8.759025076683168e-08 7.90770565900529e-08 -6.78705412997138e-08 -2.8932672351619304e-08 1.793721780923308e-07 2.9205441844406346e-06 -2.3384136294845555e-08 8.603316630283067e-09 -2.7413023570187514e-08 -7.163262026855621e-09 2.2310511121239518e-08 -2.8282804010607962e-08 5.900120507200081e-09 1.3826348761703943e-07 -9.31525458696355e-08 -4.4616451165765313e-07 1.967346599242849e-08 -8.635060278540793e-08 9.977555587678091e-08
PC.PC9 1.3585401804585078e-08 1.375264756651346e-08 -4.106602437891097e-07 2.6507792633887224e-07 1.9160462072749164e-07 -7.411464292199516e-08 6.323433823354857e-08 2.9749198190004714e-08 9.642031757282505e-09 2.7093251264987333e-08 -2.762867414255883e-08 -1.2477564948445422e-07 3.111793653905908e-08 -2.338413629484514e-08 2.8393070399034046e-06 1.4939674803453635e-07 1.7859037888170196e-07 -2.634768929383561e-09 -1.9927636258979572e-07 1.5905935451436585e-08 -8.028030025335498e-08 5.704455765596213e-09 -5.635466661528896e-09 9.229112024311628e-09 7.426181827503611e-09 -6.774328068916239e-08 -8.093774324142833e-09
PC.PC10 5.400369774077728e-07 4.9434090104566945e-08 -2.7793259828023074e-07 1.1498363403766344e-06 -6.04365285761928e-08 -4.0338436298499074e-07 -6.647066910566607e-09 9.323846040218837e-09 2.2570586030106087e-08 -1.7398372138200662e-08 2.67377758298733e-08 2.0478176488526233e-09 -1.3372643469563293e-08 8.603316630283404e-09 1.4939674803453683e-07 3.5257444922039134e-06 -2.0808287856167938e-07 1.3172415935581203e-07 4.9893558426205904e-08 5.688500035559586e-08 -3.0540618571612514e-08 -4.5789792656793624e-08 3.118369693793088e-08 2.7497614928395646e-07 4.608972326334852e-08 9.761181830180126e-08 5.380308513007081e-08
PC.PC11 9.275730271062542e-07 6.708046653901827e-08 1.5970298583749047e-07 -6.565238217581724e-07 1.5862490329348654e-07 2.975631800643161e-07 -2.8568987881742433e-08 -2.9512136835445292e-08 -1.042202937476583e-09 -3.680811104820466e-08 2.1833402606040404e-08 -2.584761237040643e-08 -5.137004818654803e-09 -2.7413023570187573e-08 1.785903788817017e-07 -2.0808287856167822e-07 2.7621692094928927e-06 -5.580699278038742e-08 2.388849076350043e-08 7.648974539552775e-08 3.7006666564766683e-10 1.5082266026572833e-07 6.673001394894767e-08 -7.986848320314458e-08 5.000069954725277e-08 -2.93459498506727e-08 -2.599105673006317e-07
PC.PC12 -3.791612253321742e-09 -3.412770594801745e-09 -1.44231383644049e-07 -2.3872165306940167e-07 8.515784196371836e-08 7.449855014571548e-08 1.475050820374181e-08 -2.6131419407656346e-08 -2.583060578179634e-08 6.710054085839195e-08 2.8858152864453475e-08 -2.514545590167389e-08 -5.1272864668945145e-08 -7.163262026855621e-09 -2.634768929383715e-09 1.317241593558121e-07 -5.580699278038721e-08 2.7336221432185573e-06 3.480154494448708e-08 8.926501808756217e-08 4.974832159707233e-08 1.0596717160636714e-07 4.339288474686044e-08 1.0232589508528551e-08 1.0598434438457003e-07 -2.025979311892988e-08 3.191541303786577e-07
PC.PC13 -1.3567233287029414e-06 -5.799246660063293e-08 -9.99421511645564e-08 4.40614189404905e-07 3.833309736190825e-08 -2.1147008790887956e-07 1.2557353549733895e-10 -5.216465864991547e-08 1.094134874645862e-08 -2.8567355613060697e-08 4.840371631108035e-09 -1.546656544007821e-07 -1.9486958528505997e-08 2.2310511121239214e-08 -1.992763625897953e-07 4.989355842620617e-08 2.3888490763500225e-08 3.480154494448728e-08 2.7766609143656806e-06 2.0936169947530002e-08 -7.616466492224375e-09 -1.7279933052454214e-08 4.37874110016066e-08 1.572629486827119e-08 -5.773208261863371e-09 -5.9017749524280375e-08 2.683044128744817e-07
PC.PC14 -1.4488696338768864e-07 1.3432937270847836e-08 4.5937935241158835e-07 5.817181839405959e-09 -2.6019676629708557e-07 -7.709078648938282e-08 -3.939932271377147e-08 -3.191063309459114e-08 4.7851315042110475e-08 6.295844770274351e-08 -3.2572717570511884e-08 2.706701433085067e-08 -3.998921180068358e-08 -2.8282804010607893e-08 1.59059354514366e-08 5.688500035559578e-08 7.64897453955291e-08 8.926501808756415e-08 2.0936169947529777e-08 2.187734117468727e-06 -1.1669897585376317e-08 -2.4112071050423973e-07 -4.3367892220606945e-08 6.99418854190777e-08 1.295456208296171e-08 -8.149850801997711e-08 9.925146009257966e-08
PC.PC15 -7.506761204063533e-07 2.1687739601063374e-09 -2.464001574114386e-07 -5.260043984559102e-07 9.197137393028954e-08 1.4197620215953362e-07 5.0518914428571774e-08 -3.612293162958303e-08 4.927653213244135e-08 -5.088817017316096e-09 -5.104067361403002e-09 2.3982605456102943e-08 2.6970801884499464e-09 5.900120507199988e-09 -8.028030025335566e-08 -3.054061857161278e-08 3.700666656477398e-10 4.974832159707193e-08 -7.61646649222397e-09 -1.1669897585381125e-08 2.5098790651112917e-06 -3.805300935210096e-08 -9.257028729402896e-08 -9.10376496903642e-08 -5.540505259912775e-08 1.5917774296812667e-07 6.512838059731058e-07
PC.PC16 3.2525581120034853e-07 -7.351075046987023e-09 -5.163315813529048e-07 -1.0270697476446414e-07 -1.6805010881909467e-07 -2.7673175317231324e-08 1.2092196268930236e-08 6.091409404900767e-08 -6.594574502050774e-08 4.681369944240465e-08 -1.3816577064405822e-08 -3.743040865231382e-08 -1.7469094697840322e-08 1.3826348761703938e-07 5.704455765596141e-09 -4.5789792656793233e-08 1.508226602657285e-07 1.0596717160636702e-07 -1.7279933052453364e-08 -2.411207105042403e-07 -3.805300935210153e-08 2.662393327109584e-06 1.0983527015854398e-07 -3.0178137803396445e-07 4.141819306790988e-08 -1.7723930769997185e-08 -1.004781909920999e-07
PC.PC17 1.9273618085952595e-06 1.4855502375247685e-08 -2.0784255990716027e-07 -8.436764012030415e-07 1.1790230142560721e-07 2.16032661156905e-07 1.146324152225045e-08 1.647403869956944e-08 4.4201757355041457e-10 -4.4971977817281434e-09 -6.54583107071261e-09 -9.27479039978589e-08 -1.4264942621799851e-08 -9.315254586963524e-08 -5.635466661528818e-09 3.118369693793103e-08 6.673001394894766e-08 4.339288474686056e-08 4.3787411001606784e-08 -4.336789222060691e-08 -9.257028729402901e-08 1.0983527015854357e-07 3.1756340785417562e-06 1.0136974361324416e-07 -1.6970071164845561e-09 -1.4306406657563558e-08 -3.100706342409306e-07
PC.PC18 2.613421144559465e-07 -6.704743125137804e-10 -2.4846964933223676e-07 -9.742856552203313e-10 -2.402433614970714e-08 -9.44731878644783e-08 -1.423997995405077e-08 1.3372607927821858e-08 6.213801174327003e-08 -8.817546984914634e-09 1.2763182438878512e-07 -1.9062165549131647e-08 -7.300270268487893e-08 -4.461645116576524e-07 9.229112024311811e-09 2.749761492839548e-07 -7.98684832031443e-08 1.0232589508528635e-08 1.572629486827105e-08 6.99418854190782e-08 -9.103764969036366e-08 -3.017813780339639e-07 1.0136974361324343e-07 3.48212146271759e-06 -7.232079222600668e-08 2.3016547608457177e-07 -5.65384484352757e-07
PC.PC19 2.113871326658573e-07 1.5671179965797332e-08 -4.3098088765048965e-07 1.325753436357124e-07 -3.479897362988668e-08 -1.033527903569055e-07 -1.0670347585870924e-08 9.159680714534685e-09 2.4344676268785967e-08 -1.0948887549135051e-08 1.494214105565719e-08 -3.962245934834271e-08 -8.361939112601218e-09 1.9673465992428723e-08 7.426181827503579e-09 4.60897232633486e-08 5.000069954725285e-08 1.0598434438456947e-07 -5.77320826186335e-09 1.2954562082961421e-08 -5.5405052599127026e-08 4.14181930679096e-08 -1.697007116484213e-09 -7.232079222600728e-08 2.7833520557343663e-06 1.5497202205673182e-07 1.3963926101507662e-07
PC.PC20 -1.1301602633162488e-06 -3.6808096869900215e-08 4.001649942581077e-07 2.495274970059202e-07 -2.19099316122699e-08 -1.4941352254349337e-08 -2.8568085530161108e-09 1.8926092617640325e-08 -8.371720728710403e-09 -5.227577713702317e-08 7.838012710765586e-08 -1.7445106827685175e-08 -5.04326573508536e-09 -8.635060278540814e-08 -6.774328068916256e-08 9.761181830180246e-08 -2.934594985067285e-08 -2.0259793118930047e-08 -5.901774952428054e-08 -8.149850801997724e-08 1.5917774296812786e-07 -1.7723930769997125e-08 -1.4306406657563522e-08 2.3016547608457193e-07 1.5497202205673143e-07 2.477703910873094e-06 1.653341099895221e-08
proband -5.9074707292958316e-08 -1.7287620849070107e-07 -3.2856919330363864e-06 -3.865664020436348e-06 3.6537682078432133e-06 2.0377320776508595e-06 3.4122166482848127e-07 3.1930028038362574e-07 -1.0062359194755655e-06 -6.014453051412925e-07 -4.935387853221877e-07 4.874276959600982e-08 6.769153416612794e-07 9.977555587678158e-08 -8.093774324143525e-09 5.380308513007099e-08 -2.5991056730063173e-07 3.1915413037865665e-07 2.683044128744816e-07 9.925146009257793e-08 6.512838059731064e-07 -1.0047819099210058e-07 -3.100706342409307e-07 -5.653844843527541e-07 1.3963926101507728e-07 1.653341099895207e-08 0.0001534179425057991
