 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
intercept 0.0011578234762013512 3.912476190359856e-05 -0.00018145637295916464 0.0002000984280355754 0.00048659074039549005 0.00018256305523430878 -7.910054420576917e-07 6.893278556117505e-06 -3.5401259925209435e-06 4.134756549618476e-06 -1.8436112960744842e-06 -4.56774731863042e-06 -1.750967104908825e-06 7.18803399939527e-07 -3.5802449429432904e-07 3.0854980917624616e-07 -4.675596864992697e-06 -5.515871628237211e-07 -6.206929082525155e-06 -1.7275371654540164e-06 -2.7779715354506144e-06 1.4013243677154748e-06 2.0390622051031713e-06 1.0656070007331165e-06 -1.11547877436185e-06 1.3642810297687969e-06 -1.9014247514521432e-06 -3.1864096312305446e-07 8.4395829330044e-06 6.77874420266924e-06
AGE 3.912476190359857e-05 2.6071096808079305e-06 -1.6084105427775574e-06 -2.1298050337200787e-06 -2.735730085142127e-06 -9.052328407835282e-07 -8.08960345190431e-08 3.0268960077765825e-07 -8.427331167075715e-08 1.5163482757181797e-07 6.240592305029709e-08 -9.895449199001569e-08 -1.4881271726840754e-07 1.3884225912367167e-08 -1.6380765801105445e-08 1.434816868768038e-07 -9.222858179850744e-08 -8.880764541459243e-08 -2.901564241779028e-07 -3.3018274183280885e-09 -4.268734446077739e-08 -1.1853850839363562e-08 7.222899650359843e-08 5.7726818620161545e-08 -4.2431343956647386e-08 -3.6139984270627304e-08 -6.813433475930347e-07 2.2587727210462615e-06 -2.2015851120075424e-06 -3.810870614007758e-07
sex -0.00018145637295917914 -1.60841054277749e-06 0.003554008815536904 0.0009030009227235759 -0.001560732830646942 -0.000764149486358174 -2.2850774025415817e-07 -2.04195293265925e-07 -6.31496017348656e-07 4.625406199844678e-07 2.0376665945700194e-06 5.153273424156087e-07 2.820733798367227e-07 -1.5286991542750352e-06 -1.5140623623971745e-06 1.9596972918861634e-06 2.817012387502947e-06 1.181901983117785e-06 1.109092428159943e-06 9.099048468222507e-07 -7.816322804128066e-07 -1.8049236893022236e-06 1.0093529512751578e-08 -1.5113659692640735e-06 -9.61947182914113e-07 9.91427190068292e-07 -1.8413336971693897e-05 2.529483843855603e-05 -5.246366691641022e-05 5.780274160786531e-05
age_sex 0.00020009842803555652 -2.1298050337201197e-06 0.0009030009227236965 0.002635979007178831 0.002097086990605168 0.0004156711611831598 1.5654525318923953e-06 3.247643945544405e-07 1.0149572771384816e-07 1.201487472253463e-06 -3.0079698518614133e-07 6.941637133290937e-07 -1.8055850959527365e-06 2.6418418218312775e-06 -7.742295408608777e-07 1.6041552819995344e-06 4.468164826063266e-07 -5.374511896720201e-07 3.0488699359607066e-07 -8.301553377004743e-07 -1.1297823996466226e-06 8.763449974990433e-07 -1.4663082394050202e-06 -4.731620121274784e-06 -1.6302383403173528e-07 -1.8306164733278981e-07 -2.520859921476756e-05 -2.0989960026396817e-06 2.637202680924224e-05 2.9077033980423238e-05
age2_sex 0.0004865907403954876 -2.735730085142305e-06 -0.0015607328306467992 0.0020970869906053358 0.0046962246710417445 0.0016895482355185284 8.089060017720167e-07 7.089062158059088e-07 -4.3142428327351637e-07 7.609929422452482e-07 -8.740499248154488e-07 -3.1844594862661535e-07 -1.484769469010808e-06 4.568429418579655e-06 -9.564521444634597e-07 -4.725681012715881e-06 1.3240463140509717e-06 -5.557219563462349e-07 -7.834688787256917e-07 -1.139333133024827e-06 6.367444699705115e-08 3.3974277494198095e-06 -1.1242539049875688e-07 -4.942920500304591e-06 -1.347113897563108e-06 -3.376414418416507e-07 -4.9718882723262115e-06 2.3274348398465708e-05 8.341593992667817e-05 -0.00010129376542691856
age3_sex 0.0001825630552343125 -9.052328407835857e-07 -0.0007641494863581356 0.00041567116118323787 0.0016895482355185675 0.000705410069869316 6.441095224033457e-09 4.998151099863814e-07 -2.566667885679551e-07 2.446343179621171e-07 -2.3512366201590508e-07 -3.5877692892956393e-07 -2.3736847408963717e-07 1.4518032060014658e-06 -5.371601913192099e-07 -2.714221433402855e-06 6.092762896769112e-07 -2.4515217107373674e-07 -5.644415356790537e-07 -3.1342921502504e-07 1.8128027851115463e-07 1.398482978357327e-06 2.8276994199675775e-07 -1.5339459901282198e-06 -8.533199490461875e-07 5.3323910797712925e-08 1.5114817219354663e-06 1.7103146689351664e-05 2.493082168400433e-05 -5.2208161534420875e-05
PC.PC1 -7.910054420577696e-07 -8.089603451904251e-08 -2.285077402538561e-07 1.5654525318921988e-06 8.089060017713652e-07 6.4410952237797545e-09 1.115292066980108e-06 -2.2417353483736433e-09 -8.669379004887359e-08 -1.1703044916273607e-07 3.5336083497471896e-08 -3.986451383948617e-09 -7.101896524663179e-08 1.0254347344429022e-07 3.985329077778101e-08 3.557271575448267e-08 4.569878682570799e-10 9.40175314698783e-08 -4.8884789951144016e-08 -7.181826404817673e-08 3.957890005168446e-08 -1.0556605433125176e-07 2.6646330170788815e-09 1.9364441989272684e-08 1.007058650754048e-07 -1.4626367188116937e-07 3.509568051960657e-07 2.1982609931549506e-07 3.1478076497916546e-07 8.014954513678337e-07
PC.PC2 6.893278556117401e-06 3.026896007776562e-07 -2.0419529326598408e-07 3.2476439455425295e-07 7.089062158057511e-07 4.998151099863469e-07 -2.241735348372133e-09 2.0704379074427036e-06 -1.2625263140621524e-07 1.470615244749577e-07 7.324953366701091e-08 -6.581511562099306e-07 -1.1419611940969472e-07 -1.2457808124187097e-07 2.0889762775906086e-08 -3.373860868163067e-08 -5.513815133924777e-07 -2.396586681258126e-07 -1.2526598639020987e-07 -1.8500702450102046e-07 -1.765714074334041e-07 7.727518766075408e-08 -5.8679449609709734e-08 -6.081418028738571e-08 -1.7990699745387404e-07 8.527796086065197e-08 -3.568575899123489e-08 3.007011428768409e-06 -1.562992567080314e-06 -8.7852699616423e-07
PC.PC3 -3.5401259925209312e-06 -8.427331167075784e-08 -6.314960173486786e-07 1.0149572771383764e-07 -4.31424283273505e-07 -2.566667885679477e-07 -8.66937900488746e-08 -1.2625263140621548e-07 2.0800520730472465e-06 4.449536864369113e-08 1.51913685896071e-07 2.4974189984729417e-07 1.4675660546787023e-07 -7.340397133908205e-08 2.0646258443350975e-09 9.021814806479238e-08 2.291787627842283e-07 -1.2255943283547734e-07 5.486409955125992e-08 1.422226126301323e-07 9.993753652040213e-08 -2.487036018069157e-08 6.822563962438285e-08 3.507053403907893e-08 -2.489077115230806e-08 -5.642228549064264e-08 -1.4531882801436855e-06 6.734340116292747e-07 -4.369361718501675e-06 5.264384705152968e-07
PC.PC4 4.134756549618456e-06 1.5163482757181776e-07 4.6254061998453994e-07 1.201487472253403e-06 7.609929422450675e-07 2.446343179620461e-07 -1.1703044916273631e-07 1.470615244749576e-07 4.449536864369037e-08 2.8161565877038856e-06 3.009284614595998e-07 -2.9528951797879473e-07 1.87646145359646e-07 1.12615661618304e-07 1.0072635914851245e-07 -1.507310107183768e-08 -1.9511233549758893e-07 2.5447497845287678e-08 -6.595662836452277e-08 7.088435687432624e-08 -3.179527034954153e-08 1.2326510687576343e-07 -4.637137014622342e-08 -1.5839332485594873e-07 1.7753388191691637e-07 1.8097218744211854e-07 -1.2833010449805222e-06 1.1795600604671218e-07 -2.435210888166485e-06 1.4244501593791519e-06
