 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
intercept 0.0013991779708401335 5.087579406105983e-05 -0.00025649779326579914 0.0002162546062214893 0.0006468848495769867 0.00026313201957928217 -8.656240848863689e-07 8.122761588605482e-06 -1.9185735394964418e-06 4.953640768284607e-06 -1.5423578132584029e-06 -5.698219156770758e-06 -1.856941096437339e-06 6.800144842036922e-07 -1.4424801045737877e-06 1.3293123468049494e-06 -5.90894374865904e-06 -6.942067157535668e-07 -6.759252394812719e-06 -1.9751983923235728e-06 -3.1794832967215444e-06 1.4378597872141712e-06 1.5277590876539263e-06 6.703175195624826e-07 -1.511496833385598e-06 2.1189929879295785e-06 6.006452883292084e-06 -9.263755127896642e-07 -5.707079072682436e-06 1.863025448288551e-05
AGE 5.0875794061059687e-05 3.5082965968925778e-06 -5.952036165755322e-07 -2.6876875088755963e-06 -4.921811094222319e-06 -1.6670545532221214e-06 -1.5707730269375705e-07 4.644132023569408e-07 -8.186011890658391e-08 2.3037570607538134e-07 8.474556610277962e-08 -1.286101179325637e-07 -1.7373048440257217e-07 2.3766107556398017e-09 -1.0220850681374932e-07 2.7300471486829784e-07 -1.83188780628859e-07 -1.2518367037234442e-07 -3.575222308293919e-07 -2.4149510990705842e-08 -2.9370271363003098e-08 -5.460305271959068e-08 6.359755423214496e-08 3.705327239602426e-08 -5.2313042495291154e-08 -3.828061308326093e-08 -1.2004998215258157e-06 3.050233075920686e-06 -3.246044604409647e-06 3.055170642710971e-10
sex -0.0002564977932657679 -5.952036165759128e-07 0.004644117255447761 0.0011578845459965367 -0.002380567220953012 -0.0012036507360181298 1.591224845993336e-07 9.102284732065525e-07 -5.89791359153774e-07 3.781045106656814e-07 1.9700310940880085e-06 1.167779079630815e-06 1.6593895228458118e-07 -1.5097436273768004e-06 -1.5853403555975498e-06 3.6333842599581886e-06 2.4330418465562353e-06 3.0235410978007217e-07 1.4776555815077225e-06 1.2840769062744277e-06 -4.837192173927296e-07 -2.9057847648151756e-06 1.390802726364814e-06 -2.7660116860901443e-06 -1.1571207003322004e-06 3.975644686205622e-07 -2.7173575909504634e-05 2.7503081499004208e-05 -4.674610417170996e-05 6.24449731841271e-05
age_sex 0.00021625460622152026 -2.687687508875649e-06 0.0011578845459963372 0.0031417522949842894 0.0023201675220390207 0.00039919995754107685 1.9969795143895836e-06 5.124012091789637e-07 -2.738670326102746e-07 1.5662419914147568e-06 -4.3374184954121784e-07 7.408119284659313e-07 -1.8826254295283328e-06 3.7665966102919547e-06 -1.0557819509376033e-06 1.804969143011149e-06 1.7035210426657273e-07 -6.658047445245496e-07 8.091972343236657e-07 -9.71240603076413e-07 -7.622044197668625e-07 1.099806764754169e-06 -1.5611412251479835e-06 -7.130280029156871e-06 -3.1380536044295724e-07 -8.463595467866774e-07 -3.5754273574140884e-05 4.732331333187463e-06 4.024869604546461e-05 2.0955043255134787e-05
age2_sex 0.0006468848495769909 -4.921811094221908e-06 -0.0023805672209533273 0.0023201675220387414 0.0063161558893039685 0.002453243674467323 9.788108313553848e-07 -8.720565093398017e-07 2.028929913391588e-08 3.192655734153505e-07 -7.077612577679966e-07 -1.3169942533246322e-06 -1.4890374754751539e-06 5.395288683227262e-06 -1.4052059781095432e-06 -7.43224132249406e-06 2.795286659808099e-06 3.8661475953070076e-07 -1.2756038851123307e-06 -1.8372542282832768e-06 -2.881778660882576e-07 5.004219616989335e-06 -1.8272133094477725e-06 -5.06433582008945e-06 -9.714313097198206e-07 4.944444738820371e-07 9.895867624578381e-06 4.041511491068919e-05 5.595115492918816e-05 -0.00011106919853004392
age3_sex 0.00026313201957927826 -1.6670545532219204e-06 -0.0012036507360182389 0.00039919995754094425 0.002453243674467269 0.0011098585502242208 -4.419702842654959e-08 -3.3363547186757646e-07 1.674042465710939e-07 -1.780893244346721e-07 -3.942752435808251e-09 -8.955172303261913e-07 -1.629799310593455e-07 1.7142721884121137e-06 -6.73375523132967e-07 -4.24505485034796e-06 1.406605453877599e-06 -2.5665356846548004e-08 -1.1061315185594986e-06 -6.113251230863216e-07 -1.018426002030697e-07 2.0510151954174937e-06 -7.427488691938205e-07 -1.0088087843284818e-06 -6.597203633058965e-07 6.90143691503932e-07 1.1231071638282462e-05 2.5026648334104008e-05 -4.932363618014456e-06 -4.363576482590952e-05
PC.PC1 -8.656240848863078e-07 -1.5707730269375787e-07 1.5912248459892008e-07 1.9969795143895633e-06 9.788108313559523e-07 -4.4197028426277335e-08 1.2934830268251696e-06 -8.787980163960614e-09 -1.996321220645411e-08 -1.3419791781163797e-07 3.573004979949219e-08 -1.325427016025305e-08 -9.63603705385487e-08 1.248892162738238e-07 2.376221125472269e-08 2.2626022469800472e-08 3.289714616061695e-08 1.1242529962966796e-07 -5.627528293704671e-08 -7.4579820114519e-08 4.094768112287754e-08 -1.2463715937227866e-07 8.222733967735456e-09 1.266173985099734e-08 1.1733599916674144e-07 -1.906160195841024e-07 8.852206599577504e-07 5.692826714086851e-07 6.923101487206577e-07 1.1411258462453966e-07
PC.PC2 8.122761588605754e-06 4.6441320235695227e-07 9.102284732065035e-07 5.124012091790939e-07 -8.720565093395632e-07 -3.3363547186749054e-07 -8.787980163960843e-09 2.2315529830280823e-06 -8.790222843865248e-08 1.3305828708284264e-07 9.765602129928647e-08 -7.78975464573656e-07 -1.4188980000258893e-07 -1.1989431516386054e-07 3.1317629805530054e-08 5.971301811754413e-09 -6.101208264155018e-07 -2.786702908495687e-07 -1.1113290866467629e-07 -1.8755866964422082e-07 -1.9025642525742743e-07 7.445774731812196e-08 -9.39592702762817e-08 -8.254692762371912e-08 -2.1463697285230728e-07 1.061808678703281e-07 -2.774821448271233e-07 3.6472464190047535e-06 -2.455364849810852e-06 2.079859668931205e-07
PC.PC3 -1.9185735394964506e-06 -8.186011890658455e-08 -5.897913591537617e-07 -2.738670326102543e-07 2.028929913391615e-08 1.674042465710882e-07 -1.996321220645368e-08 -8.79022284386532e-08 2.526625649786082e-06 6.818647238071066e-08 1.6588730275712434e-07 2.7846898967081983e-07 1.4889480311129262e-07 -7.332613893467011e-08 -8.099412181499026e-09 1.5477878435114846e-07 2.539784300187906e-07 -9.049986379850732e-08 3.544985951912425e-08 1.595644969987364e-07 6.946807320322341e-08 -2.0653560143313914e-08 7.733900352130404e-08 6.446877810696199e-08 -3.4321447068950606e-08 -3.085569114072591e-08 -1.3850328735167373e-06 1.1826421741467936e-06 -5.648727874836719e-06 5.423865409528908e-07
PC.PC4 4.953640768284649e-06 2.303757060753828e-07 3.781045106655978e-07 1.566241991414766e-06 3.192655734154899e-07 -1.7808932443460624e-07 -1.3419791781163778e-07 1.3305828708284298e-07 6.818647238070881e-08 3.243852430621832e-06 3.5093198390476563e-07 -3.3814895745144735e-07 2.2846968485600625e-07 1.276522675761926e-07 1.0719241714027918e-07 -3.00834525114112e-08 -2.031934097004841e-07 -3.4152218388100064e-08 -6.14801389465874e-08 7.628741544998388e-08 -1.6850929542779613e-08 1.369649142175432e-07 -5.4615660364139194e-08 -1.6001352419688417e-07 2.268863138375955e-07 2.1210968520691496e-07 -1.517007432550186e-06 1.6373589318833067e-07 -2.692513796308953e-06 1.1277615256744611e-06
