 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.00030978546704149096 2.321043073576888e-06 -1.4298404881362166e-06 -1.0548626007570395e-05 4.625263741065638e-06 6.3849136473433e-06 4.795783272836081e-07 2.0203164142974043e-06 -1.080281978763871e-06 8.613495909110028e-07 2.2126615205770265e-07 5.39911920313044e-07 -1.196561821125683e-07 2.5510386325864975e-07 -5.509519124472016e-08 2.981088927643894e-07 9.474545978487359e-07 1.3866148548078727e-07 -9.063671817838546e-07 -6.427288245715389e-08 -8.309764786246294e-07 5.09135236305829e-07 1.7007452680275673e-06 -1.2550447988673507e-08 1.460236229082846e-07 -1.0023408168806669e-06 2.615693974606009e-06
AGE 2.32104307357693e-06 7.413929084469158e-07 5.641850825332751e-07 6.535277198073769e-07 -7.705357351374225e-07 -5.302086878035274e-07 -2.3319183072545693e-08 7.25085544441391e-08 -3.5028844907417534e-08 3.48171901495328e-08 8.514784650751745e-08 3.862837014969501e-08 -6.342773692815529e-08 1.646348458763169e-08 6.39555116784694e-09 5.415656651495171e-08 6.969181630369588e-08 6.3007141710499255e-09 -6.925298956371019e-08 1.6322197127401417e-08 4.616197847389976e-09 -1.91831513278117e-08 9.273505867805275e-10 -1.1055410391019557e-08 1.8865565329106034e-08 -4.1686101278488514e-08 -1.901892662030552e-07
sex -1.4298404881362999e-06 5.641850825332848e-07 0.0011443590938076884 9.0685995196972e-05 -0.0003034484483454514 -7.284071245753493e-05 2.9154490253119196e-07 3.182128098005788e-07 -3.1057736388894174e-07 5.318424330914331e-08 1.6320737980812597e-06 -8.453037108424258e-07 -3.74871895749568e-07 -1.6827065445791412e-08 -3.6686823913757066e-07 -2.6096471044771564e-07 5.053336291641792e-07 -5.731111084402443e-07 -2.7284289763720174e-07 3.9573990565962336e-07 -2.8173109940740277e-07 -8.676251307588871e-07 -1.8660974113004893e-07 -6.240730371579119e-07 -3.941523259437715e-07 6.667428572117564e-07 2.7723262283864575e-06
age_sex -1.0548626007570384e-05 6.535277198073827e-07 9.068599519697143e-05 0.0005803365973337403 -6.88873748438099e-05 -0.00020777607340696465 4.2968641757345084e-07 2.5467933209730054e-07 -8.073269056954068e-08 4.813427456367907e-07 6.704038340183032e-08 2.325489264548829e-07 -3.7271796541826306e-07 1.1086062316043872e-07 -3.2083583623521414e-09 1.0704469515430374e-06 -8.089588884350833e-07 -9.57982883915347e-08 6.817634153735887e-07 6.283921759253818e-08 -3.0206083468304356e-07 -7.036893404693914e-08 -7.315526970633049e-07 -4.704260204995609e-07 1.3673869317931125e-07 2.186046886262884e-07 -6.0783348193057426e-06
age2_sex 4.625263741065685e-06 -7.705357351374273e-07 -0.0003034484483454512 -6.888737484380971e-05 0.00017750439947742798 6.08744064215486e-05 -4.413766005161749e-09 -9.335954272794018e-08 2.2744356408821228e-07 -1.0168615030149164e-07 -5.377862971559906e-07 1.7440244573721232e-07 1.8701572809760147e-07 -8.807059069300009e-08 1.3820579464028905e-07 1.993409630752207e-08 1.1640842863527984e-07 1.9910262817497266e-07 1.9910987099542843e-07 -3.430343394189863e-07 6.082730261516673e-08 -6.228838218777025e-08 2.6591604764814357e-07 1.5704902373364782e-07 1.1604538617468965e-07 1.5742098161868444e-08 2.9077078636863952e-06
age3_sex 6.384913647343345e-06 -5.302086878035295e-07 -7.28407124575344e-05 -0.00020777607340696417 6.0874406421548475e-05 0.00010671302836656992 -8.633771710495204e-08 -5.156441371093432e-08 1.727103091988783e-07 -1.433809461670589e-07 -1.44234206477469e-07 -5.397607770929351e-08 1.4867837194768767e-07 6.910883528682846e-09 -5.0931205880965104e-08 -3.542336769581141e-07 3.41684012823984e-07 -4.0400565951972e-08 -3.036943424166525e-07 -1.4741148999542488e-07 7.933759713414264e-08 -6.484306382196977e-08 8.177967104921963e-08 9.372070567350125e-08 -9.070674804588228e-08 6.029743664239061e-08 2.3251815632866e-06
PC.PC1 4.795783272836005e-07 -2.331918307254577e-08 2.9154490253118905e-07 4.296864175734511e-07 -4.4137660051610575e-09 -8.633771710495234e-08 5.865834254018455e-07 -2.558151548764883e-08 3.0607070658689823e-10 -1.1489843796916738e-08 -4.7865553832866195e-08 8.409089144079204e-09 -5.5685963314970984e-09 2.8707830264852985e-08 4.959212272621534e-08 -1.4041433834023102e-08 -1.6682402200314705e-08 2.033165235533482e-08 -6.306883918493957e-09 -2.958278695150639e-08 4.399456258805074e-08 9.896883244781588e-09 1.3532157535955414e-08 -2.5087464088203828e-08 -1.1614473194292774e-08 -6.060401797456152e-09 5.503924612054612e-07
PC.PC2 2.020316414297429e-06 7.250855444413923e-08 3.1821280980058083e-07 2.546793320973036e-07 -9.335954272794095e-08 -5.156441371093567e-08 -2.5581515487648092e-08 1.1271360363394174e-06 -5.239533212410187e-08 5.83131275736344e-08 2.0037328277669796e-08 -1.1499911709176914e-08 -4.945744135311876e-09 -3.0262517928358466e-08 2.194186253940999e-08 2.352859487376722e-08 3.1218194072220156e-09 -2.1454370301738173e-08 -2.0400621658512828e-08 -1.3277255629344938e-08 -3.2328885802200087e-08 6.0433095424707e-08 1.269305358404745e-08 1.4143988080624848e-08 6.5823359228074906e-09 1.4642963414561142e-08 4.177631649442609e-07
PC.PC3 -1.0802819787638502e-06 -3.5028844907417223e-08 -3.105773638889417e-07 -8.073269056954436e-08 2.2744356408821254e-07 1.7271030919887984e-07 3.060707065869533e-10 -5.2395332124101444e-08 1.2671940794825965e-06 1.3629485015404475e-08 6.501471518209545e-08 6.26882909478838e-09 2.3659126651876613e-08 -6.627813514165997e-08 3.667675606942075e-09 4.4737182475961674e-08 -1.0314043956700431e-08 -1.6965855838223267e-08 -2.40580317092203e-09 4.1114008320722053e-08 2.8225426510020626e-08 -5.8643425186261596e-08 -4.324740525181068e-09 7.740418794676374e-08 2.424200726810451e-08 6.842699309424448e-09 -1.1794161034375158e-06
PC.PC4 8.613495909110059e-07 3.4817190149532895e-08 5.318424330914283e-08 4.813427456367943e-07 -1.0168615030149222e-07 -1.433809461670605e-07 -1.1489843796916911e-08 5.8313127573634096e-08 1.3629485015404546e-08 1.6129689556459187e-06 1.1962314776803843e-07 -5.160750105520236e-08 1.3309564294052025e-07 5.683684638338248e-08 1.1082530689680081e-08 -2.610075080101992e-08 -1.6584128580101607e-08 5.50431184626889e-08 -2.577307425104466e-08 5.01545251198972e-08 2.9392853264094085e-09 4.60982502398536e-08 -7.684277710289073e-09 8.649798130941065e-09 -2.9756315002236916e-09 -5.062677102571196e-08 -7.18854340676924e-07
PC.PC5 2.2126615205770606e-07 8.514784650751737e-08 1.6320737980812527e-06 6.704038340182699e-08 -5.377862971559892e-07 -1.4423420647746832e-07 -4.786555383286622e-08 2.0037328277669617e-08 6.501471518209536e-08 1.1962314776803938e-07 2.099656961926257e-06 4.824199815796337e-08 1.628883694973295e-08 -6.098432916563665e-08 -1.7332544945291906e-08 3.495859950763638e-08 1.572990016806416e-08 3.3066464469104954e-08 -4.827422160525918e-09 -2.4024437975904293e-08 -2.469435425365304e-08 -3.582725953098097e-08 -3.479049573306719e-09 1.4018345446629234e-07 2.3095127819798204e-08 9.039954605249313e-08 -6.437865159461324e-07
PC.PC6 5.399119203130446e-07 3.8628370149695047e-08 -8.453037108424273e-07 2.3254892645488236e-07 1.7440244573721248e-07 -5.397607770929327e-08 8.409089144079224e-09 -1.1499911709176633e-08 6.26882909478837e-09 -5.160750105520226e-08 4.8241998157963044e-08 2.312762573955712e-06 1.005341634817397e-07 -3.561329903942982e-08 -1.0183600227127624e-07 1.4648967717192675e-08 2.13272815935317e-09 -4.004457688215517e-09 -6.600980851704383e-08 2.634134003352313e-08 3.5180618768329643e-08 -6.331127444727362e-08 -1.3231434801505802e-07 -4.428571527753109e-09 -2.1793290570283423e-08 -1.4037885132605582e-08 -8.678699882631332e-08
PC.PC7 -1.1965618211256114e-07 -6.342773692815521e-08 -3.748718957495683e-07 -3.7271796541825867e-07 1.8701572809760192e-07 1.4867837194768685e-07 -5.568596331496895e-09 -4.9457441353115524e-09 2.3659126651876706e-08 1.330956429405213e-07 1.6288836949732623e-08 1.0053416348174016e-07 1.868944268497026e-06 1.7815812864916334e-07 2.734546047962491e-08 -3.8328228184324525e-08 -1.2634249031523205e-08 -7.886295278472313e-08 -1.7611251132900303e-09 1.6099824091695435e-08 2.1399481217889087e-08 -3.0797235114951173e-09 -2.992318837940067e-08 -5.5517565919708194e-08 -6.4800494944538806e-09 -1.328546197532805e-08 7.570368137119862e-07
PC.PC8 2.5510386325865616e-07 1.6463484587632024e-08 -1.6827065445787544e-08 1.1086062316044318e-07 -8.807059069300226e-08 6.9108835286809135e-09 2.8707830264852856e-08 -3.026251792835857e-08 -6.627813514165995e-08 5.6836846383383164e-08 -6.098432916563561e-08 -3.561329903942903e-08 1.7815812864916326e-07 2.6303160783961994e-06 -4.256108806356237e-08 -1.1752516086429345e-07 1.0536266382392258e-08 -5.88908260648497e-08 1.1788575737926937e-08 -4.528052231625477e-08 -4.3649580212627235e-09 1.230196358166447e-07 -1.0069116321344081e-07 -4.595918068509228e-07 1.2104321353403714e-08 -8.677427205515786e-08 7.101298890580622e-08
PC.PC9 -5.509519124472147e-08 6.395551167846734e-09 -3.6686823913757453e-07 -3.208358362358215e-09 1.382057946402918e-07 -5.0931205880962053e-08 4.959212272621556e-08 2.194186253940956e-08 3.667675606942168e-09 1.1082530689679787e-08 -1.7332544945291824e-08 -1.0183600227127617e-07 2.734546047962439e-08 -4.256108806356294e-08 2.489384702976941e-06 9.47497654538363e-08 1.2511452633862585e-07 -5.499486196392294e-10 -1.9407503905389438e-07 2.6461394500823015e-09 -4.362047955983658e-08 -1.9041867337613042e-08 5.974410026308587e-08 2.124645532785896e-09 1.5514304035418805e-08 -5.334844976505445e-08 -7.011158332417451e-08
PC.PC10 2.981088927643909e-07 5.4156566514951616e-08 -2.609647104477161e-07 1.0704469515430393e-06 1.9934096307522398e-08 -3.542336769581152e-07 -1.4041433834022997e-08 2.3528594873767115e-08 4.473718247596175e-08 -2.6100750801019824e-08 3.4958599507635915e-08 1.4648967717192538e-08 -3.832822818432438e-08 -1.1752516086429472e-07 9.4749765453837e-08 3.108839447119514e-06 -1.7957701389223932e-07 8.374487101069782e-08 7.086984172535666e-08 6.613612163279783e-08 -5.1831625403204485e-08 -6.341970285728939e-08 2.9168194034612108e-08 3.273448155151982e-07 3.7654259622714324e-08 1.0148781582135417e-07 1.804143157954895e-07
PC.PC11 9.474545978487351e-07 6.969181630369573e-08 5.053336291641805e-07 -8.089588884350846e-07 1.164084286352797e-07 3.416840128239851e-07 -1.6682402200314768e-08 3.121819407221964e-09 -1.0314043956700388e-08 -1.6584128580101673e-08 1.5729900168064304e-08 2.1327281593532846e-09 -1.2634249031523482e-08 1.0536266382391407e-08 1.251145263386253e-07 -1.7957701389223988e-07 2.414661367338271e-06 -9.06914466570252e-08 1.4261549793728577e-08 3.8504228972458084e-08 -5.25267750376824e-08 1.7551648646569648e-07 8.277030347908254e-08 -1.057652566437272e-07 5.557002634381713e-08 -1.986317633747652e-08 -1.7968837847284045e-07
PC.PC12 1.3866148548078592e-07 6.300714171049809e-09 -5.731111084402495e-07 -9.579828839155263e-08 1.9910262817497758e-07 -4.0400565951963636e-08 2.0331652355334902e-08 -2.1454370301738272e-08 -1.6965855838223217e-08 5.504311846268872e-08 3.3066464469104385e-08 -4.0044576882156055e-09 -7.886295278472377e-08 -5.8890826064850436e-08 -5.499486196391359e-10 8.374487101069749e-08 -9.069144665702598e-08 2.6382463538402545e-06 -2.8347499172087858e-08 7.482699894488334e-08 5.8338708429357325e-08 1.5411534096332834e-07 -5.722362462682096e-10 2.8412988190988305e-08 1.359581283140999e-07 1.3292267510730579e-08 4.499592450068718e-07
PC.PC13 -9.06367181783854e-07 -6.925298956370999e-08 -2.728428976372067e-07 6.817634153735851e-07 1.9910987099543086e-07 -3.0369434241665155e-07 -6.306883918493998e-09 -2.0400621658512732e-08 -2.4058031709219536e-09 -2.5773074251044468e-08 -4.827422160525725e-09 -6.600980851704428e-08 -1.7611251132897788e-09 1.1788575737927132e-08 -1.940750390538942e-07 7.086984172535707e-08 1.4261549793728665e-08 -2.8347499172087187e-08 2.364756474103081e-06 2.2680555412244398e-08 -2.104013557346414e-08 -1.4992407265850343e-08 2.505929874510899e-08 1.9875914030777645e-08 -5.703948005699017e-08 -4.866694047210514e-08 3.0249590911920157e-07
PC.PC14 -6.427288245714988e-08 1.632219712740134e-08 3.9573990565962e-07 6.283921759253566e-08 -3.430343394189848e-07 -1.4741148999542396e-07 -2.958278695150645e-08 -1.3277255629345088e-08 4.111400832072221e-08 5.0154525119896315e-08 -2.402443797590469e-08 2.6341340033523245e-08 1.6099824091695845e-08 -4.528052231625498e-08 2.646139450082651e-09 6.613612163279802e-08 3.850422897245489e-08 7.482699894488351e-08 2.2680555412244484e-08 1.9379438180759806e-06 -2.6123752051952653e-08 -1.9827091454159996e-07 -4.2006048698199426e-08 9.510243853250141e-08 3.797705640963188e-09 -5.764313546703757e-08 1.072870240988267e-07
PC.PC15 -8.309764786246279e-07 4.616197847390114e-09 -2.8173109940740494e-07 -3.02060834683048e-07 6.082730261516773e-08 7.93375971341448e-08 4.399456258805074e-08 -3.232888580220044e-08 2.8225426510020745e-08 2.939285326409459e-09 -2.4694354253653085e-08 3.518061876832941e-08 2.1399481217889044e-08 -4.364958021262891e-09 -4.362047955983665e-08 -5.1831625403205146e-08 -5.2526775037682116e-08 5.833870842935721e-08 -2.1040135573464137e-08 -2.612375205195272e-08 2.2348994044187883e-06 -4.687009496410907e-08 -1.0995833427123226e-07 -9.961915540727656e-08 -2.7792549290023182e-08 8.877741359566172e-08 7.413190926004005e-07
