 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
PC10 -4.647344955860447e-07 1.0868104647005138e-07 -1.1586131151395516e-07 -6.882914395264427e-08 2.451168553626201e-07 -5.40409383008876e-07 3.703783185421005e-08 -1.2455501464663934e-07 5.547369681906993e-07 -3.0880899459697445e-07 1.2169107991579429e-05 -5.143068190284092e-07 6.356396375582291e-08 -3.1120645365782833e-07 -1.5186040545649112e-07 2.3290668456741218e-07 -3.9531937915658743e-07 1.9668860563541303e-07 2.756035965179858e-07 4.959075152483419e-07 2.0269229769361695e-07 1.7590924358739625e-06 5.892502127384944e-06 8.743290768226183e-08 6.114298311130072e-07 -1.107027138723092e-06 -6.129081938500751e-06 2.4972816817457737e-06
PC11 1.7485276391375578e-06 1.6768271418861424e-08 -1.560246339254169e-07 4.5135650983506234e-07 2.9143312294736205e-07 -9.494600005459571e-07 -3.2846334853720305e-07 1.4553196204245912e-06 -8.424206586870256e-07 6.584121618594617e-08 -5.143068190284091e-07 1.145026455583118e-05 -2.8576242151048538e-08 -2.1449541655011658e-07 -5.867236078839317e-07 4.2023265504354156e-07 2.0447186669541516e-07 4.2104532007295335e-07 -6.356241057147156e-08 6.333534829055206e-07 1.5314224764799697e-07 -3.5261911273725555e-06 5.841671969892502e-06 -8.42364298068611e-08 -3.671468227211339e-06 -6.573022165521608e-06 1.1286957039707762e-05 -4.318181720541456e-06
PC12 -5.006441740289511e-07 5.585431041357019e-07 -1.2590519517553857e-06 8.554344847149827e-08 -9.741036761968427e-07 4.315795233501869e-07 -1.5494672135422686e-07 3.4811365669391585e-07 2.3266188187806703e-07 -4.1321694761831847e-07 6.356396375582293e-08 -2.8576242151048426e-08 1.0452003432124579e-05 1.859991036303948e-07 7.9031504485402e-08 -3.1386049184122936e-07 2.0236841076259648e-07 -7.132675741917996e-08 -1.1111120001035251e-07 -1.3296683866937136e-07 -5.60493180130972e-07 -3.255460986375949e-06 8.34328774124175e-06 1.4415000808278404e-06 1.1809326969403722e-06 -5.000849056263962e-06 -4.42631710261793e-06 2.7511594405335057e-06
PC13 -8.057862029727359e-07 -1.056976975915629e-07 8.603832883871213e-07 -7.509146014501444e-07 -5.755136545280899e-07 -1.428389355586626e-06 -2.2076896815339375e-07 3.271730988781248e-07 -1.4424329232377522e-07 1.3454709886831945e-07 -3.112064536578282e-07 -2.1449541655011673e-07 1.8599910363039493e-07 1.0857966758971516e-05 -6.185446222446479e-07 9.820233442160688e-07 2.98137957611729e-07 1.0767416615631368e-07 -1.848979593584358e-07 8.04380889551533e-08 7.82976227253358e-08 -4.382660104653456e-07 -1.350009678991639e-06 -1.5786497503656312e-06 1.995608810249719e-06 -4.2539589406933185e-06 1.0801336530141731e-05 -2.1747229360745007e-06
PC14 -1.4946832727074965e-06 -2.782179945040594e-07 -1.1723791857562774e-06 1.3703467953174442e-07 4.496886977663144e-09 5.866762519635989e-07 -2.548829534101197e-07 -5.227202069740632e-07 -5.154175174819524e-07 -7.852113769647964e-07 -1.5186040545649117e-07 -5.867236078839321e-07 7.903150448540197e-08 -6.185446222446473e-07 1.1395597933885414e-05 -2.0068185644125697e-07 1.306260572404084e-07 -8.773213886414686e-08 1.853041556705356e-07 -1.585787558320209e-07 -1.006021629871902e-07 9.604806674982729e-07 -1.0427041138967224e-06 -4.130161710186073e-06 8.239142847412476e-06 -7.636731654077743e-06 1.9702965434039765e-06 -3.863728366156434e-06
PC15 -2.06079673015821e-06 -7.052863738258796e-07 3.9339173326804526e-08 -5.2676251910009634e-08 -8.695327658374806e-08 1.4126519903591197e-07 -1.9348407289276652e-07 -5.72311693135228e-07 -4.888930323868526e-07 4.1256906803976534e-07 2.3290668456741226e-07 4.202326550435412e-07 -3.138604918412296e-07 9.820233442160688e-07 -2.0068185644125687e-07 1.0785425365712335e-05 3.577271104044193e-07 -7.033509324457059e-07 -2.3933829457624184e-07 -1.5359840021910468e-07 7.175051001142986e-09 -1.1085374796741418e-06 2.8261426745367084e-06 7.711305217878885e-07 7.71438947901145e-06 -3.801320441021223e-06 -2.863387192997837e-07 -3.075818240752658e-06
PC16 4.052374281529191e-07 -6.254282386956313e-07 1.3874029319624124e-07 2.472550895194092e-07 7.790375338684973e-08 -4.142587143941211e-08 -5.5046230507538505e-08 4.84590129130483e-08 3.935219967241318e-07 2.0651737991358233e-07 -3.953193791565873e-07 2.044718666954151e-07 2.0236841076259648e-07 2.9813795761172883e-07 1.3062605724040837e-07 3.577271104044191e-07 1.1090089920492292e-05 -5.101981395274626e-07 5.525544959717259e-09 -5.567518772108717e-07 -4.791861688729429e-08 5.554009131074274e-06 -3.872039844564624e-06 -2.9162354683157735e-06 -9.492660892704258e-06 5.339095231203739e-06 1.850335641712936e-06 1.5518297347055076e-07
PC17 -2.2471702795313117e-06 2.8371221438705735e-07 6.179154391650998e-07 -4.6442847654012307e-07 1.2288615862301666e-07 7.645580290511037e-07 3.1103525100922704e-07 -5.071594074033845e-07 1.4396381011462783e-07 5.552531342983698e-07 1.9668860563541298e-07 4.2104532007295383e-07 -7.13267574191801e-08 1.0767416615631365e-07 -8.773213886414676e-08 -7.033509324457062e-07 -5.101981395274625e-07 9.896496565987632e-06 3.1611123877891443e-07 -1.803374142383976e-07 1.2046236497731052e-08 -1.5332179034937586e-06 3.1906941470238434e-06 3.1243334983571015e-06 -4.313954028948843e-06 3.4822633214289215e-07 -6.911427516066293e-06 -1.3860436897802352e-06
PC18 -6.246831995573877e-07 3.424632344329115e-08 1.1892393316531756e-07 -5.132071681014454e-07 -5.210861545537017e-07 -2.0497514293226848e-07 -4.174356756983687e-07 8.68688277671903e-08 -7.955474683409412e-07 -3.9654699456870034e-07 2.75603596517986e-07 -6.356241057147185e-08 -1.1111120001035268e-07 -1.8489795935843541e-07 1.853041556705356e-07 -2.39338294576242e-07 5.5255449597173355e-09 3.1611123877891454e-07 9.865546193463175e-06 -1.3476294132360102e-07 1.36088676976316e-09 1.2588376993630923e-06 1.7688550435641432e-06 -3.869744365130799e-07 3.993930084080895e-06 -5.2853845822247505e-06 2.5679791312678124e-06 -5.760967199948756e-06
PC19 7.972890931808589e-07 1.4822219981114048e-07 -6.508800567221871e-07 4.3141680131581636e-07 -2.1219258726852703e-07 2.8039321611584754e-07 -2.769869090258018e-07 1.086612957369998e-07 -1.7361266109639666e-07 -2.2240083696595518e-07 4.959075152483417e-07 6.33353482905521e-07 -1.3296683866937146e-07 8.043808895515291e-08 -1.5857875583202097e-07 -1.5359840021910457e-07 -5.56751877210872e-07 -1.8033741423839745e-07 -1.3476294132360076e-07 1.0215647297936236e-05 6.777402595826389e-07 4.1352277311537326e-07 1.416916284604389e-06 -2.944262311053388e-06 4.458335651731991e-06 -1.5700543175522773e-06 3.993195816674695e-06 8.438918111462906e-06
PC20 -1.0707144910433542e-06 3.6057526471146253e-08 -3.2417653785924676e-07 1.0563703670521092e-07 1.282526354448396e-07 -6.939219834927852e-08 -4.783638485641093e-07 -3.7746039839196646e-07 1.5633797153208257e-07 -7.603546794025285e-07 2.0269229769361725e-07 1.5314224764799707e-07 -5.604931801309725e-07 7.829762272533611e-08 -1.0060216298719008e-07 7.1750510011433334e-09 -4.791861688729442e-08 1.2046236497731087e-08 1.3608867697630855e-09 6.777402595826395e-07 9.299122902943877e-06 9.322693667019961e-07 3.848341087934666e-06 3.914571283411679e-06 -6.944293226450522e-06 -2.6279346774887996e-06 1.3057912594108356e-06 1.7834702151689596e-06
proband -8.326330927497839e-06 6.378643600577016e-07 3.2899904554679536e-06 5.52448430022144e-07 1.111704139390971e-06 -2.328512618045159e-06 -2.713896909896175e-06 -3.3603574275832333e-06 -5.504314703717217e-07 -1.6080651116101963e-06 1.7590924358739694e-06 -3.5261911273725496e-06 -3.2554609863759528e-06 -4.3826601046534746e-07 9.604806674982752e-07 -1.1085374796741353e-06 5.554009131074272e-06 -1.5332179034937578e-06 1.2588376993630893e-06 4.1352277311538125e-07 9.32269366701988e-07 0.0009818859465307297 -0.0005042061861982171 -0.0004927926204572883 3.632712423897258e-05 -1.4491677353232715e-05 3.371559156826377e-05 -4.6016448102963895e-05
paternal 3.799608012554968e-05 -3.422077896224474e-06 3.75468708037614e-06 1.526522253075822e-06 -3.231246935345097e-06 5.069079537309591e-06 6.002572301182665e-06 5.37831589278735e-06 5.886735319615424e-06 6.895335627171869e-07 5.892502127384938e-06 5.8416719698925e-06 8.343287741241757e-06 -1.3500096789916343e-06 -1.0427041138967106e-06 2.8261426745367e-06 -3.872039844564635e-06 3.1906941470238413e-06 1.7688550435641508e-06 1.4169162846043929e-06 3.848341087934678e-06 -0.000504206186198217 0.0014543246674318991 0.00032690598877739243 -0.000982077916337712 -0.0006777842517040256 5.974342743540569e-05 -7.272320911696183e-06
maternal 2.9239525185263946e-05 1.4227260229461048e-06 -3.0678634995756154e-06 -3.060131089088838e-06 -7.621874148646154e-07 2.177616789037017e-06 -1.5703420192451331e-06 1.4878566878111508e-06 2.0832191359993624e-06 6.27103973933895e-07 8.74329076822645e-08 -8.423642980686867e-08 1.4415000808278493e-06 -1.5786497503656297e-06 -4.130161710186079e-06 7.711305217878859e-07 -2.916235468315774e-06 3.1243334983571e-06 -3.869744365130809e-07 -2.9442623110533932e-06 3.9145712834116935e-06 -0.0004927926204572886 0.00032690598877739286 0.0014787811848739792 0.00016869991623344634 -0.0001891370015078583 -0.0009248792467024671 -0.0007248248200506208
gpp -5.847064875221381e-05 3.7635370159840526e-07 -5.895627220666559e-06 6.228349341810326e-07 5.174380974196432e-07 1.5598481837423476e-06 -1.80575536844805e-05 -1.43688757540186e-05 -5.000268562573851e-06 8.634963487694942e-06 6.11429831113008e-07 -3.6714682272113563e-06 1.1809326969403646e-06 1.9956088102497176e-06 8.23914284741246e-06 7.714389479011455e-06 -9.492660892704248e-06 -4.313954028948844e-06 3.993930084080887e-06 4.458335651731973e-06 -6.944293226450535e-06 3.6327124238972015e-05 -0.0009820779163377128 0.00016869991623344748 0.003548318846747679 -0.0009754298101453074 -0.0007176862178045897 -0.0003137796389645783
gpm -1.1587996207146763e-05 3.5086524256116993e-06 -1.0075577621190839e-05 -6.208078458484409e-06 -2.5358326457388047e-06 -7.635480310808168e-06 5.601965598830707e-06 4.417643121260201e-06 -3.2311845057634724e-06 -1.0981347485272612e-05 -1.1070271387230908e-06 -6.573022165521592e-06 -5.000849056263964e-06 -4.253958940693323e-06 -7.636731654077752e-06 -3.8013204410212227e-06 5.3390952312037474e-06 3.482263321428953e-07 -5.285384582224754e-06 -1.5700543175522744e-06 -2.6279346774888055e-06 -1.4491677353232603e-05 -0.0006777842517040249 -0.00018913700150785832 -0.000975429810145309 0.002590919158463334 7.653168559138553e-05 0.00018622164765369495
gmp 2.0369815727053797e-05 1.0925578094469942e-06 1.046213111534646e-06 -3.1572875132107043e-06 9.417483223822688e-07 -4.263478790637836e-06 1.9845911755837078e-07 1.6781319340806823e-05 -3.1438620132813367e-06 2.3646158431258117e-06 -6.129081938500757e-06 1.1286957039707767e-05 -4.426317102617938e-06 1.0801336530141726e-05 1.9702965434039753e-06 -2.863387192997893e-07 1.8503356417129289e-06 -6.911427516066289e-06 2.567979131267812e-06 3.993195816674692e-06 1.305791259410827e-06 3.371559156826348e-05 5.974342743540518e-05 -0.0009248792467024666 -0.0007176862178045881 7.653168559138546e-05 0.00339947488241647 -0.0009513912404801228
gmm -6.934467142812087e-05 -4.980401435950886e-06 7.82652025825748e-06 3.7352490071715433e-07 -3.7156827660608888e-06 -6.994747255474663e-06 6.15331888555215e-07 -7.520480093632676e-06 2.639351546276521e-06 -6.281902706677635e-06 2.497281681745769e-06 -4.3181817205414524e-06 2.7511594405335057e-06 -2.1747229360744973e-06 -3.863728366156421e-06 -3.075818240752655e-06 1.551829734705568e-07 -1.3860436897802365e-06 -5.7609671999487545e-06 8.43891811146292e-06 1.7834702151689498e-06 -4.601644810296337e-05 -7.272320911696412e-06 -0.0007248248200506222 -0.0003137796389645782 0.00018622164765369492 -0.0009513912404801221 0.002794400849714503
