 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
PC10 -7.702347220186158e-07 1.3153433976862676e-07 4.4022509878463616e-08 -1.1085950433337602e-07 3.041160834142643e-07 -5.245482520862912e-07 1.2667983623293177e-08 -1.4047193557259882e-07 5.585129051672869e-07 -2.0479419928535882e-07 1.2748098399373926e-05 -5.225416503699584e-07 6.016032773678343e-08 -3.5566242763692257e-07 -1.0732854842662324e-07 2.209927344021623e-07 -3.806653160671296e-07 1.459873864385771e-07 2.2095835529684654e-07 5.100461964102444e-07 1.8604402612655653e-07 2.2302337608747164e-06 5.472918034244938e-06 -1.530980989805132e-06
PC11 1.12402633324894e-06 1.9936995802349762e-08 -1.8444931837866132e-07 4.4866692097397757e-07 2.821473546951132e-07 -1.0377855129474934e-06 -3.138647175274616e-07 1.3907525193963726e-06 -8.730771360382457e-07 4.064810460112067e-09 -5.225416503699584e-07 1.1995220040892624e-05 -4.671670101938345e-08 -2.181122504802347e-07 -5.728348918598366e-07 4.5442961944824795e-07 2.1390814136761655e-07 4.6356022818176854e-07 -7.186576335194344e-08 6.791011515942976e-07 1.7162435434274663e-07 -4.015202526340375e-06 2.408231757247427e-06 2.1859612572793247e-06
PC12 -3.2123855264446817e-07 5.991315150431044e-07 -1.26599569443743e-06 4.158235695831424e-08 -1.0163100973595752e-06 5.163909693508324e-07 -1.295270622405301e-07 4.447270117178672e-07 2.611691903182445e-07 -4.523689203218827e-07 6.016032773678379e-08 -4.6716701019383636e-08 1.1044440829644586e-05 1.234806971654637e-07 3.10288587644977e-08 -4.058154962947868e-07 1.6215792980103355e-07 -1.3857659512114898e-07 -1.1919925377893518e-07 -1.0884478127145563e-07 -6.347988831581849e-07 -3.349646378028271e-06 6.529109920965189e-06 6.537381898818724e-07
PC13 -1.1624856215885773e-06 -1.3206461453910853e-07 8.262110250579214e-07 -7.825210606110466e-07 -6.075347167277186e-07 -1.382860881179079e-06 -1.9784184463763957e-07 2.887411126663102e-07 -1.8947985787737193e-07 1.1395452658164865e-07 -3.5566242763692294e-07 -2.181122504802345e-07 1.2348069716546381e-07 1.1386136879940529e-05 -6.309435635507496e-07 9.88683685839059e-07 2.901064194032728e-07 1.6985920098445843e-07 -2.0928581454716137e-07 4.970487201419343e-08 1.6758320244713301e-07 -6.813731607621667e-07 -2.094708098348681e-06 1.9980274360045593e-06
PC14 -1.3674482920155999e-06 -2.7799400840002486e-07 -1.145732082574637e-06 1.2143437403862656e-07 4.6252536789396605e-08 5.798914259563144e-07 -2.1906631988138043e-07 -4.777313235749196e-07 -5.249978958850684e-07 -8.958623791680209e-07 -1.0732854842662312e-07 -5.728348918598367e-07 3.102885876449789e-08 -6.309435635507498e-07 1.1880735905884038e-05 -2.0271945561033482e-07 1.1910303591938773e-07 -4.8436174586340314e-08 1.4150390132614882e-07 -1.5348301902259398e-07 -3.167845999926325e-08 7.43626617093771e-07 -1.2138046336499437e-06 -5.144718881126396e-06
PC15 -2.1196284514772493e-06 -7.284507901263011e-07 3.0600355520513935e-08 -1.0288847834704222e-08 -4.0340143188088356e-08 1.0854545337169655e-07 -1.6436496264882152e-07 -5.138726857335333e-07 -4.822125711170676e-07 4.1362343285239575e-07 2.2099273440216205e-07 4.5442961944824816e-07 -4.058154962947866e-07 9.88683685839059e-07 -2.0271945561033506e-07 1.1304228940033615e-05 4.2464148876089517e-07 -7.216453933746298e-07 -2.1575479342619922e-07 -1.4962027971054298e-07 4.467770671236895e-08 -1.2508849888745458e-06 4.214666275200411e-06 2.414058112174258e-07
PC16 7.226154468037237e-07 -6.498007090052134e-07 2.1569811267560564e-07 2.442981413570633e-07 9.707217268145516e-08 -1.1245096395921568e-07 -1.1073153749468066e-07 1.3331759191437825e-08 3.9406490989995063e-07 3.328428547931547e-07 -3.806653160671293e-07 2.1390814136761671e-07 1.6215792980103302e-07 2.9010641940327194e-07 1.1910303591938808e-07 4.246414887608949e-07 1.1566151029667421e-05 -5.001931370144402e-07 -2.665398309131887e-08 -5.945740993026325e-07 -1.0098653125145611e-07 5.525650386016539e-06 -5.11294695620435e-06 -2.306570460632983e-06
PC17 -2.2873709993445703e-06 2.875964721850043e-07 7.393110212480341e-07 -4.7463013512766975e-07 3.4682928186363114e-08 8.295661698754622e-07 3.131978429540584e-07 -5.666188754446978e-07 7.198044019290753e-08 5.389033245680284e-07 1.459873864385772e-07 4.635602281817685e-07 -1.3857659512114863e-07 1.6985920098445861e-07 -4.843617458634046e-08 -7.216453933746301e-07 -5.001931370144402e-07 1.0420621594878902e-05 3.6519808967194067e-07 -1.9033257981646453e-07 7.333690859961686e-08 -1.3117156255958766e-06 9.871609839666605e-07 -8.189418819616974e-07
PC18 -9.8237120808832e-07 4.6812045636239296e-08 1.1745034261336892e-07 -5.45540424783086e-07 -5.501197975019732e-07 -2.4013978013758137e-07 -3.502773583163509e-07 7.679716293738324e-08 -8.387503176589081e-07 -4.914358973389427e-07 2.2095835529684627e-07 -7.186576335194362e-08 -1.1919925377893524e-07 -2.09285814547161e-07 1.4150390132614885e-07 -2.157547934261992e-07 -2.6653983091318837e-08 3.651980896719405e-07 1.0361697999557065e-05 -1.768462743130617e-07 2.3340573249784946e-09 1.106024103996386e-06 1.647576924795418e-06 -1.7983553846205617e-06
PC19 1.1665877170188026e-06 1.7673991789538653e-07 -6.40883352221286e-07 4.5446221576620874e-07 -1.916998018505111e-07 2.822779652496258e-07 -2.8819787985186006e-07 1.261095800120567e-07 -1.771982844396453e-07 -2.3555830969178317e-07 5.100461964102445e-07 6.791011515942977e-07 -1.088447812714554e-07 4.970487201419349e-08 -1.5348301902259398e-07 -1.49620279710543e-07 -5.945740993026328e-07 -1.9033257981646464e-07 -1.7684627431306193e-07 1.0624715490187502e-05 6.811828552000189e-07 5.79391696659389e-07 3.2185587490717104e-06 2.216212556889384e-06
PC20 -1.3713809917566705e-06 3.606436468818511e-08 -2.862488886704506e-07 9.08232329719291e-08 9.251621876903359e-08 -6.43305740110345e-08 -5.236988117816762e-07 -4.770147331153092e-07 1.325122199606364e-07 -7.622777969897465e-07 1.8604402612655647e-07 1.7162435434274658e-07 -6.347988831581846e-07 1.6758320244713315e-07 -3.167845999926337e-08 4.4677706712368874e-08 -1.0098653125145603e-07 7.333690859961698e-08 2.334057324978751e-09 6.811828552000199e-07 9.764311614305067e-06 1.451162363998959e-06 -1.5948731101598835e-07 3.833665566593847e-06
proband -9.237823287561944e-06 3.487277890221514e-07 4.449495074702594e-06 7.002892293248551e-07 7.64176834573091e-07 -2.1748917522720245e-06 -2.8154965123342155e-06 -4.188377814272775e-06 -2.001982250834609e-07 -1.4331534706166079e-06 2.2302337608747156e-06 -4.015202526340375e-06 -3.3496463780282727e-06 -6.813731607621655e-07 7.436266170937667e-07 -1.2508849888745479e-06 5.525650386016534e-06 -1.311715625595876e-06 1.1060241039963828e-06 5.793916966593943e-07 1.451162363998957e-06 0.0009925255344423016 -0.0005017860322928674 -0.0005043829692935314
paternal 6.606547493452008e-06 -1.923585420331386e-06 -2.5310517860271347e-06 -8.88094197346202e-07 -3.900868499405173e-06 2.2324508422899275e-06 1.0486423059357544e-06 2.9863900983398353e-06 2.7351268022176814e-06 -1.614696067820438e-07 5.47291803424494e-06 2.408231757247428e-06 6.52910992096519e-06 -2.09470809834868e-06 -1.213804633649944e-06 4.214666275200413e-06 -5.1129469562043444e-06 9.871609839666572e-07 1.647576924795422e-06 3.218558749071707e-06 -1.5948731101598591e-07 -0.0005017860322928674 0.0008315657251532241 0.00022393304215924883
maternal 1.8414141675170508e-06 2.9845258214808124e-07 -1.6753558540486454e-06 -4.548476347250186e-06 -1.5431625085308513e-06 -2.939355627419624e-06 -2.5424247177798893e-06 4.618241604324302e-06 1.1563663147564703e-06 -1.11162528607544e-06 -1.5309809898051309e-06 2.1859612572793234e-06 6.537381898818746e-07 1.998027436004559e-06 -5.144718881126392e-06 2.4140581121742387e-07 -2.3065704606329806e-06 -8.189418819616941e-07 -1.7983553846205573e-06 2.2162125568893823e-06 3.833665566593848e-06 -0.0005043829692935312 0.0002239330421592487 0.000878659825742769
