 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
intercept 0.010937852082105525 0.004011034152826568 -0.00012687133718366597 1.273036611810276e-06 0.011582525768767707 -0.0011221988649679285 3.407969399856524e-05 -3.284067336984877e-07 -3.8868073840027885e-07 2.199973856966338e-06 2.1322491398036248e-06 -6.651260755613439e-07 1.1301840959948404e-06 -8.931674734647855e-06 -3.263345167050063e-06 -1.5936269027865527e-06 -1.7187752621478826e-06 -4.236187307453472e-06 -1.0651481400040311e-05 -4.505790003606466e-06 -7.566874592567523e-08 3.1500770305089127e-06 4.116781826120678e-06 -1.1462218709676e-06 -6.536431562903182e-07 -3.914802843731219e-06 6.566131332339497e-06 -4.833765192152517e-06 2.3588263468185303e-05 7.254841920813438e-05 -0.0001769293113007972 -2.7304345116685107e-06
age 0.004011034152871117 0.004471778994828401 -0.00012970856823603784 1.1837670772676386e-06 0.04501455260242578 -0.004175235412787513 0.00012080284238476498 -1.1001173100433704e-06 -5.286973402439155e-07 1.362467213425913e-07 -3.1274159539072825e-06 1.4193181702502774e-06 -2.3501807711223907e-07 -1.1417864393835798e-06 -1.321062804975143e-08 -1.0140223799625038e-06 -7.006974074281309e-07 -3.882308929687048e-06 -1.9708020020369045e-06 7.279865909449884e-07 -3.6171487570121995e-08 1.4380165722085744e-07 1.227492735778574e-06 1.0296103928938106e-06 -2.6684447572264777e-06 -2.8714756795671202e-06 1.7340591590772952e-07 6.190081508791509e-07 2.257012531450607e-05 7.338185373022184e-06 4.320384364636523e-05 -6.812146665508841e-05
age2 -0.00012687133718463392 -0.00012970856823560847 3.808266187255068e-06 -3.516121009043185e-08 -0.001287641408762054 0.00012086934506075514 -3.5390323611959216e-06 3.2600082162044557e-08 6.069797632585789e-09 1.4133883236633254e-08 8.176666954160173e-08 -3.9109477551490506e-08 3.821946293025231e-09 3.8623662019197744e-08 1.64728136542987e-08 4.3407744398459543e-08 1.96986081527884e-08 1.135627343941074e-07 7.491548071248629e-08 -1.803858368757007e-08 -7.192268385478319e-09 -1.6613493951027152e-08 -4.031713811154751e-08 -1.7004003453688865e-08 6.655813824254649e-08 8.115625275358311e-08 -1.7971264992503094e-08 -1.4934995699304707e-09 -6.786711644755181e-07 -2.2334070659263598e-07 -8.100812438535418e-07 1.648152088426814e-06
age3 1.2730366118184395e-06 1.1837670772629994e-06 -3.5161210090405806e-08 3.285471112904999e-10 1.1608950347538503e-05 -1.1013404187011703e-06 3.261767632120077e-08 -3.040444091670526e-10 2.9511427317428305e-11 -2.338284867978165e-10 -6.623860626762551e-10 3.2444690210479007e-10 -1.676957812466025e-11 -4.3688969738689693e-10 -3.030415066131362e-10 -5.047419034966653e-10 -1.5691158852168698e-10 -1.0394687732727112e-09 -8.562852443678184e-10 1.3361760791398404e-10 1.364129533903241e-10 2.357687478114688e-10 4.062898651571015e-10 3.598995070347278e-11 -4.888752437630202e-10 -7.390141764411995e-10 2.993162443713574e-10 -1.2535274644150055e-10 6.263453572429974e-09 2.084917019490548e-09 4.516874352454108e-09 -1.2881282125502692e-08
sex 0.011582525769654704 0.04501455260282628 -0.0012876414087741117 1.1608950347653286e-05 1.0049154892558478 -0.09198202189715576 0.002628679358819585 -2.3655708147955287e-05 1.817092681226551e-05 9.63361418971239e-07 -2.1417953213360276e-05 2.692111823454682e-05 -3.2795042226134976e-05 5.247012579721399e-05 -1.301704840127719e-05 -1.750389315512247e-05 -3.41233542793667e-06 -9.819981076120971e-06 2.81991731374305e-05 5.6948378107063946e-05 2.7907145545675937e-06 -1.1154431401177409e-05 -2.6711073055794987e-05 -1.7028110081052953e-05 -2.0789536326644493e-05 -2.3114254931046097e-05 2.7010854416227885e-06 3.772434520167016e-05 -6.345963435173709e-05 0.0002994750215255724 0.001417509028539226 -0.0013594589830525688
agesex -0.0011221988650739023 -0.004175235412853334 0.00012086934506266743 -1.101340418718701e-06 -0.09198202189716943 0.00854043805682827 -0.0002471956130817445 2.249845990761138e-06 -1.6337792619423328e-06 3.2802187002046024e-07 2.1285268157894063e-06 -2.5334479615398353e-06 2.826521702199726e-06 -4.973964401935382e-06 1.6321991979527852e-06 2.025695918951839e-06 -9.657654416858698e-08 1.0219268739523436e-06 -2.424219724028973e-06 -5.321385405077773e-06 -7.506437356703948e-07 6.168606198208332e-07 2.3156706707550086e-06 2.1585805718721825e-06 1.2488786628363096e-06 2.1442125893738905e-06 -1.5699262852981345e-07 -3.3967012286044734e-06 2.384823853756708e-06 -2.8930437899867577e-05 -0.00011499401248182153 0.0001191655037214413
age2sex 3.4079694002103734e-05 0.00012080284238754606 -3.5390323612757426e-06 3.261767632191941e-08 0.0026286793588203693 -0.0002471956130817807 7.246859241849212e-06 -6.677134033628373e-08 4.6523088640486545e-08 -2.255939118449722e-08 -6.493029748665872e-08 7.498023041957148e-08 -7.812910220704185e-08 1.455649981576007e-07 -5.8254384547186305e-08 -7.21579409548966e-08 1.6394649698949528e-08 -3.155770796977287e-08 6.070955260383549e-08 1.5547824818756707e-07 3.571018093004768e-08 -7.68203688764029e-09 -6.419702914577567e-08 -7.851645911999447e-08 -1.8722803645792826e-08 -6.42220542761837e-08 1.0966965707718838e-09 9.348601288830533e-08 3.4825107813630746e-08 7.339938081135852e-07 3.1016980339742233e-06 -3.29023532374188e-06
age3sex -3.2840673372717214e-07 -1.100117310063471e-06 3.260008216262782e-08 -3.040444091723676e-10 -2.3655708147965773e-05 2.2498459907617755e-06 -6.677134033629262e-08 6.230942365543504e-10 -4.461753249957598e-10 3.335905505909336e-10 6.237697227020793e-10 -6.816672688074912e-10 6.843613440985335e-10 -1.3215288450381674e-09 6.436445830312535e-10 7.867862904528841e-10 -2.7780240092355827e-10 2.978474206270324e-10 -4.586939802596372e-10 -1.4383084767421372e-09 -4.603071075605487e-10 1.921302848412937e-11 5.291822466588832e-10 8.411536488680755e-10 -1.0034169983101648e-11 6.066119067596479e-10 -1.5376591684544427e-11 -8.015409772966224e-10 -9.761143481916723e-10 -4.579402758807197e-09 -2.8109608404207615e-08 2.8349441967399012e-08
pcs.V3 -3.8868073837212893e-07 -5.286973402124599e-07 6.069797631667573e-09 2.95114273258608e-11 1.817092681261105e-05 -1.6337792619745057e-06 4.652308864142123e-08 -4.461753250043066e-10 3.1398976947003845e-06 1.1881073090284108e-07 -2.3134609043082345e-08 -3.8845282040800934e-08 7.565969423238915e-08 3.9443128509972636e-08 -1.56512702720719e-08 5.26475015019918e-08 -8.764146814739681e-08 1.059475739259243e-07 -6.724628013600909e-08 -2.745733408182529e-09 1.0646505339643135e-09 1.418778048157008e-08 -7.901288729323331e-08 1.874379258871308e-08 2.0712375659292992e-08 -1.7495827017690403e-08 7.239568735186036e-08 3.144587957022301e-08 -1.1699453408807848e-06 5.471390150644739e-07 -2.8464802666528866e-06 1.735488345866832e-06
pcs.V4 2.199973856954388e-06 1.3624672132938632e-07 1.4133883237017656e-08 -2.338284868013364e-10 9.63361418842052e-07 3.280218700325437e-07 -2.2559391184849786e-08 3.3359055059417014e-10 1.1881073090284169e-07 3.030934135046786e-06 4.390687620057687e-08 8.793877334990921e-09 3.608705425003237e-08 -5.6853271672667625e-08 -6.385021209077809e-08 3.861845141248057e-08 8.357664917855516e-08 -4.725508263016398e-08 4.0256431903081615e-08 -4.3443538879013537e-08 -1.3498295991796417e-07 5.871216759256035e-08 8.469650846486186e-08 3.521770370551138e-08 4.525502705324347e-08 3.449821549441885e-08 1.1628201734163404e-08 4.7694074197167215e-08 6.702839085594887e-07 8.106684692787958e-07 4.654360280083382e-06 -2.8810590106765324e-06
