 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
intercept 0.0029598192462200745 0.0010361781598506685 -3.164203595878371e-05 3.063815669461996e-07 -0.003684123461238133 0.00037354094714211263 -1.1840185112125684e-05 1.1784821998877746e-07 -2.6785920035100955e-06 2.71364998587068e-06 7.467951548167372e-07 6.323814209971106e-07 1.6252428016942998e-06 -9.360688691946744e-07 2.4715939522558254e-06 -5.499658235510093e-08 -8.503094096883326e-08 1.9230430506013436e-07 9.625695522447541e-08 -1.9009854806995213e-06 1.2200745477267774e-07 1.431563846437325e-06 1.313253564582271e-06 4.7251213408686826e-07 -1.927804370824887e-06 -3.865330268795512e-07 -1.2838574049901628e-06 -2.285401120585324e-06 -1.485805475184481e-05 2.3753328014823326e-05 1.0325281467382967e-05 -2.2358737356456734e-05
age 0.001036178159842917 0.0021056321948624626 -5.79304683264664e-05 4.98162643026488e-07 0.02187588086646574 -0.0019437444936019769 5.339157221870664e-05 -4.5850759559678e-07 -1.92860682057399e-06 7.205274222232764e-07 -1.0164544561968101e-06 1.7592097909899039e-06 6.930329797631585e-08 -2.4424631620548973e-07 1.6380855772919118e-06 1.0709769220416936e-06 5.633842926425455e-07 -1.7342969194863532e-06 8.364256229960347e-07 4.304916385200174e-07 -5.072644254535627e-07 -7.13577269064002e-08 5.4630935296204e-07 8.227767997960849e-07 -1.55204404395356e-06 4.615281528552839e-07 -1.0115228707591524e-06 3.5503346985201626e-07 -5.7366723147510365e-08 -3.825708550869464e-05 2.037963080886398e-05 1.9945895764096175e-05
age2 -3.1642035958590895e-05 -5.79304683265426e-05 1.614470444351029e-06 -1.4049923347385596e-08 -0.0005916421069130784 5.327218410213204e-05 -1.4821155929964961e-06 1.2878569574569483e-08 5.382461947666273e-08 -1.4957453319070295e-08 2.349632707956804e-08 -4.7933219389248436e-08 -4.857932327322959e-09 5.1032274729340085e-09 -4.408517479579116e-08 -2.4054908133614732e-08 -1.6019730069505003e-08 4.225389172090292e-08 -2.488066836793302e-08 -1.0455984276188198e-08 1.0202396817526405e-08 -5.75767421826281e-09 -1.8827999528615393e-08 -1.352437376797688e-08 4.473725339591926e-08 -1.3272499203138864e-08 3.232789828385889e-08 -5.643761151647054e-09 3.496163408906952e-08 9.392216811466069e-07 -4.32417716009838e-07 -5.785141176471161e-07
age3 3.0638156694433473e-07 4.981626430265062e-07 -1.4049923347368736e-08 1.2375077582466146e-10 5.01311125532614e-06 -4.5649050391320936e-07 1.2851299976409805e-08 -1.1300351852099126e-10 -4.6293716501088305e-10 1.155914870522391e-10 -1.6585673616355432e-10 4.092577912377421e-10 6.606748817437296e-11 -4.4006626134523474e-11 3.7273670034357875e-10 1.7165381478939184e-10 1.4399026586694417e-10 -3.1086790737118e-10 2.1691257955843012e-10 7.047570131528233e-11 -6.5829598937824e-11 1.0464686377252845e-10 1.8482820729126244e-10 5.246321713005954e-11 -4.0110063582242854e-10 1.1804556742496254e-10 -3.067519152092308e-10 1.3632510680953754e-11 -5.852225471313566e-10 -7.065808296253843e-09 3.0804004008331594e-09 4.67078468376129e-09
sex -0.0036841234614222148 0.021875880866246557 -0.0005916421069070524 5.013111255274412e-06 0.6465377414589552 -0.05719262754417281 0.00156981950135938 -1.3511307802247872e-05 -8.227880052907978e-06 7.17707772849865e-06 5.302728824057458e-06 2.055779523511734e-05 -3.39892980681964e-05 2.318799287972471e-05 -1.4540387717577866e-05 1.016549752324005e-05 -2.3520652575339416e-06 -1.867598534791754e-05 1.0895168876608764e-05 2.7006820097468723e-05 -4.275455614261779e-06 5.74653391268437e-06 -1.2129762605213543e-05 -1.0474902909967806e-05 5.359693345390006e-06 1.594516991455253e-05 1.1998187259011204e-05 3.017717520057152e-05 2.2147659248118755e-05 -0.0004853174192165942 -0.00015436208532578212 0.0008605647202988777
agesex 0.0003735409471577339 -0.0019437444935845249 5.3272184101644175e-05 -4.5649050390896493e-07 -0.057192627544169095 0.005138241018163212 -0.0001429077858309385 1.2438770930713944e-06 7.279272145561582e-07 -7.22303951461555e-07 -4.913588261859029e-07 -1.7691244080933246e-06 2.861226569381871e-06 -2.3187130630512976e-06 1.6969915320796944e-06 -7.794535976086772e-07 8.791981797205416e-08 1.5059360592252327e-06 -1.0036380598607025e-06 -2.5302842915871887e-06 2.534452769206637e-07 -6.139343071350736e-07 7.609048662368063e-07 1.4578641908543426e-06 -6.698621541470805e-07 -1.6053840152147839e-06 -9.66244860690918e-07 -2.8489559580914896e-06 -1.843133071629367e-06 4.2143309654953994e-05 9.047169414061445e-06 -7.606270736520367e-05
age2sex -1.1840185112604355e-05 5.339157221806685e-05 -1.482115592978835e-06 1.2851299976258123e-08 0.0015698195013591554 -0.00014290778583092757 4.026012566894798e-06 -3.546088001133625e-08 -1.806610134357522e-08 2.100629308845534e-08 1.3681432411677647e-08 5.008405515825641e-08 -7.578842860861352e-08 6.738984366643778e-08 -5.5878997263456e-08 1.833284190362668e-08 2.01721397816576e-09 -3.561744234378156e-08 2.5351448869259185e-08 7.422911603606705e-08 -6.22007880227966e-09 1.9724915764600957e-08 -1.6244033525020472e-08 -5.3001136100207296e-08 2.1237761355866498e-08 4.892886653245061e-08 2.3097094946889336e-08 8.217227108700757e-08 4.488876708335045e-08 -1.108045914497528e-06 -1.872682094246842e-07 2.0355167289640077e-06
age3sex 1.1784821999283013e-07 -4.5850759559185353e-07 1.287856957443296e-08 -1.1300351851981235e-10 -1.3511307802244716e-05 1.2438770930711917e-06 -3.546088001133327e-08 3.160729209934565e-10 1.1939405172333668e-10 -1.6729547362707334e-10 -1.19815243166784e-10 -4.519735289451955e-10 6.305387162787393e-10 -5.803137431247917e-10 5.580630262794284e-10 -1.473764913440477e-10 -5.4610203863948675e-11 2.5377772896393467e-10 -1.957268823528005e-10 -6.752513256594795e-10 6.312963393754227e-11 -1.669126017426428e-10 1.1192188758732749e-10 5.481369042209239e-10 -2.0178298208877398e-10 -4.640963762523445e-10 -1.7722490599233711e-10 -7.461903411762453e-10 -2.9201119740547773e-10 9.179424763864098e-09 1.2303518204947645e-09 -1.6750283433132143e-08
pcs.V3 -2.678592003506181e-06 -1.928606820580478e-06 5.382461947684396e-08 -4.6293716501246633e-10 -8.22788005317226e-06 7.279272145802473e-07 -1.8066101344255445e-08 1.193940517293473e-10 2.672005232982441e-06 1.8179056697869128e-07 -4.4777244392860905e-08 -1.2155865947456521e-08 6.243751182380965e-08 4.9278341346120644e-08 5.5241889221519326e-08 7.68417040029682e-08 -1.8003558066657392e-08 2.6795964185240073e-08 -6.110051481616595e-08 -1.115270517250948e-08 4.067240803304803e-08 -1.1663644104946824e-09 -4.609269631906686e-08 6.82515490350011e-08 1.3212894933413931e-08 -6.675437167348043e-09 3.638372660327138e-08 3.515722354448863e-08 -6.73764955349288e-07 8.655079606840744e-07 -1.453473490198327e-06 -1.4094018746269702e-06
pcs.V4 2.713649985868111e-06 7.205274222227872e-07 -1.4957453319057037e-08 1.1559148705212924e-10 7.177077728563913e-06 -7.223039514675175e-07 2.1006293088624105e-08 -1.672954736285696e-10 1.8179056697869382e-07 2.7343395585653063e-06 1.0341702060142439e-07 2.753837357549005e-09 3.7732250588447636e-08 -5.034823061548953e-08 -4.417012930511053e-08 5.728499083712125e-08 -7.952863893072885e-09 -4.222360392681198e-08 2.0146243856748427e-08 -9.42695958206607e-08 -5.620213351619242e-08 6.206095311866372e-08 5.848456020860091e-08 5.72736063555932e-08 4.68033531146415e-08 2.1884908194939985e-08 -3.791629079809849e-08 4.060635100973521e-08 7.657191776023522e-07 -2.893665676985366e-07 1.2778665152411948e-06 8.779025729494386e-07
