(Intercept) covarage covarsex covarpcs.V3 covarpcs.V4 proband maternal gmm gpm
(Intercept) 0.00348538118084726 0.00245094497943256 7.42391699154583e-05 -3.66711638721039e-05 0.000136616301337941 -3.83922332750798e-05 6.11383440059625e-05 6.18265158321934e-06 2.82862246452507e-05
covarage 0.00245094497943256 0.00268784701884699 8.76229642475342e-05 -1.80865043258981e-05 0.000141691438115426 7.85997945453853e-06 -4.46770020595952e-06 -4.68993929409024e-05 0.000144154122862559
covarsex 7.42391699154583e-05 8.76229642475342e-05 0.00104657600621059 -7.64213157601034e-06 2.06472500595307e-05 7.39039421002035e-06 3.9322294664208e-05 -2.95316611796837e-05 -5.2028959835973e-05
covarpcs.V3 -3.66711638721039e-05 -1.80865043258981e-05 -7.64213157601034e-06 0.00118432832625203 9.42300195112632e-05 -3.75600737437532e-05 3.97632719338448e-05 -6.12661724223523e-05 -7.702753917059e-05
covarpcs.V4 0.000136616301337941 0.000141691438115426 2.06472500595307e-05 9.42300195112632e-05 0.00107684620715702 3.79710234026555e-05 -2.01993965801118e-05 5.56254986021838e-05 5.0002343767039e-05
proband -3.83922332750798e-05 7.85997945453853e-06 7.39039421002035e-06 -3.75600737437532e-05 3.79710234026555e-05 0.00154323103876811 -0.000835020666780441 -7.0899315654495e-06 3.28827057037836e-05
maternal 6.11383440059625e-05 -4.46770020595952e-06 3.9322294664208e-05 3.97632719338448e-05 -2.01993965801118e-05 -0.000835020666780441 0.00623299844076269 -0.00398480653139748 -0.00469640266207757
gmm 6.18265158321934e-06 -4.68993929409024e-05 -2.95316611796837e-05 -6.12661724223523e-05 5.56254986021838e-05 -7.0899315654495e-06 -0.00398480653139748 0.0125361317373738 -0.00494633356001515
gpm 2.82862246452507e-05 0.000144154122862559 -5.2028959835973e-05 -7.702753917059e-05 5.0002343767039e-05 3.28827057037836e-05 -0.00469640266207757 -0.00494633356001515 0.0137933014177514
